wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1396149,-2003905,park,Mereig,Mereig,official,42.562638,1.57602,AD-02,,
-1394459,-2002089,settlement,Anyós,Anyos,official,42.534134,1.52434,AD-04,,
-2167107,-3001018,hypsographic,"Península Ibérica","Peninsula Iberica",official,40,-5,S1-000,,
-2167107,16973709,hypsographic,"La Península Ibérica","La Peninsula Iberica",variant,40,-5,S1-000,,
-2167107,-3000968,hypsographic,"Península Hispánica","Peninsula Hispanica",variant,40,-5,S1-000,,
-2167107,-3001019,hypsographic,"La Penisola Iberica","La Penisola Iberica",variant,40,-5,S1-000,,
-2167107,-3001015,hypsographic,Iberia,Iberia,variant,40,-5,S1-000,,
-2167107,16973730,hypsographic,"Península Ibèrica","Peninsula Iberica",official,40,-5,S1-000,,
-2167107,-3001017,hypsographic,"Península Ibérica","Peninsula Iberica",official,40,-5,S1-000,,
-2167107,-3001016,hypsographic,"Iberian Peninsula","Iberian Peninsula",colloquial,40,-5,S1-000,,
-1459401,-2089147,hypsographic,"Pic de Font Blanca","Pic de Font Blanca",official,42.64991,1.533353,S1-000,,
-1459401,-2089146,hypsographic,"Pic du Port","Pic du Port",official,42.64991,1.533353,S1-000,,
-1461027,-4834010,hypsographic,"Port de Ransol","Port de Ransol",official,42.633333,1.65,S1-000,,
-1450717,-4833998,hypsographic,"Roc Mélé","Roc Mele",official,42.587649,1.740278,S1-000,,
-1451583,-2003925,hypsographic,"Pic de Mil-Menut","Pic de Mil-Menut",official,42.633333,1.65,S1-000,,
-1450717,-2077841,hypsographic,"Roc Meler","Roc Meler",variant,42.587649,1.740278,S1-000,,
-1437707,-2060093,hypsographic,"Pic des Langounelles","Pic des Langounelles",official,42.612033,1.473635,S1-000,,
-1427531,-2046478,hypsographic,"Pic de la Font-Nègre","Pic de la Font-Negre",official,42.525345,1.733434,S1-000,,
-1427530,-2019473,hydrographic,"Estany de les Abelletes","Estany de les Abelletes",official,42.529146,1.733624,S1-000,,
-1427531,-2019474,hypsographic,"Pic de les Abelletes","Pic de les Abelletes",official,42.525345,1.733434,S1-000,,
-1427530,-2046477,hydrographic,"Étang de Font-Nègre","Etang de Font-Negre",official,42.529146,1.733624,S1-000,,
-1422145,-2039570,hypsographic,"Port Vieux de la Coume d’Ose","Port Vieux de la Coume d'Ose",official,42.625678,1.61823,S1-000,,
-1422145,15309523,hypsographic,"Port Vieux de Coume d’Ose","Port Vieux de Coume d'Ose",official,42.625678,1.61823,S1-000,,
-1416023,-2031677,hypsographic,"Porteille de la Cabanette","Porteille de la Cabanette",variant,42.6,1.733333,S1-000,,
-1416023,-2031676,hypsographic,"Port de la Cabanette","Port de la Cabanette",official,42.6,1.733333,S1-000,,
-1410371,-2024459,hypsographic,"Port de las Bareytes","Port de las Bareytes",variant,42.601721,1.455618,S1-000,,
-1410371,-2024460,hypsographic,"Port des Bareytes","Port des Bareytes",official,42.601721,1.455618,S1-000,,
-1410371,-2024441,hypsographic,"Port de Bareites","Port de Bareites",variant,42.601721,1.455618,S1-000,,
-1410371,-2024461,hypsographic,"Port Dret","Port Dret",official,42.601721,1.455618,S1-000,,
-1396705,-2004518,settlement,Ransol,Ransol,official,42.581184,1.638368,AD-02,,
-1396817,-2004633,hypsographic,"Serrat de Rudielles","Serrat de Rudielles",official,42.494914,1.458477,AD-000,,
-1396095,-2003845,hypsographic,"Coll de la Manyiga","Coll de la Manyiga",official,42.461823,1.528624,AD-06,,
-1396433,-2004213,park,"Corral de Pedra","Corral de Pedra",official,42.566507,1.705114,AD-02,,
-1396758,-2004574,hydrographic,"Fonts del Riu de les Cebes","Fonts del Riu de les Cebes",official,42.620299,1.590567,AD-05,,
-1396735,-2004551,hydrographic,"Riu de Rialp","Riu de Rialp",variant,42.614946,1.537255,AD-05,,
-1396762,-2004578,spot,"Pont del Riu Montaner","Pont del Riu Montaner",official,42.529996,1.520273,AD-04,,
-1396856,-2004680,spot,"Sant Esteve","Sant Esteve",official,42.441865,1.451184,AD-06,,
-1396005,-2003747,hypsographic,"Pales dels Llacs","Pales dels Llacs",official,42.599045,1.627133,AD-02,,
-1396877,-2004709,spot,"Sant Romà de Vila","Sant Roma de Vila",official,42.53083,1.568605,AD-03,,
-1395895,-2003635,park,"La Peguera","La Peguera",official,42.452046,1.547004,AD-06,,
-1396591,-2004392,hydrographic,"Riu del Port Dret","Riu del Port Dret",official,42.593666,1.460467,AD-04,,
-1395934,-2003675,park,Laverdú,Laverdu,official,42.63304,1.527636,AD-05,,
-1396725,-2004540,hydrographic,"Font de les Reïneres","Font de les Reineres",official,42.601747,1.681876,AD-02,,
-1396606,-2004409,hydrographic,"Font de la Posada","Font de la Posada",official,42.46481,1.446959,AD-06,,
-1396154,-2003910,hydrographic,"Rec de Mereig","Rec de Mereig",official,42.560567,1.582229,AD-02,,
-1396190,-2003946,hydrographic,"Canal de la Molina","Canal de la Molina",official,42.478086,1.469277,AD-06,,
-1395896,-2003636,park,"La Pera","La Pera",official,42.57488,1.479253,AD-04,,
-1396786,-2004602,hypsographic,"Pla de Rodó","Pla de Rodo",official,42.542868,1.435567,AD-04,,
-1395908,-2003648,park,"La Posa","La Posa",official,42.536804,1.593057,AD-03,,
-1396318,-2004085,hypsographic,"Serrat dels Obacs","Serrat dels Obacs",official,42.600289,1.509592,AD-05,,
-1397018,-2004868,hydrographic,"Riu de les Solanelles","Riu de les Solanelles",official,42.553336,1.682714,AD-000,,
-1396973,-2004823,park,"Solà de la Farga","Sola de la Farga",official,42.49531,1.609857,AD-08,,
-1397036,-2004889,hydrographic,"Riu de Soplanàs","Riu de Soplanas",official,42.579199,1.629385,AD-02,,
-1396333,-2004100,hydrographic,"Canal de l’Obaga Fosca","Canal de l'Obaga Fosca",official,42.490734,1.431046,AD-06,,
-1397098,-2004955,hydrographic,"Canals de Torradella","Canals de Torradella",official,42.593427,1.636857,AD-02,,
-1395979,-2003721,hypsographic,"Les Pedrusques","Les Pedrusques",official,42.526129,1.635392,AD-03,,
-1396140,-2003896,vegetation,"Bosc del Menadís","Bosc del Menadis",official,42.444376,1.461742,AD-06,,
-1396568,-2004366,hypsographic,"Roc de Podoïna","Roc de Podoina",official,42.454643,1.498385,AD-06,,
-1396451,-2004233,hypsographic,"Costa de Perafita","Costa de Perafita",official,42.480494,1.57287,AD-08,,
-1396783,-2004599,hypsographic,"Bony Rodó","Bony Rodo",official,42.616247,1.544781,AD-05,,
-1396376,-2004149,spot,"Cova de l’Óssa","Cova de l'Ossa",official,42.470272,1.47639,AD-06,,
-1396536,-2004333,park,"Planells d’Arcalís","Planells d'Arcalis",official,42.62729,1.494277,AD-05,,
