wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-784675,-1129102,park,Zawr,Zawr,official,25.5275,55.596667,AE-UQ,,
-3101104,-4378127,hypsographic,"Suhūl az̧ Z̧afrah","Suhul az Zafrah",official,22.75,53.166667,S1-000,,
-3101104,-4378128,hypsographic,"Suhūl az̧ Z̧afrah","Suhul az Zafrah",official,22.75,53.166667,S1-000,,
-3099377,18905181,hypsographic,"عروق الشَّيبة","عروق الشيبة",unknown,22.645959,54.610297,S1-000,,
-3099483,-4375005,hypsographic,"Shudūq al Jawwān","Shuduq al Jawwan",official,22.833333,53.416667,S1-000,,
-3099377,-4374569,hypsographic,"‘Uruq ash Shaiba","`Uruq ash Shaiba",variant,22.645959,54.610297,S1-000,,
-3099483,-4375004,hypsographic,"Shudūq al Jawwān","Shuduq al Jawwan",official,22.833333,53.416667,S1-000,,
-3099377,-4374815,hypsographic,"‘Urūq ash Shaybah","`Uruq ash Shaybah",official,22.645959,54.610297,S1-000,,
-3098686,-4361961,hypsographic,"Ar Rimal","Ar Rimal",variant,21,51,S1-000,,
-3098686,-4373397,hypsographic,Ruba’-al-Khāli,Ruba'-al-Khali,variant,21,51,S1-000,,
-3098686,-4373283,hypsographic,"Rhub al Khali","Rhub al Khali",variant,21,51,S1-000,,
-3098033,-4372141,hypsographic,"Qa‘āyid Ḩulaywīn","Qa`ayid Hulaywin",variant,24.2,51.233333,S1-000,,
-3098686,-4373401,hypsographic,"Rub‘ al Khali","Rub` al Khali",colloquial,21,51,S1-000,,
-3098033,152058,hypsographic,"Al Qa‘ā’id","Al Qa`a'id",variant,24.2,51.233333,S1-000,,
-3098686,18035233,hypsographic,"الربع الخالي","الربع الخالي",unknown,21,51,S1-000,,
-3098686,-4361855,hypsographic,"Ar Rab‘ al Khālī","Ar Rab` al Khali",variant,21,51,S1-000,,
-3098686,-4366160,hypsographic,"Great Sandy Desert","Great Sandy Desert",variant,21,51,S1-000,,
-3098686,-4511244,hypsographic,"Ar Rub‘ al Khālī","Ar Rub` al Khali",official,21,51,S1-000,,
-3098686,-4365268,hypsographic,"Empty Quarter","Empty Quarter",variant,21,51,S1-000,,
-3098033,-4372133,hypsographic,"Qa‘ā’id Ḩulaywīn","Qa`a'id Hulaywin",official,24.2,51.233333,S1-000,,
-3098686,-4364378,hypsographic,Dahna,Dahna,variant,21,51,S1-000,,
-3097245,18805953,hydrographic,"Sabkhat Muţţī","Sabkhat Mutti",official,23.50999,51.999152,S1-000,,
-3097245,-4371550,hydrographic,"Sabkhat Mutti","Sabkhat Mutti",variant,23.50999,51.999152,S1-000,,
-3097312,-4369985,hydrographic,"Baţn al Majann","Batn al Majann",variant,23.797957,51.744364,S1-000,,
-3097313,-4370746,hypsographic,"Mijan Scarp","Mijan Scarp",variant,23.9,51.75,S1-000,,
-3097312,18819835,hydrographic,"بطن المجن","بطن المجن",unknown,23.797957,51.744364,S1-000,,
-3097245,-4370590,hydrographic,"Sabkhat Maţţī","Sabkhat Matti",variant,23.50999,51.999152,S1-000,,
-3097312,-4370742,hydrographic,"Baţn al Mijann","Batn al Mijann",official,23.797957,51.744364,S1-000,,
-3097245,18805954,hydrographic,"سبخة مطي","سبخة مطي",unknown,23.50999,51.999152,S1-000,,
-3097313,-4369986,hypsographic,"Khushūm al Majann","Khushum al Majann",variant,23.9,51.75,S1-000,,
-3097313,-4370744,hypsographic,"Khushūm al Mijann","Khushum al Mijann",official,23.9,51.75,S1-000,,
-3097313,18819836,hypsographic,"خشوم المجن","خشوم المجن",unknown,23.9,51.75,S1-000,,
-3097245,-4370567,hydrographic,"Sabkhat Maţī","Sabkhat Mati",variant,23.50999,51.999152,S1-000,,
