wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1323583,67580,hypsographic,"Vernon’s Island","Vernon's Island",official,17.114309,-61.769254,AG-07,,
-1323582,18944645,spot,"Antigua International Airport","Antigua International Airport",variant,17.137517,-61.791426,AG-03,,
-1323588,-1913004,hypsographic,"Week Point","Week Point",official,17.121118,-61.857013,AG-04,,
-1323574,-1912986,settlement,Tomlinson,Tomlinson,official,17.113269,-61.808079,AG-04,,
-1323601,-1913023,hydrographic,"Winthorp Bay","Winthorp Bay",variant,17.149194,-61.786963,AG-03,,
-1323604,-1913029,hypsographic,"Yepton Peak","Yepton Peak",variant,17.124264,-61.871722,AG-04,,
-1323596,-1913016,settlement,Willikie’s,Willikie's,variant,17.086837,-61.709299,AG-08,,
-1323569,-1912981,spot,"The Dockyard","The Dockyard",official,17.008043,-61.764866,AG-06,,
-1323575,-1912987,settlement,Tremontaine,Tremontaine,variant,17.025522,-61.837308,AG-05,,
-1323585,-1913000,settlement,Watsons,Watsons,official,17.054512,-61.677886,AG-08,,
-1323566,-1912978,park,"The Canal","The Canal",official,17.613956,-61.851545,AG-10,,
-1323602,-1913024,hydrographic,"Winthorp Creek","Winthorp Creek",variant,17.135494,-61.78001,AG-03,,
-1323583,-1912997,hypsographic,"Vernon Island","Vernon Island",variant,17.114309,-61.769254,AG-07,,
-1323577,-1912990,hypsographic,"Tuson Rock","Tuson Rock",official,17.616667,-61.866667,AG-10,,
-1323605,-1913031,hypsographic,"York Island","York Island",official,17.053344,-61.669091,AG-08,,
-1323596,-1913017,settlement,Willikies,Willikies,official,17.086837,-61.709299,AG-08,,
-1323582,69136,spot,"V. C. Bird International Airport","V. C. Bird International Airport",short,17.137517,-61.791426,AG-03,,
-1323587,-1913002,hypsographic,"Weatherills Point","Weatherills Point",official,17.165742,-61.84711,AG-04,,
-1323572,-1912984,park,"The River","The River",official,17.593814,-61.829246,AG-10,,
-1323605,-1913032,hypsographic,"York Islet","York Islet",variant,17.053344,-61.669091,AG-08,,
-1323576,-1912988,hypsographic,"Tucks Point","Tucks Point",official,17.009307,-61.810751,AG-05,,
-1323573,-1912985,hypsographic,"Mount Thomas","Mount Thomas",official,17.107172,-61.883162,AG-04,,
-1323593,-1913011,hypsographic,"Wicked Will","Wicked Will",official,17.05,-61.666667,AG-08,,
-1323580,-1912993,settlement,Urlings,Urlings,official,17.026869,-61.876183,AG-05,,
-1323599,-1913021,hydrographic,"Willoughby Bay","Willoughby Bay",official,17.033551,-61.730481,AG-000,,
-1323601,-1913025,hydrographic,"Winthorpes Bay","Winthorpes Bay",official,17.149194,-61.786963,AG-03,,
-1323602,-1913026,hydrographic,"Winthorpes Foot Creek","Winthorpes Foot Creek",official,17.135494,-61.78001,AG-03,,
-1323594,-1913014,spot,"Fort William","Fort William",official,17.033333,-61.716667,AG-08,,
-1323585,-1912999,settlement,Watson,Watson,variant,17.054512,-61.677886,AG-08,,
-1323587,-1913007,hypsographic,"Wetherell Point","Wetherell Point",variant,17.165742,-61.84711,AG-04,,
-1323578,-1912991,hydrographic,"Two Feet Bay","Two Feet Bay",official,17.678722,-61.777171,AG-10,,
-1323584,-1912998,settlement,Vernons,Vernons,official,17.09192,-61.771321,AG-07,,
-1323590,-1913006,hydrographic,"West Channel","West Channel",official,17.144926,-61.900398,AG-04,,
-1323580,-1912619,settlement,Glebe,Glebe,variant,17.026869,-61.876183,AG-05,,
-1323595,-1913015,hypsographic,"William Point","William Point",official,17.039209,-61.726762,AG-08,,
-1323580,-1912994,settlement,Urlins,Urlins,variant,17.026869,-61.876183,AG-05,,
-1323582,-1912996,spot,"Vere C. Bird","Vere C. Bird",variant,17.137517,-61.791426,AG-03,,
-1323565,-1912977,settlement,"The Brook","The Brook",official,17.059724,-61.68061,AG-08,,
