wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1393183,-2000665,hydrographic,"Stoney Bay","Stoney Bay",official,18.273658,-63.248811,AI-000,,
-1393090,-2000549,hydrographic,"Dowling Shoal","Dowling Shoal",official,18.216667,-63.133333,AI-000,,
-1393072,-2000529,hypsographic,"Buntin Hill","Buntin Hill",official,18.203495,-63.079035,AI-000,,
-1393092,-2000552,settlement,"East End","East End",variant,18.238699,-62.992559,AI-000,,
-1393066,-2000523,settlement,"Blowing Point","Blowing Point",official,18.180158,-63.098432,AI-000,,
-1393168,-2000644,hydrographic,"Sea Feather Bay","Sea Feather Bay",official,18.222266,-63.006678,AI-000,,
-1393203,-2000689,settlement,"White Hill","White Hill",official,18.253271,-62.995731,AI-000,,
-1393146,-2000650,hypsographic,"Shannon Hill","Shannon Hill",variant,18.206348,-63.087264,AI-000,,
-1393189,-2000671,settlement,"The Fountain","The Fountain",official,18.249,-63.031207,AI-000,,
-1393060,-2000516,hypsographic,"Bay Rock","Bay Rock",official,18.270854,-63.25612,AI-000,,
-1393202,-2000688,hypsographic,"West Point","West Point",official,18.276568,-62.959858,AI-000,,
-1393053,-2000508,hypsographic,Anguilla,Anguilla,official,18.215345,-63.048748,AI-000,,
-1393132,-2000599,hydrographic,"Lower Shoal Bay","Lower Shoal Bay",official,18.254974,-63.032985,AI-000,,
-1393090,-2000550,hydrographic,"Dowlings Shoal","Dowlings Shoal",variant,18.216667,-63.133333,AI-000,,
-1393156,-2000628,hydrographic,"Road Salt Pond","Road Salt Pond",official,18.201339,-63.086651,AI-000,,
-1393172,-2000651,hydrographic,"Sherricks Bay","Sherricks Bay",official,18.162006,-63.163773,AI-000,,
-1393068,-2000525,hydrographic,"Blowing Point Harbour","Blowing Point Harbour",official,18.170582,-63.092967,AI-000,,
-1393106,-2000604,hydrographic,"Maunday’s Bay Pond","Maunday's Bay Pond",variant,18.163158,-63.150918,AI-000,,
-1393065,-2000522,hydrographic,"Blolly Ham Bay","Blolly Ham Bay",official,18.168963,-63.164052,AI-000,,
-1393175,-2000656,settlement,"Shoal Village","Shoal Village",variant,18.254167,-63.030783,AI-000,,
-1393122,-2000587,hydrographic,"Long Bay","Long Bay",official,18.192063,-63.125062,AI-000,,
-1393067,-2000524,hypsographic,"Blowing Point","Blowing Point",official,18.17086,-63.089474,AI-000,,
-1393166,-2000641,spot,"Scrub Island","Scrub Island",short,18.283333,-62.933333,AI-000,,
-1393194,-2000678,spot,"Wall Blake Airport","Wall Blake Airport",short,18.204748,-63.053293,AI-000,,
-1393054,-2000509,administrative_region,Anguilla,Anguilla,official,18.216667,-63.05,AI-000,,
-1393176,-2000657,hydrographic,"Sile Bay","Sile Bay",official,18.237194,-62.984028,AI-000,,
-1393071,-2000528,settlement,Bungalows,Bungalows,official,18.184825,-63.101033,AI-000,,
-1393096,-2000557,hypsographic,"Flirt Rocks","Flirt Rocks",official,18.276525,-63.180341,AI-000,,
-1393196,-2000680,settlement,Wattices,Wattices,official,18.22674,-63.033677,AI-000,,
-1393171,-2000597,hypsographic,"Lovers Point","Lovers Point",variant,18.168314,-63.104047,AI-000,,
-1393185,-2000667,settlement,"Stoney Ground","Stoney Ground",official,18.226636,-63.042667,AI-000,,
-1393144,-2000613,settlement,"Mount Fortune","Mount Fortune",official,18.241377,-62.996175,AI-000,,
-1393178,-2000568,hypsographic,"Hat Island","Hat Island",variant,18.6,-63.433333,AI-000,,
-1393169,-2000645,hypsographic,"Seal Island","Seal Island",official,18.268541,-63.147016,AI-000,,
-1393057,-2000513,hydrographic,"Bad Cox Pond","Bad Cox Pond",official,18.237502,-63.026765,AI-000,,
-1393077,-2000534,hydrographic,"Cauls Pond","Cauls Pond",official,18.224164,-63.024153,AI-000,,
