wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3877836,-5120154,hypsographic,Gugler,Gugler,official,47.75,14.45,AT-4,,
-3877496,-5119814,park,Warteck,Warteck,official,47.616667,14.366667,AT-6,,
-3856038,-5096937,spot,Lindenhof,Lindenhof,official,48.1,16.116667,AT-3,,
-3846015,-5084926,settlement,Sunk,Sunk,official,47.466667,14.483333,AT-6,,
-3845986,-5084897,spot,Huber,Huber,official,47.466667,14.35,AT-6,,
-3833832,-5072227,hypsographic,Sprengkogel,Sprengkogel,official,47.166667,12.633333,AT-5,,
-3816341,-5054587,hydrographic,Talgraben,Talgraben,official,47.75,13.816667,AT-4,,
-3815999,-5054245,settlement,Wald,Wald,official,47.616667,13.766667,AT-6,,
-3845412,-5084323,hypsographic,Tafnerriedel,Tafnerriedel,official,47.25,14.4,AT-6,,
-3777996,-5016869,park,Auen,Auen,official,48.8,15.05,AT-3,,
-3763742,-5002239,settlement,Ginegg,Ginegg,official,46.85,15.666667,AT-6,,
-3856321,-5097220,spot,"Schloß Wilhelmirtenberg","Schloss Wilhelmirtenberg",official,48.216667,16.283333,AT-9,,
-3856320,-5097219,hypsographic,Galitzinberg,Galitzinberg,official,48.216667,16.283333,AT-9,,
-3856319,-5097218,park,"Am Steinhof","Am Steinhof",official,48.216667,16.283333,AT-9,,
-3856318,-5097217,spot,Jubiläumswarte,Jubilaumswarte,official,48.216667,16.266667,AT-9,,
-3856317,-5097216,hydrographic,Moosgraben,Moosgraben,official,48.216667,16.266667,AT-9,,
-3856316,-5097215,settlement,Kordonsiedlung,Kordonsiedlung,official,48.216667,16.266667,AT-9,,
-3856315,-5097214,hypsographic,Wolfersberg,Wolfersberg,official,48.216667,16.25,AT-9,,
-3856314,-5097213,settlement,Edensiedlung,Edensiedlung,official,48.216667,16.233333,AT-9,,
-3856313,-5097212,settlement,Jägerwaldsiedlung,Jagerwaldsiedlung,official,48.216667,16.25,AT-9,,
-3856312,-5097211,hypsographic,"Kolbeter Bühel","Kolbeter Buhel",official,48.216667,16.233333,AT-9,,
-3856311,-5097210,spot,Alexander-Grab,Alexander-Grab,official,48.216667,16.216667,AT-9,,
-3856310,-5097209,spot,Laudon-Grab,Laudon-Grab,official,48.216667,16.216667,AT-9,,
