wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
11391497,13423690,spot,"New Rocky Dam","New Rocky Dam",official,-30.13884,138.0298,AU-SA,,
11392526,13424687,spot,"Small Dam","Small Dam",official,-23.266701,133.850006,AU-NT,,
11390263,13422415,spot,"Pannikan Dam","Pannikan Dam",official,-28.464287,134.469574,AU-SA,,
11391895,13424110,spot,"Jubilee Dam","Jubilee Dam",official,-30.51675,122.0476,AU-WA,,
11390308,13422460,spot,"Koolkoona Dam","Koolkoona Dam",official,-29.156445,130.239624,AU-SA,,
11390219,13422370,spot,"Mount Nott Dam","Mount Nott Dam",official,-32.542633,135.826477,AU-SA,,
11390488,13422660,spot,"Hill Paddock Dam","Hill Paddock Dam",official,-31.648001,138.247986,AU-SA,,
11392325,13424487,spot,"Thunderbolt Dam","Thunderbolt Dam",official,-30.2652,151.067902,AU-NSW,,
11391258,13423451,spot,"Paratoo Dam","Paratoo Dam",official,-32.580978,139.513977,AU-SA,,
11390559,13422731,spot,"Hardys Dam","Hardys Dam",official,-30.902668,137.112808,AU-SA,,
11392554,13424715,spot,"Taylors Claypan Dam","Taylors Claypan Dam",official,-25.608856,135.081665,AU-NT,,
11391903,13424118,spot,"Kalpini Dam","Kalpini Dam",official,-30.402309,121.956703,AU-WA,,
11390505,13422677,spot,"New House Dam","New House Dam",official,-32.692429,140.296158,AU-SA,,
11390305,13422457,spot,"Hudson Dam","Hudson Dam",official,-32.482868,135.681564,AU-SA,,
11391317,13423510,spot,"Plain Catch","Plain Catch",official,-32.526291,140.713806,AU-SA,,
11391364,13423557,spot,"Pony Dam","Pony Dam",official,-32.27549,136.065933,AU-SA,,
11389900,13422051,spot,"Native Gap Dam","Native Gap Dam",official,-22.77388,133.409424,AU-NT,,
11389862,13422013,spot,"Hut Dam","Hut Dam",official,-31.154843,146.359713,AU-NSW,,
11389769,13421900,spot,"Momba Dam","Momba Dam",official,-29.961467,144.129909,AU-NSW,,
11391791,13424006,spot,"Martin Dam","Martin Dam",official,-37.070137,143.682922,AU-VIC,,
11390763,13422936,spot,"Parakylia Wendts Dam","Parakylia Wendts Dam",official,-30.5509,136.597534,AU-SA,,
11390734,13422907,spot,"Mount Dam","Mount Dam",official,-29.971081,137.773514,AU-SA,,
11390001,13422152,spot,"Little Dam","Little Dam",official,-22.080572,132.18692,AU-NT,,
11391447,13423640,spot,"Lucknow Dam","Lucknow Dam",official,-31.599171,140.931717,AU-SA,,
11391520,13423733,spot,"Mooleulooloo Dam","Mooleulooloo Dam",official,-31.62714,140.514145,AU-SA,,
11392448,13424609,spot,"Weaner Dam","Weaner Dam",official,-15.194731,129.516907,AU-NT,,
11392375,13424536,hydrographic,"Watsons Tank","Watsons Tank",official,-31.399272,146.431324,AU-NSW,,
11392097,13424312,spot,"Pinwernying Dam","Pinwernying Dam",official,-33.658218,117.522301,AU-WA,,
11392334,13424495,spot,"Tocal Irrigation Dam","Tocal Irrigation Dam",official,-32.631802,151.584595,AU-NSW,,
11389965,13422116,spot,"Jimmys Dam","Jimmys Dam",official,-25.313265,133.410782,AU-NT,,
11390063,13422214,spot,"Number Thirty-three Bore","Number Thirty-three Bore",official,-17.720301,136.855301,AU-NT,,
11391286,13423479,spot,"Mullawapinna Dam","Mullawapinna Dam",official,-27.16905,133.144165,AU-SA,,
11391494,13423687,spot,"Iron Back Catch","Iron Back Catch",official,-33.075748,139.637482,AU-SA,,
11390556,13422728,spot,"Little Dam","Little Dam",official,-33.918362,139.632751,AU-SA,,
11392652,13424813,spot,"Satchell Dam","Satchell Dam",official,-31.52149,140.836975,AU-SA,,
11392528,13424689,spot,"Snake Hole Dam","Snake Hole Dam",official,-23.516701,132.116699,AU-NT,,
11392545,13424706,spot,"Stud Turkey Nest","Stud Turkey Nest",official,-18.7763,134.529999,AU-NT,,
11390587,13422759,spot,"Lower Dam","Lower Dam",official,-32.602924,137.035202,AU-SA,,
11390420,13422592,spot,"Highiet Dam","Highiet Dam",official,-33.074921,139.743423,AU-SA,,
11390436,13422608,spot,"Moores Dam","Moores Dam",official,-33.760719,139.922897,AU-SA,,
11392509,13424670,spot,"Rusty Dam","Rusty Dam",official,-22.65,134.766693,AU-NT,,
11392315,13424477,spot,"The Lea Dam","The Lea Dam",official,-33.462426,145.269324,AU-NSW,,
11391569,13423782,spot,"Pine Dam","Pine Dam",official,-30.42009,138.01535,AU-SA,,
11390132,13422283,spot,"Pats Hole Dam","Pats Hole Dam",official,-23.5333,132.266693,AU-NT,,
11389983,13422134,spot,"Lane Dam","Lane Dam",official,-22.6833,134.883301,AU-NT,,
11390070,13422221,spot,"Number Four Dam","Number Four Dam",official,-21.15,136.133301,AU-NT,,
11390962,13423155,spot,"Iron Peg Dam","Iron Peg Dam",official,-26.647198,139.223846,AU-SA,,
11390827,13423000,spot,"Maurice Dam","Maurice Dam",official,-32.567085,136.274231,AU-SA,,
11391044,13423237,spot,"Mundianna Dam","Mundianna Dam",official,-31.837931,140.704315,AU-SA,,
11391335,13423528,spot,"March Dam","March Dam",official,-31.40641,139.758957,AU-SA,,
11389790,13421921,spot,"Namberley Dam","Namberley Dam",official,-30.8652,149.817902,AU-NSW,,
11392478,13424639,spot,"Yippee Dam","Yippee Dam",official,-22.311928,132.165269,AU-NT,,
11390679,13422852,spot,"Lignum Hole","Lignum Hole",official,-28.303198,135.332718,AU-SA,,
11391476,13423669,spot,"Little Block Seven Dam","Little Block Seven Dam",official,-33.139,139.660095,AU-SA,,
11390790,13422963,spot,"Ocalia Dam","Ocalia Dam",official,-32.619282,139.906631,AU-SA,,
11390207,13422358,spot,"Laundry Dam","Laundry Dam",official,-27.272949,139.127106,AU-SA,,
11390405,13422577,spot,"Hutchison Dam","Hutchison Dam",official,-32.352261,138.264206,AU-SA,,
11390376,13422548,spot,"New Dam","New Dam",official,-32.01767,140.486664,AU-SA,,
11391253,13423446,spot,"Moora Dam","Moora Dam",official,-32.857841,136.542603,AU-SA,,
11391995,13424210,spot,"New Victoria Dam","New Victoria Dam",official,-32.042671,116.067001,AU-WA,,
11391793,13424008,spot,"Merrimu Dam","Merrimu Dam",official,-37.632637,144.493195,AU-VIC,,
11390447,14403347,spot,"Corner Dam","Corner Dam",variant,-33.064629,140.661194,AU-SA,,
11390406,13422578,spot,"New Paradise Dam","New Paradise Dam",official,-33.799252,140.968658,AU-SA,,
11392591,13424752,spot,"Teddington Weir","Teddington Weir",official,-25.649445,152.666107,AU-QLD,,
11391215,14403363,spot,"Coomooloo North Dam","Coomooloo North Dam",variant,-33.776291,140.907227,AU-SA,,
11391971,13424186,spot,"Mundaring Weir","Mundaring Weir",official,-31.956551,116.1651,AU-WA,,
11392001,13424216,spot,"Number One Dam","Number One Dam",official,-30.79318,118.9534,AU-WA,,
11390913,13423086,spot,"House Dam","House Dam",official,-33.079639,140.328339,AU-SA,,
11392624,13424785,spot,"Sisters Catch","Sisters Catch",official,-30.687651,136.698944,AU-SA,,
11389826,13421957,spot,"Picton Weir","Picton Weir",official,-34.265202,150.551193,AU-NSW,,
11391618,13423831,spot,"Mundy Dam","Mundy Dam",official,-26.46777,133.078339,AU-SA,,
11391325,13423518,spot,"Mahomet Dam","Mahomet Dam",official,-30.479771,136.858856,AU-SA,,
11391927,13424142,spot,"Kings Dam","Kings Dam",official,-29.740641,121.114197,AU-WA,,
11390904,13423077,spot,"Phillip Dam","Phillip Dam",official,-33.620338,139.994766,AU-SA,,
11391164,13423357,spot,"Netley Gap West Dam","Netley Gap West Dam",official,-32.7798,140.010376,AU-SA,,
11390538,13422710,spot,"Kingston Dam","Kingston Dam",official,-36.420959,140.446854,AU-SA,,
11390591,13422763,spot,"Ilkina Dam","Ilkina Dam",official,-32.207909,134.894135,AU-SA,,
11391458,13423651,spot,"New Saucepan Dam","New Saucepan Dam",official,-32.30373,140.871704,AU-SA,,
11389829,13421960,spot,"Pindari Dam","Pindari Dam",official,-29.3874,151.245697,AU-NSW,,
11390972,13423165,spot,"North Oraton Dam","North Oraton Dam",official,-32.845379,139.775635,AU-SA,,
11390695,13422868,spot,"Horse Paddock Dam","Horse Paddock Dam",official,-31.71442,138.112045,AU-SA,,
11390119,13422270,spot,"Old Fly Camp Dam","Old Fly Camp Dam",official,-31.73996,137.092575,AU-SA,,
11389780,13421911,spot,"Multagoona Dam","Multagoona Dam",official,-29.539229,145.552911,AU-NSW,,
11391607,13423820,spot,"Number Three Dam","Number Three Dam",official,-32.865681,139.644974,AU-SA,,
11390892,13423065,spot,"House Dam","House Dam",official,-32.460331,137.585876,AU-SA,,
11389833,13421984,spot,"Porters Creek Regulator","Porters Creek Regulator",official,-35.880467,144.970654,AU-NSW,,
11390701,13422874,spot,"Pegline Dam","Pegline Dam",official,-32.508179,140.682983,AU-SA,,
11390520,13422692,spot,"Number One Dam","Number One Dam",official,-31.632071,139.302994,AU-SA,,
11392082,13424297,spot,"Peppertree Dams","Peppertree Dams",official,-30.60037,121.6259,AU-WA,,
11391311,13423504,spot,"Ironstone Auxiliary Dam","Ironstone Auxiliary Dam",official,-31.82575,140.185532,AU-SA,,
11390140,13422291,spot,"Porcupine Dam","Porcupine Dam",official,-25.586273,134.216354,AU-NT,,
11391859,13424074,spot,"Homestead Dams","Homestead Dams",official,-30.99592,121.9067,AU-WA,,
11390858,13423031,spot,"Mulga Dam","Mulga Dam",official,-32.874779,140.896545,AU-SA,,
11392335,13424496,spot,"Tombullen Regulator","Tombullen Regulator",official,-34.650683,146.168003,AU-NSW,,
11391118,13423311,spot,"Middle Dam","Middle Dam",official,-32.78096,137.146759,AU-SA,,
11391444,13423637,spot,"North Plain Dam","North Plain Dam",official,-32.526291,140.713806,AU-SA,,
11391420,13423613,spot,"Pine Dam","Pine Dam",official,-30.749842,140.899109,AU-SA,,
11390856,13423029,spot,"Pilachilpna Dam","Pilachilpna Dam",official,-27.92444,139.439224,AU-SA,,
11389760,13421891,spot,"Merrah Dam","Merrah Dam",official,-30.531799,148.267899,AU-NSW,,
11390926,13423099,spot,"Pinnacles Dam","Pinnacles Dam",official,-30.75482,138.281067,AU-SA,,
11391262,13423455,spot,"Jack Dam","Jack Dam",official,-32.892578,140.734009,AU-SA,,
11391503,13423696,spot,"Old Poompa Dam","Old Poompa Dam",official,-30.170151,137.742752,AU-SA,,
11390456,13422628,spot,"Mallabie Dam","Mallabie Dam",official,-31.47056,130.644562,AU-SA,,
11391775,13423990,spot,"Kirk Dam","Kirk Dam",official,-37.098194,143.682632,AU-VIC,,
11390226,13422377,spot,"Orange Dam","Orange Dam",official,-31.403391,140.957108,AU-SA,,
11392336,13424497,spot,"Tooma Dam","Tooma Dam",official,-36.052644,148.274857,AU-NSW,,
11390045,13422196,spot,"Number Eighteen Dam","Number Eighteen Dam",official,-21.141176,137.821823,AU-NT,,
11391563,13423776,spot,"Nutt Knob Dam","Nutt Knob Dam",official,-32.458775,137.494064,AU-SA,,
11391408,13423601,spot,"Keane Dam","Keane Dam",official,-32.593773,137.228867,AU-SA,,
11391312,13423505,spot,"Lake Constance Dam","Lake Constance Dam",official,-31.663059,139.804077,AU-SA,,
11392550,13424711,spot,"Swanson Dam","Swanson Dam",official,-22.426182,137.981842,AU-NT,,
