wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1307700,19617077,administrative_region,Aruba,Aruba,official,12.5,-69.966667,AW-000,,1
-1710526,-2400739,administrative_region,"Dutch West Indies","Dutch West Indies",variant,12.166667,-69,S1-000,1,
-1307700,19617075,administrative_region,Aruba,Aruba,official,12.5,-69.966667,AW-000,,1
-1710526,-2401166,administrative_region,"Netherlands West Indies","Netherlands West Indies",variant,12.166667,-69,S1-000,1,
-1307700,19617074,administrative_region,"Country of Aruba","Country of Aruba",colloquial,12.5,-69.966667,AW-000,,1
-1710526,-2401164,administrative_region,"Netherlands Antilles","Netherlands Antilles",colloquial,12.166667,-69,S1-000,1,
-1307700,19617078,administrative_region,"Pais Aruba","Pais Aruba",official,12.5,-69.966667,AW-000,,1
-1710526,-2400685,administrative_region,Curaçao,Curacao,variant,12.166667,-69,S1-000,1,
-1307700,19617076,administrative_region,"Land Aruba","Land Aruba",official,12.5,-69.966667,AW-000,,1
-1710526,13822577,administrative_region,"Antia Hulandes","Antia Hulandes",official,12.166667,-69,S1-000,1,
-1307700,-1891647,administrative_region,Aruba,Aruba,colloquial,12.5,-69.966667,AW-000,,1
-1710526,-2401165,administrative_region,"Nederlandse Antillen","Nederlandse Antillen",official,12.166667,-69,S1-000,1,
-1710526,-2401159,administrative_region,"Nederlandsche Antillen","Nederlandsche Antillen",variant,12.166667,-69,S1-000,1,
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1307723,-1891680,settlement,Butucu,Butucu,official,12.472465,-69.914391,AW-000,,
-1307872,-1891868,settlement,Savaneta,Savaneta,official,12.45026,-69.938108,AW-000,,
-1307913,-1891910,hypsographic,Urataka,Urataka,variant,12.510054,-69.967474,AW-000,,
-1307812,-1891785,hypsographic,Matividiri,Matividiri,official,12.541915,-69.966702,AW-000,,
-1307711,-1891663,settlement,Blumond,Blumond,official,12.537989,-69.999241,AW-000,,
-1307744,-1891707,hydrographic,Commandeursbaai,Commandeursbaai,official,12.444312,-69.945966,AW-000,,
-1307777,-1891743,hypsographic,"Gran Tonél","Gran Tonel",official,12.486447,-69.928821,AW-000,,
-1307788,-1891755,settlement,"Jan Flemming","Jan Flemming",official,12.497289,-69.974491,AW-000,,
-1307860,-1891842,settlement,"Rooi Bosal","Rooi Bosal",official,12.491984,-69.978209,AW-000,,
-1307769,-1891733,hydrographic,Fofoti,Fofoti,official,12.5,-70.033333,AW-000,,
-1307874,-1891859,settlement,"Saliña Cerca","Salina Cerca",official,12.579375,-70.037068,AW-000,,
-1307709,-1891704,hypsographic,"Punta Colorado","Punta Colorado",variant,12.415362,-69.867262,AW-000,,
-1307886,-1891875,settlement,Shete,Shete,official,12.511582,-69.949801,AW-000,,
-1307841,-1891819,settlement,Ponton,Ponton,official,12.535548,-70.031678,AW-000,,
-1307872,-1891857,settlement,Sabaneta,Sabaneta,variant,12.45026,-69.938108,AW-000,,
-1307713,-1891667,hydrographic,"Rooi Bosal","Rooi Bosal",official,12.477744,-69.986218,AW-000,,
-1307756,-1891720,settlement,Dacota,Dacota,official,12.515144,-70.021995,AW-000,,
-1307842,-1891821,settlement,"Pos Abao","Pos Abao",official,12.544245,-70.04898,AW-000,,
-1307726,-1891684,settlement,Calbas,Calbas,variant,12.558371,-70.009129,AW-000,,
-1307702,-1891649,settlement,Babijn,Babijn,official,12.543456,-69.993651,AW-000,,
-1307738,-1891698,settlement,Catiri,Catiri,official,12.542626,-70.016621,AW-000,,
-1307854,-1891836,hydrographic,"Tanki Real","Tanki Real",official,12.565231,-70.034421,AW-000,,
-1307710,-1891662,hypsographic,"Ceru Bientu","Ceru Bientu",variant,12.512109,-69.99675,AW-000,,
-1307829,-1891805,settlement,Paradera,Paradera,official,12.535105,-70.006878,AW-000,,
-1307872,-1891869,settlement,Savonet,Savonet,variant,12.45026,-69.938108,AW-000,,
-1307746,-1891709,hydrographic,"Rooi Congo","Rooi Congo",official,12.444187,-69.91444,AW-000,,
-1307741,-1891701,hydrographic,"Rooi Cochi","Rooi Cochi",official,12.446551,-69.93774,AW-000,,
-1307823,-1891798,settlement,Nuñe,Nune,official,12.538893,-70.007963,AW-000,,
