wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2709091,-3764097,settlement,Yalman,Yalman,official,40.573147,47.796612,AZ-GOY,,
-2708976,-3763885,spot,Upa,Upa,variant,40.82922,49.246907,AZ-XIZ,,
-2708876,-3763710,settlement,Tivi,Tivi,official,39.126554,45.893996,AZ-ORD,,
-2708579,538238,settlement,Şotlanlı,Sotlanli,official,40.040957,47.163843,AZ-AGC,,
-2708541,536914,settlement,Şilyan,Silyan,variant,40.735539,47.23383,AZ-YEV,,
-2708267,-3762683,settlement,Sabir,Sabir,official,40.585969,48.706723,AZ-SMI,,
-2707796,-3761848,settlement,Mosul,Mosul,official,41.444757,46.572238,AZ-ZAQ,,
-2707013,-3762277,settlement,Onoba,Onoba,variant,38.971854,48.441131,AZ-YAR,,
-2706428,-3759425,settlement,Izmara,Izmara,official,41.161662,48.841784,AZ-SBN,,
-2705281,-3757384,settlement,Bayan,Bayan,official,41.026058,47.449276,AZ-OGU,,
-2704597,-3756219,settlement,Adur,Adur,official,41.122838,48.300222,AZ-QBA,,
-3769801,10292127,hydrographic,"رودخانه بلغار چای","رودخانه بلغار چای",unknown,39.453621,48.590815,S1-000,,
-3769801,14017101,hydrographic,"Bālhā Rūd","Balha Rud",variant,39.453621,48.590815,S1-000,,
-3769801,-5008298,hydrographic,"Bolghār Chāy","Bolghar Chay",variant,39.453621,48.590815,S1-000,,
-3769801,14017103,hydrographic,"Bolgar Chāi","Bolgar Chai",variant,39.453621,48.590815,S1-000,,
-3769801,14017106,hydrographic,Bolqarçay,Bolqarcay,official,39.453621,48.590815,S1-000,,
-3769801,14017039,hydrographic,"Bolpar Chai","Bolpar Chai",variant,39.453621,48.590815,S1-000,,
-3769801,14017102,hydrographic,Bolgarchay,Bolgarchay,variant,39.453621,48.590815,S1-000,,
-3769801,14017038,hydrographic,"Bolqār Chāy","Bolqar Chay",variant,39.453621,48.590815,S1-000,,
-3769801,6440056,hydrographic,"بُلغار چای","بلغار چای",unknown,39.453621,48.590815,S1-000,,
-3769801,14017107,hydrographic,"بالها رود","بالها رود",unknown,39.453621,48.590815,S1-000,,
-3769801,10292125,hydrographic,"رودخانه بلغار چای","رودخانه بلغار چای",unknown,39.453621,48.590815,S1-000,,
-3769801,14017104,hydrographic,"Rūdkhāneh-ye Bālkhā Rūd","Rudkhaneh-ye Balkha Rud",variant,39.453621,48.590815,S1-000,,
-3769801,14017105,hydrographic,"Adinabāzār Chāi","Adinabazar Chai",variant,39.453621,48.590815,S1-000,,
-3769801,10292124,hydrographic,"Rūdkhāneh-ye Bolghār Chāy","Rudkhaneh-ye Bolghar Chay",official,39.453621,48.590815,S1-000,,
-3769801,10292126,hydrographic,"Rūdkhāneh-ye Bolghār Chāy","Rudkhaneh-ye Bolghar Chay",variant,39.453621,48.590815,S1-000,,
-3769801,14017040,hydrographic,"Bolgaru Chai","Bolgaru Chai",variant,39.453621,48.590815,S1-000,,
-3197213,-4519573,hypsographic,"Reshteh-ye Kūh-e Ţālesh","Reshteh-ye Kuh-e Talesh",variant,37.7,48.8,S1-000,,
-3197213,-4523322,hypsographic,"Kūhhā-ye Ţālesh","Kuhha-ye Talesh",variant,37.7,48.8,S1-000,,
-3197213,6461373,hypsographic,"كوهّای طالِش","كوهای طالش",unknown,37.7,48.8,S1-000,1,
-3197213,-4523323,hypsographic,"Reshteh-e- Tālesh","Reshteh-e- Talesh",variant,37.7,48.8,S1-000,1,
-3197213,6003975,hypsographic,"Kūhhā-ye Ţvālesh","Kuhha-ye Tvalesh",variant,37.7,48.8,S1-000,1,
-3197213,-4523332,hypsographic,"Talish Hills","Talish Hills",variant,37.7,48.8,S1-000,,
-3197213,-4515907,hypsographic,"Bogrov Dāgh","Bogrov Dagh",variant,37.7,48.8,S1-000,,
