wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1972244,-2751599,settlement,Waha,Waha,official,50.209151,5.341744,BE-WAL,,
-1967971,-2745503,administrative_region,Quenast,Quenast,official,50.666667,4.15,BE-WAL,,
-1961646,-2736757,settlement,Kalve,Kalve,official,51.172063,3.879097,BE-VLG,,
-1961116,-2736052,settlement,Hour,Hour,official,50.16131,5.03878,BE-WAL,,
-1960506,-2735186,administrative_region,Herve,Herve,official,50.647288,5.796809,BE-WAL,,
-1956927,-2730276,settlement,Deurle,Deurle,official,51.004111,3.614747,BE-VLG,,
-1956636,-2729818,settlement,"De Hei","De Hei",official,51.066667,4.85,BE-VLG,,
-1966571,-2743587,administrative_region,Omal,Omal,official,50.65,5.2,BE-WAL,,
-1966522,-2743530,settlement,Oha,Oha,official,50.528615,5.187775,BE-WAL,,
-1961267,-2736258,settlement,Hulstjen,Hulstjen,official,51.15,3.75,BE-VLG,,
-1964460,-2740800,settlement,Maerle,Maerle,variant,51.468298,5.038497,BE-VLG,,
-1961844,-2737033,administrative_region,Kemexhe,Kemexhe,official,50.7,5.416667,BE-WAL,,
-1962613,-2738111,settlement,Laar,Laar,official,50.922377,4.553489,BE-VLG,,
-1966572,-2743588,settlement,Omal,Omal,official,50.651797,5.192454,BE-WAL,,
-1963245,-2739024,settlement,"La Vaux","La Vaux",official,50.515391,5.437859,BE-WAL,,
-1962207,-2737555,settlement,Knock,Knock,variant,50.783333,3.266667,BE-VLG,,
-1963244,-2739023,settlement,Lavaux,Lavaux,variant,50.341389,5.922222,BE-WAL,,
-1965113,-2741619,settlement,Mere,Mere,official,50.9,3.866667,BE-VLG,,
-1966339,-2743273,settlement,Nivezé,Niveze,official,50.497242,5.89997,BE-WAL,,
-1964418,-2740676,settlement,Lulhoek,Lulhoek,official,50.933333,3.533333,BE-VLG,,
-1968462,-2746453,settlement,Roo,Roo,variant,51.098712,3.53571,BE-VLG,,
-1964376,-2740614,administrative_region,Loveral,Loveral,official,50.366667,4.466667,BE-WAL,,
-1964818,-2741222,settlement,Maspelt,Maspelt,official,50.224444,6.149722,BE-WAL,,
-1962617,-2738116,settlement,Laar,Laar,official,51.14169,5.511498,BE-VLG,,
-1964419,-2740677,settlement,Lumay,Lumay,official,50.757644,4.885843,BE-WAL,,
-1962610,-2738108,settlement,Laar,Laar,official,50.770673,5.02636,BE-VLG,,
-1963314,-2739130,settlement,"Le Chat","Le Chat",official,50.816667,4.35,BE-BRU,,
-1968090,-2745663,administrative_region,Ransart,Ransart,official,50.466667,4.466667,BE-WAL,,
-1962612,-2738328,settlement,Laere,Laere,variant,50.920226,4.00704,BE-VLG,,
-1963315,-2739133,settlement,"Le Chay","Le Chay",official,49.9,5.716667,BE-WAL,,
-1964152,-2740277,settlement,Liroux,Liroux,official,50.257975,5.037388,BE-WAL,,
-1966573,-2743589,settlement,Ombergen,Ombergen,official,51,3.833333,BE-VLG,,
-1965113,-2741369,settlement,Meere,Meere,variant,50.9,3.866667,BE-VLG,,
-1963616,-2739557,settlement,"Le Rabot","Le Rabot",official,50.45,4.7,BE-WAL,,
-1964997,-2741475,settlement,Meir,Meir,official,51.1,5,BE-VLG,,
-1968461,-2746002,settlement,Rho,Rho,variant,51.065726,3.539201,BE-VLG,,
-1962610,-2738323,settlement,Laer,Laer,variant,50.770673,5.02636,BE-VLG,,
-1973060,-2752735,administrative_region,Xhoris,Xhoris,official,50.45,5.6,BE-WAL,,
-1964997,-2741348,settlement,Meer,Meer,variant,51.1,5,BE-VLG,,
-1966980,-2744124,settlement,Oultre,Oultre,variant,50.841894,3.998702,BE-VLG,,
-1966317,-2743251,settlement,Ninde,Ninde,official,50.991562,4.680478,BE-VLG,,
-1966340,-2743274,settlement,Nivi,Nivi,official,49.75,5.15,BE-WAL,,
-1962616,-2738115,settlement,Laar,Laar,official,51.069616,4.743239,BE-VLG,,
-1973061,-2752736,settlement,Xhoris,Xhoris,official,50.44405,5.601645,BE-WAL,,
-1962616,-2738324,settlement,Laer,Laer,variant,51.069616,4.743239,BE-VLG,,
-1972697,-2752202,settlement,Wevels,Wevels,official,51.018257,4.874182,BE-VLG,,
