wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1725535,-2419400,settlement,Zio,Zio,official,11.916667,-1.7,BF-07,,
-1723008,-2416415,hydrographic,Sélé,Sele,official,11.633333,-1.45,BF-000,,
-1722149,-2415400,settlement,Pèm,Pem,official,14.310579,-0.858639,BF-12,,
-1719871,-2412675,settlement,Kouka,Kouka,official,11.1,-0.5,BF-04,,
-1718699,-2411267,settlement,Ibal,Ibal,official,13.568715,0.521682,BF-12,,
-1716993,-2409248,settlement,Da,Da,official,12.033333,-3.15,BF-01,,
100948,124323,settlement,Zaka,Zaka,official,12.219034,-1.39536,BF-03,,
102504,126188,settlement,Yipala,Yipala,official,12.362301,-1.404141,BF-03,,
10326985,10730013,hypsographic,Finta,Finta,official,14.934774,-0.4498,BF-12,,
-1717783,-2410201,settlement,Douré,Doure,official,12.9,-0.966667,BF-05,,
-1718661,-2411219,settlement,Haba,Haba,official,13.012994,0.779448,BF-08,,
-1719192,-2411873,hydrographic,Kéléworo,Keleworo,official,10,-3.95,BF-000,,
-1724442,-2418111,settlement,Toanta,Toanta,official,9.95,-2.95,BF-13,,
-1723478,-2416965,settlement,Soua,Soua,official,11.15,-3.7,BF-09,,
-1723711,-2417254,settlement,Tampoui,Tampoui,official,12.416667,-2.183333,BF-06,,
-1716320,-2408432,hydrographic,Biniko,Biniko,official,10.566667,-3.85,BF-02,,
-1720057,-2412891,settlement,Kourgano,Kourgano,official,10.766667,-3.2,BF-13,,
-1723110,-2416538,settlement,Sièlé,Siele,official,12.798355,-2.767983,BF-01,,
-1717497,-2409852,settlement,Dinalahi,Dinalahi,official,13.695534,-0.01123,BF-12,,
-1716372,-2408492,settlement,Bissiga,Bissiga,official,12.433333,-0.533333,BF-04,,
-1719381,-2412091,settlement,Kobssé,Kobsse,official,11.916667,-1.6,BF-07,,
-1716603,-2408764,settlement,Bori,Bori,official,11.3,-1.75,BF-06,,
-1723111,-2416539,settlement,Siélogué,Sielogue,official,11.65,-1.25,BF-07,,
-1723657,-2417195,spot,Tambao,Tambao,official,14.8,0.083333,BF-12,,
-1720521,-2413459,settlement,Lonnti,Lonnti,official,13.070307,-1.355534,BF-05,,
-1718283,-2410784,settlement,Godiyr,Godiyr,official,10.516667,-2.966667,BF-13,,
-1717981,-2410438,settlement,Finguila,Finguila,official,11.816667,-0.766667,BF-04,,
-1715662,-2407659,settlement,Badnogo,Badnogo,official,12.966667,-0.5,BF-05,,
-1720627,-2413592,settlement,Malbo,Malbo,official,13.901359,-0.178916,BF-12,,
-1718279,-2410780,settlement,Godin,Godin,official,11.583333,-1.033333,BF-07,,
-1725165,-2418968,settlement,Yaramou,Yaramou,official,10.266667,-5.016667,BF-02,,
-1717471,-2409823,settlement,Diguia,Diguia,official,13.877178,-2.538352,BF-10,,
-1722170,-2415425,settlement,Peno,Peno,official,11.566667,-1.466667,BF-06,,
-1715571,-2407550,settlement,Anékui,Anekui,official,11.816667,-3.683333,BF-01,,
-1718282,-2410783,settlement,Godin,Godin,official,11.966667,-1.283333,BF-07,,
-1718663,-2411221,settlement,Habri,Habri,official,10.866667,-3.05,BF-13,,
-1718415,-2410937,spot,Gossèy,Gossey,official,14.452204,0.144811,BF-12,,
-1721150,-2414201,settlement,Namassa,Namassa,official,11.816667,-1.566667,BF-07,,
-1717678,-2410078,settlement,Doolo,Doolo,official,12.533333,-2.583333,BF-06,,
-1722477,-2415783,hydrographic,Pouza,Pouza,official,11.816667,-3.6,BF-000,,
-1717499,-2409854,settlement,Dinaoro,Dinaoro,official,10.733333,-5.233333,BF-02,,
-1719738,-2412519,settlement,Kosoro,Kosoro,official,14.024577,-2.358168,BF-10,,
-1716347,-2408462,settlement,Birkinao,Birkinao,official,10.65,-3.3,BF-13,,
-1721242,-2414307,settlement,Napin,Napin,variant,12.866667,-2.266667,BF-10,,
-1722966,10533816,settlement,Say,Say,official,13.302797,-2.241339,BF-10,,
-1718284,-2410785,settlement,Godo,Godo,official,12.016667,-2.566667,BF-06,,
-1719145,-2411810,settlement,Kataga,Kataga,official,11.666667,-1.266667,BF-07,,
-1717682,-2410082,settlement,Dora,Dora,official,11.666667,-3.466667,BF-09,,
-1717980,-2410437,settlement,Finfinra,Finfinra,official,12.6,-0.916667,BF-05,,
-1721430,-2414535,settlement,Niaradou,Niaradou,official,13.280032,-0.151165,BF-08,,
-1719989,-2412811,spot,Koumègo,Koumego,official,14.352321,0.047965,BF-12,,
-1717587,-2409965,settlement,Diyara,Diyara,official,12.233333,0.433333,BF-08,,
-1724529,-2418215,settlement,Tonéi,Tonei,official,12.433333,-3,BF-01,,
-1720556,-2413500,hydrographic,Lougou,Lougou,official,10.716667,-5.383333,BF-02,,
-1718277,-2410778,hydrographic,Godi,Godi,official,11.283333,-1,BF-07,,
-1722086,-2415326,settlement,Papala,Papala,official,12.05819,1.929499,BF-08,,
-1716842,-2409046,settlement,Boun,Boun,official,12.483333,-2.8,BF-01,,
-1722724,-2416071,settlement,Sala,Sala,official,11.360451,-4.102745,BF-09,,
-1723983,-2417561,settlement,Taon,Taon,official,12.802833,-1.913051,BF-11,,
-1721836,-2415037,settlement,Ouidi,Ouidi,official,12.081566,-1.581797,BF-07,,
-1722787,-2416153,settlement,Samou,Samou,official,13.030437,0.166243,BF-08,,
-1720782,-2413779,settlement,Mèntaô,Mentao,official,13.954053,-1.674079,BF-12,,
-1718829,-2411436,settlement,Kabo,Kabo,official,12.816667,-2.25,BF-10,,
-1718884,-2411500,hydrographic,Kalaté,Kalate,official,11.916667,-1.766667,BF-000,,
-1720626,-2413591,settlement,Malba,Malba,official,10.466667,-2.983333,BF-13,,
-1719146,-2411811,settlement,Katana,Katana,official,11.831889,-5.160232,BF-09,,
-1718828,-2411435,settlement,Kabinou,Kabinou,official,12.183333,-2.283333,BF-06,,
-1720371,-2413284,spot,Lélétan,Leletan,official,14.880919,0.222679,BF-12,,
-1722244,-2415516,settlement,Piédogo,Piedogo,official,11.95,-1.4,BF-07,,
-1723685,-2417226,settlement,Tamidou,Tamidou,official,12.216667,-0.6,BF-11,,
-1717443,-2409787,settlement,Diémi,Diemi,official,9.916667,-3.016667,BF-13,,
-1723684,-2417225,settlement,Tamidou,Tamidou,official,12.083333,-0.416667,BF-000,,
-1716844,-2409048,settlement,Bouna,Bouna,official,12.65,-3.133333,BF-01,,
-1716371,-2408491,settlement,Bissiga,Bissiga,official,12.283333,-0.783333,BF-11,,
-1724660,-2418358,hydrographic,Toumpo,Toumpo,official,9.933333,-3.2,BF-000,,
-1720580,-2413527,settlement,Loungo,Loungo,official,12.866667,-2.433333,BF-10,,
-1723686,-2417227,settlement,Tamiga,Tamiga,official,12.92108,-1.886196,BF-10,,
-1722188,-2415454,settlement,Périvé,Perive,official,12.1921,-4.5286,BF-01,,
-1725410,-2419255,settlement,Zanré,Zanre,official,12.066667,-0.05,BF-08,,
-1719235,-2411921,settlement,Kiébo,Kiebo,official,12.133333,-2.55,BF-06,,
-1719616,-2412379,hydrographic,Kongo,Kongo,official,10.183333,-4.6,BF-02,,
-1717806,-2410229,settlement,Doyama,Doyama,official,12.65,-0.066667,BF-08,,
-1716469,-2408601,hydrographic,Boin,Boin,official,12.4,-3.05,BF-000,,
-1719478,-2412209,settlement,Koléga,Kolega,official,13.548884,-0.937265,BF-05,,
-1721510,-2414639,settlement,Niongou,Niongou,official,11.75,-1.2,BF-07,,
-1719739,-2412520,settlement,Kossala,Kossala,official,11.95,-1.266667,BF-07,,
-1716465,-2408597,settlement,Bohui,Bohui,official,13.00749,-3.960814,BF-01,,
-1722323,-2415603,settlement,Pô,Po,official,12.3,-2.616667,BF-06,,
-1718285,-2410786,settlement,Godo,Godo,official,12.616149,-1.986037,BF-06,,
-1725545,-2419410,settlement,Zoaga,Zoaga,official,11.038056,-0.590278,BF-04,,
-1716369,-2408489,settlement,Bissiga,Bissiga,official,12.039005,-1.468974,BF-07,,
-1725298,-2419119,settlement,Yoména,Yomena,official,9.966667,-3.15,BF-13,,
-1716972,-2409215,settlement,Bwoni,Bwoni,official,13.753037,0.107841,BF-12,,
-1720661,-2413635,settlement,Mandesso,Mandesso,official,10.9,-3.85,BF-09,,
-1720552,-2413496,hypsographic,Louga,Louga,official,14.312142,-1.22028,BF-12,,
-1718885,-2411501,settlement,Kaldéra,Kaldera,official,10.266667,-3.3,BF-13,,
-1718831,-2411438,settlement,Kabolé,Kabole,official,11.933333,-2.616667,BF-06,,
-1718833,-2411440,settlement,Kabora,Kabora,official,10.4,-5.15,BF-02,,
-1721483,-2414611,settlement,Ningaré,Ningare,official,11.683333,-0.35,BF-04,,
-1716370,-2408490,settlement,Bissiga,Bissiga,official,12.069861,-1.299788,BF-07,,
-1720374,-2413287,hydrographic,Léli,Leli,official,13.974466,-0.343706,BF-12,,
-1720579,-2413526,spot,Loungo,Loungo,official,13.228478,-1.475696,BF-05,,
-1724528,-2418212,settlement,Toné,Tone,official,11.37483,-2.782679,BF-01,,
-1722478,-2415784,settlement,Povéra,Povera,official,10.2,-3.233333,BF-13,,
-1721511,-2414640,settlement,Niongou,Niongou,official,11.883333,-1.2,BF-07,,
-1722062,-2415297,settlement,Panien,Panien,official,13.106016,-2.730543,BF-01,,
-1719873,-2412677,settlement,Kouka,Kouka,official,13.434498,-1.613609,BF-05,,
-1725543,-2419408,settlement,Zizi,Zizi,official,12.966667,-2.933333,BF-01,,
