wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
13873026,17748868,hypsographic,"Dolna Chuka","Dolna Chuka",official,41.668256,26.012067,BG-26,,
-3431455,541503,administrative_region,Ruse,Ruse,variant,43.65,26.6,BG-17,,
-3431455,-4869190,administrative_region,"Razgradska Oblast","Razgradska Oblast",variant,43.65,26.6,BG-17,,
-3431455,-4869191,administrative_region,"Razgradski Okrŭg","Razgradski Okrug",variant,43.65,26.6,BG-17,,
-3431455,9091137,administrative_region,"Oblast Razgrad","Oblast Razgrad",official,43.65,26.6,BG-17,,
-3431455,-4869192,administrative_region,"Rusenska Oblast","Rusenska Oblast",variant,43.65,26.6,BG-17,,
-3431455,14076186,administrative_region,Razgrad,Razgrad,official,43.65,26.6,BG-17,,
-3431455,541505,administrative_region,Rusenska,Rusenska,variant,43.65,26.6,BG-17,,
-3431455,17136966,administrative_region,"Област Разград","Област Разград",unknown,43.65,26.6,BG-17,,
-3431455,17136967,administrative_region,Разград,Разград,unknown,43.65,26.6,BG-17,,
-3431449,17136779,administrative_region,"Област Монтана","Област Монтана",unknown,43.5,23.183333,BG-12,,
-3431449,-4869166,administrative_region,"Mikhaylovgradska Oblast","Mikhaylovgradska Oblast",variant,43.5,23.183333,BG-12,,
-3431449,17136780,administrative_region,Монтана,Монтана,unknown,43.5,23.183333,BG-12,,
-3431449,14076185,administrative_region,Montana,Montana,official,43.5,23.183333,BG-12,,
-3431449,-4869167,administrative_region,"Mikhaylovgradski Okrŭg","Mikhaylovgradski Okrug",variant,43.5,23.183333,BG-12,,
-3431449,-4869168,administrative_region,"Oblast Montana","Oblast Montana",official,43.5,23.183333,BG-12,,
-1158668,-1708523,spot,"Most na Druzhbata","Most na Druzhbata",variant,43.886681,26.008439,S1-000,,
-1158274,-1707956,park,Dobruja,Dobruja,official,44,28,S1-000,,
-1158274,-1707911,park,Dobritch,Dobritch,variant,44,28,S1-000,,
-1158274,-1707954,park,Dobrudscha,Dobrudscha,variant,44,28,S1-000,,
-1158668,18203768,spot,"Дунав Мост","Дунав Мост",unknown,43.886681,26.008439,S1-000,,
-1158668,18203731,spot,"Dunav Most","Dunav Most",official,43.886681,26.008439,S1-000,,
-1158274,-1707914,park,Dobrogea,Dobrogea,variant,44,28,S1-000,,
-1158668,18203732,spot,"Ruse Giurgiu Bridge","Ruse Giurgiu Bridge",variant,43.886681,26.008439,S1-000,,
-1158274,-1707953,park,Dobrudja,Dobrudja,variant,44,28,S1-000,,
-1158274,-1707955,park,Dobrudzha,Dobrudzha,variant,44,28,S1-000,,
-1154606,-1714272,hydrographic,"Reka Kanagel Dere","Reka Kanagel Dere",variant,44.05,27.4,S1-000,,
-1154606,-1702470,hydrographic,Canara,Canara,variant,44.05,27.4,S1-000,,
-1154606,-1702466,hydrographic,Canaghiul,Canaghiul,variant,44.05,27.4,S1-000,,
-1154608,-1713683,hydrographic,Ishikli,Ishikli,variant,44.133333,27.6,S1-000,,
-1154606,-1702464,hydrographic,Canaghiol,Canaghiol,official,44.05,27.4,S1-000,,
-1154606,-1714274,hydrographic,Kanago,Kanago,variant,44.05,27.4,S1-000,,
-1154608,-1702468,hydrographic,"Cananaua Fetii","Cananaua Fetii",variant,44.133333,27.6,S1-000,,
-1154606,-1714338,hydrographic,"Reka Keonagol","Reka Keonagol",variant,44.05,27.4,S1-000,,
