wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3092884,15503473,hypsographic,"Shibh al Jazīrah al ‘Arabīyah","Shibh al Jazirah al `Arabiyah",official,25,45,S1-000,,
-3092883,-4363787,park,"Bilād al ‘Arab","Bilad al `Arab",official,25,45,S1-000,,
-3092884,11181255,hypsographic,"جزيرة العرب","جزيرة العرب",unknown,25,45,S1-000,,
-3092883,15503254,park,"بلاد العرب","بلاد العرب",unknown,25,45,S1-000,,
-3092883,-4368270,park,"Jazīrat al ‘Arab","Jazirat al `Arab",variant,25,45,S1-000,,
-3092883,-4361700,park,Arabia,Arabia,colloquial,25,45,S1-000,,
-3092884,15503472,hypsographic,"Jazīrat al ‘Arab","Jazirat al `Arab",variant,25,45,S1-000,,
-3092884,15503474,hypsographic,"شبه الجزيرة العربية","شبه الجزيرة العربية",unknown,25,45,S1-000,,
-3092884,-4361702,hypsographic,"Arabian Peninsula","Arabian Peninsula",colloquial,25,45,S1-000,,
-785082,-1130006,spot,Swaifera,Swaifera,variant,26.116667,50.55,BH-14,,
-785550,18586242,hydrographic,"Khalīj Salwá","Khalij Salwa",variant,25.346667,50.644444,S1-000,,
-785550,-1131147,hydrographic,"Dawḩat Salwah","Dawhat Salwah",variant,25.346667,50.644444,S1-000,,
-785550,-1131149,hydrographic,"Salwa Sea","Salwa Sea",variant,25.346667,50.644444,S1-000,,
-785550,6486009,hydrographic,"دَوْحَة سَلْوَى","دوحة سلوى",unknown,25.346667,50.644444,S1-000,,
-785550,-1131145,hydrographic,"Dawḩat Salwá","Dawhat Salwa",official,25.346667,50.644444,S1-000,,
-785550,-1131148,hydrographic,"Dawḩat as Salwah","Dawhat as Salwah",variant,25.346667,50.644444,S1-000,,
-785550,-1131144,hydrographic,"Dawḩat as Salwá","Dawhat as Salwa",official,25.346667,50.644444,S1-000,,
-784986,-1129586,administrative_region,"Isa Town","Isa Town",variant,26.166667,50.55,BH-000,1,
-785044,-1129922,park,Şakharāh,Sakharah,variant,26.086667,50.5025,BH-17,,
-785550,-1131146,hydrographic,"Dohat as Salwa","Dohat as Salwa",variant,25.346667,50.644444,S1-000,,
-785550,18586244,hydrographic,"خليج سلوى","خليج سلوى",unknown,25.346667,50.644444,S1-000,,
-784987,223146,settlement,Isa,Isa,variant,26.173611,50.547778,BH-14,,
-785044,-1129921,park,Sakhara,Sakhara,variant,26.086667,50.5025,BH-17,,
-785083,6487480,settlement,طَشَّان,طشان,unknown,26.211389,50.546111,BH-13,,
-785550,-1131143,hydrographic,"Baḩr as Salwá","Bahr as Salwa",variant,25.346667,50.644444,S1-000,,
-785063,-1129956,settlement,Shahrakkān,Shahrakkan,official,26.075278,50.501389,BH-17,,
-784786,-1129219,hydrographic,‘Adālah,`Adalah,variant,26.565556,50.507222,BH-000,,
-784853,6487702,hypsographic,اَلنُّعَيْجَات,النعيجات,unknown,26.233333,50.433333,BH-000,,
-784918,-1129526,hydrographic,"Ain el Hakim","Ain el Hakim",variant,26.178333,50.573889,BH-000,,
-784922,-1129536,settlement,"Ḩālat al Khulayfāt","Halat al Khulayfat",official,26.25,50.633333,BH-15,,
-784827,-1129693,settlement,Khārijīyah,Kharijiyah,variant,26.163611,50.604722,BH-13,,
-785073,-1129977,hypsographic,Sitra,Sitra,variant,26.156667,50.621389,BH-13,,
-784795,-1129217,spot,‘Adā’im,`Ada'im,variant,25.99,50.481667,BH-14,,
-784869,-1129251,settlement,"Al ‘Askar","Al `Askar",variant,26.057222,50.616389,BH-14,,
-784904,-1129473,hydrographic,"Bandar ad Dār","Bandar ad Dar",official,26.135556,50.635,BH-000,,
-784976,-1129689,settlement,Kawrah,Kawrah,official,26.183333,50.566667,BH-13,,
-785053,6487510,settlement,سَمَاهِيج,سماهيج,unknown,26.28,50.635,BH-15,,
-784916,6487641,administrative_region,"اَلْمِنْطَقَة اَلْغَرْبِيَّة","المنطقة الغربية",unknown,26.116667,50.483333,BH-000,1,
-784901,6487656,hypsographic,"جُزُر بُو سَدَاد","جزر بو سداد",unknown,25.623999,50.782489,BH-14,,
-784847,-1129745,spot,"Manāmah Fort","Manamah Fort",variant,26.216667,50.583333,BH-13,,
-784889,6487668,park,بَرْبُورَة,بربورة,unknown,26.133333,50.583333,BH-14,,
-785066,-1129965,hypsographic,"Jazīrat ash Shaykh","Jazirat ash Shaykh",official,26.05,50.632222,BH-000,,
-784892,6487665,settlement,"بِلاَد اَلْقَدِيم","بلاد القديم",unknown,26.211667,50.561944,BH-13,,
-784922,-1129543,settlement,Halat-at-Khulaifat,Halat-at-Khulaifat,variant,26.25,50.633333,BH-15,,
-784820,57135,settlement,"Jabalat al Burhāmah","Jabalat al Burhamah",official,26.223056,50.549722,BH-13,,
-784847,-1129840,spot,Qal’at-ad-Dīwān,Qal'at-ad-Diwan,variant,26.216667,50.583333,BH-13,,
-785085,-1130011,settlement,Tūblī,Tubli,official,26.186944,50.549444,BH-13,,
-784914,-1129496,settlement,Dumistān,Dumistan,official,26.126389,50.481111,BH-17,,
-785092,-1130017,settlement,"Um el Shajar","Um el Shajar",variant,26.228333,50.655833,BH-15,,
-784918,-1129550,hydrographic,"Ain al Halkim","Ain al Halkim",variant,26.178333,50.573889,BH-000,,
-785006,6487553,hydrographic,"بَنْدَر نَخْلَة","بندر نخلة",unknown,25.633333,50.763333,BH-000,,
-785043,6487520,settlement,صَافِرَة,صافرة,unknown,26.105,50.538611,BH-14,,
-784774,-1129194,hydrographic,"‘Ayn ‘Abd Allāh","`Ayn `Abd Allah",official,26.155278,50.585833,BH-13,,
-784822,-1129639,settlement,Jesera,Jesera,variant,26.162222,50.449167,BH-17,,
-784886,-1129419,spot,"Maţār al Baḩrayn ad Dawlī","Matar al Bahrayn ad Dawli",variant,26.269323,50.632813,BH-15,,
-784980,6487578,hydrographic,"رَأْس خُصَيْفَة","رأس خصيفة",unknown,26.329167,50.570833,BH-000,,
-784847,-1129741,spot,"Manama Fort","Manama Fort",variant,26.216667,50.583333,BH-13,,
-784990,-1129762,hydrographic,"Matallah Bay","Matallah Bay",variant,25.901111,50.518056,BH-000,,
-784928,-1129555,spot,"Hamalah Camp","Hamalah Camp",official,26.15,50.483333,BH-17,,
-785041,-1129906,hydrographic,"Bandar Şadad","Bandar Sadad",official,26.083333,50.466667,BH-000,,
-784884,6487673,hypsographic,"حَدّ اَلْبَحْرَيْن","حد البحرين",unknown,25.797778,50.566667,BH-14,,
-784951,6487607,hydrographic,"بَنْدَر اَلْجَسْرَة","بندر الجسرة",unknown,26.15,50.433333,BH-000,,
-784924,-1129538,settlement,"Hālat al-Salaṭa","Halat al-Salata",variant,26.242778,50.638611,BH-15,,
-785046,-1129930,spot,Salbah,Salbah,official,26.116667,50.616667,BH-14,,
-785028,6487535,hypsographic,"رَبَض اَلْغَرْبِيَّة","ربض الغربية",unknown,25.751944,50.766111,BH-14,,
-785058,6487505,settlement,سَار,سار,unknown,26.194167,50.481944,BH-17,,
-784913,6487644,hypsographic,"جَبَل اَلدُّخَان","جبل الدخان",unknown,26.038889,50.545,BH-14,,
