wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
6034032,6079184,administrative_region,Usumbura,Usumbura,variant,-3.333333,29.256944,BI-000,1,
6034032,6079189,administrative_region,"Province de Bujumbura","Province de Bujumbura",official,-3.333333,29.256944,BI-000,1,
6034032,6038661,administrative_region,"iProvense ya Bujumbura","iProvense ya Bujumbura",official,-3.333333,29.256944,BI-000,1,
6066308,6072886,settlement,Gasaba,Gasaba,official,-4.3713,29.6778,BI-MA,,
11080410,12338211,settlement,Rango,Rango,official,-2.8139,30.3591,BI-MY,,
-3432461,-4870772,hydrographic,"Lac Rweru","Lac Rweru",official,-2.3589,30.324,S1-000,,
-3432461,-4870735,hydrographic,"Lac Rugwero","Lac Rugwero",variant,-2.3589,30.324,S1-000,,
-3432461,-4870736,hydrographic,Rweru,Rweru,variant,-2.3589,30.324,S1-000,,
-3432450,-4870750,hydrographic,"Lac Shoho","Lac Shoho",variant,-2.429444,30.102222,S1-000,,
-3432450,-4870753,hydrographic,"Lac Tshohoha","Lac Tshohoha",variant,-2.429444,30.102222,S1-000,,
-3432450,-4870754,hydrographic,"Lac Tshohoha-Sud","Lac Tshohoha-Sud",variant,-2.429444,30.102222,S1-000,,
-3432450,-4870701,hydrographic,Cohoha,Cohoha,variant,-2.429444,30.102222,S1-000,,
-3432450,-4870766,hydrographic,"Lac Cohoha Sud","Lac Cohoha Sud",official,-2.429444,30.102222,S1-000,,
-3432450,-4870700,hydrographic,"Lac Cyohoha Sud","Lac Cyohoha Sud",official,-2.429444,30.102222,S1-000,,
-2573125,-3541282,hydrographic,Ruvubu,Ruvubu,official,-2.388611,30.781111,S1-000,,
-2574086,-3541767,hydrographic,Shizanie,Shizanie,variant,-2.654,30.5274,S1-000,,
-2574086,-3541768,hydrographic,Shizanye,Shizanye,variant,-2.654,30.5274,S1-000,,
-2574086,-3542467,hydrographic,Cizanye,Cizanye,official,-2.654,30.5274,S1-000,,
-2574086,-3542466,hydrographic,Tshizanye,Tshizanye,official,-2.654,30.5274,S1-000,,
-2574086,-3527848,hydrographic,"Chizanye River","Chizanye River",variant,-2.654,30.5274,S1-000,,
-2573125,-3541281,hydrographic,Ruvuvu,Ruvuvu,official,-2.388611,30.781111,S1-000,,
-2574086,-3528514,hydrographic,Ghizanye,Ghizanye,variant,-2.654,30.5274,S1-000,,
-2572315,-3540254,hydrographic,Nyamuyumbu,Nyamuyumbu,official,-3.233333,30.883333,S1-000,,
-2571040,-3538680,hydrographic,Mwerusi,Mwerusi,variant,-3.205,31.167778,S1-000,,
-2571040,-3538708,hydrographic,Mwiruzi,Mwiruzi,variant,-3.205,31.167778,S1-000,,
-2572315,-3540041,hydrographic,Nyabuyombu,Nyabuyombu,variant,-3.233333,30.883333,S1-000,,
-2571040,-3538681,hydrographic,Mweruzi,Mweruzi,official,-3.205,31.167778,S1-000,,
-2572315,-3540255,hydrographic,Nyabuyumbu,Nyabuyumbu,official,-3.233333,30.883333,S1-000,,
-2571040,-3540348,hydrographic,Nyanzali,Nyanzali,variant,-3.205,31.167778,S1-000,,
