wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1336944,-1929314,hydrographic,Ya,Ya,official,10.033333,3.233333,BJ-000,,
-1334811,-1926709,hydrographic,Kpité,Kpite,official,7.6,1.75,BJ-000,,
-1333580,-1925264,hydrographic,Gao,Gao,official,10.676053,3.809663,BJ-AL,,
-2079785,-2875926,park,"Guinea Settentrionale","Guinea Settentrionale",variant,7,-4,S1-000,,
-2079785,-2881376,park,"Northern Guinea","Northern Guinea",variant,7,-4,S1-000,,
-2079785,-2885862,park,"Upper Guinea","Upper Guinea",official,7,-4,S1-000,,
-2079785,-2875925,park,"Guinea del Norte","Guinea del Norte",variant,7,-4,S1-000,,
-2079785,14102529,park,Haute-Guinée,Haute-Guinee,variant,7,-4,S1-000,,
-2079785,-2882066,park,Oberguinea,Oberguinea,variant,7,-4,S1-000,,
-2031737,-2822387,hydrographic,Yéoua,Yeoua,variant,6.433721,2.849016,S1-000,,
-2031737,-2822419,hydrographic,Yéwa,Yewa,official,6.433721,2.849016,S1-000,,
-2031737,-2822418,hydrographic,"River Yewa","River Yewa",official,6.433721,2.849016,S1-000,,
-2030661,-2816682,hydrographic,Shodu,Shodu,variant,11.134586,3.753415,S1-000,,
-2030661,-2789637,hydrographic,Chodou,Chodou,variant,11.134586,3.753415,S1-000,,
-2030661,-1927619,hydrographic,Ouora,Ouora,variant,11.134586,3.753415,S1-000,,
-2030661,-2821204,hydrographic,Ouara,Ouara,official,11.134586,3.753415,S1-000,,
-2030661,-2821203,hydrographic,Wara,Wara,official,11.134586,3.753415,S1-000,,
-2030661,-2789638,hydrographic,Chodu,Chodu,variant,11.134586,3.753415,S1-000,,
-2030661,-2813957,hydrographic,"River Ouora","River Ouora",variant,11.134586,3.753415,S1-000,,
-2024286,-2813799,settlement,Osubi,Osubi,short,7.134646,2.767346,BJ-PL,,
-2022826,-2812133,hydrographic,"Okpara Rivière","Okpara Riviere",variant,7.75,2.483333,S1-000,,
-2022826,-2812125,hydrographic,"River Okpara",RiverOkpara,official,7.75,2.483333,S1-000,,
-2022826,-2812126,hydrographic,Okpara,Okpara,official,7.75,2.483333,S1-000,,
-2023101,-2812475,hydrographic,Oli,Oli,official,9.77351983,4.63035202,S1-000,,
-2023101,-2813865,hydrographic,"Oti Riviere","Oti Riviere",variant,9.77351983,4.63035202,S1-000,,
-2023101,-2812474,hydrographic,"River Oli","River Oli",official,9.77351983,4.63035202,S1-000,,
-2023101,-2812948,hydrographic,Oly,Oly,variant,9.77351983,4.63035202,S1-000,,
-2020889,-2805435,hydrographic,Kworra,Kworra,variant,5.301564,6.416801,S1-000,,
-2020889,-2791009,hydrographic,"Dioliba Fleuve","Dioliba Fleuve",variant,5.301564,6.416801,S1-000,,
-2020889,-2801542,hydrographic,Joliba,Joliba,variant,5.301564,6.416801,S1-000,,
-2020889,-2791048,hydrographic,Djoliba,Djoliba,variant,5.301564,6.416801,S1-000,,
-2021082,19757283,hydrographic,"River Nanu","River Nanu",variant,9.907632,3.94035,S1-000,,
-2020889,-2809831,hydrographic,"River Niger","River Niger",official,5.301564,6.416801,S1-000,,
-2020889,-1924821,hydrographic,Dioliba,Dioliba,variant,5.301564,6.416801,S1-000,,
-2021082,-2810070,hydrographic,"River Nono","River Nono",variant,9.907632,3.94035,S1-000,,
-2020889,-2809834,hydrographic,Niger,Niger,official,5.301564,6.416801,S1-000,,
-2021082,19758118,hydrographic,"Nono River","Nono River",official,9.907632,3.94035,S1-000,,
-2020889,-2817817,hydrographic,Timbiko,Timbiko,variant,5.301564,6.416801,S1-000,,
-2012644,-2800154,hydrographic,"Essi River","Essi River",variant,10.05496,3.71986,S1-000,,
-2012644,19757405,hydrographic,"River Essi","River Essi",official,10.05496,3.71986,S1-000,,
-2012644,19768861,hydrographic,"River Esi","River Esi",variant,10.05496,3.71986,S1-000,,
-2010708,19385724,hydrographic,"River Ibu","River Ibu",variant,7.034933,2.907989,S1-000,,
-2010708,19385723,hydrographic,Idi,Idi,official,7.034933,2.907989,S1-000,,
-2010708,-2797793,hydrographic,"River Idi","River Idi",official,7.034933,2.907989,S1-000,,
-1998329,-2783083,hydrographic,Adjaran,Adjaran,official,6.460104,2.714092,S1-000,,
-1998329,-1923455,hydrographic,Ajarra,Ajarra,variant,6.460104,2.714092,S1-000,,
-1998329,-2782015,hydrographic,Adjira,Adjira,variant,6.460104,2.714092,S1-000,,
-1998329,-2783085,hydrographic,"Ajarra River","Ajarra River",variant,6.460104,2.714092,S1-000,,
-1998329,-2783082,hydrographic,Ajara,Ajara,variant,6.460104,2.714092,S1-000,,
-1998329,19380427,hydrographic,"River Ajara","River Ajara",official,6.460104,2.714092,S1-000,,
-1722157,-2412852,hydrographic,"Kounné Rivière","Kounne Riviere",variant,10.906213,0.839862,S1-000,,
-1722157,-2415555,hydrographic,Pins’héri,Pins'heri,variant,10.906213,0.839862,S1-000,,
-1722157,-2415424,hydrographic,Penjari,Penjari,variant,10.906213,0.839862,S1-000,,
-1722157,-2415410,hydrographic,Pendjari,Pendjari,official,10.906213,0.839862,S1-000,,
-1715605,-2407589,hypsographic,"Chaîne de l’Atacora","Chaine de l'Atacora",variant,10.75,1.5,S1-000,,
-1715605,-2407591,hypsographic,"Chaine de l’Atakopa","Chaine de l'Atakopa",variant,10.75,1.5,S1-000,,
-1715605,-2407597,hypsographic,Attacora,Attacora,variant,10.75,1.5,S1-000,,
-1715605,-2413233,hypsographic,"Chaîne de Latakora","Chaine de Latakora",variant,10.75,1.5,S1-000,,
-1715605,-2407592,hypsographic,"Chaîne de l’ Atakora",Chainedel'Atakora,official,10.75,1.5,S1-000,,
-1715605,-2407596,hypsographic,"Atakora Mountains","Atakora Mountains",variant,10.75,1.5,S1-000,,
