wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1203829,-1769333,hypsographic,"Îlot Toc Vers","Ilot Toc Vers",variant,17.942953,-62.818257,BL-000,,
-1203829,-1769334,hypsographic,"Toc Verte","Toc Verte",variant,17.942953,-62.818257,BL-000,,
-1203832,-1769337,hypsographic,"Pointe à Toigny","Pointe a Toigny",variant,17.894982,-62.792915,BL-000,,
-1203832,-1769338,hypsographic,"Pointe Toiny","Pointe Toiny",variant,17.894982,-62.792915,BL-000,,
-1203805,-1769289,hydrographic,"Canal du Sud-Est","Canal du Sud-Est",official,17.9,-62.85,BL-000,,
-1203808,-1769299,hypsographic,"Rocher Table","Rocher Table",variant,17.97352,-62.926017,BL-000,,
-1203802,-1769285,hydrographic,"Canal du Sud","Canal du Sud",official,17.9,-62.866667,BL-000,,
-1203805,-1769276,hydrographic,"Southeast Channel","Southeast Channel",variant,17.9,-62.85,BL-000,,
-1203808,18913404,hypsographic,"Roche Plate","Roche Plate",official,17.97352,-62.926017,BL-000,,
-1203830,-1769335,settlement,Toigny,Toigny,variant,17.897437,-62.799651,BL-000,,
-1203808,-1769297,hypsographic,Table,Table,variant,17.97352,-62.926017,BL-000,,
-1203808,-1769298,hypsographic,"Roche Table","Roche Table",variant,17.97352,-62.926017,BL-000,,
-1203831,-1768054,hydrographic,"Grand Fond","Grand Fond",variant,17.895572,-62.797146,BL-000,,
-1203831,-1769336,hydrographic,"Anse à Toigny","Anse a Toigny",variant,17.895572,-62.797146,BL-000,,
-1203802,-1769275,hydrographic,"South Channel","South Channel",variant,17.9,-62.866667,BL-000,,
-1203830,18913391,settlement,Toiny,Toiny,official,17.897437,-62.799651,BL-000,,
-1203829,-1769332,hypsographic,"Île Toc Vers","Ile Toc Vers",official,17.942953,-62.818257,BL-000,,
-1203832,-1769339,hypsographic,"Pointe à Toiny","Pointe a Toiny",official,17.894982,-62.792915,BL-000,,
-1203900,18913389,hypsographic,"Morne de Vitet","Morne de Vitet",official,17.898668,-62.806654,BL-000,,
-1203831,18913392,hydrographic,"Anse Toiny","Anse Toiny",official,17.895572,-62.797146,BL-000,,
-1203900,-1769434,hypsographic,"Morne du Vitet","Morne du Vitet",variant,17.898668,-62.806654,BL-000,,
-1203830,-1768990,settlement,"Quartier de Toiny","Quartier de Toiny",variant,17.897437,-62.799651,BL-000,,
-1203808,18913403,hypsographic,"Table à Diable","Table a Diable",variant,17.97352,-62.926017,BL-000,,
-1203233,-1767220,hypsographic,"Antilles Menores","Antilles Menores",variant,14.666667,-61.016667,S1-000,,
-1203440,-1768758,hydrographic,"Canal de l’Ouest","Canal de l'Ouest",official,17.9,-62.866667,BL-000,,
-1203468,-1768702,hypsographic,"Îlot Navire","Ilot Navire",variant,17.955792,-62.873389,BL-000,,
-1202923,-1767989,hydrographic,"Anse du Grand Cul-de-Sac","Anse du Grand Cul-de-Sac",official,17.910062,-62.80147,BL-000,,
-1203437,-1768755,spot,"Fort Oscar","Fort Oscar",official,17.897947,-62.853196,BL-000,,
-1202905,-1767961,hypsographic,"Pointe du Gouvernour","Pointe du Gouvernour",variant,17.880836,-62.827938,BL-000,,
-1203184,-1768384,hypsographic,"Groupe de Leeward","Groupe de Leeward",variant,17.35,-62.783333,S1-000,,
-1203495,18913396,hydrographic,"Anse Petit Galet","Anse Petit Galet",official,17.896045,-62.854179,BL-000,,
-1203444,-1768766,hypsographic,"Pain de Sucre","Pain de Sucre",official,17.89696,-62.876299,BL-000,,
-1202695,-1768993,settlement,"Quartier du Corossol","Quartier du Corossol",variant,17.908573,-62.85563,BL-000,,
-1203033,-1768158,settlement,Gustavia,Gustavia,official,17.895833,-62.850833,BL-000,,
-1203609,-1768489,settlement,Lorient,Lorient,official,17.906385,-62.823053,BL-000,,
