wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1394156,-2001735,settlement,Melrose,Melrose,official,32.363333,-64.673056,BM-07,,
-1394184,-2001573,administrative_region,"Crow Lane","Crow Lane",variant,32.278333,-64.781667,BM-04,,
-1394239,-2001840,administrative_region,"Sandys Parish","Sandys Parish",official,32.291944,-64.872222,BM-08,,
-1394090,-2001575,hydrographic,"Crow Lane Harbour","Crow Lane Harbour",variant,32.288056,-64.791111,BM-03,,
-1394153,-2001732,hypsographic,"Marshall Island","Marshall Island",variant,32.283333,-64.809722,BM-11,,
-1394049,-2001608,hydrographic,"Flatt’s Inlet","Flatt's Inlet",official,32.323333,-64.7425,BM-09,,
-1393965,-2001507,hydrographic,"Burchall Cove","Burchall Cove",official,32.336944,-64.74,BM-02,,
-1394248,-2001850,hypsographic,"Point Shares","Point Shares",official,32.293611,-64.804722,BM-05,,
-1394057,-2001618,hydrographic,"Gates’ Bay","Gates' Bay",official,32.379444,-64.663333,BM-07,,
-1394308,-2001920,hydrographic,"Turn-Up Breaker","Turn-Up Breaker",official,32.333333,-64.633333,BM-07,,
-1394024,-2001580,hypsographic,"Daniel’s Island","Daniel's Island",official,32.305556,-64.882778,BM-08,,
-1394122,-2001696,hydrographic,"Jew’s Bay","Jew's Bay",official,32.2575,-64.833056,BM-10,,
-1393950,-2001488,hydrographic,"Blue Hole","Blue Hole",official,32.350278,-64.709722,BM-07,,
-1394204,-2001796,spot,"Prospect Camp","Prospect Camp",variant,32.299167,-64.765556,BM-01,,
-1393984,-2001530,hypsographic,"Cathedral Rocks","Cathedral Rocks",official,32.280556,-64.88,BM-08,,
-1394172,-2001752,hydrographic,"Nearon’s Cut","Nearon's Cut",official,32.378056,-64.694167,BM-07,,
-1394317,-2001932,spot,"Walsingham Caves","Walsingham Caves",official,32.348056,-64.710278,BM-07,,
-1393968,-2001511,hypsographic,"Burrows Hill","Burrows Hill",official,32.360556,-64.668333,BM-07,,
-1394228,-2001831,settlement,"Saint George’s Town","Saint George's Town",variant,32.381667,-64.678056,BM-06,,
-1394192,-2001873,administrative_region,"Spanish Point","Spanish Point",variant,32.299444,-64.792778,BM-05,,
-1394266,-2001876,hypsographic,"Spectacle Island","Spectacle Island",official,32.258889,-64.835,BM-10,,
-1394247,-2001849,hydrographic,"Seymour’s Pond","Seymour's Pond",official,32.251944,-64.85,BM-10,,
-1394340,-2001958,hypsographic,"Zeta Island","Zeta Island",official,32.280833,-64.820556,BM-11,,
-1394062,-2001624,hydrographic,"Gibbons Bay","Gibbons Bay",official,32.321944,-64.744444,BM-09,,
-1394174,-2001754,hydrographic,"Nelson Bay","Nelson Bay",official,32.3075,-64.816667,BM-05,,
-1393985,-2001531,road,Causeway,Causeway,variant,32.355556,-64.708056,BM-07,,
-1393939,9063305,hypsographic,Bermoothes,Bermoothes,variant,32.304444,-64.751667,BM-000,,
-1394220,-2001813,hypsographic,"Rushy Island","Rushy Island",official,32.3375,-64.673889,BM-07,,
-1393943,-2001481,hypsographic,"Bethell’s Island","Bethell's Island",official,32.285,-64.88,BM-08,,
