wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2698267,-3741693,hypsographic,"Soenda Isles","Soenda Isles",variant,-2,110,S1-000,,
-2686419,-3705415,hypsographic,"Indian Archipelago","Indian Archipelago",variant,1.0E-6,120,S1-000,,
-2678635,-3703833,hypsographic,"Greater Sundas","Greater Sundas",variant,1.0E-6,110,S1-000,,
-2686419,-3701207,hypsographic,"East Indian Archipelago","East Indian Archipelago",variant,1.0E-6,120,S1-000,,
-2686419,-3719028,hypsographic,"Malay Archipelago","Malay Archipelago",official,1.0E-6,120,S1-000,,
-2686419,-3705424,hypsographic,Indonesia,Indonesia,variant,1.0E-6,120,S1-000,,
-2698267,-3743135,hypsographic,"Sunda Islands","Sunda Islands",official,-2,110,S1-000,,
-2686419,-3719005,hypsographic,Malasia,Malasia,variant,1.0E-6,120,S1-000,,
-2686419,-3719029,hypsographic,Malaysia,Malaysia,variant,1.0E-6,120,S1-000,,
-2686419,-3688244,hypsographic,"Asiatic Archipelago","Asiatic Archipelago",variant,1.0E-6,120,S1-000,,
-2686419,19493316,hypsographic,"Kapuluang Malay","Kapuluang Malay",official,1.0E-6,120,S1-000,,
-2686419,-3701208,hypsographic,"East Indies","East Indies",variant,1.0E-6,120,S1-000,,
-2698267,19493292,hypsographic,"Sunda Isles","Sunda Isles",variant,-2,110,S1-000,,
-2686419,19493315,hypsographic,"Arquipélago Malaio","Arquipelago Malaio",official,1.0E-6,120,S1-000,,
-2686419,19493314,hypsographic,"Kepulauan Melayu","Kepulauan Melayu",official,1.0E-6,120,S1-000,,
-2686419,-3701204,hypsographic,"Eastern Archipelago","Eastern Archipelago",variant,1.0E-6,120,S1-000,,
-2678635,-3703832,hypsographic,"Greater Sunda Islands","Greater Sunda Islands",official,1.0E-6,110,S1-000,,
-2674017,-3707807,hypsographic,Kalimantan,Kalimantan,variant,1,114,S1-000,,
-2674017,-3707819,hypsographic,Kalimanten,Kalimanten,variant,1,114,S1-000,,
-2674017,-3695276,hypsographic,Borneo,Borneo,official,1,114,S1-000,,
