wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1636675,-2319212,hydrographic,"Canal Viejo de Bahama","Canal Viejo de Bahama",variant,22.767424,-78.400273,S1-000,,
-1636675,17202971,hydrographic,"Canal Viejo de Bahamas","Canal Viejo de Bahamas",official,22.767424,-78.400273,S1-000,,
-1636229,-2313892,hydrographic,"Canal de San Nicolás","Canal de San Nicolas",official,23.312833,-80.056752,S1-000,,
-1636229,-2305081,hydrographic,"Nicholas Channel","Nicholas Channel",official,23.312833,-80.056752,S1-000,,
-1636675,-2305617,hydrographic,"Old Bahama Channel","Old Bahama Channel",variant,22.767424,-78.400273,S1-000,,
-1544315,-2199093,settlement,"Stuart Manor","Stuart Manor",official,23.633333,-76,BS-EX,,
-1543803,-2198407,hypsographic,"Moraine Cay","Moraine Cay",official,27.040601,-77.771266,BS-HT,,
-1543978,-2198643,hypsographic,"Pine Cay","Pine Cay",official,24.333648,-77.860069,BS-CS,,
-1544045,-2198740,hypsographic,"Red Shank Cay","Red Shank Cay",official,24.39591,-77.769814,BS-CS,,
-1543560,-2198088,hypsographic,"Lantern Head","Lantern Head",variant,25.886969,-77.182606,BS-SO,,
-1543355,-2197807,settlement,Grays,Grays,official,23.252925,-75.102926,BS-LI,,
-1543542,-2198061,hypsographic,"Kemp Cay","Kemp Cay",official,24.230753,-76.501032,BS-BP,,
-1543695,-2198253,hydrographic,"Mackie Shoal","Mackie Shoal",official,25.685603,-78.657695,BS-BI,,
-1543338,-2197781,hypsographic,"Gordon Bluff","Gordon Bluff",official,22.834038,-74.305642,BS-CK,,
-1543990,-2197709,hypsographic,"French Cays","French Cays",variant,22.600067,-73.604483,BS-AK,,
-1544026,-2198713,hydrographic,"Racoon Cut","Racoon Cut",official,22.332989,-75.80086,BS-RI,,
-1543808,-2198414,hypsographic,"Moriah Harbour Cay","Moriah Harbour Cay",official,23.466667,-75.666667,BS-EX,,
-1543869,-2198503,hypsographic,"Northeast Point","Northeast Point",variant,22.726894,-73.853788,BS-AK,,
-1544149,-2198877,hypsographic,"Sandy Cay","Sandy Cay",official,26.866667,-77.516667,BS-NO,,
-1544319,-2199098,hypsographic,"Sugar Loaf Cay","Sugar Loaf Cay",official,26.551419,-77.017793,BS-CO,,
-1543456,-2197943,settlement,"Highbury Park","Highbury Park",official,25.033333,-77.316667,BS-000,,
-1544435,-2199251,hydrographic,"West Bay","West Bay",official,24.583333,-75.966667,BS-CI,,
-1543522,-2198031,hypsographic,"James Point","James Point",official,25.350571,-76.373725,BS-NE,,
-1543936,-2198587,hypsographic,"Parrot Cays","Parrot Cays",official,26.539183,-76.973642,BS-HT,,
-1544407,-2199211,hydrographic,"Walker Cay Channel","Walker Cay Channel",short,27.316667,-78.466667,BS-000,,
-1544439,-2199260,settlement,"West End Settlement","West End Settlement",variant,26.670575,-78.975369,BS-WG,,
-1543613,-2198161,hypsographic,"Little Major’s Spot","Little Major's Spot",official,24.193396,-76.45,BS-BP,,
-1544377,-2199171,hypsographic,"Turtle Rocks","Turtle Rocks",official,25.662671,-79.307892,BS-BI,,
-1543579,-2198115,settlement,"Lisbon Creek Settlement","Lisbon Creek Settlement",variant,24.213653,-77.636139,BS-MC,,
-1543793,-2198389,hydrographic,"Passe de Mira Por Vos","Passe de Mira Por Vos",variant,22.103081,-74.393837,BS-AK,,
-1544194,-2198937,settlement,"Seymours Settlement","Seymours Settlement",variant,23.656191,-75.311356,BS-LI,,
