wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2211265,-3058803,hypsographic,"Ha La","Ha La",official,27.45,89.15,BT-000,,
-2211322,-3058914,settlement,Naspe,Naspe,official,27.683333,90.716667,BT-000,,
-2211323,-3058915,hypsographic,"Natu La","Natu La",official,27.4,88.816667,BT-000,,
-2211451,-3059116,settlement,Zarāfi,Zarafi,official,27.145183,90.692227,BT-000,,
-2211450,-3059115,settlement,Yuwak,Yuwak,official,27.516667,89.866667,BT-000,,
-2211449,-3059114,hypsographic,"Yönpu La","Yonpu La",official,27.25,91.533333,BT-000,,
-2211448,-3059113,hypsographic,"Yembo La","Yembo La",official,27.133333,91.416667,BT-000,,
-2211447,-3059112,hypsographic,"Yeb La","Yeb La",official,27.733333,91.2,BT-000,,
-2211446,-3059111,hypsographic,"Yale La","Yale La",official,27.866667,89.433333,BT-000,,
-2211445,-3059110,settlement,Yālang,Yalang,official,27.433333,91.633333,BT-000,,
-2211444,-3059068,hydrographic,Timbu,Timbu,variant,26.833333,89.583333,BT-000,,
-2211444,-3058728,hydrographic,"Chin Chu","Chin Chu",variant,26.833333,89.583333,BT-000,,
-2211444,-3059108,hydrographic,Wong,Wong,variant,26.833333,89.583333,BT-000,,
-2211444,-3059059,hydrographic,Thimbu,Thimbu,variant,26.833333,89.583333,BT-000,,
-2211444,-3058723,hydrographic,Chhuka,Chhuka,variant,26.833333,89.583333,BT-000,,
-2211444,-3059109,hydrographic,"Wong Chu","Wong Chu",official,26.833333,89.583333,BT-000,,
-2211442,-3059103,settlement,Wangdiphodrang,Wangdiphodrang,variant,27.486154,89.899149,BT-24,,
-2211442,-3058772,settlement,"Du Phodrang","Du Phodrang",variant,27.486154,89.899149,BT-24,,
-2211442,13981093,settlement,"Wangdu Phodrang","Wangdu Phodrang",variant,27.486154,89.899149,BT-24,,
-2211442,13333163,settlement,"Wangdue Phodrang","Wangdue Phodrang",official,27.486154,89.899149,BT-24,,
-2211442,-3059105,settlement,"Wangdü Phodrang","Wangdu Phodrang",variant,27.486154,89.899149,BT-24,,
-2211440,-3059102,settlement,Wangchukling,Wangchukling,official,27.55,90.733333,BT-000,,
-2211439,-3059101,hypsographic,"Wāgya La","Wagya La",official,28.283333,89.883333,BT-000,,
-2211438,-3059100,settlement,Usak,Usak,official,27.25,89.766667,BT-000,,
-2211437,-3059098,hypsographic,"Ura La","Ura La",official,27.45,90.85,BT-000,,
-2211436,-3059097,spot,"Ura Dzong","Ura Dzong",official,27.433333,90.883333,BT-000,,
-2211436,-3059099,spot,"Uro Dzong","Uro Dzong",variant,27.433333,90.883333,BT-000,,
-2211435,-3059096,settlement,Ura,Ura,official,27.416667,90.916667,BT-33,,
