wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1187337,-1749423,hypsographic,"Cape Circoncision","Cape Circoncision",official,-54.396667,3.291667,BV-000,,
-1187346,148994,hypsographic,"Kaap Meteor","Kaap Meteor",variant,-54.422778,3.433889,BV-000,,
-1187337,148984,hypsographic,"Kaap Circoncision","Kaap Circoncision",variant,-54.396667,3.291667,BV-000,,
-1187341,-1749435,hypsographic,"Lars Island","Lars Island",official,-54.452778,3.313889,BV-000,,
-1187331,-1749409,hypsographic,Bennskjaer,Bennskjaer,variant,-54.45,3.316667,BV-000,,
-1187357,16692104,hydrographic,"Spiess Reef","Spiess Reef",variant,-54.406111,3.433889,BV-000,,
-1187354,-1749467,hydrographic,"Røver Anchorage","Rover Anchorage",official,-54.45,3.35,BV-000,,
-1187355,-1749469,hypsographic,"Rustad Knoll","Rustad Knoll",official,-54.449167,3.331944,BV-000,,
-1187336,-1749420,hydrographic,Christensenbreen,Christensenbreen,variant,-54.446111,3.350556,BV-000,,
-1187351,-1749456,hydrographic,Norvegiabåen,Norvegiabaen,variant,-54.4,3.416667,BV-000,,
-1187332,-1749413,hydrographic,Bollevika,Bollevika,variant,-54.45,3.333333,BV-000,,
-1187347,-1749447,hydrographic,"Morrell Reef","Morrell Reef",official,-54.45,3.483333,BV-000,,
-1187357,-1749474,hydrographic,Spiessbåene,Spiessbaene,variant,-54.406111,3.433889,BV-000,,
-1187350,-1749458,hypsographic,"Norvegia Point","Norvegia Point",official,-54.432222,3.290278,BV-000,,
-1187344,-1749442,hypsographic,"Cape Lollo","Cape Lollo",official,-54.411389,3.427778,BV-000,,
-1187353,-1749464,hydrographic,"Posadowsky Glacier","Posadowsky Glacier",official,-54.416667,3.366667,BV-000,,
-1187359,-1749478,hypsographic,"Cape Valdivia","Cape Valdivia",official,-54.3875,3.355556,BV-000,,
-1187356,-1749472,hydrographic,"Sachse Rocks","Sachse Rocks",official,-54.4,3.416667,BV-000,,
-1187356,-1749471,hydrographic,Sachsebåene,Sachsebaene,variant,-54.4,3.416667,BV-000,,
-1187340,-1749431,hydrographic,Horntvedtbreen,Horntvedtbreen,variant,-54.393056,3.361111,BV-000,,
-1187357,-1749475,hydrographic,"Spiess Rocks","Spiess Rocks",official,-54.406111,3.433889,BV-000,,
-1187336,-1749422,hydrographic,"Christensens Bre","Christensens Bre",variant,-54.446111,3.350556,BV-000,,
-1187353,-1749463,hydrographic,Posadowskybreen,Posadowskybreen,variant,-54.416667,3.366667,BV-000,,
-1187360,-1749479,hydrographic,"Williams Reef","Williams Reef",official,-54.448611,3.418333,BV-000,,
-1187337,-1749424,hypsographic,"Cape Circumcision","Cape Circumcision",variant,-54.396667,3.291667,BV-000,,
-1187350,-1749455,hypsographic,"Point Norvegia","Point Norvegia",variant,-54.432222,3.290278,BV-000,,
-1187349,-1749453,hydrographic,Norrisrevet,Norrisrevet,variant,-54.405,3.277778,BV-000,,
-1187334,-1749414,hypsographic,Bouvet,Bouvet,variant,-54.422222,3.358333,BV-000,,
-1187340,-1749433,hydrographic,"Horntvedts Bre","Horntvedts Bre",variant,-54.393056,3.361111,BV-000,,
-1187345,-1749445,hypsographic,Lykketoppen,Lykketoppen,variant,-54.436667,3.320833,BV-000,,
-1187335,-1749419,hypsographic,"Cato Point","Cato Point",official,-54.451111,3.319444,BV-000,,
-1187336,-1749421,hydrographic,"Christensen Glacier","Christensen Glacier",official,-54.446111,3.350556,BV-000,,
-1187342,-1749438,hypsographic,"Lille Kari","Lille Kari",variant,-54.395,3.411111,BV-000,,
-1187339,-1749430,hydrographic,Horns-revet,Horns-revet,variant,-54.466667,3.35,BV-000,,
-1187352,-1749434,hypsographic,"Kaiser Wilhelm Pik","Kaiser Wilhelm Pik",variant,-54.409167,3.352778,BV-000,,
-1187342,143797,hypsographic,Litle-Kari,Litle-Kari,variant,-54.395,3.411111,BV-000,,
-1187351,-1749459,hydrographic,"Norvegia Rock","Norvegia Rock",official,-54.4,3.416667,BV-000,,
-1187335,148987,hypsographic,Catoodden,Catoodden,variant,-54.451111,3.319444,BV-000,,
-1187352,-1749460,hypsographic,"Olav Peak","Olav Peak",official,-54.409167,3.352778,BV-000,,
-1187339,-1749428,hydrographic,"Horn Reef","Horn Reef",official,-54.466667,3.35,BV-000,,
-1187354,-1749466,hydrographic,Räuberhöhle,Rauberhohle,variant,-54.45,3.35,BV-000,,
-1187360,-1749480,hydrographic,Williamsrevet,Williamsrevet,variant,-54.448611,3.418333,BV-000,,
-1187338,-1749426,hypsographic,"Cape Fie","Cape Fie",official,-54.444444,3.415833,BV-000,,
-1187338,-1749425,hypsographic,"Discovery Point","Discovery Point",variant,-54.444444,3.415833,BV-000,,
-1187340,-1749432,hydrographic,"Horntvedt Glacier","Horntvedt Glacier",official,-54.393056,3.361111,BV-000,,
-1187332,-1749412,hydrographic,"Bolle Bay","Bolle Bay",official,-54.45,3.333333,BV-000,,
-1187349,-1749452,hydrographic,"Norris Reef","Norris Reef",official,-54.405,3.277778,BV-000,,
-1187342,-1749439,hypsographic,"Lille Kari Rock","Lille Kari Rock",official,-54.395,3.411111,BV-000,,
-1187341,-1749437,hypsographic,Larsøya,Larsoya,variant,-54.452778,3.313889,BV-000,,
-1187331,-1749410,hypsographic,Bennskjaeret,Bennskjaeret,variant,-54.45,3.316667,BV-000,,
-1187354,-1749468,hydrographic,Røverhullet,Roverhullet,variant,-54.45,3.35,BV-000,,
-1187346,-1749446,hypsographic,"Cape Meteor","Cape Meteor",official,-54.422778,3.433889,BV-000,,
-1187350,-1749457,hypsographic,Norvegiaodden,Norvegiaodden,variant,-54.432222,3.290278,BV-000,,
-1187341,-1749436,hypsographic,"Lars Islet","Lars Islet",variant,-54.452778,3.313889,BV-000,,
-1187344,149888,hypsographic,"Kaap Lollo","Kaap Lollo",variant,-54.411389,3.427778,BV-000,,
-1187334,-1749415,hypsographic,"Bouvet Island","Bouvet Island",variant,-54.422222,3.358333,BV-000,,
-1187345,-1749443,hypsographic,"Lykke Peak","Lykke Peak",official,-54.436667,3.320833,BV-000,,
-1187353,-1749465,hydrographic,"Posadowskys Bre","Posadowskys Bre",variant,-54.416667,3.366667,BV-000,,
-1187352,-1749462,hypsographic,Olavtoppen,Olavtoppen,variant,-54.409167,3.352778,BV-000,,
-1187358,-1749427,hypsographic,"Gross Kari","Gross Kari",variant,-54.3875,3.377222,BV-000,,
-1187348,-1749449,hypsographic,"Mosby Peak","Mosby Peak",official,-54.423611,3.306944,BV-000,,
-1187343,-1749441,hydrographic,Lindsayrevet,Lindsayrevet,variant,-54.433333,3.483333,BV-000,,
-1187339,-1749429,hydrographic,Hornrevet,Hornrevet,variant,-54.466667,3.35,BV-000,,
-1187331,-1749408,hypsographic,"Benn Skerries","Benn Skerries",official,-54.45,3.316667,BV-000,,
-1187358,-1749476,hypsographic,"Store Kari","Store Kari",variant,-54.3875,3.377222,BV-000,,
-1187334,-1749418,hypsographic,Bouvetøya,Bouvetoya,official,-54.422222,3.358333,BV-000,,
-1187355,-1749470,hypsographic,Rustadkollen,Rustadkollen,variant,-54.449167,3.331944,BV-000,,
-1187359,148989,hypsographic,"Kaap Valdivia","Kaap Valdivia",variant,-54.3875,3.355556,BV-000,,
-1187358,-1749477,hypsographic,"Store Kari Rock","Store Kari Rock",official,-54.3875,3.377222,BV-000,,
-1187352,-1749461,hypsographic,"Olavs Topp","Olavs Topp",variant,-54.409167,3.352778,BV-000,,
-1187335,-1749473,hypsographic,"Seal Point","Seal Point",variant,-54.451111,3.319444,BV-000,,
-1187350,-1749454,hypsographic,"Cape Norvegia","Cape Norvegia",variant,-54.432222,3.290278,BV-000,,
-1187343,-1749440,hydrographic,"Lindsay Reef","Lindsay Reef",official,-54.433333,3.483333,BV-000,,
-1187348,-1749451,hypsographic,Mosbytoppen,Mosbytoppen,variant,-54.423611,3.306944,BV-000,,
-1187345,-1749444,hypsographic,"Lykkes Topp","Lykkes Topp",variant,-54.436667,3.320833,BV-000,,
-1187348,-1749450,hypsographic,"Mosbys Topp","Mosbys Topp",variant,-54.423611,3.306944,BV-000,,
-1187347,-1749448,hydrographic,Morrellrevet,Morrellrevet,variant,-54.45,3.483333,BV-000,,
-1187333,-1749417,administrative_region,Bouvetøya,Bouvetoya,official,-54.433333,3.4,BV-000,,
-1187333,-1749416,administrative_region,"Bouvet Island","Bouvet Island",colloquial,-54.433333,3.4,BV-000,,
120994,149163,park,Vogtkysten,Vogtkysten,variant,-54.444444,3.375,BV-000,,
120879,149010,hypsographic,Westwindstranda,Westwindstranda,variant,-54.41,3.285278,BV-000,,
120894,149029,hydrographic,"Engelbrecht Glacier","Engelbrecht Glacier",official,-54.435556,3.302778,BV-000,,
120993,149161,park,Morgenstiernekysten,Morgenstiernekysten,variant,-54.401389,3.330556,BV-000,,
121006,149177,hypsographic,Slakhallet,Slakhallet,official,-54.420833,3.393056,BV-000,,
120996,149166,hypsographic,Nyrøysa,Nyroysa,official,-54.409722,3.286111,BV-000,,
120887,149019,hypsographic,"Black Cliff","Black Cliff",official,-54.438333,3.423333,BV-000,,
120870,151128,hypsographic,"Randi Rock","Randi Rock",variant,-54.451111,3.388889,BV-000,,
120894,149032,hydrographic,Engelbrechtbreen,Engelbrechtbreen,variant,-54.435556,3.302778,BV-000,,
120995,149164,park,"Mowinckel Coast","Mowinckel Coast",official,-54.434722,3.427222,BV-000,,
120887,149022,hypsographic,Svarthamaren,Svarthamaren,variant,-54.438333,3.423333,BV-000,,
120994,149162,park,"Vogt Coast","Vogt Coast",official,-54.444444,3.375,BV-000,,
120992,149158,park,"Esmarch Coast","Esmarch Coast",official,-54.425,3.293056,BV-000,,
120993,149160,park,"Morgenstierne Coast","Morgenstierne Coast",official,-54.401389,3.330556,BV-000,,
121001,149172,hypsographic,"Victoria Terrasse","Victoria Terrasse",variant,-54.397222,3.401389,BV-000,,
