wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
11201001,13009468,settlement,Lepena,Lepena,official,-24.531461,23.8548,BW-SO,,
11082900,12345906,settlement,Dimawe,Dimawe,official,-24.746392,25.637346,BW-KW,,
-2587638,20081247,hydrographic,Zambezi,Zambezi,colloquial,-18.833333,36.283333,S1-000,,
-2587638,-3558625,hydrographic,Sambesi,Sambesi,variant,-18.833333,36.283333,S1-000,,
-2587638,-3555388,hydrographic,"Luabo de Este","Luabo de Este",variant,-18.833333,36.283333,S1-000,,
-2587638,-3551977,hydrographic,"Rio Cuama","Rio Cuama",variant,-18.833333,36.283333,S1-000,,
-2587638,-3560475,hydrographic,Zambeze,Zambeze,variant,-18.833333,36.283333,S1-000,,
-2587638,-3560478,hydrographic,"Rio Zambezi","Rio Zambezi",variant,-18.833333,36.283333,S1-000,,
-2587638,-3560484,hydrographic,"Rio Zambeze","Rio Zambeze",official,-18.833333,36.283333,S1-000,,
-2587638,-3560482,hydrographic,"Zambezi River","Zambezi River",official,-18.833333,36.283333,S1-000,,
-2587638,-3560479,hydrographic,"Zambezi River","Zambezi River",colloquial,-18.833333,36.283333,S1-000,,
-2587638,-3560474,hydrographic,Zambesi,Zambesi,variant,-18.833333,36.283333,S1-000,,
-2587638,-3560477,hydrographic,Zambezi,Zambezi,variant,-18.833333,36.283333,S1-000,,
-2585946,-3551779,hydrographic,Buitsivango,Buitsivango,variant,-22.1,22.433333,S1-000,,
-2585946,-3558370,hydrographic,Rietfontein,Rietfontein,official,-22.1,22.433333,S1-000,,
-2585946,-3558371,hydrographic,Buitsivangor,Buitsivangor,official,-22.1,22.433333,S1-000,,
-2583505,-3551914,hydrographic,Choke,Choke,variant,-18,24.333333,S1-000,,
-2582890,-3554715,hydrographic,Kkhaudum,Kkhaudum,variant,-18.616667,21.65,S1-000,,
-2584338,-3556408,hydrographic,Nossob,Nossob,official,-26.9,20.683333,S1-000,,
-2584245,-3552339,hydrographic,"Dussidum River","Dussidum River",variant,-19.5,22,S1-000,,
-2584338,-3556410,hydrographic,Nosop,Nosop,official,-26.9,20.683333,S1-000,,
-2584245,-3551844,hydrographic,Chadum,Chadum,variant,-19.5,22,S1-000,,
-2582890,-3554565,hydrographic,Kaudum,Kaudum,variant,-18.616667,21.65,S1-000,,
-2583505,-3559692,hydrographic,Tschobe,Tschobe,variant,-18,24.333333,S1-000,,
-2584245,-3556353,hydrographic,"Noma Omuramba","Noma Omuramba",variant,-19.5,22,S1-000,,
-2584721,-3556981,hydrographic,"Okovanggo River","Okovanggo River",variant,-18.883333,22.4,S1-000,,
-2582890,-3556253,hydrographic,Ngamaseri,Ngamaseri,variant,-18.616667,21.65,S1-000,,
-2584721,-3551981,hydrographic,Cubango,Cubango,variant,-18.883333,22.4,S1-000,,
-2583505,387979,hydrographic,"Linyanti River","Linyanti River",variant,-18,24.333333,S1-000,,
-2583505,-3555325,hydrographic,Linjanti,Linjanti,variant,-18,24.333333,S1-000,,
-2584721,-3556880,hydrographic,"Rio Cubango",RioCubango,official,-18.883333,22.4,S1-000,,
-2584245,-3556281,hydrographic,Xaudum,Xaudum,official,-19.5,22,S1-000,,
-2583505,-3555326,hydrographic,Linyandi,Linyandi,variant,-18,24.333333,S1-000,,
-2583505,-3555329,hydrographic,Linyanti,Linyanti,official,-18,24.333333,S1-000,,
-2584721,-3555053,hydrographic,Kubango,Kubango,variant,-18.883333,22.4,S1-000,,
-2583505,-3551910,hydrographic,Chobe,Chobe,variant,-18,24.333333,S1-000,,
-2584721,-3556982,hydrographic,Okovango,Okovango,variant,-18.883333,22.4,S1-000,,
-2584338,-3556403,hydrographic,"Nosob River","Nosob River",variant,-26.9,20.683333,S1-000,,
-2584721,-3556980,hydrographic,Okovanggo,Okovanggo,variant,-18.883333,22.4,S1-000,,
-2584721,-3556877,hydrographic,Okavango,Okavango,official,-18.883333,22.4,S1-000,,
-2582890,-3554564,hydrographic,Xaudum,Xaudum,official,-18.616667,21.65,S1-000,,
-2582889,-3554583,hydrographic,Kava,Kava,variant,-19.533333,22.05,S1-000,,
-2584245,-3556280,hydrographic,Nhoma,Nhoma,official,-19.5,22,S1-000,,
-2584338,-3556409,hydrographic,Nossobrivier,Nossobrivier,official,-26.9,20.683333,S1-000,,
-2584338,-3556414,hydrographic,Nossop,Nossop,variant,-26.9,20.683333,S1-000,,
-2582890,-3554667,hydrographic,"Khaudum Omuramba","Khaudum Omuramba",variant,-18.616667,21.65,S1-000,,
-2584721,-3556983,hydrographic,"Okovango River","Okovango River",variant,-18.883333,22.4,S1-000,,
-2584721,-3556881,hydrographic,Okava-Ongo,Okava-Ongo,variant,-18.883333,22.4,S1-000,,
-2582890,-3554566,hydrographic,"Kaudum River","Kaudum River",variant,-18.616667,21.65,S1-000,,
-2582890,-3554563,hydrographic,Kaudom,Kaudom,official,-18.616667,21.65,S1-000,,
-2584338,-3556411,hydrographic,"Nossob River","Nossob River",variant,-26.9,20.683333,S1-000,,
-2584245,-3559716,hydrographic,Tsoanadum,Tsoanadum,variant,-19.5,22,S1-000,,
-2583505,-3551912,hydrographic,"Chobe River","Chobe River",variant,-18,24.333333,S1-000,,
-2582890,-3551843,hydrographic,Chadum,Chadum,variant,-18.616667,21.65,S1-000,,
-2584338,-3556402,hydrographic,Nosob,Nosob,variant,-26.9,20.683333,S1-000,,
-2582890,-3554666,hydrographic,Khaudum,Khaudum,variant,-18.616667,21.65,S1-000,,
-2582889,-4725715,hydrographic,Kaua,Kaua,official,-19.533333,22.05,S1-000,,
-2584721,-3556878,hydrographic,"Okavango River","Okavango River",official,-18.883333,22.4,S1-000,,
-2583505,-3555333,hydrographic,Linyoti,Linyoti,variant,-18,24.333333,S1-000,,
-2583505,-3551980,hydrographic,"Cuando River","Cuando River",variant,-18,24.333333,S1-000,,
-2584338,-3556415,hydrographic,"Nossop River","Nossop River",variant,-26.9,20.683333,S1-000,,
-2583505,-3551911,hydrographic,"Rio Chobe","Rio Chobe",variant,-18,24.333333,S1-000,,
-2584245,-3551845,hydrographic,"Chadum Omuramba","Chadum Omuramba",variant,-19.5,22,S1-000,,
-2581962,-3553343,hydrographic,"Groot Laagte","Groot Laagte",official,-20.833333,22.166667,S1-000,,
-2580194,-3551018,hypsographic,"Aha Hills","Aha Hills",official,-19.78157281,20.99515947,S1-000,,
-2581289,349481,hydrographic,"Omuramba Eiseb","Omuramba Eiseb",variant,-20.05,21.633333,S1-000,,
-2581289,-3551038,hydrographic,Aizeb,Aizeb,variant,-20.05,21.633333,S1-000,,
-2580194,-3551016,hypsographic,Aha-Berge,Aha-Berge,variant,-19.78157281,20.99515947,S1-000,,
-2581289,-3552451,hydrographic,Eiseb,Eiseb,official,-20.05,21.633333,S1-000,,
-2581962,-3553342,hydrographic,Grootlaagte,Grootlaagte,official,-20.833333,22.166667,S1-000,,
-2581772,-3553100,hydrographic,Ghumandusha,Ghumandusha,official,-18.015563,23.130358,S1-000,,
-2580194,-3551020,hypsographic,"Aha Mountains","Aha Mountains",variant,-19.78157281,20.99515947,S1-000,,
-2580194,-3551017,hypsographic,Ahaberge,Ahaberge,official,-19.78157281,20.99515947,S1-000,,
-2321122,20009732,hydrographic,"Sebuyu Neyami River",SebuyuNeyamiRiver,variant,-18.483333,25.666667,S1-000,,
-2321123,-3202436,hydrographic,"Sebuyu N’kulu","Sebuyu N'kulu",official,-18.466667,25.666667,S1-000,,
-2321123,20009753,hydrographic,"Sebuyu N’Kulu",SebuyuN'Kulu,official,-18.466667,25.666667,S1-000,,
-2321122,-3202437,hydrographic,Sebweo,Sebweo,variant,-18.483333,25.666667,S1-000,,
-2321122,-4725728,hydrographic,"Sebuyu Neyami","Sebuyu Neyami",official,-18.483333,25.666667,S1-000,,
-1397858,-2005995,settlement,Monedi,Monedi,official,-20.15,22.533333,BW-000,,
-1398035,-2006286,settlement,Sanie,Sanie,official,-25.433333,22.9,BW-000,,
-1397917,-2006068,settlement,Nekati,Nekati,official,-20.083333,26.016667,BW-000,,
-1397783,-2005901,hypsographic,Matuba,Matuba,official,-22.016667,26.3,BW-CE,,
-1397711,-2005807,settlement,Makwa,Makwa,official,-21.743864,26.637615,BW-CE,,
-1397736,-2005838,settlement,Maope,Maope,short,-22.249337,27.247081,BW-CE,,
-1397857,-2005994,spot,Monarch,Monarch,official,-21.100417,27.549253,BW-NE,,
-1398213,-2006556,hydrographic,"Yomyu Vlei","Yomyu Vlei",official,-19.983333,21.466667,BW-000,,
-1398218,-2006569,hydrographic,Zweizwe,Zweizwe,official,-18.6,24.366667,BW-CH,,
-1398214,-2006564,hydrographic,"Zebra Vley","Zebra Vley",variant,-19.016667,21.583333,BW-000,,
-1397377,-2005323,hydrographic,Ganakha,Ganakha,official,-19.25,23.016667,BW-000,,
-1398210,-2006553,hypsographic,"Xgi Vley","Xgi Vley",variant,-21.2,23.5,BW-000,,
-1398216,-2006566,hypsographic,Zuni,Zuni,variant,-23.916667,23.583333,BW-000,,
-1398216,-2006567,hypsographic,"Zuni Pan","Zuni Pan",official,-23.916667,23.583333,BW-000,,
-1397537,-2005556,hydrographic,Kodi,Kodi,official,-18.983333,22.516667,BW-000,,
-1398206,-2005282,hydrographic,"Dow Meer","Dow Meer",variant,-21.303869,24.764229,BW-CE,,
-1397536,-2005554,hypsographic,"Kobe Pan","Kobe Pan",official,-21.116667,22.25,BW-000,,
-1398209,-2006551,hypsographic,"Xgara Island","Xgara Island",official,-19.15,22.433333,BW-000,,
