wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
9161501,9211685,undersea,"Harrison Bank","Harrison Bank",official,55.05,-56.666667,S1-000,,
-567828,-239382,hydrographic,"Learmouth Bank","Learmouth Bank",variant,54.416667,-133.083333,CA-BC,,
-568669,-803273,settlement,Manor,Manor,official,49.6,-102.083333,CA-SK,,
-575073,-811772,settlement,Turin,Turin,official,49.966667,-112.55,CA-AB,,
-569967,-805014,settlement,Natal,Natal,official,49.733333,-114.85,CA-BC,,
-1506366,-2149768,hydrographic,"Bay of Funday","Bay of Funday",variant,45,-66,S1-000,,
-1506373,9164260,hydrographic,"Hudson Baie","Hudson Baie",variant,59,-86,CA-000,,
-1506373,-2149796,hydrographic,"Hudson’s Bay","Hudson's Bay",variant,59,-86,CA-000,,
-1506373,9343298,hydrographic,"Baie d’Hudson","Baie d'Hudson",official,59,-86,CA-000,,
-1506373,-2149795,hydrographic,"Hudson Bay","Hudson Bay",official,59,-86,CA-000,,
-1506378,-2149810,hydrographic,"Inside Passage","Inside Passage",official,48,-122.4,S1-000,,
-1506366,9164258,hydrographic,"Baie de Fundy","Baie de Fundy",official,45,-66,S1-000,,
-1506366,-2149769,hydrographic,"Bay of Fundy","Bay of Fundy",official,45,-66,S1-000,,
-1506381,-2149813,hydrographic,"James Bay","James Bay",official,53.49878127,-80.50781789,CA-000,,
-1506381,9343322,hydrographic,"Baie James","Baie James",official,53.49878127,-80.50781789,CA-000,,
-576267,-813293,hydrographic,"Rivière Yamaska Nord","Riviere Yamaska Nord",official,45.283333,-72.85,CA-QC,,
-576252,-813267,hypsographic,"Wyman Head","Wyman Head",official,43.833,-66.134,CA-NS,,
-576335,-813358,hydrographic,Youkon,Youkon,variant,62.533333,-163.9,S1-000,,
-576273,-813299,hydrographic,"Yarmouth Harbour","Yarmouth Harbour",official,43.83,-66.13,CA-NS,,
-576264,-813288,administrative_region,Yamaska,Yamaska,official,46,-72.833333,CA-QC,,
-576249,-812947,hypsographic,"Mount Wiley","Mount Wiley",official,81.65,-74.166667,CA-NU,,
-576269,-801774,hydrographic,"Kwovee Tui","Kwovee Tui",variant,65.366667,-118.6,CA-NT,,
-576295,-813326,hypsographic,"Yohin Ridge","Yohin Ridge",official,61.15,-123.883333,CA-NT,,
-576261,19989958,hydrographic,Yakoun,Yakoun,official,53.653294,-132.197517,CA-BC,,
-576259,-813280,hypsographic,"Yahk Range","Yahk Range",official,49.2,-115.833333,CA-BC,,
-576331,-813377,hypsographic,"Mount Yuen","Mount Yuen",official,57.566667,-125.3,CA-BC,,
-576346,-813396,hydrographic,"Zeemel Lake","Zeemel Lake",official,52.583333,-90.383333,CA-ON,,
-576335,-801759,hydrographic,Kvikhpak,Kvikhpak,variant,62.533333,-163.9,S1-000,,
-576482,-807783,settlement,"Recontre East","Recontre East",variant,47.65,-55.233333,CA-NL,,
-576277,-799496,hydrographic,Haecoligua,Haecoligua,variant,62.7035543,-97.8758235,CA-NU,,
-576335,-801770,hydrographic,Kwichpak,Kwichpak,variant,62.533333,-163.9,S1-000,,
-576293,-813324,hypsographic,"Ymir Mountain","Ymir Mountain",official,49.433333,-117.116667,CA-BC,,
-576263,-813287,settlement,Yamachiche,Yamachiche,official,46.287215,-72.828431,CA-QC,,
-575807,-812712,settlement,Westree,Westree,official,47.416667,-81.533333,CA-ON,,
-576298,-813329,hypsographic,"Yoho Valley","Yoho Valley",official,51.5,-116.466667,CA-BC,,
-576335,-800900,hydrographic,Juna,Juna,variant,62.533333,-163.9,S1-000,,
-576264,-813290,administrative_region,"Comté Yamaska","Comte Yamaska",variant,46,-72.833333,CA-QC,,
-576320,-813363,hydrographic,"Young Brook","Young Brook",official,46.45,-67.783333,CA-NB,,
-576328,-813373,settlement,Youngstown,Youngstown,official,51.533333,-111.2,CA-AB,,
-576275,-813301,hydrographic,"Yasinki Lake","Yasinki Lake",variant,53.266667,-77.583333,CA-QC,,
-576327,-813372,hypsographic,"Young Point","Young Point",variant,66.76767455,-107.85565888,CA-NU,,
-576430,-808720,settlement,"Sainte Jeanne","Sainte Jeanne",variant,45.4,-73.933333,CA-QC,,
-576430,-808860,settlement,"Saint Jean","Saint Jean",variant,45.4,-73.933333,CA-QC,,
-576299,-793685,hydrographic,"Big Boulder Creek","Big Boulder Creek",variant,59.433333,-136.2,CA-BC,,
-576325,-813369,hydrographic,"Young Lake","Young Lake",official,59.633333,-104.583333,CA-SK,,
-576518,-811268,park,"The North Shore","The North Shore",variant,50.5,-65,CA-QC,,
-576284,-793645,hydrographic,Bevwulite,Bevwulite,variant,62.383333,-114.333333,CA-NT,,
-576289,-813319,hydrographic,"Yelverton Bay","Yelverton Bay",official,82.3906919,-83.2153506,CA-NU,,
-576301,-813334,settlement,York,York,official,48.75,-64.583333,CA-QC,,
-576402,-1129161,settlement,"Deep River Depot","Deep River Depot",official,46.166667,-77.566667,CA-ON,,
-576316,-813359,settlement,Young,Young,official,51.766667,-105.75,CA-SK,,
-576255,-813271,hydrographic,"Wynniat Bay","Wynniat Bay",variant,72.833333,-111,CA-000,,
-576332,-813379,hypsographic,"Mount Yukon","Mount Yukon",official,60.966667,-140.966667,CA-YT,,
-576276,19989765,hydrographic,Yates,Yates,official,60.133333,-115.85,CA-000,,
-576336,-801769,administrative_region,Kwichpak,Kwichpak,variant,63,-136,CA-YT,,
-576277,-800051,hydrographic,Hikoligjuag,Hikoligjuag,variant,62.7035543,-97.8758235,CA-NU,,
-576258,-813278,settlement,Yahk,Yahk,official,49.083333,-116.1,CA-BC,,
-576277,-800016,hydrographic,Hicoliguah,Hicoliguah,variant,62.7035543,-97.8758235,CA-NU,,
-576260,-813283,hydrographic,Yak,Yak,variant,48.55,-115.966667,S1-000,,
-576337,-813386,hydrographic,"Zadi Lake","Zadi Lake",official,49.7,-82.683333,CA-ON,,
-576254,-813269,hydrographic,"Wynne-Edwards Bay","Wynne-Edwards Bay",official,62.5460824,-66.573803,CA-NU,,
-576250,-813265,hydrographic,"Wylie Lake","Wylie Lake",official,59.316667,-110.366667,CA-AB,,
-576315,-813354,settlement,Youbou,Youbou,official,48.877856,-124.212824,CA-BC,,
-575806,-812711,spot,Westray,Westray,official,52.6,-101.4,CA-MB,,
-576249,-813264,hypsographic,"Mount Wylie","Mount Wylie",variant,81.65,-74.166667,CA-NU,,
-576260,-813279,hydrographic,Yahkh,Yahkh,variant,48.55,-115.966667,S1-000,,
-576335,-802292,hydrographic,"Lewes River","Lewes River",variant,62.533333,-163.9,S1-000,,
-574982,-811641,settlement,Trochu,Trochu,official,51.833333,-113.233333,CA-AB,,
-576292,-813323,hydrographic,"Yeta Lake","Yeta Lake",official,65.616667,-118.8,CA-NT,,
-576339,-813389,hydrographic,"Zangeza Bay","Zangeza Bay",official,58.016667,-102.083333,CA-SK,,
-576260,20082501,hydrographic,Yahk,Yahk,official,48.55,-115.966667,S1-000,,
-576262,-813286,settlement,Yale,Yale,official,49.566667,-121.433333,CA-BC,,
-576299,-800797,hydrographic,"Jockeach Creek","Jockeach Creek",variant,59.433333,-136.2,CA-BC,,
-576356,-813407,hydrographic,"Zone Creek","Zone Creek",official,63.816667,-135.466667,CA-NT,,
-576470,-1116644,hydrographic,"Cottonwood Coulee","Cottonwood Coulee",official,48.95,-107.85,CA-SK,,
-576342,-813392,settlement,Zeballos,Zeballos,official,49.983333,-126.85,CA-BC,,
-576348,-813398,hydrographic,"Zenchuk Creek","Zenchuk Creek",official,62.116667,-128.466667,CA-NT,,
-576430,-800640,settlement,Isle-Perrot,Isle-Perrot,variant,45.4,-73.933333,CA-QC,,
-576260,-813281,hydrographic,"Yahk River","Yahk River",official,48.55,-115.966667,S1-000,,
-576350,-813400,hydrographic,"Zengle Lake","Zengle Lake",official,57.9,-102.533333,CA-SK,,
-576260,-813282,hydrographic,"Yaak River","Yaak River",official,48.55,-115.966667,S1-000,,
-576299,-794151,hydrographic,"Boulder Creek","Boulder Creek",variant,59.433333,-136.2,CA-BC,,
-576330,-813376,hydrographic,"Yuculta Rapids","Yuculta Rapids",official,50.383333,-125.15,CA-BC,,
-576254,-813350,hydrographic,"York Sound","York Sound",variant,62.5460824,-66.573803,CA-NU,,
-576335,-813383,hydrographic,"Yukon River","Yukon River",official,62.533333,-163.9,S1-000,,
-576470,-812886,hydrographic,"Whitewater Creek","Whitewater Creek",variant,48.95,-107.85,CA-SK,,
-576338,-813387,hydrographic,"Zama Lake","Zama Lake",official,58.75,-119.083333,CA-AB,,
-576283,-813310,hydrographic,"Yellowknife Bay","Yellowknife Bay",official,62.333333,-114.333333,CA-NT,,
-576277,-800052,hydrographic,Hikoligjuaq,Hikoligjuaq,variant,62.7035543,-97.8758235,CA-NU,,
-576339,-813388,hydrographic,Zangeza,Zangeza,variant,58.016667,-102.083333,CA-SK,,
-576285,-813313,hydrographic,"Yellow Ledge","Yellow Ledge",official,44.483333,-66.85,CA-NB,,
-576296,-813327,park,"Yoho National Park","Yoho National Park",official,51.466667,-116.583333,CA-BC,,
-576344,-813394,hydrographic,"Zebulon Lake","Zebulon Lake",official,65.55,-117.833333,CA-NT,,
-576275,13981232,hydrographic,"Lac Yasinski","Lac Yasinski",official,53.266667,-77.583333,CA-QC,,
-576336,-813357,administrative_region,Youkon,Youkon,variant,63,-136,CA-YT,,
-576345,-813395,hydrographic,"Zed Lake","Zed Lake",official,56.916667,-101.25,CA-MB,,
-576319,-813362,hydrographic,"Young Bay","Young Bay",official,72.698955,-96.968679,CA-NU,,
-576470,-805514,hydrographic,"North Fork Whitewater Creek","North Fork Whitewater Creek",variant,48.95,-107.85,CA-SK,,
-576305,-813339,administrative_region,"York County","York County",official,44,-79.5,CA-ON,,
-576335,-813378,hydrographic,"Fleuve Yukon","Fleuve Yukon",official,62.533333,-163.9,S1-000,,
-576287,19988823,hydrographic,Yellow-water,Yellow-water,official,57.783333,-101.533333,CA-MB,,
-576265,-813289,settlement,Yamaska,Yamaska,variant,46.008209,-72.899977,CA-QC,,
-576351,-813401,hydrographic,"Zeni Lake","Zeni Lake",variant,54.916667,-64.116667,CA-QC,,
-576265,13969796,settlement,Yamaska-Est,Yamaska-Est,official,46.008209,-72.899977,CA-QC,,
-576294,-813325,hydrographic,"Yohin Lake","Yohin Lake",official,61.2,-123.766667,CA-NT,,
-576256,-813273,settlement,Wynyard,Wynyard,official,51.766667,-104.183333,CA-SK,,
-576335,20082500,hydrographic,Yukon,Yukon,official,62.533333,-163.9,S1-000,,
-576277,-809861,hydrographic,Sigoligjuak,Sigoligjuak,variant,62.7035543,-97.8758235,CA-NU,,
-576335,-802304,hydrographic,"Lewis River","Lewis River",variant,62.533333,-163.9,S1-000,,
-576349,-813399,hydrographic,"Zenchuk Lake","Zenchuk Lake",official,62.083333,-128.15,CA-NT,,
-576284,19989879,hydrographic,Yellowknife,Yellowknife,official,62.383333,-114.333333,CA-NT,,
-576353,-813403,hydrographic,"Zin Bay","Zin Bay",official,59.883333,-109.2,CA-SK,,
-576313,-813351,hydrographic,"York Sound","York Sound",official,62.45,-66.416667,CA-NU,,
-576253,-813268,settlement,Wymark,Wymark,official,50.116667,-107.733333,CA-SK,,
-576336,-813384,administrative_region,"Yukon Territory","Yukon Territory",variant,63,-136,CA-YT,,
-576336,-813385,administrative_region,"Territoire du Yukon","Territoire du Yukon",variant,63,-136,CA-YT,,
-576321,-813364,hydrographic,"Young Inlet","Young Inlet",official,76.533333,-99.166667,CA-NU,,
-576308,-813344,hydrographic,"York Lake","York Lake",official,51.15,-102.466667,CA-SK,,
-576269,-813295,hydrographic,"Yanik Lake","Yanik Lake",official,65.366667,-118.6,CA-NT,,
-576288,-813317,hydrographic,"Lake Yelta","Lake Yelta",variant,66.916667,-129.383333,CA-NT,,
-576304,-813337,hydrographic,"Rivière York","Riviere York",official,48.833333,-64.6,CA-QC,,
-576476,-1129162,spot,"Fort Pepperrell","Fort Pepperrell",official,47.583333,-52.7,CA-NL,,
-576335,-800891,hydrographic,Jukchana,Jukchana,variant,62.533333,-163.9,S1-000,,
-576294,-800681,hydrographic,"Jackfish Lake","Jackfish Lake",variant,61.2,-123.766667,CA-NT,,
-576271,-813297,settlement,Yarmouth,Yarmouth,official,43.833965,-66.113926,CA-NS,,
-576336,-813355,administrative_region,Youcon,Youcon,variant,63,-136,CA-YT,,
-576280,-813306,settlement,"Yellow Grass","Yellow Grass",official,49.816667,-104.15,CA-SK,,
-576277,-813303,hydrographic,"Yathkyed Lake","Yathkyed Lake",official,62.7035543,-97.8758235,CA-NU,,
-576518,-1129160,park,"Règion de la Côte-Nord","Region de la Cote-Nord",official,50.5,-65,CA-QC,,
-576309,-813345,settlement,"York Mills","York Mills",official,43.75,-79.416667,CA-ON,,
-576297,-813328,hydrographic,"Yoho River","Yoho River",official,51.416667,-116.45,CA-BC,,
-576287,-813316,hydrographic,"Yellow-water River","Yellow-water River",official,57.783333,-101.533333,CA-MB,,
-576251,-813266,hydrographic,"Wylie Lake","Wylie Lake",official,65.666667,-117,CA-NT,,
-576334,-813382,hypsographic,"Yukon Plateau","Yukon Plateau",official,61.75,-139.166667,CA-YT,,
-576279,-813305,hydrographic,"Yellow Creek","Yellow Creek",official,52.183333,-81.666667,CA-ON,,
-576354,-813404,hydrographic,"Zinto Lake","Zinto Lake",official,64.083333,-116.416667,CA-NT,,
-576306,-813342,settlement,"York Factory","York Factory",official,57,-92.283333,CA-MB,,
-576291,-813322,hypsographic,"Yeomans Island","Yeomans Island",variant,72.2737093,-85.9518742,CA-NU,,
-576482,-1116651,settlement,"Rencontre East","Rencontre East",official,47.65,-55.233333,CA-NL,,
-576314,-813353,settlement,Yorkton,Yorkton,official,51.216667,-102.466667,CA-SK,,
-576323,-813366,hypsographic,"Young Island","Young Island",variant,66.9513357,-107.9920213,CA-NU,,
-576358,-792001,administrative_region,"Comté d’Abitibi","Comte d'Abitibi",variant,48,-76,CA-QC,,
-576348,-797074,hydrographic,"Duncan Creek","Duncan Creek",variant,62.116667,-128.466667,CA-NT,,
-576307,-813343,settlement,"York Harbour","York Harbour",official,49.05,-58.383333,CA-NL,,
-576284,-813311,hydrographic,"Yellowknife River","Yellowknife River",official,62.383333,-114.333333,CA-NT,,
-576288,-805107,hydrographic,"Nellie-Alice Lake","Nellie-Alice Lake",variant,66.916667,-129.383333,CA-NT,,
-576261,-813284,hydrographic,"Yakoun River","Yakoun River",official,53.653294,-132.197517,CA-BC,,
-576358,-792007,administrative_region,"Abitibi County","Abitibi County",variant,48,-76,CA-QC,,
-576303,-813336,administrative_region,"Regional Municipality of York","Regional Municipality of York",official,44,-79.5,CA-ON,,
-576286,-813315,hypsographic,"Yellow Valley","Yellow Valley",official,72.3,-86.5,CA-NU,,
-576335,-801768,hydrographic,Kwichpack,Kwichpack,variant,62.533333,-163.9,S1-000,,
-576312,-813349,hydrographic,"York River","York River",official,62.4165931,-66.486195,CA-NU,,
-576261,-813285,hydrographic,"Yakun River","Yakun River",variant,53.653294,-132.197517,CA-BC,,
-576268,-813294,hydrographic,"Yamba Lake","Yamba Lake",official,65,-111.333333,CA-NT,,
-576311,19989744,hydrographic,York,York,official,54.116667,-93.75,CA-MB,,
-575139,-811860,settlement,Tyndall,Tyndall,official,50.083333,-96.666667,CA-MB,,
-576290,-813320,hydrographic,"Yen Lake","Yen Lake",official,65.583333,-118.5,CA-NT,,
-576274,-813300,hydrographic,"Yarmouth Sound","Yarmouth Sound",official,43.798,-66.145,CA-NS,,
-576343,-813393,hypsographic,"Zebra Mountain","Zebra Mountain",official,53.566667,-118.416667,CA-AB,,
-576313,-800689,hydrographic,"Jackman Sound","Jackman Sound",variant,62.45,-66.416667,CA-NU,,
-576358,-1129159,administrative_region,Abitibi,Abitibi,official,48,-76,CA-QC,,
-576313,-800690,hydrographic,"Jackman Sound","Jackman Sound",variant,62.45,-66.416667,CA-NU,,
-576291,-813321,hypsographic,"Yeoman Island","Yeoman Island",official,72.2737093,-85.9518742,CA-NU,,
-576318,-813361,hydrographic,"Young Bay","Young Bay",official,62.5411528,-64.4121494,CA-NU,,
-576282,-813308,settlement,Yellowknife,Yellowknife,official,62.45,-114.35,CA-NT,,
-576352,19989686,hydrographic,Zigzag,Zigzag,official,70.9364169,-84.7838478,CA-NU,,
-576311,-813348,hydrographic,"York River","York River",official,54.116667,-93.75,CA-MB,,
-576336,13877866,administrative_region,Yukon,Yukon,official,63,-136,CA-YT,,
-576430,14021834,settlement,L’Île-Perrot,L'Ile-Perrot,official,45.4,-73.933333,CA-QC,,
-576281,-813307,hypsographic,"Yellowhead Pass","Yellowhead Pass",official,52.883333,-118.466667,CA-000,,
-576476,-806608,spot,"Fort Pepperell","Fort Pepperell",variant,47.583333,-52.7,CA-NL,,
-576358,-792011,administrative_region,Abitibi-Ouest,Abitibi-Ouest,variant,48,-76,CA-QC,,
-576297,19989213,hydrographic,Yoho,Yoho,official,51.416667,-116.45,CA-BC,,
-576288,-813318,hydrographic,"Yeltea Lake","Yeltea Lake",official,66.916667,-129.383333,CA-NT,,
-576330,-813277,hydrographic,"Yaculta Rapids","Yaculta Rapids",variant,50.383333,-125.15,CA-BC,,
-576326,-813371,hypsographic,"Young Point","Young Point",official,56.35,-78.916667,CA-NU,,
-576358,-792008,administrative_region,Abitibi-Est,Abitibi-Est,variant,48,-76,CA-QC,,
-576324,-813368,hydrographic,"Young Lake","Young Lake",official,48.416667,-123.766667,CA-BC,,
-576335,-813356,hydrographic,Youcon,Youcon,variant,62.533333,-163.9,S1-000,,
-576302,-813335,hypsographic,"Cape York","Cape York",official,73.815491,-86.9955749,CA-NU,,
-576322,-813365,hypsographic,"Young Island","Young Island",official,74.3222677,-98.6510209,CA-NU,,
-576266,-813291,hydrographic,"Rivière Yamaska","Riviere Yamaska",official,46.084783,-72.945799,CA-QC,,
-576347,-813397,settlement,Zehner,Zehner,official,50.566667,-104.45,CA-SK,,
-576257,-813274,settlement,Wyoming,Wyoming,official,42.95,-82.116667,CA-ON,,
-576355,-813405,hydrographic,"Zionz Lake","Zionz Lake",official,51.416667,-91.883333,CA-ON,,
-576351,13981234,hydrographic,"Lac Zeni","Lac Zeni",official,54.916667,-64.116667,CA-QC,,
-576300,-813333,settlement,Yonker,Yonker,official,52.65,-109.666667,CA-SK,,
-576357,-813408,hydrographic,"Zyena Lake","Zyena Lake",official,63.916667,-109.7,CA-NT,,
-576260,-813275,hydrographic,Yaac,Yaac,variant,48.55,-115.966667,S1-000,,
-576308,-802869,hydrographic,"Lowes Lake","Lowes Lake",variant,51.15,-102.466667,CA-SK,,
-576317,-813360,hypsographic,"Cape Young","Cape Young",official,68.9276659,-116.9504172,CA-NU,,
-576312,19989491,hydrographic,York,York,official,62.4165931,-66.486195,CA-NU,,
-576430,-1129164,settlement,Île-Perrot,Ile-Perrot,variant,45.4,-73.933333,CA-QC,,
-576333,-813381,settlement,"Yukon Crossing","Yukon Crossing",official,62.333333,-136.483333,CA-YT,,
-576352,-813402,hydrographic,"Zigzag River","Zigzag River",official,70.9364169,-84.7838478,CA-NU,,
-576402,-796565,settlement,"Deep River","Deep River",variant,46.166667,-77.566667,CA-ON,,
-576264,-813292,administrative_region,"Yamaska County","Yamaska County",variant,46,-72.833333,CA-QC,,
-576304,-813347,hydrographic,"York River","York River",variant,48.833333,-64.6,CA-QC,,
-576270,-813296,settlement,Yarker,Yarker,official,44.366667,-76.766667,CA-ON,,
-576340,-813390,hypsographic,"Zayas Island","Zayas Island",official,54.604333,-131.075091,CA-BC,,
-576255,-813272,hydrographic,"Wynniatt Bay","Wynniatt Bay",official,72.833333,-111,CA-000,,
