wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1204595,-1770288,hypsographic,"Horsburgh Island","Horsburgh Island",official,-12.07655,96.839563,CC-000,,
-1204594,-1770298,hypsographic,"New Selma Island","New Selma Island",variant,-12.11694,96.897202,CC-000,,
-1204590,-1770281,administrative_region,"Territory of Cocos (Keeling) Islands","Territory of Cocos (Keeling) Islands",official,-12,96.833333,CC-000,,
-1204604,14155579,hypsographic,"Pulu Beras","Pulu Beras",variant,-12.103682,96.886931,CC-000,,
-1204586,-1770272,hypsographic,"Pulo Blan Madar","Pulo Blan Madar",variant,-12.201071,96.879221,CC-000,,
-1204590,286109,administrative_region,"Cocos Islands","Cocos Islands",variant,-12,96.833333,CC-000,,
-1204593,-1770276,hypsographic,"Clunie Island","Clunie Island",variant,-12.105895,96.888247,CC-000,,
-1204591,14155564,hypsographic,"Pulo Tikus","Pulo Tikus",variant,-12.088878,96.883546,CC-000,,
-1204602,-1770302,hypsographic,"Pulo Pandang","Pulo Pandang",variant,-12.146768,96.920055,CC-000,,
-1204598,-1770293,hypsographic,"Klapa Sato","Klapa Sato",variant,-12.199949,96.883877,CC-000,,
-1204609,-1770315,hypsographic,"South Island","South Island",official,-12.191607,96.922875,CC-000,,
-1204601,-1770301,hydrographic,"North Lagoon","North Lagoon",official,-12.171211,96.8256,CC-000,,
-1204584,-1770269,hydrographic,"Alor Batu Kapala","Alor Batu Kapala",official,-12.116667,96.816667,CC-000,,
-1204593,-1770285,hypsographic,"Pulo Gangsa","Pulo Gangsa",variant,-12.105895,96.888247,CC-000,,
-1204599,13408116,hypsographic,"Pulu Maria","Pulu Maria",official,-12.199634,96.865992,CC-000,,
-1204609,-1770313,hypsographic,"Selma Island","Selma Island",variant,-12.191607,96.922875,CC-000,,
-1204595,-1770295,hypsographic,"Pulo Luar","Pulo Luar",variant,-12.07655,96.839563,CC-000,,
-1204612,-1770270,hypsographic,"Tanjong Batu Kapala","Tanjong Batu Kapala",variant,-12.13499,96.820463,CC-000,,
-1204617,-1770326,hypsographic,"Wreck Point","Wreck Point",official,-11.823785,96.822185,CC-000,,
-1204605,14146039,hypsographic,"Tanjong Pugi","Tanjong Pugi",official,-12.192416,96.858495,CC-000,,
-1204599,-1770322,hypsographic,"West Cay","West Cay",variant,-12.199634,96.865992,CC-000,,
-1204609,-1770312,hypsographic,Selma,Selma,variant,-12.191607,96.922875,CC-000,,
-1204609,-1770311,hypsographic,"Selima Island","Selima Island",variant,-12.191607,96.922875,CC-000,,
-1204612,-1770320,hypsographic,"Ujong Tanjong","Ujong Tanjong",official,-12.13499,96.820463,CC-000,,
-1204594,-1770277,hypsographic,"Clunies Ross","Clunies Ross",variant,-12.11694,96.897202,CC-000,,
-1204604,-1770305,hypsographic,"Prison Island","Prison Island",official,-12.103682,96.886931,CC-000,,
-1204608,-1770314,hypsographic,"Pulo Siput","Pulo Siput",variant,-12.153424,96.918055,CC-000,,
-1204586,-1770273,hypsographic,"Burial Island","Burial Island",variant,-12.201071,96.879221,CC-000,,
-1204605,-1770306,hypsographic,"Tanjong Puji","Tanjong Puji",variant,-12.192416,96.858495,CC-000,,
-1204586,14147499,hypsographic,"Pulu Belan Madar","Pulu Belan Madar",official,-12.201071,96.879221,CC-000,,
-1204616,-1770325,hypsographic,"Workhouse Island","Workhouse Island",official,-12.1,96.883333,CC-000,,
-1204590,14062202,administrative_region,"Cocos (Keeling) Islands","Cocos (Keeling) Islands",official,-12,96.833333,CC-000,,
-1204587,-1770291,hypsographic,"Keche Pecha","Keche Pecha",variant,-12.20413,96.840117,CC-000,,
-1204611,-1770319,hydrographic,"South Lagoon","South Lagoon",official,-12.199509,96.848188,CC-000,,
-1204601,13408104,hydrographic,"Teluk Jambu","Teluk Jambu",variant,-12.171211,96.8256,CC-000,,
-1204583,-1770268,settlement,"Bantam Village","Bantam Village",official,-12.117709,96.896155,CC-000,,
-1204598,-1770294,hypsographic,"Pulo Klapa Satu","Pulo Klapa Satu",official,-12.199949,96.883877,CC-000,,
-1204592,-1770283,hydrographic,"Dymoke Shoal","Dymoke Shoal",official,-12.1,96.883333,CC-000,,
