wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1351635,-1946171,hydrographic,Yon,Yon,official,5.933333,15.933333,CF-000,,
-1348236,-1942295,hydrographic,Naï,Nai,official,6.483333,15.75,CF-000,,
-1346948,-1940823,hydrographic,Loufin,Loufin,official,6.1,21.15,CF-000,,
-1345548,-1939279,hydrographic,Karé,Kare,official,6.454722,17.204125,CF-000,,
-1339969,-1932964,hydrographic,Bé,Be,official,7.106208,15.680904,CF-OP,,
10844972,11761807,settlement,Naya,Naya,official,7.476464,18.956183,CF-KB,,
10862448,11814787,settlement,Ongo,Ongo,official,5.490787,19.130626,CF-KG,,
-1350598,-1944967,hydrographic,Takoyo,Takoyo,official,5.083333,14.883333,CF-000,,
-1350279,-1944591,settlement,Saoua,Saoua,official,4.582553,21.286306,CF-000,,
-1349772,-1944021,hydrographic,Pendé,Pende,official,5.133333,20.466667,CF-000,,
-1351062,-1945512,hydrographic,Voanin,Voanin,official,5.563104,16.15582,CF-000,,
-1349871,-1944128,hydrographic,Poangui,Poangui,official,5.766667,20.5,CF-000,,
-1350001,-1944264,settlement,Pouko,Pouko,official,5.944074,19.793587,CF-UK,,
-1350340,-1944666,hydrographic,Sengué,Sengue,official,4.616667,15.266667,CF-000,,
-1350452,-1944805,hydrographic,Sole,Sole,official,6.483333,17.016667,CF-000,,
-1350568,-1944935,settlement,Tagoua,Tagoua,official,4.95,21.383333,CF-000,,
-1349505,-1943726,settlement,Ourou,Ourou,official,5.119474,20.713287,CF-000,,
-1349768,-1944017,settlement,Pembio,Pembio,official,5.666667,27.066667,CF-000,,
-1350307,-1944628,hydrographic,Sayé,Saye,official,5.05,14.933333,CF-000,,
-1350002,-1944265,settlement,Poukou,Poukou,official,5.45,20.35,CF-000,,
-1349775,-1944024,hydrographic,Pendé,Pende,official,5.338437,20.716558,CF-000,,
-1351065,-1945515,hydrographic,Vohio,Vohio,variant,7.286776,17.545978,CF-AC,,
-1349648,-1943887,settlement,Panenga,Panenga,official,6.45,21.65,CF-000,,
-1349770,-1944019,settlement,Pendé,Pende,official,6.515993,21.986222,CF-000,,
-1350447,-1944800,settlement,Sola,Sola,official,4.266632,15.438833,CF-000,,
-1350448,-1944801,settlement,Solam,Solam,official,4.966667,17.05,CF-000,,
-1350061,-1944325,hydrographic,Poye,Poye,official,5.405886,25.604583,CF-000,,
-1349769,-1944018,settlement,Pendé,Pende,official,6.327378,22.004413,CF-000,,
-1349835,-1944089,hydrographic,Pimendou,Pimendou,official,5.8,21.5,CF-000,,
-1350058,-1944322,hydrographic,Pouye,Pouye,official,4.983333,16.8,CF-000,,
-1349879,-1944136,hydrographic,Pofola,Pofola,official,5.95,17.233333,CF-000,,
-1350224,-1944521,hydrographic,Sambebe,Sambebe,official,4.6,16.516667,CF-000,,
-1349876,-1944133,hydrographic,Podolo,Podolo,official,5.166667,20.316667,CF-000,,
-1350600,-1944969,settlement,Takpa,Takpa,official,3.8,16.716667,CF-000,,
-1350566,-1944933,settlement,Tagbra,Tagbra,official,5.925385,21.152467,CF-000,,
-1350890,-1945298,hydrographic,Tongolo,Tongolo,official,4.133333,18.35,CF-000,,
