wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2207380,-3054286,settlement,Lémé,Leme,official,1.885,16.111389,CG-13,,
-2204883,-3051326,hydrographic,Baréké,Bareke,official,3.2,17.1,CG-7,,
-2204799,-3051227,hydrographic,Bamé,Bame,official,-2.371944,13.711389,CG-2,,
-2208691,-3055833,hydrographic,Mikanga,Mikanga,official,3.05,18.116667,CG-7,,
-2206445,-3053224,hypsographic,Kamba,Kamba,official,-4.766667,13.45,CG-9,,
-2210380,-3057775,settlement,Oyéba,Oyeba,official,-0.431667,15.6,CG-8,,
-2207551,-3054498,hydrographic,Lokou,Lokou,official,1.483333,14.2,CG-13,,
-2207550,-3054497,hydrographic,Lokoma,Lokoma,official,-4.4,12.3,CG-5,,
-2208213,-3055289,hydrographic,Mankongo,Mankongo,official,-3.8825,14.541667,CG-12,,
-2207411,-3054322,hydrographic,Lessi,Lessi,official,-1.136111,15.955833,CG-8,,
-2208368,-3055460,settlement,Mayala,Mayala,official,-4.35,15.15,CG-BZV,,
-2209978,102174,settlement,Oboli,Oboli,official,-0.360833,14.193056,CG-15,,
-2210379,-3057774,settlement,Oyeba,Oyeba,official,0.016667,15.533333,CG-8,,
-2206760,-3053577,hydrographic,Kimié,Kimie,official,-3.995556,14.261111,CG-11,,
-2208929,-3056103,hydrographic,Molapa,Molapa,official,1.9,16.116667,CG-13,,
-2208689,-3055830,settlement,Migoumbi,Migoumbi,official,-2.744444,11.728056,CG-9,,
-2206648,-3053460,settlement,Kikanga,Kikanga,official,-4.345278,13.885556,CG-11,,
-2209927,-3057274,hydrographic,Nzaou,Nzaou,official,-4.015278,13.999722,CG-11,,
-2208013,-3055056,hydrographic,Makokou,Makokou,official,3.683333,17.5,CG-7,,
-2204484,-3050877,hydrographic,Abetiti,Abetiti,official,0.016667,15.616667,CG-8,,
-2208338,-3055430,settlement,Matoto,Matoto,official,-2.801667,12.6625,CG-9,,
-2210885,-3058370,hydrographic,Tsama,Tsama,official,-0.46,14.639722,CG-15,,
-2207962,-3054997,settlement,Mahoukou,Mahoukou,official,-4,15.333333,CG-BZV,,
-2210335,-3057721,hydrographic,Ouaoua,Ouaoua,official,-4.483333,12.516667,CG-5,,
-2208946,-3056126,hydrographic,Momokoik,Momokoik,official,1.916667,14,CG-13,,
-2207077,-3053919,settlement,Koko,Koko,official,-3.333333,12.5,CG-9,,
-2208214,-3055290,hydrographic,Mankongo,Mankongo,official,-4.450833,14.7675,CG-12,,
-2208945,-3056125,hydrographic,Momboyo,Momboyo,official,2.2,16.2,CG-13,,
-2207783,-3054778,hydrographic,Loumou,Loumou,official,-4.15,15.143889,CG-BZV,,
-2206574,-3053377,hydrographic,Kiana,Kiana,official,-2.5975,12.595,CG-9,,
-2206527,-3053326,hypsographic,Kébiti,Kebiti,official,-2.616667,13.85,CG-2,,
-2208402,-3055503,settlement,Mayouka,Mayouka,official,1.548333,15.697778,CG-13,,
-2209306,-3056544,settlement,Mouyabi,Mouyabi,official,-3.091389,12.875278,CG-9,,
-2209694,-3057000,hydrographic,Ngoungou,Ngoungou,official,-0.266667,14.716667,CG-15,,
-2211012,-3058527,settlement,Yanga,Yanga,official,-4.15,12.766667,CG-9,,
-2208366,-3055458,settlement,Mayala,Mayala,official,-3.771111,14.3575,CG-12,,
-2206081,-3052786,settlement,Goumbi,Goumbi,official,-4.028333,11.333611,CG-5,,
-2207053,-3053893,hydrographic,Kitzouni,Kitzouni,official,-2.527778,14.001111,CG-2,,
-2209308,-3056546,settlement,Mouyala,Mouyala,official,-3.007778,13.195833,CG-2,,
-2210988,-3058501,settlement,Yaba,Yaba,official,-1.046111,15.736389,CG-14,,
-2207549,-3054496,hydrographic,Lokola,Lokola,official,-4.366667,12.360556,CG-5,,
-2209925,-3057272,settlement,Nzaon,Nzaon,official,-3.4275,15.221944,CG-12,,
-2209487,-3056760,settlement,Ndéba,Ndeba,official,-3.745278,14.573889,CG-12,,
46173,59074,settlement,Mamba,Mamba,official,-4.201667,14.5325,CG-12,,
-2209981,-3057333,settlement,Obéré,Obere,official,-1.176111,14.957778,CG-8,,
-2206531,-3053330,hydrographic,Kebouya,Kebouya,official,-0.733333,14.816667,CG-15,,
-2208367,-3055459,settlement,Mayala,Mayala,official,-4.019444,15.276111,CG-BZV,,
-2206870,-3053696,settlement,Kingoma,Kingoma,official,-3.72,14.535,CG-12,,
-2207719,-3054706,hydrographic,Loukoko,Loukoko,official,-4.424722,14.708056,CG-12,,
-2210336,-3057722,hydrographic,Ouassika,Ouassika,official,-0.568611,15.129167,CG-000,,
