wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2129024,-2952940,hydrographic,Yabi,Yabi,official,6.454349,-3.648031,CI-CM,,
-2128918,-2952808,hydrographic,Wasa,Wasa,official,8.711528,-7.463526,CI-000,,
-2128335,-2952096,hydrographic,Tô,To,short,7.75,-5.833333,CI-000,,
-2127879,-2951443,hydrographic,Tani,Tani,official,5.10321,-7.472029,CI-BS,,
-2127679,-2951199,hypsographic,Sra,Sra,official,7.5,-8.166667,CI-MG,,
-2125202,-2948069,settlement,Niabo,Niabo,official,7.4,-4.25,CI-LC,,
-2124823,-2947589,settlement,Namoué,Namoue,official,7,-3.8,CI-LC,,
-2124140,-2946709,hydrographic,Maï,Mai,official,6.684632,-8.404334,CI-MG,,
-2120496,-2942228,hydrographic,Gono,Gono,official,8.743006,-5.210636,CI-000,,
-2120432,-2942152,hydrographic,Goi,Goi,official,9.3,-5.216667,CI-000,,
-2117633,-2938696,hydrographic,Bolo,Bolo,official,8.476661,-8.026631,CI-000,,
-2128081,9200170,hypsographic,Tyana,Tyana,variant,9.225556,-6.912778,CI-DN,,
-2127359,-2950820,settlement,Sogo,Sogo,official,8.036697,-3.167427,CI-ZZ,,
-2127574,-2951077,settlement,Souéré,Souere,official,5.033967,-7.468308,CI-BS,,
-2127601,-2951105,hydrographic,Souko,Souko,official,9.648922,-7.906639,CI-DN,,
-2127507,-2951000,hydrographic,Sonzon,Sonzon,official,8.06254,-7.836166,CI-000,,
-2127597,-2951101,hydrographic,Souko,Souko,official,9.522293,-7.837265,CI-DN,,
-2128926,-2952819,settlement,Waté,Wate,variant,4.432466,-7.538582,CI-BS,,
-2127327,-2950782,settlement,Soba,Soba,official,8.565238,-6.615434,CI-WR,,
-2129319,-2953312,hydrographic,Zabobo,Zabobo,official,5.433333,-5.333333,CI-000,,
-2128396,-2952177,hydrographic,Ton,Ton,official,7.463964,-8.192651,CI-MG,,
-2127359,-2950816,settlement,Sogho,Sogho,variant,8.036697,-3.167427,CI-ZZ,,
-2129532,-2953580,hydrographic,Zigui,Zigui,official,8.142956,-3.635326,CI-ZZ,,
-2128305,-2952054,hydrographic,Tioro,Tioro,official,7.466667,-4.9,CI-LC,,
-2127600,-2951104,hydrographic,Souko,Souko,official,9.637388,-7.842387,CI-DN,,
-2129341,-2953341,settlement,Zaguié,Zaguie,official,6.939444,-6.039167,CI-SM,,
-2128612,-2952441,settlement,Trenlé,Trenle,short,7.183333,-7.616667,CI-MG,,
-2127328,-2950783,settlement,Soba,Soba,official,8.951203,-7.799217,CI-WR,,
-2128265,-2951992,hydrographic,Tinga,Tinga,official,9.2,-6.766667,CI-000,,
-2127598,-2951102,hydrographic,Souko,Souko,official,9.977822,-7.107855,CI-DN,,
-2127326,-2950781,settlement,Soba,Soba,official,7.850191,-6.674924,CI-WR,,
-2128264,-2951991,hydrographic,Tinga,Tinga,official,8.835886,-7.192443,CI-000,,
-2128395,-2952176,hydrographic,Ton,Ton,official,8.371338,-7.137695,CI-000,,
-2127358,-2950819,settlement,Sogo,Sogo,official,7.920278,-3.204167,CI-ZZ,,
-2128058,-2951682,hydrographic,Tété,Tete,official,7.596123,-3.661491,CI-000,,
-2127949,-2951538,settlement,Tatikro,Tatikro,official,7.754278,-5.095751,CI-VB,,
-2127693,-2951216,hydrographic,Sumin,Sumin,official,6.406004,-7.833268,CI-MG,,
-2127950,-2951541,settlement,Tatu,Tatu,variant,4.612,-7.395187,CI-BS,,
-2128614,-2952443,hydrographic,Trétet,Tretet,official,6.670048,-3.794503,CI-CM,,
-2127998,-2951597,hydrographic,Tein,Tein,official,8.021893,-2.695215,CI-ZZ,,
-2128659,-2952501,hydrographic,Tya,Tya,official,5.233333,-6.833333,CI-000,,
-2127599,-2951103,hydrographic,Souko,Souko,official,9.452162,-8.060132,CI-DN,,
-2127443,-2950925,settlement,Solona,Solona,official,9.35,-5.683333,CI-SV,,
-2129362,-2953370,settlement,Zakué,Zakue,official,6.256149,-7.006887,CI-BS,,
-2128397,-2952178,settlement,Tonafou,Tonafou,official,9.733333,-3.733333,CI-ZZ,,
-2129023,-2952939,settlement,Yabéné,Yabene,official,7.8,-3,CI-ZZ,,
-2129363,-2953371,hydrographic,Zakué,Zakue,official,6.216602,-7.050744,CI-BS,,
-2127324,-2950779,settlement,Soapleu,Soapleu,official,7.186412,-7.549551,CI-MG,,
-2128928,-2952821,settlement,Waté,Wate,official,4.579342,-7.008861,CI-BS,,
-2128331,-2952091,settlement,Titikoa,Titikoa,official,7.816667,-3.016667,CI-ZZ,,
-2128615,-2952444,hydrographic,Tribo,Tribo,official,6.018278,-6.029888,CI-GD,,
-2129278,-2953250,settlement,Yomya,Yomya,official,7.816667,-2.933333,CI-ZZ,,
-2127360,-2950821,settlement,Sogo,Sogo,official,9.653083,-6.292498,CI-SV,,
-2127445,-2950927,settlement,Soloni,Soloni,official,10.11156,-5.567196,CI-SV,,
-2129021,-2952937,settlement,Yabayo,Yabayo,official,5.938763,-6.598263,CI-BS,,
-2127329,-2950784,hydrographic,Sobaga,Sobaga,official,9.532565,-7.226538,CI-000,,
-2127444,-2950926,settlement,Solona,Solona,official,9.57269,-5.586223,CI-SV,,
-2127325,-2950780,settlement,Soba,Soba,official,7.80556,-7.317308,CI-MG,,
-2129025,-2953103,hydrographic,Yapi,Yapi,variant,6.431667,-3.848333,CI-LG,,
-2128613,-2952442,settlement,Trépoint,Trepoint,official,4.966667,-6,CI-000,,
-2129022,-2952938,hydrographic,Yabédo,Yabedo,official,5.655556,-6.026111,CI-000,,
-2127596,-2951100,settlement,Souké,Souke,official,4.37959,-7.422337,CI-BS,,
-2123554,-2946001,settlement,Lélé,Lele,official,10.373072,-7.641394,CI-DN,,
-2121847,-2943979,hydrographic,Koba,Koba,official,9.294042,-7.508264,CI-DN,,
-2118882,-2940287,hydrographic,Diodia,Diodia,official,5.039722,-5.840833,CI-BS,,
-2117420,-2938449,hydrographic,Bobo,Bobo,official,6.273063,-5.166061,CI-LG,,
-2121811,-2943943,hydrographic,Koba,Koba,official,7.923789,-7.505677,CI-000,,
-2119529,-2941080,hydrographic,Fahnan,Fahnan,official,9.75,-5.25,CI-000,,
-2117752,-2938854,hydrographic,Booko,Booko,official,9.483261,-7.888899,CI-DN,,
-2119653,-2941221,hydrographic,Farako,Farako,official,10.387341,-7.71687,CI-DN,,
-2117214,-2938194,hydrographic,Biko,Biko,official,8.933333,-3.9,CI-000,,
-2123911,-2946427,hydrographic,Loonye,Loonye,official,8.836301,-6.883216,CI-WR,,
-2123764,-2946255,settlement,Lôho,Loho,official,8.680939,-5.130491,CI-VB,,
-2117598,-2938658,hydrographic,Boko,Boko,official,8.368809,-7.587902,CI-000,,
-2126423,-2949660,settlement,Plioua,Plioua,official,6.843153,-4.475743,CI-LC,,
-2120189,-2941868,settlement,Gbéné,Gbene,official,7.516086,-7.717818,CI-MG,,
-2116730,-2937597,settlement,Bapé,Bape,official,4.704939,-7.55634,CI-BS,,
-2119651,-2941219,hydrographic,Farako,Farako,official,9.957922,-7.132319,CI-DN,,
