wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2778356,-3857615,park,Polynesia,Polynesia,colloquial,-10,-150,S1-000,,
-1204860,-1770668,hydrographic,"Ruahara Anchorage","Ruahara Anchorage",official,-8.966667,-158,CK-000,,
-1204620,-1770327,spot,Aanga,Aanga,variant,-20.17217,-157.32296,CK-000,,
-1204845,-1770649,hypsographic,Raemaru,Raemaru,official,-21.235833,-159.813056,CK-000,,
-1204670,-1770392,spot,"Avarua Landing","Avarua Landing",official,-21.911448,-157.953444,CK-000,,
-1204915,-1770748,hypsographic,Tekoutu,Tekoutu,variant,-18.891667,-159.795,CK-000,,
-1204878,-1770839,hypsographic,Wenooaette,Wenooaette,variant,-19.812298,-158.288379,CK-000,,
-1204859,-1770669,hypsographic,"Ruahara Island","Ruahara Island",variant,-8.929947,-157.973375,CK-000,,
-1204706,-1770454,hydrographic,"Kopuaonu Passage","Kopuaonu Passage",official,-18.833333,-159.733333,CK-000,,
-1204888,-1770713,hydrographic,Tauae,Tauae,official,-21.2,-159.766667,CK-000,,
-1204737,18736801,settlement,"Mapumai Village","Mapumai Village",official,-19.989095,-158.119415,CK-000,,
-1204686,-1770420,hydrographic,"Greenlands Benefit","Greenlands Benefit",official,-13.266667,-163.116667,CK-000,,
-1204667,9215914,hydrographic,"Avana Stream","Avana Stream",official,-21.246852,-159.72951,CK-000,,
-1204783,-1770572,hypsographic,Nuitikainga,Nuitikainga,official,-8.919293,-158.003629,CK-000,,
-1204745,9215912,hydrographic,"Matavera Stream","Matavera Stream",official,-21.222599,-159.734325,CK-000,,
-1204878,-1770602,hypsographic,Otakootaia,Otakootaia,variant,-19.812298,-158.288379,CK-000,,
-1204692,-1770435,hypsographic,Hunanui,Hunanui,official,-10.021941,-161.084223,CK-000,,
-1204790,-1770580,park,"Nu Turuma","Nu Turuma",official,-20,-158.116667,CK-000,,
-1204864,-1770676,hypsographic,Sanisanireka,Sanisanireka,official,-9.116667,-157.966667,CK-000,,
-1204841,-1770645,hypsographic,"Pukapuka Atoll","Pukapuka Atoll",official,-10.833333,-165.833333,CK-000,,
-1204933,-1770768,hypsographic,"Te Rua Manga","Te Rua Manga",official,-21.238889,-159.789167,CK-000,,
-1204924,-1770758,park,Teonepukeiara,Teonepukeiara,official,-20.166667,-157.366667,CK-000,,
-1204643,-1770354,hydrographic,Araki,Araki,official,-20.016667,-158.133333,CK-000,,
-1204697,-1770443,park,Kakari,Kakari,official,-20.116667,-157.383333,CK-000,,
-1204968,-1770815,hydrographic,Urumatia,Urumatia,official,-20.033333,-158.1,CK-000,,
-1204883,-1770845,hypsographic,"Young’s Tooth","Young's Tooth",variant,-21.23513,-159.780345,CK-000,,
-1204878,-1770840,hypsographic,"Wenua Iti","Wenua Iti",variant,-19.812298,-158.288379,CK-000,,
-1204621,-1770328,hypsographic,Ahaumanu,Ahaumanu,variant,-9.116667,-157.966667,CK-000,,
-1204735,-1770498,hydrographic,Manureva,Manureva,official,-21.216667,-159.766667,CK-000,,
-1204727,-1770486,hydrographic,"Manihiki Anchorage","Manihiki Anchorage",official,-10.383333,-161.05,CK-000,,
-1204622,-1770330,hypsographic,Ahuapapa,Ahuapapa,official,-9.080613,-157.94735,CK-000,,
-1204689,-1770423,hypsographic,Hangarea,Hangarea,variant,-9.027848,-158.010762,CK-000,,
-1204857,-1770665,hypsographic,"Royston Patch","Royston Patch",official,-13.283333,-163.116667,CK-000,,
-1204984,-1770834,hydrographic,Waipapa,Waipapa,official,-20.05,-158.116667,CK-000,,
-1204929,-1770765,hypsographic,"Tepuka Island","Tepuka Island",variant,-9.029178,-157.88396,CK-000,,
