wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3159924,20334958,administrative_region,Wouri,Wouri,official,4,9.666667,CM-LT,,
-3159854,-4456743,hydrographic,Wara,Wara,official,7.55,14.083333,CM-000,,
-3158958,-4455598,settlement,Sini,Sini,official,7.433333,14.533333,CM-NO,,
-3158866,-4455479,hydrographic,Semwoum,Semwoum,official,5.066667,11.35,CM-CE,,
-3158688,-4455260,settlement,"Samba III","Samba III",official,4.45,12.933333,CM-ES,,
-3157738,-4454092,hydrographic,Oka,Oka,official,4.433333,11.983333,CM-CE,,
-3152797,-4448157,hydrographic,Mba,Mba,official,2.416667,10.75,CM-SU,,
-3150546,-4445316,hydrographic,Kaya,Kaya,official,6.35,14.533333,CM-AD,,
-3150080,-4444649,hydrographic,Guira,Guira,official,6,13.666667,CM-000,,
-3149799,-4444282,hypsographic,Gogomama,Gogomama,official,4.816667,14.5,CM-ES,,
-3149604,-4444021,settlement,Garamti,Garamti,official,7.466667,12.633333,CM-AD,,
-3149586,-4443996,settlement,Ganmba,Ganmba,official,8.119977,13.574846,CM-NO,,
-3149249,-4443568,settlement,Fang,Fang,official,6.516667,10.25,CM-NW,,
-3146554,-4440212,settlement,Berabi,Berabi,official,6.75,10.733333,CM-NW,,
-3144763,-4437978,settlement,Aba,Aba,official,5.6,14.05,CM-ES,,
10193936,10497764,settlement,Sifna,Sifna,official,11.127709,15.013995,CM-EN,,
10139734,10400635,settlement,Goh,Goh,official,10.131592,14.839165,CM-EN,,
10140086,10401118,settlement,Piwa,Piwa,official,10.06132213,14.42116163,CM-EN,,
11992123,14739118,settlement,Mora,Mora,official,10.882923,13.959794,CM-EN,,
11893448,14526481,settlement,Adjia,Adjia,official,9.8873,13.606737,CM-NO,,
12091227,14885845,settlement,Anyene,Anyene,official,5.79284,10.020943,CM-NW,,
11992783,14739919,settlement,Vogoua,Vogoua,official,10.858935,13.952728,CM-EN,,
11769539,14254744,settlement,Mbou,Mbou,official,5.109672,10.456733,CM-OU,,
12041265,14810776,hydrographic,Bili,Bili,official,10.080622,13.735701,CM-NO,,
11900349,14540605,settlement,Ram,Ram,official,9.504467,13.496263,CM-NO,,
12006279,14758092,settlement,Bazoa,Bazoa,official,10.831559,13.924369,CM-EN,,
11766974,14251179,settlement,Moummé,Moumme,official,5.161579,10.055696,CM-OU,,
11941073,14632322,hydrographic,Ldor,Ldor,official,11.014244,13.798695,CM-EN,,
11991835,14738973,settlement,Hijé,Hije,official,10.872689,13.831047,CM-EN,,
11916609,14572613,hydrographic,Gama,Gama,official,6.744424,12.01115,CM-AD,,
12013706,14768367,hydrographic,Mouksi,Mouksi,official,10.525486,13.613415,CM-EN,,
11773634,14263152,settlement,Tsem,Tsem,official,5.381929,10.197006,CM-OU,,
12013966,14768687,settlement,Mokon,Mokon,official,10.529792,13.987361,CM-EN,,
13807219,17625379,settlement,Gio,Gio,variant,12.441801,14.341235,CM-EN,,
-3144972,-4438221,settlement,Adzap,Adzap,official,3.283333,11.616667,CM-CE,,
-3151296,-4446247,settlement,Lakta,Lakta,official,12.101584,14.904264,CM-EN,,
-3151299,-4446252,hydrographic,Lala,Lala,official,3.8,12.35,CM-CE,,
-3149798,-4444281,settlement,Gogom,Gogom,official,10.824964,14.791499,CM-EN,,
-3153836,-4449367,hydrographic,Mengana,Mengana,official,2.483333,11.2,CM-SU,,
-3149013,-4443287,hydrographic,Enjoo,Enjoo,official,2.166667,11.333333,CM-SU,,
-3153834,-4449365,settlement,Mengan,Mengan,official,4,12.183333,CM-CE,,
-3151954,-4447102,settlement,Madouba,Madouba,official,12.2,14.866667,CM-EN,,
-3154651,-4450313,hydrographic,Mogo,Mogo,official,5.683333,10.483333,CM-OU,,
-3145410,-4438757,hydrographic,Aoudou,Aoudou,official,4.8,14.6,CM-ES,,
-3150776,-4445595,hydrographic,Kokzara,Kokzara,official,5.683333,14.083333,CM-ES,,
-3156013,-4452016,hypsographic,"The Neck","The Neck",official,4.516667,8.566667,CM-SW,,
-3145003,-4438259,hydrographic,Afoumou,Afoumou,official,3.583333,12.45,CM-SU,,
