wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1109803,-1640440,settlement,Unión,Union,official,10.48974,-84.836085,CR-G,,
-1108948,-1639356,settlement,Salado,Salado,official,9.655564,-84.038563,CR-SJ,,
-1107924,-1638028,settlement,Loma,Loma,official,9.542378,-84.388792,CR-P,,
-1107619,-1637558,settlement,Joya,Joya,official,9.816816,-84.080862,CR-SJ,,
-1108107,-1638286,settlement,Mona,Mona,official,8.599191,-83.090207,CR-P,,
-1107860,-1637950,settlement,Legua,Legua,official,10.244866,-84.38738,CR-A,,
-1106277,-1635653,settlement,Bolas,Bolas,official,9.082507,-83.210009,CR-P,,
14808303,19387517,settlement,Llobet,Llobet,official,10.0119,-84.2178,CR-A,,
15274966,20419005,settlement,Bordón,Bordon,official,9.75307,-82.87696,CR-L,,
15210342,20301538,settlement,Boston,Boston,official,9.378574,-83.708295,CR-SJ,,
15277757,20423366,spot,Inu,Inu,official,9.646382,-82.74652,CR-L,,
15152818,20205671,spot,Vani,Vani,official,9.73853,-84.966607,CR-P,,
15233345,20331806,spot,Bogue,Bogue,official,10.583986,-83.527831,CR-L,,
15152929,20205702,spot,Quera,Quera,official,9.824271,-84.88956,CR-P,,
15210199,20301237,settlement,Gloria,Gloria,official,9.3683,-83.5517,CR-SJ,,
15246469,20365877,settlement,Conte,Conte,official,8.442083,-83.036846,CR-P,,
15057585,19966807,spot,Coco,Coco,official,10.549135,-85.71262,CR-G,,
15121903,20140829,settlement,Perla,Perla,official,11.042207,-84.676017,CR-A,,
15210224,20301262,settlement,Linda,Linda,official,9.366171,-83.650193,CR-SJ,,
15246317,20365845,settlement,Banco,Banco,official,8.351691,-83.130007,CR-P,,
15069753,20006887,spot,Pajón,Pajon,official,10.455381,-85.463151,CR-G,,
15160241,20215808,settlement,Gregg,Gregg,official,9.983142,-84.710964,CR-P,,
15071241,20010000,spot,Jerin,Jerin,official,9.834711,-85.011689,CR-P,,
-1109764,-1640386,settlement,Tuis,Tuis,official,9.838925,-83.580912,CR-C,,
