wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1313598,-1900833,administrative_region,"Concelho de São Nicolau","Concelho de Sao Nicolau",official,16.583333,-24.25,CV-000,1,
-1313187,-1900341,administrative_region,"Concelho do Fogo","Concelho do Fogo",official,14.916667,-24.416667,CV-000,1,
-1312884,-1899991,hypsographic,"Ponta do Alcatraz","Ponta do Alcatraz",official,14.933333,-23.683333,CV-RS,,
-1313211,-1900368,hypsographic,"Ponta Furada","Ponta Furada",official,14.816667,-24.433333,CV-SF,,
-1313024,-1900147,hypsographic,"Ponta do Campanário","Ponta do Campanario",official,16.9224116,-25.1752331,CV-PN,,
-1313643,-1900878,settlement,Tarrafal,Tarrafal,official,17.18350799,-25.06238298,CV-RG,,
-1313420,-1900623,hydrographic,"Ribeira das Pedras","Ribeira das Pedras",official,16.58303444,-24.38603355,CV-TS,,
-1313304,-1900485,settlement,"Lombo de Galinha","Lombo de Galinha",official,17.13560815,-25.21360741,CV-RG,,
-1313566,-1900795,settlement,"Sal Rei","Sal Rei",official,16.176111,-22.917222,CV-BV,,
-1313555,-1900781,hydrographic,"Baía de Salamansa","Baia de Salamansa",official,16.916667,-24.95,CV-SV,,
-1313287,-1900464,hypsographic,"Lajedo dos Espargos","Lajedo dos Espargos",official,16.733333,-22.933333,CV-SL,,
-1313530,-1900755,hypsographic,"Morro da Ribeira Larguinha","Morro da Ribeira Larguinha",variant,17.02933356,-25.28171031,CV-PN,,
-1313405,-1900606,hypsographic,"Ponta Pataca","Ponta Pataca",official,16.54317011,-24.28350757,CV-RB,,
-1313203,-1900516,hypsographic,"Ponta Marigou",PontaMarigou,variant,16.9079031,-24.9040473,CV-SV,,
-1313382,-1900581,hypsographic,"Ponta de Nossa Senhora do Socorro","Ponta de Nossa Senhora do Socorro",official,14.85,-24.466667,CV-SF,,
-1313199,-1900354,settlement,Forno,Forno,official,14.883333,-24.45,CV-SF,,
-1313103,-1900241,hypsographic,"Ponta Cruz de Pau","Ponta Cruz de Pau",official,16.93761647,-25.16239053,CV-PN,,
-1313123,-1900266,hypsographic,"Monte Duarte","Monte Duarte",official,14.916667,-24.416667,CV-CF,,
-1313680,-1900933,settlement,"Vila da Ribeira Brava","Vila da Ribeira Brava",variant,16.615833,-24.298333,CV-RB,,
-1313324,-1900512,hydrographic,"Ribeira Manuel Lopes","Ribeira Manuel Lopes",variant,16.95774078,-25.14773451,CV-PN,,
-1313552,14088240,administrative_region,Sal,Sal,official,16.75,-22.916667,CV-SL,,
-1313150,-1900303,settlement,Fajãzinha,Fajazinha,official,15.05,-24.35,CV-MO,,
-1313686,-1900946,hydrographic,"Ribeira da Vinha","Ribeira da Vinha",official,16.866667,-25.016667,CV-SV,,
-1313068,-1900204,hydrographic,"Ribeira Chão de São Pedro","Ribeira Chao de Sao Pedro",variant,16.82843941,-25.07026854,CV-SV,,
-1313587,-1900837,settlement,"São Tiago","Sao Tiago",variant,15.133333,-23.533333,CV-CR,,
-1312903,-1900011,hypsographic,"Monte António Gomes","Monte Antonio Gomes",variant,16.88694034,-24.9303948,CV-SV,,
-1313469,12290644,administrative_region,Praia,Praia,official,14.95,-23.516667,CV-PR,,
-1313059,-1900208,settlement,"Chã Queimada","Cha Queimada",official,17.14359688,-25.19149698,CV-RG,,
-1312885,-1899992,hydrographic,"Ponto do Alcatraz","Ponto do Alcatraz",official,14.833333,-24.316667,CV-CF,,
-1312941,-1900054,hypsographic,"Ponta Bicuda","Ponta Bicuda",official,15.33465417,-23.71448654,CV-TA,,
-1312877,-1899983,settlement,"Água das Fortes","Agua das Fortes",official,16.97024122,-25.21442976,CV-PN,,
-1313455,-1900859,settlement,"Sol Point","Sol Point",variant,17.201389,-25.091667,CV-RG,,
-1312956,-1900070,hypsographic,"Ponta Bombardeiro","Ponta Bombardeiro",official,14.933333,-24.3,CV-CF,,
-1313377,-1900388,hydrographic,"Baia das Gatas","Baia das Gatas",official,16.89901785,-24.91073481,CV-SV,,
-1313391,-1900594,hypsographic,"Pico Palha Garga","Pico Palha Garga",variant,16.8,-24.966667,CV-SV,,
-1313064,-1900200,hypsographic,"Ilhéus do Chano","Ilheus do Chano",variant,16.6969891,-22.87958471,CV-SL,,
-1313602,6271912,hypsographic,"São Tiago","Sao Tiago",variant,15.083333,-23.666667,CV-000,,
-1313284,-1900460,settlement,"Lagoa Atrás","Lagoa Atras",official,15.016667,-24.333333,CV-MO,,
-1313059,-1900194,settlement,"Chã de Queimada","Cha de Queimada",variant,17.14359688,-25.19149698,CV-RG,,
-1312970,19802765,hypsographic,Brava,Brava,official,14.866667,-24.716667,CV-BR,,
-1312954,-1900067,hypsographic,"Ilhéu do Boi","Ilheu do Boi",official,17.133333,-24.983333,CV-PA,,
-1313035,14572215,administrative_region,"Cabo Verde","Cabo Verde",colloquial,16,-24,CV-000,,
-1313566,14010035,settlement,"Vila de Sal Rei","Vila de Sal Rei",variant,16.176111,-22.917222,CV-BV,,
-1313225,-1900385,hydrographic,"Baía da Gata","Baia da Gata",variant,16.1952609,-22.70782809,CV-BV,,
-1312969,14088233,administrative_region,Brava,Brava,official,14.866667,-24.7,CV-BR,,
-1313408,-1900609,settlement,Pau,Pau,official,14.85,-24.733333,CV-BR,,
-1313453,-1900660,hydrographic,"Ribeira da Ponta Branca","Ribeira da Ponta Branca",official,16.78236917,-24.79028611,CV-SV,,
-1313600,-1900835,settlement,"São Pedro","Sao Pedro",official,16.82403377,-25.05987468,CV-SV,,
-1313008,-1900131,settlement,Calheta,Calheta,variant,15.23032272,-23.21137895,CV-MA,,
-1313621,-1900860,hydrographic,"Porto do Sorno","Porto do Sorno",official,14.883333,-24.733333,CV-BR,,
-1313681,-1900579,settlement,"Nossa Senhora da Luz","Nossa Senhora da Luz",variant,15.137778,-23.211111,CV-MA,,
-1313264,-1900435,settlement,"João Daninha","Joao Daninha",official,16.96701735,-25.23117165,CV-PN,,
-1313335,-1900526,settlement,"Meio de Espanha de Figueiras","Meio de Espanha de Figueiras",variant,17.12364381,-25.20277917,CV-RG,,
-1313315,-1900500,hypsographic,"Ilha de Maio","Ilha de Maio",official,15.25,-23.166667,CV-MA,,
