wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
10962295,19617493,administrative_region,Curaçao,Curacao,official,12.166667,-68.966667,CW-000,,1
-1710526,-2400739,administrative_region,"Dutch West Indies","Dutch West Indies",variant,12.166667,-69,S1-000,1,
10962295,19617492,administrative_region,"Country of Curaçao","Country of Curacao",official,12.166667,-68.966667,CW-000,,1
-1710526,-2401166,administrative_region,"Netherlands West Indies","Netherlands West Indies",variant,12.166667,-69,S1-000,1,
10962295,12096845,administrative_region,Curaçao,Curacao,official,12.166667,-68.966667,CW-000,,1
-1710526,-2401164,administrative_region,"Netherlands Antilles","Netherlands Antilles",colloquial,12.166667,-69,S1-000,1,
10962295,12096844,administrative_region,"Pais Kòrsou","Pais Korsou",official,12.166667,-68.966667,CW-000,,1
-1710526,-2400685,administrative_region,Curaçao,Curacao,variant,12.166667,-69,S1-000,1,
-1710526,13822577,administrative_region,"Antia Hulandes","Antia Hulandes",official,12.166667,-69,S1-000,1,
10962295,12096846,administrative_region,Kòrsou,Korsou,official,12.166667,-68.966667,CW-000,,1
10962295,12096843,administrative_region,"Land Curaçao","Land Curacao",official,12.166667,-68.966667,CW-000,,1
-1710526,-2401165,administrative_region,"Nederlandse Antillen","Nederlandse Antillen",official,12.166667,-69,S1-000,1,
-1710526,-2401159,administrative_region,"Nederlandsche Antillen","Nederlandsche Antillen",variant,12.166667,-69,S1-000,1,
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1710811,-2401606,hypsographic,"Seroe Tinta","Seroe Tinta",variant,12.333333,-69.133333,CW-000,,
-1710079,-2400547,hydrographic,Blauwbaai,Blauwbaai,official,12.133333,-68.983333,CW-000,,
-1710014,-2400460,spot,"Fort Amsterdam","Fort Amsterdam",official,12.1,-68.916667,CW-000,,
-1710261,-2400804,hydrographic,"Boca Grandi","Boca Grandi",variant,12.25,-69.1,CW-000,,
-1710775,-2401561,hydrographic,"Spaansch Water","Spaansch Water",variant,12.066667,-68.85,CW-000,,
-1710063,-2400527,hypsographic,"Ser’i Bientu","Ser'i Bientu",official,12.333333,-69.133333,CW-000,,
-1710531,-2401174,spot,"Landhuis Noordkant","Landhuis Noordkant",official,12.166667,-68.883333,CW-000,,
-1710329,-2400900,settlement,"Jan Doret","Jan Doret",official,12.15,-68.966667,CW-000,,
-1710690,-2401400,settlement,"San Pedro","San Pedro",official,12.383333,-69.15,CW-000,,
-1710281,-2400837,spot,"Groot Piscadera","Groot Piscadera",official,12.15,-68.966667,CW-000,,
-1710198,-2400711,spot,Dokterstuin,Dokterstuin,official,12.266667,-69.066667,CW-000,,
-1710349,-2400600,hypsographic,"Seroe Cabaje","Seroe Cabaje",variant,12.283333,-69.116667,CW-000,,
-1710771,-2400973,spot,"Klein Malpais","Klein Malpais",variant,12.183333,-68.966667,CW-000,,
-1710692,-2401404,spot,"Santa Barbara","Santa Barbara",official,12.083333,-68.85,CW-000,,
-1710640,-2401329,spot,"Rio Canario","Rio Canario",official,12.133333,-68.933333,CW-000,,
-1710716,-2401434,spot,"Landhuis Savonet","Landhuis Savonet",official,12.35,-69.1,CW-000,,
-1710406,-2401002,hydrographic,"Boka Kòrtalein","Boka Kortalein",official,12.366667,-69.116667,CW-000,,
-1710674,-2401383,settlement,Saliña,Salina,official,12.1,-68.9,CW-000,,
-1710773,-2401562,hydrographic,"Spaanse Baai","Spaanse Baai",official,12.066667,-68.866667,CW-000,,
-1710704,-2401515,spot,"Landhuis Sint Kruis","Landhuis Sint Kruis",variant,12.3,-69.116667,CW-000,,
-1710869,-2401683,spot,"Landhuis Wechi","Landhuis Wechi",official,12.166667,-68.966667,CW-000,,
-1710571,-2401234,hypsographic,"Seroe Paskoe","Seroe Paskoe",variant,12.316667,-69.133333,CW-000,,
-1710702,-2401417,settlement,"Santa Krus","Santa Krus",official,12.3,-69.133333,CW-000,,
-1710391,-2400982,spot,Knip,Knip,official,12.35,-69.133333,CW-000,,
-1710305,-2400867,spot,"Landhuis Hato","Landhuis Hato",official,12.183333,-68.95,CW-000,,
-1710183,-2400689,hydrographic,Daaibooibaai,Daaibooibaai,official,12.2,-69.083333,CW-000,,
-1710403,-2400998,spot,"Koraal Tabak","Koraal Tabak",official,12.133333,-68.833333,CW-000,,
-1710366,-2400951,hydrographic,"Roi Katoen","Roi Katoen",official,12.2,-69.033333,CW-000,,
-1710733,-2401459,hydrographic,"Roi Shon Tata","Roi Shon Tata",official,12.033333,-68.783333,CW-000,,
-1710735,-2401461,spot,"Landhuis Siberi","Landhuis Siberi",official,12.233333,-69.033333,CW-000,,
-1710507,-2401138,settlement,"Montan’i Rei","Montan'i Rei",official,12.1,-68.866667,CW-000,,
-1710311,-2400877,hydrographic,"Zoutpan van Hermanus","Zoutpan van Hermanus",official,12.2,-69.05,CW-000,,
-1710042,-2400503,spot,"Fort Beekenburg","Fort Beekenburg",official,12.066667,-68.85,CW-000,,
-1710077,-2400545,spot,Blauw,Blauw,official,12.133333,-68.966667,CW-000,,
-1710466,-2401146,spot,"Mount Pleasant","Mount Pleasant",variant,12.166667,-68.983333,CW-000,,
-1710209,-2401541,settlement,"Sint Willebrordus","Sint Willebrordus",variant,12.216667,-69.05,CW-000,,
-1710874,-2400922,spot,"Juan Luis","Juan Luis",variant,12.133333,-68.833333,CW-000,,
-1710436,-2401045,settlement,Libie,Libie,official,12.116667,-68.866667,CW-000,,
-1710437,-2401041,hypsographic,"Leeward Point","Leeward Point",variant,12.066667,-68.866667,CW-000,,
-1710573,98717,hydrographic,"Boca Patrick","Boca Patrick",variant,12.283333,-69.05,CW-000,,
-1710424,-2401027,settlement,Lagún,Lagun,official,12.316667,-69.166667,CW-000,,
-1710727,-2401449,settlement,Seritu,Seritu,official,12.116667,-68.916667,CW-000,,
-1710263,98299,hydrographic,"Boca Grandi","Boca Grandi",variant,12.35,-69.083333,CW-000,,
-1710424,-2400719,settlement,"Dorp Lagoen","Dorp Lagoen",variant,12.316667,-69.166667,CW-000,,
-1710491,-2401118,hypsographic,Meeuwtje,Meeuwtje,official,12.116667,-68.916667,CW-000,,
-1710199,-2400712,spot,"Landhuis Dokterstuin","Landhuis Dokterstuin",official,12.266667,-69.05,CW-000,,
-1710685,-2401395,hydrographic,"San Juanbaai","San Juanbaai",official,12.25,-69.1,CW-000,,
-1710410,-2401007,hypsographic,"Ser’i Kueba","Ser'i Kueba",official,12.333333,-69.066667,CW-000,,
-1710592,-2401264,hydrographic,"Piscadery Bay","Piscadery Bay",variant,12.116667,-68.966667,CW-000,,
-1710578,-2401246,hypsographic,"Eiland Penso","Eiland Penso",official,12.077222,-68.856667,CW-000,,
-1710263,-2400807,hydrographic,"Boka Grandi","Boka Grandi",official,12.35,-69.083333,CW-000,,
-1710408,-2400940,settlement,Karké,Karke,variant,12.233333,-69.033333,CW-000,,
-1710597,-2401267,hydrographic,"Boca Plaja Canoa","Boca Plaja Canoa",variant,12.166667,-68.85,CW-000,,
-1710304,-2400868,hydrographic,"Hato Baai","Hato Baai",variant,12.25,-69,CW-000,,
-1710684,-2401394,spot,"Landhuis San Juan","Landhuis San Juan",official,12.25,-69.083333,CW-000,,
-1710569,-2401231,settlement,Pareira,Pareira,variant,12.1,-68.916667,CW-000,,
-1710407,-2401003,hydrographic,"Roi Kosta","Roi Kosta",official,12.066667,-68.75,CW-000,,
-1710209,-2400729,settlement,"Dorp Sint Willebrordus","Dorp Sint Willebrordus",official,12.216667,-69.05,CW-000,,
-1710265,-2400811,hydrographic,"Playa Grandi","Playa Grandi",official,12.316667,-69.066667,CW-000,,
-1710633,-2401518,spot,"Sint Marie","Sint Marie",variant,12.2,-69.066667,CW-000,,
-1710249,-2400787,spot,Gasparito,Gasparito,official,12.133333,-68.933333,CW-000,,
-1710120,-2400554,hydrographic,"Boeska Baai","Boeska Baai",variant,12.116667,-68.916667,CW-000,,
-1710685,-2401506,hydrographic,"Sint Jans-Baai","Sint Jans-Baai",variant,12.25,-69.1,CW-000,,
-1710405,-2401000,spot,Korporaal,Korporaal,official,12.1,-68.883333,CW-000,,
-1710742,-2401490,hypsographic,"Sint Antoniberg","Sint Antoniberg",variant,12.3,-69.066667,CW-000,,
-1710789,-2401582,settlement,"Suffisant Dorp","Suffisant Dorp",official,12.15,-68.916667,CW-000,,
-1710481,-2401106,hypsographic,"Punta Mariolina","Punta Mariolina",official,12.066667,-68.85,CW-000,,
-1710010,-2400454,hydrographic,"Playa Abou","Playa Abou",official,12.35,-69.15,CW-000,,
-1710363,-2400615,spot,"Cas Abau","Cas Abau",variant,12.233333,-69.1,CW-000,,
-1710907,-2401733,hypsographic,"Seru Zjeremi","Seru Zjeremi",official,12.333333,-69.133333,CW-000,,
-1710232,-2400764,settlement,Fontein,Fontein,official,12.25,-69.083333,CW-000,,
-1710492,-2401119,hypsographic,"Eiland Meeuwtje","Eiland Meeuwtje",variant,12.080556,-68.857222,CW-000,,
-1710709,-2401426,hydrographic,"Boka Santa Pretu","Boka Santa Pretu",official,12.166667,-68.866667,CW-000,,
-1710082,-2400551,settlement,Blomonti,Blomonti,variant,12.15,-68.933333,CW-000,,
-1710868,-2401359,spot,Rustplaats,Rustplaats,variant,12.166667,-68.966667,CW-000,,
-1710379,-2400967,hypsographic,"Klein Curaçao","Klein Curacao",official,11.991823,-68.645675,CW-000,,
-1710090,-2400560,settlement,"Bona Vista","Bona Vista",official,12.116667,-68.85,CW-000,,
-1710708,-2401373,hydrographic,"Saint Martha Bay","Saint Martha Bay",variant,12.283333,-69.133333,CW-000,,
-1710514,-2401148,spot,Muizenberg,Muizenberg,official,12.166667,-68.916667,CW-000,,
-1710703,-2401418,hydrographic,"Boka Santa Krus","Boka Santa Krus",official,12.3,-69.166667,CW-000,,
-1710734,-2401463,spot,Siberië,Siberie,variant,12.233333,-69.05,CW-000,,
-1710218,-2400741,settlement,Emmastad,Emmastad,official,12.133333,-68.916667,CW-000,,
-1710551,-2401208,settlement,Otrobanda,Otrobanda,variant,12.116667,-68.95,CW-000,,
-1710844,-2401653,settlement,Vianen,Vianen,official,12.1,-68.916667,CW-000,,
-1710685,-2401505,hydrographic,"Sint Jan Baai","Sint Jan Baai",variant,12.25,-69.1,CW-000,,
-1710074,-2400538,hydrographic,"Lagoen Blanco","Lagoen Blanco",variant,12.033333,-68.783333,CW-000,,
-1710532,-2401176,hypsographic,Noordpunt,Noordpunt,official,12.4,-69.166667,CW-000,,
-1710736,-2401462,hydrographic,"Zoutpan van Siberi","Zoutpan van Siberi",official,12.2,-69.05,CW-000,,
-1710039,-2400499,hydrographic,"Bartool Baai","Bartool Baai",variant,12.333333,-69.033333,CW-000,,
-1710572,-2401213,spot,Padiki,Padiki,variant,12.283333,-69.083333,CW-000,,
-1710902,-2401726,settlement,Zeelandia,Zeelandia,official,12.116667,-68.9,CW-000,,
-1710544,-2401200,spot,Oranjeberg,Oranjeberg,official,12.083333,-68.783333,CW-000,,
-1710752,-2401521,hypsographic,"Kaap Sint Marie","Kaap Sint Marie",official,12.183333,-69.05,CW-000,,
-1710081,-2400549,park,Bleinheim,Bleinheim,official,12.133333,-68.95,CW-000,,
-1710202,-2400717,settlement,Dominguito,Dominguito,official,12.1,-68.9,CW-000,,
-1710402,-2400997,spot,"Koraal Specht","Koraal Specht",official,12.083333,-68.883333,CW-000,,
-1710745,-2401500,spot,"Sint Hyronimus","Sint Hyronimus",variant,12.316667,-69.1,CW-000,,
-1710385,-2400976,spot,"Klein Santa Marta","Klein Santa Marta",official,12.283333,-69.116667,CW-000,,
-1710467,-2401084,spot,"Landhuis Malpais","Landhuis Malpais",official,12.166667,-68.983333,CW-000,,
-1710511,60980,hydrographic,Diligentiabaai,Diligentiabaai,variant,12.116667,-68.916667,CW-000,,
-1710387,-2400978,spot,"Klein Sint Joris","Klein Sint Joris",official,12.1,-68.8,CW-000,,
-1710107,-2400583,hydrographic,"Boka Braun","Boka Braun",official,12.366667,-69.1,CW-000,,
-1710250,-2400788,settlement,Gato,Gato,official,12.166667,-68.966667,CW-000,,
-1710019,-2400467,spot,Ascención,Ascencion,official,12.25,-69.033333,CW-000,,
-1710614,98809,hypsographic,Zwarteberg,Zwarteberg,variant,12.116667,-68.966667,CW-000,,
-1710078,-2400546,spot,"Landhuis Blauw","Landhuis Blauw",official,12.133333,-68.966667,CW-000,,
-1710539,-2401192,spot,Oostpunt,Oostpunt,official,12.066667,-68.766667,CW-000,,
-1710551,-2401207,settlement,Otrabanda,Otrabanda,official,12.116667,-68.95,CW-000,,
-1710209,-2401704,settlement,Willebrordus,Willebrordus,variant,12.216667,-69.05,CW-000,,
-1710120,60982,hydrographic,"Busca Baai","Busca Baai",official,12.116667,-68.916667,CW-000,,
