wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-779112,-1116762,hypsographic,"Waddell Hill","Waddell Hill",official,-10.45,105.733333,CX-000,,
-779109,-1116759,hypsographic,"Toms Point","Toms Point",official,-10.483333,105.566667,CX-000,,
-779111,-1116761,hypsographic,"Vincent Point","Vincent Point",official,-10.45,105.633333,CX-000,,
-779114,-1116764,settlement,Waterfall,Waterfall,official,-10.457189,105.70481,CX-000,,
-779110,-1116760,hypsographic,"Toms Ridge","Toms Ridge",official,-10.45,105.6,CX-000,,
-779108,-1116758,hypsographic,"Taits Vale","Taits Vale",official,-10.5,105.666667,CX-000,,
-779078,-1116727,hypsographic,"Margaret Knoll","Margaret Knoll",official,-10.466667,105.733333,CX-000,,
-779107,-1116757,hypsographic,"Tait Point","Tait Point",official,-10.533333,105.666667,CX-000,,
-779051,-1116700,hypsographic,"Dolly Beach","Dolly Beach",official,-10.516667,105.716667,CX-000,,
-779079,-1116728,hypsographic,"Martin Point","Martin Point",official,-10.45,105.583333,CX-000,,
-779050,-1116699,hypsographic,"Deans Point","Deans Point",official,-10.483333,105.716667,CX-000,,
-779049,-1116698,hypsographic,"Darling Dale","Darling Dale",official,-10.466667,105.583333,CX-000,,
-779089,-1116738,hypsographic,"Phosphate Hill","Phosphate Hill",official,-10.416667,105.733333,CX-000,,
-779063,-1116712,hypsographic,"Greta Beach","Greta Beach",official,-10.5,105.716667,CX-000,,
-779076,-1116725,hypsographic,"Low Point","Low Point",official,-10.466667,105.75,CX-000,,
-779119,-1116769,hypsographic,"Wright Point","Wright Point",official,-10.483333,105.733333,CX-000,,
-779087,-1116736,hypsographic,"Northern Plateau","Northern Plateau",official,-10.466667,105.7,CX-000,,
-779090,-1116739,hypsographic,"Rhoda Beaches","Rhoda Beaches",official,-10.45,105.666667,CX-000,,
-779059,289679,settlement,"The Settlement","The Settlement",variant,-10.416667,105.716667,CX-000,,
-779103,-1116753,hypsographic,"Stewart Hill","Stewart Hill",official,-10.483333,105.633333,CX-000,,
-779083,-1116732,hypsographic,"Middle Point","Middle Point",official,-10.510351,105.591779,CX-000,,
-779054,-1116703,settlement,Drumsite,Drumsite,official,-10.433333,105.683333,CX-000,,
-779048,-1116697,administrative_region,"Territory of Christmas Island","Territory of Christmas Island",official,-10.5,105.666667,CX-000,,
-779094,-1116743,hypsographic,"Ryan Hill","Ryan Hill",official,-10.466667,105.75,CX-000,,
-779099,-1116749,hypsographic,"Southern Plateau","Southern Plateau",official,-10.533333,105.7,CX-000,,
-779052,-1116701,hypsographic,"Dorothy Beach","Dorothy Beach",official,-10.543571,105.667724,CX-000,,
-779102,-1116752,hypsographic,"Steep Point","Steep Point",official,-10.468127,105.709997,CX-000,,
-779104,-1116754,hypsographic,"Stronach Knoll","Stronach Knoll",official,-10.483333,105.716667,CX-000,,
-779115,-1116765,hydrographic,"The Waterfall","The Waterfall",official,-10.45,105.75,CX-000,,
-779071,-1116720,hypsographic,"Jackson Point","Jackson Point",official,-10.433333,105.583333,CX-000,,
-779048,14063830,administrative_region,"Christmas Island","Christmas Island",official,-10.5,105.666667,CX-000,,
-779085,-1116734,hypsographic,"Norris Point","Norris Point",official,-10.433333,105.75,CX-000,,
-779095,-1116744,settlement,Settlement,Settlement,official,-10.415168,105.675898,CX-000,,
-779043,-1116692,hypsographic,"Anderson Dale","Anderson Dale",official,-10.466667,105.583333,CX-000,,
-779047,-1116696,hypsographic,"Christmas Island","Christmas Island",official,-10.483583,105.627753,CX-000,,
-779106,-1116756,hypsographic,"Sydneys Dale","Sydneys Dale",official,-10.466667,105.583333,CX-000,,
-779057,-1116706,hypsographic,"Ferguson Hill","Ferguson Hill",official,-10.466667,105.633333,CX-000,,
-779088,-1116737,hypsographic,"North West Point","North West Point",official,-10.443027,105.552913,CX-000,,
-779073,14201433,hypsographic,"John D Point","John D Point",official,-10.517782,105.676739,CX-000,,
-779041,-1116690,hypsographic,"Aldrich Hill","Aldrich Hill",official,-10.483333,105.633333,CX-000,,
-779065,-1116714,hypsographic,"Hanitch Hill","Hanitch Hill",official,-10.45,105.7,CX-000,,
-779082,-1116731,hypsographic,"Medwin Point","Medwin Point",official,-10.566667,105.716667,CX-000,,
-779092,-1116741,hypsographic,"Ross Hill","Ross Hill",official,-10.5,105.716667,CX-000,,
-779080,-1116729,hypsographic,"Mc Micken Point","Mc Micken Point",official,-10.516667,105.716667,CX-000,,
-779066,-1116715,hypsographic,"Headridge Hill","Headridge Hill",official,-10.433333,105.733333,CX-000,,
-779064,-1116713,spot,"Grimes Cave","Grimes Cave",official,-10.433333,105.7,CX-000,,
-779077,-1116726,hypsographic,"Margaret Beaches","Margaret Beaches",official,-10.433333,105.683333,CX-000,,
-779042,-1116691,hypsographic,"Allan Point","Allan Point",official,-10.466667,105.75,CX-000,,
-779074,-1116723,hypsographic,"Jones Point","Jones Point",official,-10.5,105.583333,CX-000,,
-779118,-1116768,hypsographic,"Winifred Beach","Winifred Beach",official,-10.483333,105.566667,CX-000,,
-779075,-1116724,hypsographic,"Lily Beach","Lily Beach",official,-10.466667,105.75,CX-000,,
-779117,-1116767,hypsographic,"Wharton Hill","Wharton Hill",official,-10.5,105.7,CX-000,,
-779091,-1116740,hypsographic,"Rocky Point","Rocky Point",official,-10.4,105.716667,CX-000,,
-779068,-1116717,hypsographic,"Irvine Hill","Irvine Hill",official,-10.433333,105.716667,CX-000,,
-779070,-1116719,hypsographic,"Jacks Hill","Jacks Hill",official,-10.466667,105.633333,CX-000,,
-779044,-1116693,hypsographic,"Andrews Point","Andrews Point",official,-10.533333,105.666667,CX-000,,
-779105,-1116755,hypsographic,"Stubbings Point","Stubbings Point",official,-10.566667,105.683333,CX-000,,
-779084,-1116733,hypsographic,"Murray Hill","Murray Hill",official,-10.476425,105.578209,CX-000,,
-779081,-1116730,hypsographic,"Mc Pherson Point","Mc Pherson Point",official,-10.45,105.616667,CX-000,,
-779061,-1116710,hypsographic,"Gladys Beach","Gladys Beach",official,-10.466667,105.733333,CX-000,,
-779046,-1116695,hypsographic,"Camp Hill","Camp Hill",official,-10.483333,105.6,CX-000,,
-779093,-1116742,spot,"Runaway Cave","Runaway Cave",official,-10.416667,105.75,CX-000,,
-779115,-1116763,hydrographic,Waterfall,Waterfall,variant,-10.45,105.75,CX-000,,
-779053,-1116702,hypsographic,"Douglas Point","Douglas Point",official,-10.5,105.6,CX-000,,
-779097,-1116747,hypsographic,"Smith Point","Smith Point",official,-10.429818,105.663638,CX-000,,
-779101,-1116751,hypsographic,"South Point","South Point",official,-10.568782,105.65545,CX-000,,
-779069,-1116718,hypsographic,"Isabel Beach","Isabel Beach",official,-10.416667,105.716667,CX-000,,
-779072,-1116721,hypsographic,"Jacks Point","Jacks Point",official,-10.483333,105.583333,CX-000,,
-779056,-1116705,hypsographic,"Ethel Beach","Ethel Beach",official,-10.45,105.75,CX-000,,
-779062,-1116711,hydrographic,"Grants Well","Grants Well",official,-10.479668,105.654016,CX-000,,
-779073,-1116722,hypsographic,"John D. Point","John D. Point",variant,-10.517782,105.676739,CX-000,,
-779098,-1116748,hydrographic,"Smithson Bight","Smithson Bight",official,-10.515725,105.616969,CX-000,,
-779055,-1116704,hypsographic,"Egeria Point","Egeria Point",official,-10.513755,105.536969,CX-000,,
-779100,-1116750,settlement,"South Point","South Point",official,-10.553541,105.651718,CX-000,,
-779059,-1116708,settlement,"Flying Fish Cove","Flying Fish Cove",official,-10.416667,105.716667,CX-000,,
-779067,-1116716,hypsographic,"Hughs Dale","Hughs Dale",official,-10.45,105.583333,CX-000,,
-779086,-1116735,hypsographic,"North East Point","North East Point",official,-10.414668,105.701255,CX-000,,
-779045,-1116694,hypsographic,"Bean Hill","Bean Hill",official,-10.483333,105.633333,CX-000,,
-779116,-1116766,hypsographic,"West White Beach","West White Beach",official,-10.45,105.616667,CX-000,,
-779060,-1116709,hypsographic,"Gannet Hill","Gannet Hill",official,-10.466667,105.733333,CX-000,,
-779106,-1116745,hypsographic,"Sidney’s Dale","Sidney's Dale",variant,-10.466667,105.583333,CX-000,,
-779058,-1116707,hydrographic,"Flying Fish Cove","Flying Fish Cove",official,-10.426896,105.668342,CX-000,,
11372763,13390663,spot,"Christmas Island District High School","Christmas Island District High School",official,-10.4364,105.668098,CX-000,,
11424341,13490324,hypsographic,"Dolly Beach","Dolly Beach",official,-10.51977,105.6763,CX-000,,
11424346,13490329,hypsographic,"Ethel Beach","Ethel Beach",official,-10.46118,105.708099,CX-000,,
11424356,13490339,hypsographic,"Gladys Beach","Gladys Beach",official,-10.48166,105.6903,CX-000,,
11424360,13490343,hypsographic,"Greta Beach","Greta Beach",official,-10.50078,105.675598,CX-000,,
11424368,13490351,hypsographic,"Isabel Beach","Isabel Beach",official,-10.42174,105.673599,CX-000,,
11424377,13490360,hypsographic,"Lily Beach","Lily Beach",official,-10.46543,105.711998,CX-000,,
11424384,13490367,hypsographic,"Margaret Beaches","Margaret Beaches",official,-10.451,105.646301,CX-000,,
11424427,13490410,hypsographic,"Rhoda Beaches","Rhoda Beaches",official,-10.46054,105.625397,CX-000,,
11424473,13490456,hypsographic,"West White Beach","West White Beach",official,-10.45891,105.5802,CX-000,,
11424479,13490462,hypsographic,"Winifred Beach","Winifred Beach",official,-10.49578,105.547096,CX-000,,
11426454,13495081,spot,"Christmas Island Golf Club","Christmas Island Golf Club",official,-10.4275,105.702797,CX-000,,
11744442,14200990,spot,"Christmas Island Airport","Christmas Island Airport",short,-10.447701,105.690428,CX-000,,
11744872,14201803,settlement,"Silver City","Silver City",short,-10.421625,105.678387,CX-000,,
