wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3847932,-5087247,hypsographic,Kashanes,Kashanes,short,34.875,33.636236,CY-03,,
-3847878,-5087193,park,Klimis,Klimis,official,34.928604,33.587771,CY-03,,
-3847839,-5087082,park,Katsaroumba,Katsaroumba,variant,34.752795,33.342501,CY-03,,
-3847826,-5087069,park,Kaoukkos,Kaoukkos,official,34.755296,33.306208,CY-03,,
-3847608,-5086851,hydrographic,Karakonas,Karakonas,official,34.972743,33.374645,CY-01,,
-3818904,-5057162,park,Mesovounia,Mesovounia,official,34.980562,33.667448,CY-03,,
-3818251,-5056508,park,Aetos,Aetos,official,35.1125,32.825,CY-01,,
-3818039,-5056296,park,Saouri,Saouri,variant,34.883787,32.721748,CY-05,,
-3818025,-5056282,hydrographic,Khalaras,Khalaras,variant,34.883896,32.553334,CY-05,,
-3817859,-5056116,hypsographic,Makrona,Makrona,official,34.811504,32.502363,CY-05,,
-3811089,-5049915,park,Ammi,Ammi,variant,35.691667,34.5625,CY-04,,
-3810816,-5049642,park,Vouppos,Vouppos,official,35.4625,34.208333,CY-04,,
-3809327,-5048154,park,Pouziaris,Pouziaris,official,35.295099,33.42664,CY-06,,
-3809321,-5048148,park,Kokkina,Kokkina,official,35.270071,33.409257,CY-06,,
-3809017,15223418,spot,Pigades,Pigades,official,35.289373,33.082272,CY-06,,
-3808226,-5047131,park,Karapetros,Karapetros,variant,35.218224,33.47356,CY-01,,
-3808061,-5046966,park,Strakka,Strakka,official,35.089765,33.298967,CY-01,,
-3834136,14571383,park,Kolympos,Kolympos,official,34.733333,33.291667,CY-03,,
-3834147,-5072542,park,Vournes,Vournes,official,34.746491,33.386272,CY-03,,
-3833286,-5071587,hypsographic,Mosilovouno,Mosilovouno,official,34.680563,32.672478,CY-02,,
-3833270,15102617,vegetation,Rantidi,Rantidi,official,34.688389,32.63375,CY-05,,
-3833287,-5071588,park,Khokhlajeri,Khokhlajeri,variant,34.669257,32.672328,CY-02,,
-3833147,-5071447,park,"Krya Pigadhia","Krya Pigadhia",variant,34.771686,33.17404,CY-02,,
-3833243,-5071544,park,Asprovounaros,Asprovounaros,variant,34.723314,32.677076,CY-02,,
