wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-554440,-784484,settlement,Saky,Saky,official,50.197002,14.097787,CZ-20,,
-554414,-784432,settlement,Rzy,Rzy,official,50.005034,16.121021,CZ-53,,
-549649,-777488,settlement,Malé,Male,official,49.330571,15.703815,CZ-63,,
-550610,-778799,settlement,Mříč,Mric,official,48.908258,14.326735,CZ-31,,
-554540,-784956,settlement,Seč,Sec,official,50.025802,16.294438,CZ-52,,
-558344,-789921,settlement,Vosí,Vosi,official,49.460014,13.317432,CZ-32,,
-547283,-774195,settlement,Kly,Kly,official,50.308789,14.504502,CZ-20,,
-543564,-768336,settlement,Dědek,Dedek,official,50.070183,15.655816,CZ-53,,
-1994710,-2778997,hypsographic,"Vyšší Brod Pass","Vyssi Brod Pass",variant,48.566667,14.316667,S1-000,,
-1994710,-2778996,hypsographic,"Průsmyk Vyšebrodský","Prusmyk Vysebrodsky",official,48.566667,14.316667,S1-000,,
-1986341,-2768745,hypsographic,"Novohradské Hory","Novohradske Hory",official,48.633333,14.666667,CZ-000,,
-1881569,-2591012,hydrographic,Wagenwasser,Wagenwasser,official,48.883333,13.733333,S1-000,,
-1867474,-2575629,hypsographic,Stangenrück,Stangenruck,official,49.283333,13.033333,S1-000,,
-1867474,501069,hypsographic,Stangenrücken,Stangenrucken,variant,49.283333,13.033333,S1-000,,
-1862509,504475,hydrographic,Svidnice,Svidnice,official,50.65,13.4,S1-000,,
-1862509,501536,hydrographic,Schweinitz,Schweinitz,official,50.65,13.4,S1-000,,
-1862509,-2570220,hydrographic,"Schweinitz Bach","Schweinitz Bach",variant,50.65,13.4,S1-000,,
-1861819,-2569480,hydrographic,Schwarzach,Schwarzach,official,49.394444,12.151944,S1-000,,
-1862094,-2569781,hydrographic,"Schwarze Pockau","Schwarze Pockau",official,50.70514,13.23509,S1-000,,
-1861819,-2569481,hydrographic,"Nemanický Potok","Nemanicky Potok",official,49.394444,12.151944,S1-000,,
-1862094,504472,hydrographic,Černá,Cerna,official,50.70514,13.23509,S1-000,,
-1862094,501525,hydrographic,Schwarzwasser,Schwarzwasser,variant,50.70514,13.23509,S1-000,,
-1859365,-2566849,hypsographic,"Schmucker Berg","Schmucker Berg",variant,49.8,12.466667,S1-000,,
-1859365,504437,hypsographic,"Studenecký Vrch","Studenecky Vrch",official,49.8,12.466667,S1-000,,
-1859365,501124,hypsographic,Steinberg,Steinberg,official,49.8,12.466667,S1-000,,
-1852078,-2524924,hydrographic,Loslau,Loslau,variant,50.1,12.266667,S1-000,,
-1852078,-2558849,hydrographic,Röslau,Roslau,official,50.1,12.266667,S1-000,,
-1851159,504428,hydrographic,"Hraniční Potok","Hranicni Potok",official,49.616667,12.533333,S1-000,,
-1851159,-2557878,hydrographic,"Röhlings Bach","Rohlings Bach",variant,49.616667,12.533333,S1-000,,
-1851159,501120,hydrographic,"Rehling Bach","Rehling Bach",variant,49.616667,12.533333,S1-000,,
-1851159,501119,hydrographic,Röhlingbach,Rohlingbach,official,49.616667,12.533333,S1-000,,
-1843579,-2549615,hypsographic,Plattenberg,Plattenberg,official,50.25,12.266667,S1-000,,
