wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2037567,-2829692,hypsographic,Wago,Wago,official,11.621389,42.034167,DJ-000,,
-2034440,-2825695,hydrographic,Dolo,Dolo,official,12.128331,43.352591,DJ-OB,,
-2032441,-2823114,hydrographic,Ab‘a,Ab`a,official,11.843056,42.771944,DJ-000,,
-2032440,-2823113,hydrographic,Ab‘a,Ab`a,official,11.756944,42.162222,DJ-000,,
-2034369,-2825618,hypsographic,Diri,Diri,variant,11.954167,42.865,DJ-000,,
-2035231,-2826719,hydrographic,Goula,Goula,official,11.953611,43.001944,DJ-OB,,
-2032439,-2823112,hydrographic,Ab‘a,Ab`a,official,11.6,42.333333,DJ-000,,
-2032782,-2823544,hypsographic,Aga,Aga,official,11.866667,42.85,DJ-000,,
-2036414,-2828195,hydrographic,Mak‘or,Mak`or,official,12.032371,42.827991,DJ-TA,,
-2034708,-2826068,hypsographic,Gabao,Gabao,official,11.979167,43.095278,DJ-OB,,
-2034679,-2825966,hypsographic,Fanta,Fanta,variant,11.84,42.625833,DJ-000,,
-2032784,-2823546,hydrographic,‘Aga,`Aga,official,11.825556,42.865,DJ-000,,
-2035489,-2827065,hypsographic,Harka,Harka,official,12.15,43.066667,DJ-OB,,
-2037652,-2829787,hydrographic,Widdi,Widdi,official,11.883333,42.183333,DJ-000,,
-2035045,-2826482,hydrographic,Gawta,Gawta,official,12.033943,42.969903,DJ-000,,
-2034312,-2825530,hydrographic,Dibla,Dibla,official,11.000753,42.134142,DJ-DI,,
-2037653,-2829788,hypsographic,Wi‘ta,Wi`ta,official,12.527455,43.130377,DJ-OB,,
-2032435,-2823108,hypsographic,Ab‘a,Ab`a,official,12.139759,42.905724,DJ-OB,,
-2033920,-2825016,hydrographic,Ḏaḏîn,Dadin,official,11.468611,42.987778,DJ-000,,
-2034345,-2825581,hypsographic,Diksa,Diksa,official,11.0525,42.214722,DJ-000,,
-2034370,-2825610,hypsographic,Dir,Dir,official,11.991111,42.898056,DJ-000,,
-2034679,-2826030,hypsographic,Fôha,Foha,official,11.84,42.625833,DJ-000,,
-2035166,-2826631,hypsographic,Goḏas,Godas,official,11.624346,41.862334,DJ-DI,,
-2035130,-2826588,hydrographic,Giḏôḏi,Gidodi,official,12.428326,42.489433,DJ-TA,,
-2032783,-2823545,hydrographic,‘Aga,`Aga,official,11.734444,42.656389,DJ-000,,
-2034950,-2826369,hypsographic,Garab,Garab,official,11.933333,43.066667,DJ-000,,
-2033075,-2823929,spot,Anḏôli,Andoli,official,12.5,42.983333,DJ-000,,
-2035328,-2826871,hydrographic,Hadna,Hadna,official,12.252323,42.940217,DJ-OB,,
-2032437,-2823110,spot,Ab‘a,Ab`a,official,11.381667,42.004167,DJ-000,,
-2033961,-2825070,hydrographic,Dagaydo,Dagaydo,official,12.35,42.65,DJ-000,,
-2036342,-2828102,hypsographic,Madag,Madag,official,11.368056,42.935278,DJ-000,,
-2035974,-2827641,hypsographic,Kaflali,Kaflali,official,12.195959,42.623541,DJ-TA,,
-2032442,-2823115,hydrographic,Ab‘a,Ab`a,official,11.905278,42.768056,DJ-000,,
-2036674,-2828543,hydrographic,Nabad,Nabad,official,10.996929,42.091553,DJ-DI,,
-2034313,-2825531,hydrographic,Ḏibtar,Dibtar,official,11.436944,42.899722,DJ-000,,
-2036413,-2828194,hypsographic,Mak‘or,Mak`or,official,11.434759,41.965687,DJ-DI,,
-2034707,-2826067,hypsographic,Gâbané,Gabane,official,11.504167,42.763333,DJ-000,,
-2032438,-2823111,hydrographic,Ab‘a,Ab`a,official,11.490014,41.774595,DJ-DI,,
-2035463,-2827037,hydrographic,Hâralé,Harale,official,11.981389,42.298333,DJ-000,,
-2037252,-2829282,hydrographic,Sanda,Sanda,official,11.588333,42.688889,DJ-000,,
-2034583,-2825910,hydrographic,‘Êrolé,`Erole,official,11.325833,42.878611,DJ-000,,
-2036385,-2828161,hydrographic,Maẖḏaḏ,Mahdad,official,11.816667,42.7,DJ-000,,
-2037180,-2829191,hydrographic,Rourre,Rourre,official,12.067389,42.905303,DJ-OB,,
-2032443,-2823116,hydrographic,Ab‘a,Ab`a,official,12,42.5,DJ-TA,,
-2032436,-2823109,hypsographic,Ab‘a,Ab`a,official,12.271804,43.077798,DJ-OB,,
-2032434,-2823107,hypsographic,Ab‘a,Ab`a,official,11.441944,42.502778,DJ-000,,
-2036063,-2827745,hydrographic,Kerma,Kerma,official,12.266246,42.654218,DJ-TA,,
-2037055,-2829025,hypsographic,Oylali,Oylali,official,11.947778,42.731111,DJ-000,,
-2034628,-2825976,hydrographic,Fa‘o,Fa`o,official,12.149983,42.50004,DJ-TA,,
-2033922,-2825018,hydrographic,Ḏaḏîn,Dadin,official,11.5475,42.869167,DJ-000,,
-2033921,-2825017,hydrographic,Ḏaḏîn,Dadin,official,11.476111,42.678611,DJ-000,,
-2034058,-2825194,hypsographic,Damei,Damei,variant,11.266667,42.833333,DJ-000,,
-2037054,-2829024,hydrographic,Oylali,Oylali,official,11.639167,42.668056,DJ-000,,
-2032442,-2823129,hydrographic,Abâa,Abaa,variant,11.905278,42.768056,DJ-000,,
-2034369,-2825609,hypsographic,Dir,Dir,official,11.954167,42.865,DJ-000,,
-3227788,-4572278,hydrographic,Oumâda,Oumada,official,11.292944,43.210747,S1-000,,
-3229097,-4573918,hydrographic,"Sellah Goumbouri","Sellah Goumbouri",official,11.416111,43.252222,S1-000,,
-3228513,-4573086,hydrographic,Râre,Rare,official,11.203737,43.106575,S1-000,,
-3228987,-2829326,hydrographic,Sarmânweyn,Sarmanweyn,official,11.22006,43.18098,S1-000,,
-3226448,-4570395,hypsographic,"Madaha Jalelo","Madaha Jalelo",variant,10.997462,42.967067,S1-000,,
-3227669,421521,hydrographic,"Odowwa Ouéïn","Odowwa Ouein",variant,11.378056,43.246111,S1-000,,
-3226448,13822473,hypsographic,Jallelo,Jallelo,variant,10.997462,42.967067,S1-000,,
-3227669,-2828621,hydrographic,Odowwa,Odowwa,official,11.378056,43.246111,S1-000,,
-3226085,-4569909,hydrographic,Laydôd,Laydod,official,11.336111,43.233333,S1-000,,
-3226448,-4570393,hypsographic,Madakha-Dzhalelo,Madakha-Dzhalelo,variant,10.997462,42.967067,S1-000,,
-3226448,13822471,hypsographic,Jalelo,Jalelo,official,10.997462,42.967067,S1-000,,
-3226448,13822472,hypsographic,Djalilo,Djalilo,variant,10.997462,42.967067,S1-000,,
-3227669,421520,hydrographic,"Odowwa Weyn","Odowwa Weyn",variant,11.378056,43.246111,S1-000,,
-3226448,-4575083,hypsographic,"Toûrka Djalêlo","Tourka Djalelo",official,10.997462,42.967067,S1-000,,
-3226448,13822470,hypsographic,"Madaha Djalêlo","Madaha Djalelo",official,10.997462,42.967067,S1-000,,
-3226448,-4570394,hypsographic,"Madaha Gialelo","Madaha Gialelo",variant,10.997462,42.967067,S1-000,,
-3225517,-4569177,hydrographic,"Koudkoudka Dômed","Koudkoudka Domed",official,11.251657,43.106816,S1-000,,
-3222374,-4564678,park,Gesdir,Gesdir,official,1.033333,42.966667,S1-000,,
