wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2753790,-3822043,hypsographic,Vigø,Vigo,official,55.145834,10.117482,DK-83,,
-2750875,-3817972,settlement,Søby,Soby,official,56.53109,9.112498,DK-82,,
-2745979,-3810944,settlement,Kvols,Kvols,official,56.525848,9.296238,DK-82,,
-2745083,-3809610,spot,Kejrup,Kejrup,official,55.427047,10.600843,DK-83,,
-2741067,-3803794,settlement,Dang,Dang,variant,55.19643,10.636891,DK-83,,
-2739213,-3801359,settlement,Allerup,Allerup,official,55.190331,9.012235,DK-83,,
-2744997,-3809279,spot,Kaas,Kaas,variant,56.616667,8.7,DK-82,,
-2739299,-3801463,settlement,Alstrup,Alstrup,official,56.644658,10.008385,DK-81,,
-2752968,-3820878,settlement,Tved,Tved,official,56.257557,8.822995,DK-82,,
-2744576,-3808898,settlement,Hygum,Hygum,official,55.53054,8.531809,DK-83,,
-2740396,-3802993,settlement,Borre,Borre,official,56.31354,9.689282,DK-82,,
-2742998,-3806710,settlement,Gudskov,Gudskov,official,55.481971,10.439928,DK-83,,
-2748173,-3813993,settlement,Odde,Odde,official,56.727627,10.300396,DK-81,,
-2751411,-3818676,settlement,Stendis,Stendis,official,56.414688,8.835093,DK-82,,
-2753125,-3821114,spot,Ullerup,Ullerup,official,56.864363,8.793739,DK-81,,
-2749523,-3815896,hydrographic,Rønnen,Ronnen,official,55.493464,10.770045,DK-83,,
-2753126,-3821115,settlement,Ullerup,Ullerup,official,54.966321,9.659706,DK-83,,
-2740827,-3803570,spot,Buske,Buske,official,55.594192,11.879415,DK-85,,
-2744027,-3808191,settlement,Holte,Holte,official,55.28787,10.135373,DK-83,,
-2749764,-3816254,settlement,Salten,Salten,official,56.083951,9.569074,DK-82,,
-2753132,-3821121,settlement,Ullerup,Ullerup,official,56.768084,8.444499,DK-81,,
-2744093,-3808266,settlement,Højby,Hojby,official,55.593989,11.985358,DK-85,,
-2748132,-3813938,settlement,"Ny Pøl","Ny Pol",official,54.89808,10.043725,DK-83,,
-2753793,-3822049,settlement,Vigsø,Vigso,official,57.095958,8.717894,DK-81,,
-2746201,-3811262,hypsographic,Leammer,Leammer,official,55.530005,10.486676,DK-83,,
-2741374,-3804321,settlement,Egvad,Egvad,official,55.078531,9.250998,DK-83,,
-2753319,-3821389,spot,Vang,Vang,official,57.142129,9.93812,DK-81,,
-2753321,-3821392,settlement,Vang,Vang,official,56.986323,8.511506,DK-81,,
-2744573,-3808893,settlement,Hydevad,Hydevad,official,55.067284,9.232634,DK-83,,
-2744997,-3809500,spot,Kås,Kas,official,56.616667,8.7,DK-82,,
-2740825,-3803568,settlement,Busholm,Busholm,official,54.856669,9.660031,DK-83,,
-2753181,-3821185,settlement,Underup,Underup,official,55.942482,9.700947,DK-82,,
-2752300,-3819971,settlement,Testrup,Testrup,official,56.067182,10.132404,DK-82,,
-2744575,-3808895,settlement,Hygind,Hygind,official,55.385834,9.879679,DK-83,,
-2747467,-3812997,spot,Naldal,Naldal,official,55.960761,9.710482,DK-82,,
-2739779,-3802120,settlement,Barup,Barup,official,54.891102,11.974169,DK-85,,
-2741327,-3804266,settlement,Egeskov,Egeskov,official,55.612588,9.746052,DK-83,,
-2742813,-3806448,settlement,Gravl,Gravl,official,55.9,8.7,DK-82,,
-2748131,-3813937,settlement,"Ny Osted","Ny Osted",official,55.55,11.966667,DK-85,,
-2749522,-3815895,hypsographic,Rønnen,Ronnen,official,56.166804,10.509933,DK-82,,
-2754072,-3822428,settlement,Vraa,Vraa,variant,55.527278,9.345329,DK-83,,
-2753130,-3821119,settlement,Ullerup,Ullerup,official,55.876664,9.199734,DK-83,,
-2742437,-3805863,settlement,Gamst,Gamst,official,55.488742,9.203363,DK-83,,
-2747032,-3812404,settlement,Marstal,Marstal,official,54.856205,10.517255,DK-83,,
-2746200,-3811260,settlement,Læborg,Laeborg,official,55.523155,9.112718,DK-83,,
-2740826,-3803569,settlement,Busk,Busk,official,56.146719,9.097227,DK-82,,
-2753495,-3821638,settlement,Vejstrup,Vejstrup,official,55.4,9.55,DK-83,,
-2744048,-3808218,settlement,Høed,Hoed,official,55.232523,10.041922,DK-83,,
-2752964,-3820874,settlement,Tved,Tved,official,55.334077,8.802791,DK-83,,
-2745371,-3810095,settlement,Kloster,Kloster,official,56.125195,8.176728,DK-82,,
-2743137,-3806914,settlement,Hald,Hald,official,56.55562,10.111078,DK-82,,
-2747411,-3812920,settlement,Mygind,Mygind,official,56.385896,10.219696,DK-82,,
-2742535,-3805999,spot,Gelskov,Gelskov,official,55.218315,10.320025,DK-83,,
-2742834,-3806483,spot,Grene,Grene,official,55.5492,8.869523,DK-83,,
-2744137,-3808313,spot,Højris,Hojris,official,56.738892,8.805413,DK-81,,
-2749521,-3815894,hypsographic,Rønnen,Ronnen,official,55.731672,11.719935,DK-85,,
-2748172,-3813991,hydrographic,"Odby Bugt","Odby Bugt",official,56.6,8.55,DK-82,,
-2739344,-3801527,spot,Andholm,Andholm,official,55.095649,9.352206,DK-83,,
-2753323,-3821395,settlement,Vange,Vange,variant,57.36445,10.318442,DK-81,,
-2741297,-3804233,spot,Egeland,Egeland,official,55.610037,9.45866,DK-83,,
-2751497,-3818788,park,Stevns,Stevns,short,55.3,12.316667,DK-85,,
-2741471,-3804451,settlement,Ellinge,Ellinge,official,55.315534,10.624084,DK-83,,
-2744781,-3809169,spot,Jonstrup,Jonstrup,official,57.483333,9.95,DK-81,,
-2753131,-3821120,settlement,Ullerup,Ullerup,official,55.961674,11.8866,DK-84,,
-2744572,-3808892,settlement,Hydesby,Hydesby,official,54.76203,11.698054,DK-85,,
-2753792,-3822048,hypsographic,Vigsø,Vigso,official,54.908658,11.636147,DK-85,,
-2752967,-3820877,settlement,Tved,Tved,official,55.469812,8.869521,DK-83,,
-2739449,-3801663,settlement,Arrild,Arrild,official,55.152375,8.960407,DK-83,,
-2752966,-3820876,settlement,Tved,Tved,official,56.195412,10.440333,DK-82,,
-2746295,-3811402,hypsographic,Lægehuk,Laegehuk,official,54.883333,12.183333,DK-85,,
-2748175,-3813995,hypsographic,Odden,Odden,official,54.960909,10.522239,DK-83,,
-2754029,-3822355,settlement,Vonge,Vonge,official,55.860357,9.419391,DK-83,,
-2740930,-3803718,settlement,Daler,Daler,official,54.969673,8.743494,DK-83,,
-2744574,-3808894,settlement,Hygild,Hygild,official,55.992538,9.219381,DK-82,,
-2753127,-3821116,settlement,Ullerup,Ullerup,official,55.173385,8.799439,DK-83,,
-2739343,-3801525,settlement,Anderup,Anderup,official,55.433762,10.391108,DK-83,,
-2745075,-3809601,settlement,Kæderup,Kaederup,official,56.016667,12.25,DK-84,,
-2752960,-3820869,spot,Tustrup,Tustrup,official,56.868502,9.959277,DK-81,,
-2741326,-3804265,settlement,Egeskov,Egeskov,official,55.168413,10.481217,DK-83,,
-2753322,-3821393,settlement,Vang,Vang,official,56.309407,8.17258,DK-82,,
-2742815,-3806450,settlement,Gravlev,Gravlev,official,56.848006,9.809109,DK-81,,
-2743650,-3807619,settlement,Herslev,Herslev,official,54.879801,10.742605,DK-83,,
-2740929,-3803717,vegetation,Dalene,Dalene,official,55.556162,10.328355,DK-83,,
