wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
14595050,18967798,settlement,Jimmit,Jimmit,official,15.371451,-61.403139,DM-10,,
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1352287,-1946934,hypsographic,"Pointe Mulâtre","Pointe Mulatre",official,15.280225,-61.253614,DM-09,,
-1352330,-1947017,hydrographic,"Saint Davids Bay","Saint Davids Bay",variant,15.435767,-61.253482,DM-03,,
-1352137,20082330,hydrographic,Delaford,Delaford,official,15.639481,-61.423436,DM-02,,
-1352060,-1946624,hydrographic,"Balthazar River","Balthazar River",official,15.616006,-61.405747,DM-02,,
-1352205,-1946821,hydrographic,"Hampstead River","Hampstead River",official,15.597599,-61.361902,DM-02,,
-1352055,-1946619,hypsographic,"Pointe Augustine","Pointe Augustine",official,15.540427,-61.274837,DM-02,,
-1352075,-1946648,hydrographic,"Bellibu River","Bellibu River",official,15.593794,-61.357728,DM-02,,
-1352322,-1946981,hydrographic,"Point Mulâtre River","Point Mulatre River",official,15.275608,-61.254794,DM-09,,
-1352066,-1946639,spot,Bataly,Bataly,official,15.466667,-61.433333,DM-06,,
-1352330,-1946991,hydrographic,"Anse Quanery","Anse Quanery",official,15.435767,-61.253482,DM-03,,
-1352289,-1946936,hypsographic,"Morne Negres Marrons","Morne Negres Marrons",official,15.408665,-61.331994,DM-000,,
-1352161,-1946764,hydrographic,"Espagnole River","Espagnole River",official,15.531194,-61.475075,DM-11,,
-1352249,-1946884,hydrographic,"Mahaut River","Mahaut River",official,15.360574,-61.396817,DM-10,,
-1352406,-1947089,settlement,"Vielle Case","Vielle Case",variant,15.614179,-61.408231,DM-02,,
-1352206,-1946822,spot,"Hatton Garden","Hatton Garden",variant,15.517946,-61.277218,DM-02,,
-1352215,-1946840,hypsographic,"Pointe de Jenny","Pointe de Jenny",variant,15.466628,-61.242627,DM-03,,
-1352306,20082298,hydrographic,Penton,Penton,official,15.592476,-61.360052,DM-02,,
-1352072,-1946645,settlement,"Bellevue Chopin","Bellevue Chopin",official,15.266744,-61.345987,DM-04,,
-1352396,-1947076,settlement,Toucari,Toucari,official,15.611241,-61.46382,DM-05,,
-1352385,-1947065,settlement,Tanetane,Tanetane,official,15.601879,-61.461108,DM-05,,
-1352258,-1946894,settlement,Marigot,Marigot,official,15.537433,-61.281999,DM-02,,
-1352087,-1946661,settlement,Boetica,Boetica,official,15.309106,-61.250526,DM-09,,
-1352187,-1946795,hydrographic,"Good Hope River","Good Hope River",official,15.407974,-61.253195,DM-03,,
-1352320,-1946979,hydrographic,"Pointe Mulâtre Bay","Pointe Mulatre Bay",official,15.282948,-61.251638,DM-09,,
-1352315,20082297,hydrographic,Picard,Picard,official,15.56167,-61.459934,DM-05,,
-1352110,20082336,hydrographic,"Castle Bruce","Castle Bruce",official,15.431912,-61.255557,DM-03,,
-1352269,-1946701,hydrographic,"Clyde River","Clyde River",variant,15.548094,-61.2925,DM-02,,
-1352328,-1946987,hypsographic,"Prince Rupert Bluff","Prince Rupert Bluff",variant,15.586075,-61.478249,DM-05,,
-1352298,-1946948,hypsographic,"Pagua Point","Pagua Point",variant,15.516589,-61.258732,DM-03,,
-1352412,-1947097,hypsographic,"West Cabri","West Cabri",variant,15.586155,-61.476924,DM-05,,
-1352056,-1946620,settlement,"Au Parc","Au Parc",official,15.611428,-61.406455,DM-02,,
-1352301,-1946952,hypsographic,"Morne Paix Bouche","Morne Paix Bouche",official,15.262358,-61.264114,DM-09,,
-1352383,20082285,hydrographic,Taberi,Taberi,official,15.342317,-61.255249,DM-03,,
-1352299,20082299,hydrographic,Pagua,Pagua,official,15.518396,-61.273832,DM-000,,
-1352125,-1946710,settlement,Cottage,Cottage,official,15.615789,-61.463688,DM-05,,
-1352139,-1946729,hypsographic,"Morne aux Delices","Morne aux Delices",official,15.386802,-61.263522,DM-03,,
-1352298,-1946626,hypsographic,"Baraisir Point","Baraisir Point",variant,15.516589,-61.258732,DM-03,,
-1352103,18967785,hypsographic,Capucin,Capucin,variant,15.638368,-61.458471,DM-05,,
-1352130,-1946716,hypsographic,"Pointe Crabier","Pointe Crabier",official,15.497245,-61.470177,DM-11,,
-1352190,-1946798,spot,"Governor Estate","Governor Estate",official,15.532592,-61.333263,DM-02,,
-1352281,-1946927,settlement,"Morne Raquette","Morne Raquette",official,15.456375,-61.447322,DM-06,,
-1352414,-1947101,settlement,"Woodford Hill","Woodford Hill",official,15.580934,-61.331488,DM-02,,
-1352062,20082349,hydrographic,Barry,Barry,official,15.572673,-61.453669,DM-05,,
-1352108,-1946691,hydrographic,"Cario River","Cario River",official,15.546356,-61.47251,DM-05,,
-1352274,-1946920,hydrographic,"Middle Bay","Middle Bay",official,15.542588,-61.283509,DM-02,,
-1352209,-1946762,spot,"En Gregg","En Gregg",variant,15.397002,-61.41546,DM-06,,
-1352239,-1946874,hypsographic,L’Ilet,L'Ilet,official,15.403815,-61.242356,DM-03,,
-1352081,20082343,hydrographic,Bibiay,Bibiay,official,15.346015,-61.249276,DM-03,,
-1352312,-1946965,settlement,"Petite Soufrière","Petite Soufriere",official,15.390245,-61.25617,DM-03,,
-1352407,-1947090,hypsographic,"Wakaman Pointe","Wakaman Pointe",official,15.450018,-61.249147,DM-03,,
-1352321,-1946980,hypsographic,"Point Mulâtre","Point Mulatre",official,15.288923,-61.247877,DM-09,,
-1352241,-1946876,hydrographic,Loubiere,Loubiere,official,15.266667,-61.383333,DM-04,,
-1352163,-1946766,settlement,"Fond Cani","Fond Cani",official,15.317067,-61.357949,DM-04,,
-1352156,-1946758,settlement,Dubuc,Dubuc,official,15.246714,-61.303788,DM-09,,
-1352086,-1946659,hydrographic,"Boeri River","Boeri River",official,15.330586,-61.395834,DM-10,,
-1352213,-1946837,hypsographic,"Morne Jalousie","Morne Jalousie",official,15.466902,-61.431275,DM-06,,
-1352149,-1946746,administrative_region,"Presidency of Dominica","Presidency of Dominica",variant,15.433333,-61.35,DM-000,,
-1352366,-1947040,hypsographic,"Satisbie Isles","Satisbie Isles",variant,15.493135,-61.245882,DM-03,,
-1352267,-1946906,spot,"Melville Hall","Melville Hall",variant,15.546596,-61.301191,DM-02,,
-1352250,-1946885,hydrographic,"Mahaut River","Mahaut River",official,15.474722,-61.247795,DM-03,,
-1352286,18966136,hydrographic,"Anse Mulatre","Anse Mulatre",variant,15.505766,-61.468397,DM-11,,
-1352147,-1946738,hypsographic,"Mount Diabletin","Mount Diabletin",variant,15.501048,-61.39643,DM-000,,
-1352250,-1946845,hydrographic,"Kuerek River","Kuerek River",variant,15.474722,-61.247795,DM-03,,
-1352247,-1946882,hypsographic,"Pointe Mahaut","Pointe Mahaut",official,15.482945,-61.247594,DM-03,,
-1352315,-1946972,hydrographic,"Picara River","Picara River",variant,15.56167,-61.459934,DM-05,,
-1352388,-1947000,hypsographic,"Rodney’s Rock","Rodney's Rock",variant,15.3805,-61.411807,DM-10,,
-1352169,18967793,hypsographic,"Pointe Des Fous","Pointe Des Fous",official,15.212531,-61.330676,DM-09,,
-1352245,18966143,settlement,Majini,Majini,variant,15.467655,-61.249371,DM-03,,
-1352191,-1946777,hypsographic,"Gabière Point","Gabiere Point",variant,15.5,-61.483333,DM-05,,
-1352311,-1947042,hypsographic,"Point Savanne","Point Savanne",variant,15.256287,-61.258267,DM-09,,
-1352368,-1946629,hydrographic,"Baroui River","Baroui River",variant,15.433186,-61.436566,DM-06,,
-1352062,-1946632,hydrographic,"Barry River","Barry River",official,15.572673,-61.453669,DM-05,,
-1352334,-1946996,hypsographic,"Pointe Retireau","Pointe Retireau",official,15.243948,-61.271806,DM-09,,
-1352411,-1947096,settlement,Wesley,Wesley,official,15.564373,-61.310826,DM-02,,
-1352323,-1946982,settlement,"Pont Cassé","Pont Casse",official,15.380175,-61.343651,DM-10,,
-1352337,-1946999,settlement,"Rivière Ciriques","Riviere Ciriques",official,15.359898,-61.258354,DM-03,,
-1352314,-1946967,hypsographic,"Petit L’Ilet","Petit L'Ilet",official,15.494873,-61.250453,DM-03,,
-1352382,-1947049,settlement,"Silvannia Estate","Silvannia Estate",variant,15.359299,-61.355553,DM-10,,
-1352315,-1946974,hydrographic,"Picard River","Picard River",official,15.56167,-61.459934,DM-05,,
-1352235,-1946868,hypsographic,"Le Grand Maison","Le Grand Maison",official,15.232311,-61.364596,DM-08,,
-1352065,-1946638,hydrographic,"Batali River","Batali River",official,15.453917,-61.446982,DM-06,,
-1352215,-1946869,hypsographic,"L’Escalier Tête-chien","L'Escalier Tete-chien",variant,15.466628,-61.242627,DM-03,,
-1352115,-1946699,hydrographic,"Clarke’s River","Clarke's River",official,15.373832,-61.273688,DM-03,,
-1352307,-1946958,hydrographic,"Petit Baptiste Bay","Petit Baptiste Bay",official,15.596172,-61.335192,DM-02,,
-1352243,-1946878,hypsographic,"Morne Macaque","Morne Macaque",official,15.342139,-61.319173,DM-04,,
-1352383,-1947063,hydrographic,"Taberi River","Taberi River",official,15.342317,-61.255249,DM-03,,
-1352266,-1946903,hydrographic,"Mayette Spring","Mayette Spring",official,15.332956,-61.354989,DM-000,,
-1352292,-1946940,hypsographic,Noble,Noble,official,15.565631,-61.294243,DM-02,,
-1352236,-1946870,hypsographic,"Morne Les Resources","Morne Les Resources",official,15.501886,-61.413414,DM-000,,
-1352214,-1946839,hypsographic,"Point Jaquet","Point Jaquet",official,15.633333,-61.433333,DM-000,,
-1352343,20082294,hydrographic,Rosalie,Rosalie,official,15.373482,-61.251822,DM-03,,
-1352234,-1946867,hydrographic,"Layou River","Layou River",official,15.394704,-61.425327,DM-06,,
-1352085,-1946658,hydrographic,"Boeri Lake","Boeri Lake",official,15.352202,-61.321102,DM-03,,
-1352170,-1946774,hydrographic,"Anse Francais","Anse Francais",official,15.452142,-61.247694,DM-03,,
-1352226,-1946858,hypsographic,"La Pointe","La Pointe",official,15.566667,-61.483333,DM-05,,
-1352133,-1946720,hydrographic,"Crayfish River","Crayfish River",official,15.502322,-61.258259,DM-03,,
-1352118,-1946703,hypsographic,"Pointe Coco","Pointe Coco",official,15.287477,-61.246025,DM-09,,
-1352186,-1946794,settlement,"Good Hope","Good Hope",official,15.411677,-61.254056,DM-03,,
-1352305,-1946956,settlement,Peineville,Peineville,official,15.628997,-61.420025,DM-02,,
-1352328,-1946988,hypsographic,"Prince Rupert Bluff Point","Prince Rupert Bluff Point",official,15.586075,-61.478249,DM-05,,
-1352225,-1946857,hypsographic,"La Pointe","La Pointe",official,15.487369,-61.465464,DM-11,,
-1352267,-1946908,spot,"Melville Hall Airfield","Melville Hall Airfield",short,15.546596,-61.301191,DM-02,,
-1352123,-1946708,hydrographic,"Colihaut River","Colihaut River",official,15.484327,-61.463548,DM-11,,
-1352263,-1946900,hydrographic,"Massacre River","Massacre River",official,15.346726,-61.393123,DM-10,,
-1352112,-1946696,settlement,"Charlotte Ville","Charlotte Ville",official,15.291883,-61.379314,DM-04,,
-1352100,-1946683,spot,"Canefield Airport","Canefield Airport",short,15.336781,-61.392124,DM-10,,
-1352345,20082293,hydrographic,Roseau,Roseau,official,15.299081,-61.390754,DM-04,,
-1352390,-1947070,settlement,"Tête Morne","Tete Morne",official,15.235449,-61.333957,DM-09,,
-1352313,-1946966,hydrographic,"Petite Soufrière Bay","Petite Soufriere Bay",official,15.387254,-61.247363,DM-03,,
-1352322,18966493,hydrographic,"Point Mulatre River","Point Mulatre River",variant,15.275608,-61.254794,DM-09,,
-1352083,-1946656,hydrographic,"Bioche River","Bioche River",official,15.508712,-61.467108,DM-11,,
-1352167,18966229,hypsographic,"Pointe Du Fort","Pointe Du Fort",official,15.499074,-61.252908,DM-03,,
-1352371,-1947041,hydrographic,"Savane River","Savane River",official,15.249646,-61.263396,DM-09,,
-1352078,-1946651,settlement,Belvidere,Belvidere,official,15.283333,-61.25,DM-09,,
-1352088,-1946662,hydrographic,"Boiling Lake","Boiling Lake",official,15.318347,-61.294383,DM-09,,
-1352135,-1946724,hypsographic,"Morne Daniel","Morne Daniel",official,15.319286,-61.391301,DM-10,,
-1352389,20082284,hydrographic,Tarou,Tarou,official,15.387974,-61.415451,DM-10,,
-1352377,18967789,settlement,Soufriere,Soufriere,variant,15.233844,-61.35908,DM-08,,
-1352129,-1946715,hypsographic,"Morne Couronne","Morne Couronne",official,15.403804,-61.357456,DM-06,,
-1352378,-1947056,hydrographic,"Soufrière Bay","Soufriere Bay",official,15.224875,-61.36353,DM-08,,
-1352381,18967788,hydrographic,"Sulphur Springs","Sulphur Springs",variant,15.234314,-61.349244,DM-08,,
-1352413,-1947099,hydrographic,"Woodbridge Bay","Woodbridge Bay",official,15.314764,-61.390978,DM-000,,
-1352331,20082295,hydrographic,Quanery,Quanery,official,15.333333,-61.283333,DM-03,,
-1352326,18967774,settlement,"Potter’s Ville","Potter's Ville",official,15.302433,-61.389583,DM-04,,
-1352066,-1946636,spot,Batalie,Batalie,variant,15.466667,-61.433333,DM-06,,
-1352346,-1947012,hydrographic,"Rough Bay","Rough Bay",official,15.572723,-61.304307,DM-02,,
-1352401,-1947081,settlement,Trafalgar,Trafalgar,official,15.321774,-61.347811,DM-04,,
-1352352,-1947020,hypsographic,"Point Saint Jean","Point Saint Jean",official,15.251277,-61.260066,DM-09,,
-1352299,-1946950,hydrographic,"Pagua River","Pagua River",official,15.518396,-61.273832,DM-000,,
-1352257,-1946893,hydrographic,"Maréchal River","Marechal River",official,15.520445,-61.275058,DM-02,,
-1352147,-1946739,hypsographic,"Morne Diablotin","Morne Diablotin",variant,15.501048,-61.39643,DM-000,,
-1352410,-1947094,hypsographic,"Morne Watt","Morne Watt",variant,15.306526,-61.305326,DM-09,,
-1352311,-1946963,hypsographic,"Petite Savane Pointe","Petite Savane Pointe",variant,15.256287,-61.258267,DM-09,,
-1352221,-1946852,settlement,"Là Haut","La Haut",official,15.635112,-61.424628,DM-02,,
-1352277,-1946923,settlement,"Morne Aux Frégates","Morne Aux Fregates",official,15.357406,-61.262061,DM-03,,
-1352100,-1946681,spot,Canefield,Canefield,variant,15.336781,-61.392124,DM-10,,
-1352181,-1946812,settlement,Griaudel,Griaudel,variant,15.288441,-61.348791,DM-04,,
-1352071,20082346,hydrographic,"Belle Fille","Belle Fille",official,15.424911,-61.270497,DM-03,,
-1352212,-1946835,hypsographic,"Pointe Jaco","Pointe Jaco",official,15.639509,-61.422815,DM-02,,
-1352266,18966118,hydrographic,"Mayette Springs","Mayette Springs",variant,15.332956,-61.354989,DM-000,,
-1352192,-1946802,hydrographic,"Grand Baptiste Bay","Grand Baptiste Bay",official,15.596471,-61.340958,DM-02,,
-1352294,-1946942,vegetation,"Northern Forest Reserve","Northern Forest Reserve",official,15.508973,-61.388698,DM-02,,
-1352182,-1946790,settlement,Glanvillia,Glanvillia,official,15.567074,-61.456124,DM-05,,
-1352218,-1946849,settlement,Lagon,Lagon,official,15.579982,-61.457823,DM-05,,
-1352325,-1946984,settlement,Portsmouth,Portsmouth,official,15.576124,-61.454465,DM-05,,
-1352325,-1946800,settlement,Grand-Anse,Grand-Anse,variant,15.576124,-61.454465,DM-05,,
-1352172,-1946871,hydrographic,L’etang,L'etang,variant,15.343184,-61.308213,DM-04,,
-1352243,-1946919,hypsographic,Microtin,Microtin,variant,15.342139,-61.319173,DM-04,,
-1352255,-1946891,hypsographic,"Mang Peak","Mang Peak",official,15.474763,-61.339816,DM-000,,
-1352232,-1946865,settlement,Laudat,Laudat,official,15.334601,-61.331097,DM-04,,
-1352412,-1947098,hypsographic,"West Cabrit","West Cabrit",official,15.586155,-61.476924,DM-05,,
-1352392,-1947072,settlement,Thibaud,Thibaud,official,15.599689,-61.397287,DM-02,,
-1352344,-1947009,settlement,Roseau,Roseau,official,15.3,-61.4,DM-04,,
-1352273,-1946915,hypsographic,"La Pointe Michel","La Pointe Michel",variant,15.25,-61.4,DM-07,,
-1352208,-1946828,hydrographic,"Hillsborough Bay","Hillsborough Bay",official,15.6,-61.333333,DM-02,,
-1352280,-1946926,settlement,"Morne Prosper","Morne Prosper",official,15.310797,-61.344601,DM-04,,
-1352329,-1946990,hydrographic,"Pringles Bay","Pringles Bay",official,15.337087,-61.394627,DM-10,,
-1352389,-1947069,hydrographic,"Tarou River","Tarou River",official,15.387974,-61.415451,DM-10,,
-1352343,-1947008,hydrographic,"Rosalie River","Rosalie River",official,15.373482,-61.251822,DM-03,,
-1352322,20082296,hydrographic,"Point Mulâtre","Point Mulatre",official,15.275608,-61.254794,DM-09,,
-1352398,20082281,hydrographic,Toucari,Toucari,official,15.609804,-61.464021,DM-05,,
-1352337,18965192,settlement,"Riviere Ciriques","Riviere Ciriques",variant,15.359898,-61.258354,DM-03,,
-1352395,20082282,hydrographic,Torité,Torite,official,15.6,-61.55,DM-05,,
-1352400,-1947080,hypsographic,"Pointe Tourterelles","Pointe Tourterelles",official,15.459687,-61.245722,DM-03,,
-1352120,-1946705,hydrographic,"Anse Cola","Anse Cola",official,15.480505,-61.461807,DM-11,,
-1352094,-1946668,hypsographic,"Morne Bruce","Morne Bruce",official,15.299358,-61.377314,DM-04,,
-1352140,-1946730,settlement,Demitrie,Demitrie,official,15.633387,-61.425331,DM-02,,
-1352177,-1946782,hydrographic,"Geneva River","Geneva River",official,15.244396,-61.307987,DM-09,,
-1352203,-1946819,settlement,Hampstead,Hampstead,official,15.594571,-61.366305,DM-02,,
-1352103,-1946805,hypsographic,"Grand Capucin","Grand Capucin",variant,15.638368,-61.458471,DM-05,,
