wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3367466,-4783241,hydrographic,"Río Yuca","Rio Yuca",variant,18.552064,-69.844683,DO-40,,
-3366380,-4781672,settlement,Silgueral,Silgueral,official,19.057577,-71.302883,DO-37,,
-3365801,-4780900,settlement,"Saca Turrón","Saca Turron",official,18.737344,-69.485667,DO-39,,
-3364016,-4778525,settlement,Pedregal,Pedregal,official,19.325872,-70.899437,DO-35,,
-3363436,-4777761,settlement,Ondina,Ondina,official,18.77000206,-69.25585087,DO-39,,
-3362756,-4776833,settlement,Miguel,Miguel,official,18.489878,-70.255712,DO-41,,
-3360891,-4774411,settlement,"Los Lazos","Los Lazos",official,18.846726,-68.917729,DO-42,,
-3360810,-4774313,settlement,"Los Indios","Los Indios",official,19.518722,-71.299929,DO-34,,
-3360654,-4774139,settlement,"Los Guayos","Los Guayos",official,19.465973,-70.352343,DO-33,,
-3360626,-4774105,settlement,"Los Guanos","Los Guanos",official,18.532698,-70.616244,DO-41,,
-3360536,-4764609,settlement,Fondo,Fondo,variant,19.234075,-71.620107,DO-37,,
-3357484,-4770072,settlement,"La Matica","La Matica",official,19.103584,-71.437567,DO-37,,
-3354810,-4766536,administrative_region,Imbert,Imbert,official,19.75,-70.866667,DO-35,,
-3354547,-4766177,settlement,Higüero,Higuero,official,19.766667,-70.466667,DO-18,,
-3354248,-4765759,spot,Guerra,Guerra,short,18.75,-69.616667,DO-29,,
-3353148,-4764202,settlement,"El Voladero","El Voladero",official,18.300119,-70.279941,DO-41,,
-3351415,-4762082,settlement,"El Cumbí","El Cumbi",official,19.672303,-70.789755,DO-35,,
-3350381,-4760816,settlement,"Don Juan","Don Juan",official,19.298372,-70.8673,DO-35,,
-3350203,-4760582,hydrographic,"Arroyo Dajao","Arroyo Dajao",official,19.366667,-71.233333,DO-25,,
-3350062,-4760380,settlement,Cuca,Cuca,official,19.194045,-70.187932,DO-33,,
-3349412,-4759431,settlement,Chena,Chena,variant,17.976055,-71.255692,DO-38,,
-3349085,-4758956,settlement,Casuí,Casui,official,18.805324,-69.450146,DO-39,,
-3348023,-4757426,park,Brito,Brito,official,19.031535,-71.567349,DO-37,,
-3346924,-4755769,administrative_region,Azua,Azua,official,18.5,-70.75,DO-41,,
-3346072,-4754548,settlement,Abajo,Abajo,official,19.416667,-70.5,DO-09,,
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-3366203,-4781417,settlement,Santana,Santana,official,18.630064,-68.772478,DO-42,,
-3366205,-4781419,settlement,Santana,Santana,official,18.801605,-69.473852,DO-39,,
-3366204,-4781418,settlement,Santana,Santana,official,18.800875,-69.220679,DO-42,,
-3366196,-4781410,settlement,Santana,Santana,official,18.277799,-70.214934,DO-41,,
-3366199,-4781413,settlement,Santana,Santana,official,18.55,-70.416667,DO-41,,
-3362693,-4776752,settlement,Melaza,Melaza,official,18.839783,-68.678213,DO-42,,
-3366200,-4781414,settlement,Santana,Santana,official,18.618542,-70.357999,DO-41,,
-3366201,-4781415,settlement,Santana,Santana,official,18.6,-70.35,DO-21,,
-3357256,-4769804,settlement,"La Loma","La Loma",official,18.964456,-69.310639,DO-39,,
-3359001,-4772067,settlement,"La Tala","La Tala",official,19.203126,-70.412719,DO-36,,
-3357255,-4769803,settlement,"La Loma","La Loma",official,18.963568,-69.210159,DO-39,,
