wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-931749,-1378219,settlement,Peludo,Peludo,official,-0.7,-80.15,EC-M,,
-926615,-1371318,settlement,Dureno,Dureno,official,0.051711,-76.677534,EC-U,,
134208,164956,settlement,Guabal,Guabal,official,0.967309,-79.566852,EC-E,,
11703891,14101576,spot,Zanja,Zanja,official,-0.874165,-78.417623,EC-X,,
14952243,19672216,park,Pallo,Pallo,official,-1.785526,-78.992899,EC-H,,
-934544,-1382317,settlement,Trinidad,Trinidad,official,-1.566667,-79.466667,EC-R,,
-934376,-1382074,hydrographic,"Quebrada Tiliche","Quebrada Tiliche",official,-0.583333,-78.533333,EC-P,,
-934525,-1382288,settlement,Trapichillo,Trapichillo,official,-4.17030989,-79.69714594,EC-L,,
-934804,-1382716,hydrographic,"Quebrada Verde","Quebrada Verde",official,-3.1,-79.016667,EC-A,,
-934130,-1381719,hydrographic,Suruhuacu,Suruhuacu,variant,-0.345178,-78.458823,EC-P,,
-935106,-1383189,hydrographic,Zapallar,Zapallar,variant,-0.306474,-78.646085,EC-P,,
-934796,-1382708,hypsographic,"Cerro Verde","Cerro Verde",official,-2.45,-80.5,EC-G,,
-934693,-1382551,hydrographic,Upayacu,Upayacu,variant,0.066667,-78.166667,EC-P,,
-934097,-1381668,settlement,"Sulag Pamba","Sulag Pamba",official,-3.016667,-79.016667,EC-A,,
-934327,-1372068,hydrographic,"Río Florida","Rio Florida",variant,-3.286858,-79.638434,EC-A,,
-934490,-1382225,hydrographic,"Quebrada Torourco","Quebrada Torourco",variant,-0.383333,-78.366667,EC-P,,
-934945,-1382936,hypsographic,Yanacaca,Yanacaca,official,-3.466667,-79.616667,EC-O,,
-934888,-1382843,hydrographic,"Quebrada del Volcán","Quebrada del Volcan",official,0.521055,-78.223968,EC-I,,
-934885,-1382838,settlement,Voladero,Voladero,official,1.0E-6,-78.85,EC-P,,
-934083,-1381651,settlement,Sucre,Sucre,official,-1.27987395,-80.41776436,EC-M,,
-934631,-1382452,hydrographic,Turiucu,Turiucu,official,-0.466667,-78.3,EC-P,,
-934220,-1381861,settlement,"Tambo de Arriba","Tambo de Arriba",official,-2.283333,-80.833333,EC-G,,
-934741,-1382622,settlement,Valdivia,Valdivia,official,-3.99416855,-79.65959982,EC-L,,
-934621,-1382440,hydrographic,"Quebrada Turapo","Quebrada Turapo",official,-3.9,-79.65,EC-L,,
-934010,-1381545,settlement,Sinchig,Sinchig,official,-1.533333,-78.983333,EC-B,,
-934839,-1382768,settlement,Victoria,Victoria,official,-3.033333,-79.033333,EC-A,,
-935142,-1383269,settlement,Zidmad,Zidmad,variant,-2.929105,-78.898662,EC-A,,
-935154,-1383261,settlement,Zhordan,Zhordan,variant,-2.834551,-78.722916,EC-A,,
-934995,-1383008,administrative_region,"Cantón Yantzaza","Canton Yantzaza",official,-3.76950579,-78.71362078,EC-Z,,
-934848,-1382771,settlement,Victoria,Victoria,variant,-4.26076678,-79.22264973,EC-L,,
-933989,-1379883,hydrographic,"Río Salanti","Rio Salanti",variant,0.151007,-79.263517,EC-P,,
-934834,-1382759,settlement,Victoria,Victoria,official,-1.983333,-80,EC-G,,
-934935,-1382921,settlement,Yamala,Yamala,official,-2.883333,-78.716667,EC-A,,
-934793,-1382675,settlement,"Vela Cruz","Vela Cruz",variant,-3.97919901,-79.57560279,EC-L,,
-934384,-1382091,settlement,Timbre,Timbre,official,0.821069,-79.615056,EC-E,,
-934793,-1382703,settlement,Veracruz,Veracruz,variant,-3.97919901,-79.57560279,EC-L,,
-934283,-1375910,hypsographic,"Isla La Taza","Isla La Taza",variant,-2.411244,-80.080632,EC-G,,
-934644,-1382478,hydrographic,"Rio Tutanangosa","Rio Tutanangosa",variant,-2.596605,-78.184632,EC-S,,
-934041,-1381592,settlement,Soldados,Soldados,official,-2.94094,-79.223033,EC-A,,
-934298,-1381971,settlement,Taya,Taya,official,0.783775,-77.684635,EC-C,,
-934206,-1381838,settlement,Tambillo,Tambillo,official,-2.722721,-78.796366,EC-A,,
-934407,-1382122,settlement,"Tin Tin","Tin Tin",official,-1.733333,-79.85,EC-R,,
-934294,-1381959,hydrographic,"Boca de Taura","Boca de Taura",official,-2.529244,-79.77686,EC-G,,
-934662,-1382505,settlement,Ucumarina,Ucumarina,official,-2.671854,-78.630065,EC-A,,
-934990,-1368337,hydrographic,"Río Ayanga","Rio Ayanga",variant,-4.349386,-79.225677,EC-L,,
-935026,-1383057,settlement,"Yerbas Buenas","Yerbas Buenas",official,-2.6,-79.166667,EC-F,,
