wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
9255494,9333138,hydrographic,Kaue,Kaue,short,14.7175,38.107778,ER-GB,,
10042643,10206131,hydrographic,Layle,Layle,short,14.673378,39.554098,ER-DU,,
11600979,13881393,park,Tamla,Tamla,short,16.695623,37.444877,ER-AN,,
11600568,13880477,settlement,Embeyto,Embeyto,short,15.209928,38.96579,ER-MA,,
11564502,13785478,hypsographic,Aslu,Aslu,short,12.911823,42.613598,ER-DK,,
11593203,13864539,hydrographic,Avee,Avee,short,15.656253,37.524943,ER-GB,,
11599194,13877197,park,Khasbi,Khasbi,short,15.08094,38.650741,ER-DU,,
11602812,13886834,park,Bigayt,Bigayt,short,15.322475,38.592238,ER-GB,,
11601732,13884250,hypsographic,"Ad Kealu","Ad Kealu",short,15.231125,38.542515,ER-GB,,
11595462,13869072,hypsographic,Uetro,Uetro,short,15.766825,38.129952,ER-GB,,
11601919,13885001,settlement,Khabela,Khabela,short,15.280905,38.646179,ER-GB,,
11595029,13868226,hypsographic,Enis,Enis,short,16.021867,39.065181,ER-DU,,
-3192110,-4512903,hypsographic,"South West Rocks","South West Rocks",official,13.641028,42.602327,ER-000,,
-2037501,-4834121,hydrographic,"Tiddigille Bôlo","Tiddigille Bolo",official,12.380269,42.727929,S1-000,,
-2037501,-2829611,hydrographic,"Tiddigille Bôlo","Tiddigille Bolo",official,12.380269,42.727929,S1-000,,
-2037352,-2829403,hydrographic,Silalmi‘i,Silalmi`i,official,12.56247,42.85584,S1-000,,
-2037183,-4834114,hydrographic,Sabbali,Sabbali,short,12.499157,42.526365,S1-000,,
-2037183,-2829198,hydrographic,Sabbâli,Sabbali,official,12.499157,42.526365,S1-000,,
-2037156,13826111,hydrographic,Rayrou,Rayrou,variant,12.485462,42.59016,S1-000,,
-2037156,-2829155,hydrographic,Rayrou,Rayrou,official,12.485462,42.59016,S1-000,,
-2037140,-2829132,hydrographic,Randali,Randali,official,12.483936,42.691346,S1-000,,
-2037140,-2829133,hydrographic,Randale,Randale,official,12.483936,42.691346,S1-000,,
-2036951,-4834110,hypsographic,"‘Ounḏa Ganga","`Ounda Ganga",official,12.460241,42.587308,S1-000,,
-2036951,-2828912,hypsographic,"‘Ounḏa Ganga","`Ounda Ganga",official,12.460241,42.587308,S1-000,,
-2036878,-2828838,hydrographic,"Oulla Dabba","Oulla Dabba",short,12.460342,42.832087,ER-DK,,
-2036875,-2828835,park,Oulel,Oulel,official,12.562843,42.847492,S1-000,,
-2036671,-2828540,hydrographic,Na‘asou,Na`asou,official,12.617104,42.890919,S1-000,,
-2036530,-4834102,hydrographic,"Me‘edori Babbô‘a","Me`edori Babbo`a",short,12.432086,42.672231,ER-DK,,
-2036291,-2828036,park,Lili‘ya,Lili`ya,official,12.366908,42.686166,S1-000,,
-2036291,-4834100,park,Lili‘ya,Lili`ya,short,12.366908,42.686166,S1-000,,
-2036277,-4834099,hydrographic,Lêdînisa,Ledinisa,short,12.472571,42.622572,ER-DK,,
-2036231,-4834098,hydrographic,"Lâhi Garbo","Lahi Garbo",short,12.427209,42.693856,ER-DK,,
-2036061,-2827743,hydrographic,Kênalli,Kenalli,official,12.39197,42.655472,S1-000,,
-2036061,13835409,hydrographic,Kenalli,Kenalli,short,12.39197,42.655472,S1-000,,
-2036010,-2826638,hypsographic,"Rocher des Goelands","Rocher des Goelands",variant,12.718419,43.156545,S1-000,,
-2036010,-2824888,hypsographic,"Scoglio Callida","Scoglio Callida",variant,12.718419,43.156545,S1-000,,
-2036010,9042401,hypsographic,Callida,Callida,variant,12.718419,43.156545,S1-000,,
-2036010,-2827679,hypsographic,Kallîda,Kallida,official,12.718419,43.156545,S1-000,,
-2035999,-2827668,hydrographic,Kalla‘assa,Kalla`assa,official,12.383454,42.719438,S1-000,,
-2035999,-4834092,hydrographic,Kalla‘assa,Kalla`assa,short,12.383454,42.719438,S1-000,,
-2035730,-2827365,park,Ilhino,Ilhino,official,12.411366,42.7953,S1-000,,
-2035226,-4834074,hydrographic,Gubi-Bakhertu,Gubi-Bakhertu,short,12.451867,42.821244,S1-000,,
-2034095,-2825257,park,Dannakil,Dannakil,variant,13,41,S1-000,,
-2034095,-2825231,park,Dancali,Dancali,variant,13,41,S1-000,,
-2034492,-2825762,hypsographic,"Cape Doumeira","Cape Doumeira",variant,12.713408,43.13721,S1-000,,
-2034095,-2825215,park,Danakil,Danakil,official,13,41,S1-000,,
-2034356,-2825595,hydrographic,Dimmiyto,Dimmiyto,official,12.575181,42.858298,S1-000,,
-2034095,-2825249,park,Dankalia,Dankalia,variant,13,41,S1-000,,
-2034720,13846380,hypsographic,Gabla,Gabla,short,12.711255,43.134631,S1-000,,
-2034003,-2825122,vegetation,Ḏâle,Dale,official,12.694622,43.093217,S1-000,,
-2034095,-2825409,park,Dauachil,Dauachil,variant,13,41,S1-000,,
-2034492,-2825771,hypsographic,"Ras Dumēra YeMidir Zerf Ch’af","Ras Dumera YeMidir Zerf Ch'af",official,12.713408,43.13721,S1-000,,
-2034095,-2823482,park,"Plaine de l’Afar","Plaine de l'Afar",variant,13,41,S1-000,,
-2034095,-2823485,park,"Afar Depression","Afar Depression",variant,13,41,S1-000,,
-2035159,-2826620,hydrographic,Gôba‘do,Goba`do,official,12.381285,42.748855,S1-000,,
-2034095,-2825232,park,Dancalia,Dancalia,variant,13,41,S1-000,,
-2034095,-2825216,park,"Plateau of Danakil","Plateau of Danakil",variant,13,41,S1-000,,
-2034095,-2825243,park,Dankalē,Dankale,variant,13,41,S1-000,,
-2034095,-2825246,park,Denakil,Denakil,variant,13,41,S1-000,,
-2034095,-2825214,park,Danachil,Danachil,variant,13,41,S1-000,,
-2034492,-2825808,hypsographic,"Ras Dumēra","Ras Dumera",variant,12.713408,43.13721,S1-000,,
-2035501,-2827078,hydrographic,Harroûg,Harroug,official,12.546414,42.84431,S1-000,,
-2034720,-2826080,hypsographic,Gabla,Gabla,official,12.711255,43.134631,S1-000,,
-2034095,-2825230,park,Dancal,Dancal,variant,13,41,S1-000,,
-2034095,-2823484,park,"Plateau of Afar","Plateau of Afar",variant,13,41,S1-000,,
-2034095,-2825218,park,"Danakil Lowlands","Danakil Lowlands",variant,13,41,S1-000,,
-2034492,-2825770,hypsographic,"Ras Doumêra","Ras Doumera",official,12.713408,43.13721,S1-000,,
-2034492,-2825765,hypsographic,"Ras Doumeïra","Ras Doumeira",variant,12.713408,43.13721,S1-000,,
-2034095,-2825217,park,"Dānākil Depression","Danakil Depression",variant,13,41,S1-000,,
-2035226,-2826711,hydrographic,"Goubi Gaẖertou","Goubi Gahertou",official,12.451867,42.821244,S1-000,,
