wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-621763,-878817,administrative_region,"Welega Kifle Hāger","Welega Kifle Hager",official,9,35.5,ET-000,1,
-611724,-863769,settlement,Gis,Gis,official,9.383333,37.016667,ET-OR,,
-605232,-853407,settlement,Bal,Bal,official,8.716667,39.116667,ET-OR,,
-613331,-866150,settlement,Hen,Hen,official,7.816667,43.766667,ET-SO,,
-621792,-878857,settlement,Welī,Weli,official,9.016667,37.833333,ET-OR,,
-604892,-852815,hydrographic,Aua,Aua,official,11.35,41.016667,ET-AF,,
-621517,-878519,settlement,Wana,Wana,official,12.866667,39.016667,ET-AM,,
-619008,-874590,settlement,Sēba,Seba,official,8.05,37.533333,ET-OR,,
-605606,-854005,settlement,Bek’ī,Bek'i,official,7.283333,35.5,ET-SW,,
-612297,-864586,settlement,Gozē,Goze,official,10.05,39.883333,ET-AM,,
-620200,-876357,settlement,Tam,Tam,official,9.45,38.7,ET-OR,,
10154841,10421950,hydrographic,Sorona,Sorona,short,14.349398,38.670036,ET-TI,,
9236558,9306921,settlement,Iglale,Iglale,official,5.753333,44.571667,ET-SO,,
11616472,13915779,hydrographic,Uaku,Uaku,short,8.316886,33.242788,ET-GA,,
11575047,13816709,hypsographic,Baranto,Baranto,short,12.217049,41.545548,ET-AF,,
11618146,13920194,hydrographic,Daso,Daso,short,11.89987,41.991815,ET-AF,,
11806064,14335770,settlement,Edo,Edo,official,10.644688,39.851768,ET-AM,,
11809801,14343450,park,Kulo,Kulo,official,9.460154,39.204135,ET-OR,,
-3230752,-4576220,park,Wirir,Wirir,short,9.55,43.283333,ET-SO,,
-3230405,-4575264,hydrographic,"Tug Uaialeh","Tug Uaialeh",variant,9.350278,43.654444,S1-000,,
-3230405,-4575110,hydrographic,"Togh Tuccale","Togh Tuccale",variant,9.350278,43.654444,S1-000,,
-3230405,-4575109,hydrographic,Tuccale,Tuccale,variant,9.350278,43.654444,S1-000,,
-3230405,-4575792,hydrographic,"Tug Wajale","Tug Wajale",official,9.350278,43.654444,S1-000,,
-3230405,9303189,hydrographic,Uadzhale,Uadzhale,variant,9.350278,43.654444,S1-000,,
-3230405,-4575793,hydrographic,"Togo Wuch’alē Shet’","Togo Wuch'ale Shet'",official,9.350278,43.654444,S1-000,,
-3230405,-4575404,hydrographic,"Togh Ueggiale","Togh Ueggiale",variant,9.350278,43.654444,S1-000,,
-3230405,9303160,hydrographic,Togo-Uychale-Shet,Togo-Uychale-Shet,variant,9.350278,43.654444,S1-000,,
-3228084,-4572599,hypsographic,Qoljeit,Qoljeit,official,10.089246,42.99089,S1-000,,
-3228084,-4565242,hypsographic,Goljet,Goljet,variant,10.089246,42.99089,S1-000,,
-3224954,-4568436,hydrographic,"Webiga Jubba","Webiga Jubba",variant,-0.236449,42.650122,S1-000,,
-3224954,-4568435,hydrographic,"Genalē Wenz","Genale Wenz",official,-0.236449,42.650122,S1-000,,
-3224954,-4563906,hydrographic,"Webi Ganaane","Webi Ganaane",variant,-0.236449,42.650122,S1-000,,
-3224954,-4568434,hydrographic,"Webi Jubba","Webi Jubba",official,-0.236449,42.650122,S1-000,,
-3224954,-4563909,hydrographic,"Ganale Doria","Ganale Doria",variant,-0.236449,42.650122,S1-000,,
-3224954,-4563913,hydrographic,"Wébi Ganāne","Webi Ganane",variant,-0.236449,42.650122,S1-000,,
-3224954,-4563910,hydrographic,Ganālē-Doryā,Ganale-Dorya,variant,-0.236449,42.650122,S1-000,,
-3224954,-4568429,hydrographic,Juba,Juba,variant,-0.236449,42.650122,S1-000,,
-3224954,-4563912,hydrographic,Ganana,Ganana,variant,-0.236449,42.650122,S1-000,,
-3224954,-4564631,hydrographic,Genale,Genale,variant,-0.236449,42.650122,S1-000,,
-3224954,-4564632,hydrographic,"Genalé Wenz","Genale Wenz",variant,-0.236449,42.650122,S1-000,,
-3224954,-4568455,hydrographic,"River Juubo","River Juubo",variant,-0.236449,42.650122,S1-000,,
-3224954,-4564951,hydrographic,"Fiume Giuba","Fiume Giuba",variant,-0.236449,42.650122,S1-000,,
-3223178,9296895,settlement,Uadda-Gumar,Uadda-Gumar,variant,9.099722,43.896667,ET-000,,
-3223178,9305053,settlement,Gumer,Gumer,official,9.099722,43.896667,ET-000,,
-3223178,-4565902,settlement,Gumar,Gumar,variant,9.099722,43.896667,ET-000,,
-3221249,-4563148,settlement,Ferfer,Ferfer,official,5.083611,45.128056,ET-SO,,
-3220565,-4561957,park,Dulusbo,Dulusbo,short,10.676336,42.71387,S1-000,,
-3220565,13815158,park,Dul’-Osbo,Dul'-Osbo,short,10.676336,42.71387,S1-000,,
-3221249,-4563132,settlement,Feerfeer,Feerfeer,variant,5.083611,45.128056,ET-SO,,
-3218596,-4559215,hydrographic,"Webi Daawo","Webi Daawo",official,4.175833,42.078611,S1-000,,
-3218596,-4560202,hydrographic,"Fiume Daua","Fiume Daua",variant,4.175833,42.078611,S1-000,,
-3218596,-4560240,hydrographic,"Dawa Parma","Dawa Parma",variant,4.175833,42.078611,S1-000,,
-3218596,-4559216,hydrographic,Daua,Daua,official,4.175833,42.078611,S1-000,,
-3218596,-4563590,hydrographic,"Galana Daua","Galana Daua",variant,4.175833,42.078611,S1-000,,
-3218596,-4560519,hydrographic,Dewa,Dewa,variant,4.175833,42.078611,S1-000,,
-3218596,-4559217,hydrographic,"Dawa Wenz","Dawa Wenz",official,4.175833,42.078611,S1-000,,
-3218596,-4560223,hydrographic,"River Dawa","River Dawa",variant,4.175833,42.078611,S1-000,,
-3218596,-4560222,hydrographic,Dāwā,Dawa,variant,4.175833,42.078611,S1-000,,
-3218596,-4560241,hydrographic,"Dawa Parma Wenz","Dawa Parma Wenz",variant,4.175833,42.078611,S1-000,,
-3215258,9305059,settlement,Alaybede,Alaybede,official,9.382778,43.513889,ET-000,,
-3215258,-4554387,settlement,Aleibadei,Aleibadei,variant,9.382778,43.513889,ET-000,,
-3216496,-4553944,hydrographic,Adad,Adad,variant,10.635648,42.712203,S1-000,,
-3215992,-4555553,settlement,"Balleh Gubadle","Balleh Gubadle",variant,8.998333,43.9975,ET-SO,,
-3216496,-4556302,hydrographic,"Beyu Anod","Beyu Anod",variant,10.635648,42.712203,S1-000,,
-3215992,9299335,settlement,"Aran Areh","Aran Areh",official,8.998333,43.9975,ET-SO,,
-3215258,9304528,settlement,Awkelef,Awkelef,variant,9.382778,43.513889,ET-000,,
-3215992,9303233,settlement,Aran-Arekh,Aran-Arekh,variant,8.998333,43.9975,ET-SO,,
-3215992,-4555556,settlement,"Balleh Khadar","Balleh Khadar",variant,8.998333,43.9975,ET-SO,,
-3216496,13500749,hydrographic,Beyyu-Anod,Beyyu-Anod,official,10.635648,42.712203,S1-000,,
-3216496,-4556483,hydrographic,"Bio Anot","Bio Anot",variant,10.635648,42.712203,S1-000,,
-2562318,-3528222,hypsographic,"Eastern Rift Valley","Eastern Rift Valley",official,1.0E-6,36,S1-000,,
-2264459,-3125064,park,"Wal Mura","Wal Mura",official,3.483333,39.583333,S1-000,,
-2264808,-3125603,hypsographic,"Gara Yaya","Gara Yaya",variant,3.398348,39.549821,S1-000,,
-2264808,-3125509,hypsographic,"Gara Yaiya","Gara Yaiya",official,3.398348,39.549821,S1-000,,
-2263033,-3123258,hydrographic,Stefanie-See,Stefanie-See,variant,4.633333,36.833333,S1-000,,
-2263033,-3100060,hydrographic,Galte,Galte,variant,4.633333,36.833333,S1-000,,
-2263033,-3123256,hydrographic,"Lake Stefanie","Lake Stefanie",official,4.633333,36.833333,S1-000,,
-2263033,-3098098,hydrographic,"Chow Bahr","Chow Bahr",variant,4.633333,36.833333,S1-000,,
-2263033,-3097484,hydrographic,"Chau Bahr","Chau Bahr",variant,4.633333,36.833333,S1-000,,
-2263033,-3096538,hydrographic,"Bass Marlè","Bass Marle",variant,4.633333,36.833333,S1-000,,
-2263033,-3123255,hydrographic,"Lago Stefania","Lago Stefania",variant,4.633333,36.833333,S1-000,,
-2263033,-3098118,hydrographic,Chulbi,Chulbi,variant,4.633333,36.833333,S1-000,,
-2262863,-3123046,park,Sokoxa,Sokoxa,variant,3.633333,39.733333,S1-000,,
-2263033,-3102132,hydrographic,Ist’ifānos,Ist'ifanos,variant,4.633333,36.833333,S1-000,,
-2263033,-867186,hydrographic,"Ist’īfanos Hāyk’","Ist'ifanos Hayk'",variant,4.633333,36.833333,S1-000,,
-2263033,-3096537,hydrographic,"Bass Marlà","Bass Marla",variant,4.633333,36.833333,S1-000,,
-2263033,-3096540,hydrographic,"Basso Naebor","Basso Naebor",variant,4.633333,36.833333,S1-000,,
-2263033,-3123257,hydrographic,"Ch’ew Bahir","Ch'ew Bahir",official,4.633333,36.833333,S1-000,,
-2262346,-3122165,hypsographic,"Gebel Sciabel","Gebel Sciabel",variant,3.846028,37.807011,S1-000,,
-2262346,-3122364,hypsographic,Shabel,Shabel,official,3.846028,37.807011,S1-000,,
-2262346,-3122365,hypsographic,Shabēl,Shabel,official,3.846028,37.807011,S1-000,,
-2263410,-3123751,park,"Teso Ramu","Teso Ramu",official,3.533333,39.633333,S1-000,,
-2263033,-3097380,hydrographic,Chalbi,Chalbi,variant,4.633333,36.833333,S1-000,,
-2262863,-3123030,park,Sokoksa,Sokoksa,official,3.633333,39.733333,S1-000,,
-2261787,-3096535,hydrographic,Baso,Baso,variant,3.510714,36.055888,S1-000,,
-2261787,-3121636,hydrographic,Rudolph,Rudolph,variant,3.510714,36.055888,S1-000,,
-2261787,-3100029,hydrographic,Galanabol,Galanabol,variant,3.510714,36.055888,S1-000,,
-2261787,-3121634,hydrographic,"Rudolf Hāyk’",RudolfHayk',variant,3.510714,36.055888,S1-000,,
