wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
16114743,21566509,hypsographic,Pikkuluoto,Pikkuluoto,official,63.546408,27.087527,FI-15,,
16112839,21565036,hydrographic,Sikapuro,Sikapuro,official,63.592425,26.517791,FI-15,,
16115245,21567767,hydrographic,Pohjoislahti,Pohjoislahti,official,63.743903,27.476863,FI-15,,
16115497,21567701,hypsographic,Pöyreenmäki,Poyreenmaki,official,63.635535,27.481745,FI-15,,
16112966,21565755,hypsographic,Palomäki,Palomaki,official,63.66721,26.748878,FI-15,,
16113067,21565684,hypsographic,Pitkäniemi,Pitkaniemi,official,63.619467,26.710215,FI-15,,
16116869,21568491,vegetation,Risteenkangas,Risteenkangas,official,63.538434,27.781432,FI-15,,
16113400,21565495,vegetation,Pitkäkangas,Pitkakangas,official,63.593839,26.647525,FI-15,,
16114844,21566457,hypsographic,Kokkokallio,Kokkokallio,official,63.657631,27.018757,FI-15,,
16116267,21568501,settlement,Anula,Anula,official,63.574841,27.777465,FI-15,,
16114235,21566970,hypsographic,Sitkansola,Sitkansola,official,63.678336,27.18156,FI-15,,
16110206,21562398,vegetation,Matinaho,Matinaho,official,63.821251,27.682504,FI-15,,
16115587,21567703,hypsographic,Hepoharju,Hepoharju,official,63.691638,27.458804,FI-15,,
16113629,21565805,hypsographic,Venekivi,Venekivi,official,63.531481,26.784194,FI-15,,
16112962,21565460,vegetation,Martinaho,Martinaho,official,63.529964,26.662093,FI-15,,
16115634,21568217,hydrographic,Kuikkasuo,Kuikkasuo,official,63.56786,27.678672,FI-15,,
16114521,21566559,hypsographic,Sikokallio,Sikokallio,official,63.569886,27.092456,FI-15,,
16114818,21566903,settlement,Laukkumäki,Laukkumaki,official,63.664997,27.165593,FI-15,,
16117268,21569471,hypsographic,Haapakallio,Haapakallio,official,63.867425,26.940116,FI-15,,
-1390408,21563944,settlement,Vaaksperä,Vaakspera,official,63.651441,26.376117,FI-15,,
16114319,21566830,hydrographic,Pikku-Ii,Pikku-Ii,official,63.605804,27.167013,FI-15,,
16111594,21563536,hydrographic,Kaleton,Kaleton,official,63.962899,27.914549,FI-05,,
16116573,21569075,hypsographic,Kalloniemi,Kalloniemi,official,63.737,27.971069,FI-15,,
16115462,21567266,hydrographic,Tervakorpi,Tervakorpi,official,63.537891,27.36019,FI-15,,
16117161,21569230,park,Postilanraivio,Postilanraivio,official,63.946793,26.80366,FI-15,,
16116862,21568947,hypsographic,Talasniemi,Talasniemi,official,63.673184,27.906113,FI-15,,
16114040,21566104,hydrographic,Piilammit,Piilammit,official,63.647966,26.88627,FI-15,,
16113539,21565298,hydrographic,Kerälahti,Keralahti,official,63.548744,26.60102,FI-15,,
16116738,21568784,hypsographic,Lähdemäki,Lahdemaki,official,63.685637,27.838394,FI-15,,
16113132,21565354,hydrographic,Maivansuo,Maivansuo,official,63.52248,26.630113,FI-15,,
16112090,21564458,hydrographic,Heinäsuo,Heinasuo,official,63.726562,26.255778,FI-14,,
16114939,21567188,hydrographic,Tikanselkä,Tikanselka,official,63.561854,27.313728,FI-15,,
16114567,21566503,hydrographic,Laidinlampi,Laidinlampi,official,63.514912,27.098842,FI-15,,
16115288,21567725,park,Ahoinväli,Ahoinvali,official,63.692538,27.469877,FI-15,,
16114163,21565909,hydrographic,Tökrönpuro,Tokronpuro,official,63.632263,26.808257,FI-15,,
16113458,21565449,hypsographic,Hallamäki,Hallamaki,official,63.533209,26.655917,FI-15,,
16114708,21566579,hydrographic,Iinkorpi,Iinkorpi,official,63.642783,27.071114,FI-15,,
16116245,21568408,hypsographic,"Iso Täimäki","Iso Taimaki",official,63.648528,27.726818,FI-15,,
16114783,21566672,park,Myllykorpi,Myllykorpi,official,63.683925,27.087762,FI-15,,
16115839,21567865,settlement,Kannaskylä,Kannaskyla,official,63.641053,27.527141,FI-15,,
16113834,21566276,park,Matala-aho,Matala-aho,official,63.638183,26.959145,FI-15,,
16112838,21565709,settlement,Topilanperä,Topilanpera,official,63.63986,26.715202,FI-15,,
16115994,21568320,hydrographic,Korkeensuo,Korkeensuo,official,63.704396,27.660701,FI-15,,
16110047,21562076,vegetation,Pitkäniitty,Pitkaniitty,official,63.849998,27.35601,FI-15,,
16112398,21563915,vegetation,Koivikkoniemi,Koivikkoniemi,official,63.636304,26.259078,FI-14,,
16109539,21561690,hydrographic,Jutkulanlampi,Jutkulanlampi,official,63.910153,27.225565,FI-15,,
16114680,21566588,hypsographic,Härkömäki,Harkomaki,official,63.664547,27.066388,FI-15,,
16113235,21565767,hypsographic,Pylkönsaari,Pylkonsaari,official,63.71078,26.747283,FI-15,,
16113008,21565017,hydrographic,Jormunen,Jormunen,official,63.539693,26.528686,FI-15,,
16114805,21566620,hypsographic,Marjomäenselänne,Marjomaenselanne,official,63.71248,27.05659,FI-15,,
16112357,21564368,hydrographic,Sikapuro,Sikapuro,official,63.650667,26.421672,FI-15,,
16115463,21567268,vegetation,Pellinsaari,Pellinsaari,official,63.67575,27.301064,FI-15,,
16117210,21569200,park,Riitaharju,Riitaharju,official,63.766392,26.860247,FI-15,,
16111901,21564123,hypsographic,Sammakkomäki,Sammakkomaki,official,63.601051,26.442434,FI-15,,
16113336,21565187,hydrographic,Hönninlahti,Honninlahti,official,63.698412,26.515881,FI-15,,
16115726,21568028,hydrographic,Kauniskaarre,Kauniskaarre,official,63.648952,27.578294,FI-15,,
16113003,21565347,settlement,Saarisperä,Saarispera,official,63.501397,26.635757,FI-15,,
16110868,21563299,park,Piilola,Piilola,official,63.64394,26.062629,FI-14,,
16114183,21565910,vegetation,Pönkälä,Ponkala,official,63.628993,26.809903,FI-15,,
16113700,21566046,hypsographic,Palosuonniemi,Palosuonniemi,official,63.745369,26.829395,FI-15,,
16109794,21561929,hypsographic,Ukkoluoto,Ukkoluoto,official,63.81166,27.431215,FI-15,,
16113024,21565430,hypsographic,Lempikallio,Lempikallio,official,63.562154,26.635566,FI-15,,
16109353,21561418,hydrographic,Kaakkurilampi,Kaakkurilampi,official,63.979992,27.062877,FI-15,,
16114505,21566547,hydrographic,Purolahti,Purolahti,official,63.699086,27.031984,FI-15,,
16113148,21565326,hypsographic,Suoniemi,Suoniemi,official,63.56266,26.604232,FI-15,,
16113104,21565704,hydrographic,Lehtoniemi,Lehtoniemi,official,63.732145,26.67359,FI-15,,
16115970,21568204,hydrographic,Kattilalampi,Kattilalampi,official,63.50029,27.704669,FI-15,,
16115965,21568078,hydrographic,Sarvisuo,Sarvisuo,official,63.718987,27.562621,FI-15,,
16113171,21565147,hydrographic,Jouhtenuspuro,Jouhtenuspuro,official,63.703098,26.504432,FI-15,,
16111002,21562893,hydrographic,Hoikanlampi,Hoikanlampi,official,63.530367,26.136815,FI-14,,
16112926,21565153,hydrographic,Hoikkalampi,Hoikkalampi,official,63.563344,26.564018,FI-15,,
16114906,21567026,hydrographic,Perkkionsuo,Perkkionsuo,official,63.703909,27.186761,FI-15,,
16114444,21566429,hypsographic,Marjomäki,Marjomaki,official,63.620094,27.020832,FI-15,,
16116410,21569015,hydrographic,Rehvonlampi,Rehvonlampi,official,63.597921,27.979202,FI-15,,
16113471,21565382,hypsographic,Vuohisaari,Vuohisaari,official,63.596334,26.607415,FI-15,,
16115019,21567455,vegetation,Siveli,Siveli,official,63.655094,27.388309,FI-15,,
16114436,21566857,park,Perkkio,Perkkio,official,63.715829,27.127789,FI-15,,
16108893,21561071,vegetation,Kalliosaari,Kalliosaari,official,63.925916,26.288997,FI-14,,
16111652,21563795,hydrographic,Kammarsuo,Kammarsuo,official,63.801214,27.896724,FI-15,,
16114190,21566252,hypsographic,Aittorinne,Aittorinne,official,63.600576,26.965945,FI-15,,
16112898,21565559,settlement,Mykkäsperä,Mykkaspera,official,63.73467,26.610664,FI-15,,
16115635,21568272,hydrographic,Koivusuo,Koivusuo,official,63.60481,27.683018,FI-15,,
16108870,21561111,vegetation,Suopelto,Suopelto,official,63.843581,26.344005,FI-15,,
16116933,21569570,vegetation,Tammakangas,Tammakangas,official,63.86028,26.999481,FI-15,,
16113325,21565340,hypsographic,Ruunamäki,Ruunamaki,official,63.528133,26.621041,FI-15,,
16114579,21567022,hydrographic,Tervolampi,Tervolampi,official,63.685287,27.193969,FI-15,,
16114262,21566992,hypsographic,Peltomäki,Peltomaki,official,63.595908,27.222457,FI-15,,
16114626,21566950,hydrographic,Suurisuo,Suurisuo,official,63.727576,27.15421,FI-15,,
16117075,21569198,hydrographic,Kantosuo,Kantosuo,official,63.921302,26.794094,FI-15,,
16110071,21561892,hydrographic,Viinatsalonsuo,Viinatsalonsuo,official,63.884995,27.495305,FI-15,,
16116035,21568070,hydrographic,Palosenlahti,Palosenlahti,official,63.630692,27.598535,FI-15,,
16116608,21569090,vegetation,Myllykangas,Myllykangas,official,63.745244,27.976871,FI-15,,
16115761,21568444,hydrographic,Vellisuo,Vellisuo,official,63.700229,27.725635,FI-15,,
