wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
13886160,17775690,spot,Tuinaikasi,Tuinaikasi,official,-17.241919,179.420218,FJ-06,,
-1194178,-1757412,settlement,Ohu,Ohu,official,-12.496407,177.136054,FJ-R,,
-1189561,-1752271,settlement,Mea,Mea,official,-12.487325,177.06091,FJ-R,,
12594865,15761615,hypsographic,Motu,Motu,official,-17.985555,177.588539,FJ-08,,
-2195416,-3038653,park,Melanesia,Melanesia,colloquial,-12,160,S1-000,,
-1199214,-1763045,hydrographic,Yaundrau,Yaundrau,official,-17.733333,177.9,FJ-01,,
-1199262,-1763107,hydrographic,"Zephyr Bank","Zephyr Bank",variant,-16.033333,-177.116667,FJ-000,,
-1199262,-1763110,hydrographic,"Zypher Seamount Group","Zypher Seamount Group",variant,-16.033333,-177.116667,FJ-000,,
-1199262,-1763108,hydrographic,"Zephyr Reef","Zephyr Reef",official,-16.033333,-177.116667,FJ-000,,
-1199262,-1763109,hydrographic,"Zephyr Shoal","Zephyr Shoal",variant,-16.033333,-177.116667,FJ-000,,
-1199261,-1763105,hypsographic,"Yuvutha Island","Yuvutha Island",variant,-18.943462,-178.508651,FJ-05,,
-1199261,18391248,hypsographic,"Yuvuca Island","Yuvuca Island",official,-18.943462,-178.508651,FJ-05,,
-1199261,-1763076,hypsographic,Yavutha,Yavutha,variant,-18.943462,-178.508651,FJ-05,,
-1199260,-1763104,hydrographic,"Yuru Creek","Yuru Creek",official,-17.760796,177.75405,FJ-01,,
-1199259,-1763102,hydrographic,"Yoyo Creek","Yoyo Creek",official,-18.120518,177.655861,FJ-08,,
-1199258,-1763101,hydrographic,"Yoyo Creek","Yoyo Creek",official,-18.107488,177.451505,FJ-08,,
-1199257,-1763100,hypsographic,Yoo,Yoo,official,-17.57501,177.934655,FJ-01,,
-1199256,-1763099,hydrographic,"Yoneka Bay","Yoneka Bay",variant,-16.57863,178.600232,FJ-02,,
-1199256,18147203,hydrographic,"Oneka Bay","Oneka Bay",official,-16.57863,178.600232,FJ-02,,
-1199255,-1763097,hydrographic,"Yengusu Reef","Yengusu Reef",variant,-17.340518,177.099496,FJ-01,,
-1199255,17984284,hydrographic,"Yegusu Reef","Yegusu Reef",official,-17.340518,177.099496,FJ-01,,
-1199254,-1763096,hypsographic,"Yendua Tambu Island","Yendua Tambu Island",variant,-16.83475,178.278682,FJ-02,,
-1199254,18006814,hypsographic,"Yaduataba Island","Yaduataba Island",official,-16.83475,178.278682,FJ-02,,
-1199254,-1762914,hypsographic,"Yandua Tamba","Yandua Tamba",variant,-16.83475,178.278682,FJ-02,,
-1199254,-1762843,hypsographic,"Yadua Tabu","Yadua Tabu",variant,-16.83475,178.278682,FJ-02,,
-1199254,-1762915,hypsographic,"Yandua Tambu","Yandua Tambu",variant,-16.83475,178.278682,FJ-02,,
-1199254,-1763095,hypsographic,"Yendua Tamba","Yendua Tamba",variant,-16.83475,178.278682,FJ-02,,
-1199254,-1761162,hypsographic,Vuya,Vuya,variant,-16.83475,178.278682,FJ-02,,
-1199253,15750780,hydrographic,"Yayanakia Creek","Yayanakia Creek",official,-17.907917,177.264501,FJ-08,,
-1199253,-1763092,hydrographic,Yayanakia,Yayanakia,variant,-17.907917,177.264501,FJ-08,,
-1199253,-1763037,hydrographic,"Yauanakia Creek","Yauanakia Creek",variant,-17.907917,177.264501,FJ-08,,
-1199252,-1763091,hydrographic,"Yaya Creek","Yaya Creek",official,-17.560965,177.762337,FJ-01,,
-1199251,-1763090,hydrographic,"Yawi Reef","Yawi Reef",official,-19.058715,178.05127,FJ-04,,
-1199250,-1763017,hypsographic,"Yasawa Lailai","Yasawa Lailai",variant,-16.687369,177.560065,FJ-01,,
-1199250,-1749876,hypsographic,"Asawa Island","Asawa Island",variant,-16.687369,177.560065,FJ-01,,
-1199250,-1749873,hypsographic,Asaua,Asaua,variant,-16.687369,177.560065,FJ-01,,
-1199250,-1763089,hypsographic,"Yawini Island","Yawini Island",official,-16.687369,177.560065,FJ-01,,
-1199249,-1763088,hypsographic,Yawini,Yawini,official,-16.683333,177.566667,FJ-000,,
-1199248,-1763086,hydrographic,Yawe,Yawe,official,-17.85,177.566667,FJ-01,,
-1199247,18014519,hydrographic,"Yawadroka Creek","Yawadroka Creek",official,-17.717697,177.771915,FJ-01,,
-1199189,-1763009,settlement,Yasawa,Yasawa,official,-16.483333,179.65,FJ-000,,
-1199247,-1763085,hydrographic,"Yawandroka Creek","Yawandroka Creek",variant,-17.717697,177.771915,FJ-01,,
-1199246,-1763084,hydrographic,"Yawandra Creek","Yawandra Creek",variant,-18.020259,177.364447,FJ-08,,
-1199246,15773433,hydrographic,"Yawadra Creek","Yawadra Creek",official,-18.020259,177.364447,FJ-08,,
-1199245,-1763082,hydrographic,"Yawalevu Bay","Yawalevu Bay",official,-17.143265,176.916378,FJ-01,,
-1199244,-1763083,hydrographic,"Yawalevu Passage","Yawalevu Passage",variant,-17.45,178.916667,FJ-000,,
-1199244,-1763080,hydrographic,"Daveta Yawa-levu","Daveta Yawa-levu",variant,-17.45,178.916667,FJ-000,,
-1199244,-1763081,hydrographic,NdavetaYawalevu,NdavetaYawalevu,official,-17.45,178.916667,FJ-000,,
-1199243,450407,hypsographic,Yawalau,Yawalau,variant,-17.54661,177.469991,FJ-01,,
-1199243,15297303,hypsographic,"Yawalo Island","Yawalo Island",official,-17.54661,177.469991,FJ-01,,
-1199243,-1763079,hypsographic,"Yawalau Island","Yawalau Island",variant,-17.54661,177.469991,FJ-01,,
-1199242,-1763078,hydrographic,Yawai,Yawai,variant,-17.66619,177.493006,FJ-01,,
-1199242,15300401,hydrographic,"Yarai Creek","Yarai Creek",official,-17.66619,177.493006,FJ-01,,
-1199241,18380634,hydrographic,"Yawa Creek","Yawa Creek",official,-16.299243,179.518335,FJ-07,,
-1199241,-1763077,hydrographic,Yawa,Yawa,variant,-16.299243,179.518335,FJ-07,,
-1199240,-1763075,hydrographic,Yavusau,Yavusau,official,-16.683333,178.816667,FJ-000,,
-1199239,-1763074,settlement,Yavusania,Yavusania,official,-17.808679,177.393568,FJ-01,,
-1199238,-1763073,hypsographic,"Yavurimba Island","Yavurimba Island",variant,-17.505948,177.097957,FJ-08,,
-1199238,17978257,hypsographic,"Yavuriba Island","Yavuriba Island",official,-17.505948,177.097957,FJ-08,,
-1199238,-1763072,hypsographic,Yavuriba,Yavuriba,variant,-17.505948,177.097957,FJ-08,,
-1199237,-1763071,hydrographic,Yavunithili,Yavunithili,variant,-16.45057,179.445067,FJ-07,,
-1199237,18587056,hydrographic,"Yavunicili Creek","Yavunicili Creek",official,-16.45057,179.445067,FJ-07,,
-1199236,-1763070,hydrographic,"Yavuna Creek","Yavuna Creek",official,-17.826197,177.535335,FJ-01,,
-1199235,-1763069,settlement,Yavuna,Yavuna,official,-17.825804,177.536543,FJ-01,,
-1199234,-1757341,hydrographic,"Numbunisambutu Creek","Numbunisambutu Creek",variant,-19,178.316667,FJ-000,,
-1199234,-1763068,hydrographic,"Yavulu Creek","Yavulu Creek",official,-19,178.316667,FJ-000,,
-1199233,-1763067,hydrographic,"Yavulu Creek","Yavulu Creek",official,-18.983722,178.436944,FJ-04,,
-1199232,-1763054,hypsographic,"Yavalo Island","Yavalo Island",variant,-17.794999,177.371618,FJ-01,,
-1199232,-1763066,hypsographic,"Yavulo Island","Yavulo Island",official,-17.794999,177.371618,FJ-01,,
-1199231,-1763065,settlement,Yavulo,Yavulo,official,-18.15,177.516667,FJ-000,,
