wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1176640,-1735453,hypsographic,"Isla Remolinos","Isla Remolinos",variant,-51.34787,-60.698687,FK-000,,
-1176551,-1735717,hypsographic,"Strike Off Point","Strike Off Point",official,-51.587574,-57.974407,FK-000,,
-1176442,-1735510,hypsographic,"Isla Saddle","Isla Saddle",variant,-51.668819,-61.239803,FK-000,,
-1176454,-1735542,hypsographic,"Isla Sandbar","Isla Sandbar",variant,-51.923498,-59.646736,FK-000,,
-1176434,-1735498,hydrographic,"Round Pond","Round Pond",official,-51.733333,-57.866667,FK-000,,
-1176440,-1735508,hypsographic,"Ruggles Island","Ruggles Island",official,-52.07407,-59.732478,FK-000,,
-1176473,-1735591,hypsographic,"Sea Lion Point","Sea Lion Point",official,-51.358731,-58.339959,FK-000,,
-1176501,-1735633,hydrographic,"Shallow Harbour","Shallow Harbour",official,-51.998973,-58.433627,FK-000,,
-1176404,-1734680,hydrographic,"El Canal Reef","El Canal Reef",variant,-51.366667,-60.05,FK-000,,
-1176416,-1735462,hypsographic,"Isla de Rio","Isla de Rio",variant,-51.413882,-59.61682,FK-000,,
-1176524,-1735672,hypsographic,"South Jason","South Jason",official,-51.204231,-60.883169,FK-000,,
-1176539,-1735698,hydrographic,"Stanley Harbour","Stanley Harbour",official,-51.688123,-57.847931,FK-000,,
-1176516,-1735654,hypsographic,"Roca Smylie","Roca Smylie",variant,-51.95,-60.866667,FK-000,,
-1176567,-1735748,hypsographic,"Cabo Tamar","Cabo Tamar",variant,-51.283701,-59.474733,FK-000,,
-1176636,180331,hypsographic,"West Island","West Island",official,-51.974809,-59.837316,FK-000,,
-1176420,-1735471,hypsographic,"Punta Rock","Punta Rock",variant,-51.933333,-58.75,FK-000,,
-1176621,-1735843,hydrographic,"Watt Cove","Watt Cove",official,-51.683333,-57.866667,FK-000,,
-1176531,179398,settlement,"Spring Point Settlement","Spring Point Settlement",official,-51.829679,-60.455883,FK-000,,
-1176607,-1735819,hydrographic,"Uranie Bay","Uranie Bay",official,-51.577895,-58.046365,FK-000,,
-1176464,-1735567,hypsographic,"Isla Saunders","Isla Saunders",variant,-51.339159,-60.136261,FK-000,,
-1176559,-1735736,hydrographic,"Swan Inlet","Swan Inlet",official,-51.864494,-58.545965,FK-000,,
-1176493,-1735618,hypsographic,"Roca Shag","Roca Shag",variant,-52.236191,-58.645027,FK-000,,
-1176632,-1735108,hypsographic,"Malvina del Oeste","Malvina del Oeste",variant,-51.642974,-59.894728,FK-000,,
-1176602,-1735809,hypsographic,"Twelve o’Clock Mountain","Twelve o'Clock Mountain",official,-51.633333,-57.85,FK-000,,
-1176492,157375,hypsographic,"Little Shag Island","Little Shag Island",official,-51.391238,-58.320256,FK-000,,
-1176455,-1735544,hydrographic,"Sand Bay","Sand Bay",official,-51.566667,-57.933333,FK-000,,
-1176613,158232,hypsographic,"The Viper","The Viper",official,-51.683333,-57.716667,FK-000,,
-1176474,-1735592,hypsographic,"Sea Lion Rocks","Sea Lion Rocks",official,-51.55,-58,FK-000,,
-1176545,-1735710,hypsographic,"Stephens Bluff","Stephens Bluff",official,-52.183333,-60.733333,FK-000,,
-1176433,-1735497,hypsographic,"Round Point","Round Point",official,-51.761582,-60.322756,FK-000,,
-1176597,-1735804,hypsographic,"Tussac Islet","Tussac Islet",official,-52.21082,-60.503756,FK-000,,
-1176521,-1735727,hydrographic,"Puerto Sur","Puerto Sur",variant,-52.020488,-60.870049,FK-000,,
-1176623,-1735845,hypsographic,"Isla Weddell","Isla Weddell",variant,-51.916667,-61,FK-000,,
-1176611,-1735824,hypsographic,"Mount Vernet","Mount Vernet",official,-51.633333,-58.083333,FK-000,,
-1176423,-1735480,hydrographic,"Rodney Cove","Rodney Cove",official,-52.05428,-61.016893,FK-000,,
-1176629,-1735859,hypsographic,"Punta West","Punta West",variant,-51.379342,-60.70313,FK-000,,
-1176486,-1735607,hypsographic,"Second Island","Second Island",official,-51.576514,-60.772326,FK-000,,
-1176527,-1734254,hypsographic,"Isla Águila","Isla Aguila",variant,-52.218016,-59.716543,FK-000,,
-1176442,-1735513,hypsographic,"Saddle Island","Saddle Island",official,-51.668819,-61.239803,FK-000,,
-1176410,-1735451,hydrographic,"Puerto Rees","Puerto Rees",variant,-51.75,-60.233333,FK-000,,
-1176424,-1735482,hydrographic,"Rookery Bay","Rookery Bay",official,-51.70878,-57.794336,FK-000,,
-1176572,-1735758,hypsographic,"Tea Island","Tea Island",official,-51.900994,-61.167645,FK-000,,
-1176520,-1735726,hydrographic,"Puerto Sur","Puerto Sur",variant,-51.732193,-61.287644,FK-000,,
-1176429,-1735492,hypsographic,"Round Island","Round Island",official,-51.55,-58.1,FK-000,,
-1176447,-1735527,hydrographic,"Puerto Salvador","Puerto Salvador",variant,-51.530823,-58.364455,FK-000,,
-1176634,-1735271,hypsographic,"Cerro Oeste","Cerro Oeste",variant,-51.426248,-58.673935,FK-000,,
-1176675,-1735933,hypsographic,"Monte Young","Monte Young",variant,-52.095068,-60.602887,FK-000,,
-1176560,-1735732,hypsographic,"Isla Swan","Isla Swan",variant,-51.7939,-59.585096,FK-000,,
-1176505,-1735638,hypsographic,"Shell Point","Shell Point",official,-52.096828,-58.987433,FK-000,,
-1176541,-1735702,hydrographic,"States Cove","States Cove",official,-51.833333,-60.883333,FK-000,,
-1176406,-1735447,hypsographic,"Reef Island","Reef Island",official,-51.981601,-58.4912,FK-000,,
-1176656,-1735900,park,"White Rincon","White Rincon",official,-51.564687,-59.041358,FK-000,,
-1176653,-1735893,hypsographic,"Punta White","Punta White",variant,-51.766667,-58.15,FK-000,,
