wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3741290,-4972288,hydrographic,Olifei,Olifei,official,9.530278,138.158889,FM-YAP,,
-3741135,-4973143,park,Tafuyat,Tafuyat,official,5.3,163.016667,FM-KSA,,
-3740222,-4971499,park,Loal,Loal,official,5.350833,162.966667,FM-KSA,,
-3740591,-5098340,settlement,Ngof,Ngof,variant,9.475278,138.076944,FM-YAP,,
-3740221,-4971498,hypsographic,Liyeeg,Liyeeg,official,9.55,138.183333,FM-YAP,,
-3740649,-4972223,settlement,Numdul,Numdul,official,9.587778,138.175833,FM-YAP,,
-3740581,-4972103,hypsographic,Ngariki,Ngariki,official,3.85,155,FM-PNI,,
-3739635,-4970495,settlement,Bulwol,Bulwol,official,9.63,138.152778,FM-YAP,,
-3740943,-4973555,hypsographic,Umel,Umel,variant,9.5825,138.131111,FM-YAP,,
-3740219,-4971496,hypsographic,Lipow,Lipow,official,9.566667,138.2,FM-YAP,,
-3740763,-4970432,settlement,Beken,Beken,variant,7.3,151.883333,FM-TRK,,
-3740580,-4972099,park,Newot,Newot,official,5.276111,162.949444,FM-KSA,,
-3740666,-4972261,hydrographic,Ochonap,Ochonap,official,7.6025,151.685278,FM-TRK,,
-3740220,-4971497,hypsographic,Liqeg,Liqeg,official,9.533333,138.166667,FM-YAP,,
-3742663,-4977637,park,Micronesia,Micronesia,colloquial,9,155,S1-000,,
-3741611,-5071678,hydrographic,Rotto-ko,Rotto-ko,variant,6.795833,158.297222,FM-PNI,,
-3741532,-4973911,park,Yoal,Yoal,official,5.329444,162.951389,FM-KSA,,
-3741407,-5074108,hypsographic,Moen,Moen,variant,7.441111,151.853333,FM-TRK,,
-3741461,-4973790,hypsographic,"Infal Wiyu","Infal Wiyu",official,9.5375,138.183889,FM-YAP,,
-3741443,-4973771,hypsographic,Winipou,Winipou,official,7.293611,151.821667,FM-TRK,,
-3741454,-4973662,hypsographic,Vidolap,Vidolap,variant,7.383889,151.708333,FM-TRK,,
-3741409,-4973723,hypsographic,Weok,Weok,official,7.383333,151.866667,FM-TRK,,
