wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2747438,-3812962,hypsographic,Nabbi,Nabbi,official,62.101313,-6.650526,FO-000,,
-2747362,-3812849,hypsographic,Múlin,Mulin,official,62.194289,-7.109936,FO-000,,
-2747363,-3812850,hypsographic,Múlin,Mulin,official,62.085926,-6.840133,FO-000,,
-2740907,-3803734,hydrographic,Dalsa,Dalsa,variant,62.327421,-6.941328,FO-000,,
-2747361,-3812848,hypsographic,Múlin,Mulin,official,61.966667,-6.9,FO-000,,
-2747877,-3813532,hypsographic,Nøvin,Novin,official,62.322712,-6.990274,FO-000,,
-2747360,-3812835,hypsographic,Mulen,Mulen,variant,62.356054,-6.600434,FO-000,,
-2751930,-3819405,hydrographic,Suggan,Suggan,official,61.95,-6.783333,FO-000,,
-2747562,-3813129,settlement,Nes,Nes,official,61.472638,-6.754431,FO-000,,
-2747563,-3813739,settlement,Næs,Naes,variant,61.592711,-6.927005,FO-000,,
-2741522,-3804513,hypsographic,Endin,Endin,official,61.783333,-6.733333,FO-000,,
-2748312,-3814182,hypsographic,Øldan,Oldan,official,62.372294,-6.692744,FO-000,,
-2744236,-3808420,hypsographic,Høvdin,Hovdin,official,62.383398,-6.595022,FO-000,,
-2747563,-3813130,settlement,Nes,Nes,official,61.592711,-6.927005,FO-000,,
-2744235,-3808419,hypsographic,Høvdin,Hovdin,official,62.256137,-6.957408,FO-000,,
-2747876,-3813725,hypsographic,Noven,Noven,variant,62.276905,-6.714077,FO-000,,
-2747562,-3813738,settlement,Næs,Naes,variant,61.472638,-6.754431,FO-000,,
-2752867,-3820754,settlement,Trøllanes,Trollanes,official,62.360872,-6.782662,FO-000,,
-2753835,-3822109,hypsographic,Villingatangi,Villingatangi,official,61.622711,-7.002782,FO-000,,
-2753370,-3821455,hypsographic,Vatnfelli,Vatnfelli,official,62.263357,-7.123618,FO-000,,
-2753247,-3821259,hydrographic,"Vaagö Fjord","Vaago Fjord",variant,62.026816,-7.046102,FO-000,,
-2753722,-3821942,administrative_region,Vestmanhavn,Vestmanhavn,variant,62.177778,-7.167222,FO-28,,
-2752478,-3820220,hypsographic,Toftamúli,Toftamuli,official,62.260123,-6.459604,FO-000,,
-2753272,-3821332,hypsographic,Válheiðar,Valheidhar,official,61.781782,-6.700699,FO-000,,
-2754036,-3822365,hypsographic,Vørdan,Vordan,official,61.85,-6.883333,FO-000,,
-2752671,-3820463,administrative_region,"Tórshavnar Uttanbíggjar","Torshavnar Uttanbiggjar",official,61.994048,-6.779133,FO-000,1,
-2753378,-3821463,hypsographic,Vatnsdalur,Vatnsdalur,official,62.094096,-7.337079,FO-000,,
-2752862,-3820748,hypsographic,"Tangin á Trøð","Tangin a Trodh",official,62.102967,-7.548093,FO-000,,
-2752358,-3820059,hypsographic,Tindholm,Tindholm,variant,62.077972,-7.437582,FO-000,,
-2752055,-3819578,settlement,Svinåer,Svinaer,variant,62.23077,-7.019575,FO-000,,
-2753769,-3809800,settlement,Kirker,Kirker,variant,62.045551,-7.195508,FO-000,,
-2753799,-3822029,settlement,Vigerberg,Vigerberg,variant,61.441687,-6.723139,FO-000,,
-2752365,-3820067,hypsographic,Tindur,Tindur,official,61.433284,-6.714047,FO-000,,
-2752108,-3819664,hypsographic,Sydregjógv,Sydregjogv,variant,62.116667,-7.116667,FO-000,,
-2752055,-3819580,settlement,Svínáir,Svinair,official,62.23077,-7.019575,FO-000,,
-2752470,-3820208,settlement,Todnes,Todnes,official,62.116667,-6.883333,FO-000,,
-2753768,-3821502,spot,"Ved Hulken","Ved Hulken",variant,62.133333,-6.733333,FO-000,,
-2753372,-3821457,hydrographic,Vatnsdalsá,Vatnsdalsa,official,61.583333,-6.883333,FO-000,,
-2753006,-3820895,settlement,Tveraa,Tveraa,variant,61.554389,-6.806312,FO-25,,
-2752853,-3820735,hypsographic,Tróndardalslíð,Trondardalslidh,official,61.83468,-6.74287,FO-000,,
-2753770,-3822012,settlement,"Við Neyst","Vidh Neyst",official,61.59868,-6.949707,FO-000,,
-2753028,-3820977,hypsographic,Tyril,Tyril,official,62.200356,-6.785975,FO-000,,
-2753773,-3816778,settlement,Sjov,Sjov,variant,62.118207,-6.897437,FO-000,,
-2752936,-3820840,hydrographic,Tungá,Tunga,official,61.903472,-6.882228,FO-000,,
-2753762,-3801241,spot,"Air Hvalstation","Air Hvalstation",variant,62.166667,-6.966667,FO-000,,
-2753772,-3816729,settlement,Siov,Siov,variant,62.119666,-6.750053,FO-000,,
-2753371,-3821456,hydrographic,Vatnið,Vatnidh,official,62.184419,-7.15346,FO-000,,
-2752076,-3819617,settlement,Svínoy,Svinoy,official,62.278653,-6.333888,FO-000,,
-2752422,-3820149,hypsographic,Tjarnaheyggjur,Tjarnaheyggjur,variant,61.803801,-6.661711,FO-000,,
-2752271,-3819933,hypsographic,Teistaróktangi,Teistaroktangi,official,61.963605,-6.739373,FO-000,,
-2753829,-3822102,hypsographic,Villingadalsfjall,Villingadalsfjall,official,62.381091,-6.558362,FO-000,,
-2752471,-3820209,hypsographic,Todnes,Todnes,official,61.586091,-6.830931,FO-000,,
-2753196,-3821207,hypsographic,Urðin,Urdhin,official,62.366667,-6.516667,FO-000,,
-2753250,-3821303,administrative_region,"Vága Sýsla","Vaga Sysla",official,62.083333,-7.25,FO-000,,
-2753722,18096658,administrative_region,"Vestmanna Kommuna","Vestmanna Kommuna",official,62.177778,-7.167222,FO-28,,
-2752669,-3819992,administrative_region,Thorshavn,Thorshavn,variant,62.046944,-6.726389,FO-24,,
-2753773,-3822015,settlement,"Við Sjógv","Vidh Sjogv",official,62.118207,-6.897437,FO-000,,
-2752446,-3820187,hypsographic,Tjörnenæs,Tjornenaes,variant,61.597141,-6.885746,FO-000,,
-2753192,-3821202,hydrographic,Urðará,Urdhara,official,62.123323,-6.817761,FO-000,,
-2752075,-3819604,hypsographic,Svinö,Svino,variant,62.267576,-6.352076,FO-000,,
-2753381,-3821385,settlement,Vandsøre,Vandsore,variant,62.066667,-7.233333,FO-000,,
-2753198,-3821209,hypsographic,Urðnhamar,Urdhnhamar,official,62.3,-7.183333,FO-000,,
-2752049,-3819572,spot,Sverrishola,Sverrishola,official,61.952708,-6.767911,FO-000,,
-2753006,-3820894,settlement,Tverå,Tvera,variant,61.554389,-6.806312,FO-25,,
-2753254,-3821256,hydrographic,"Vaag Fjord","Vaag Fjord",variant,61.467785,-6.742982,FO-000,,
-2752856,-3820609,hydrographic,Trangisvaag,Trangisvaag,variant,61.537361,-6.779338,FO-000,,
-2752479,-3820221,settlement,Toftanes,Toftanes,official,62.211721,-6.709693,FO-000,,
-2752471,-3820413,hypsographic,Tornnes,Tornnes,variant,61.586091,-6.830931,FO-000,,
-2752991,-3820910,hypsographic,Tvillingsgjov,Tvillingsgjov,variant,62.096231,-7.092888,FO-000,,
-2752270,-3819930,settlement,Teigar,Teigar,official,61.524658,-6.87562,FO-000,,
-2752104,-3819656,settlement,Syðrugøta,Sydhrugota,official,62.183711,-6.751455,FO-000,,
-2752937,-3820841,hydrographic,Tungá,Tunga,official,62.1,-6.95,FO-000,,
-2752907,-3820802,hypsographic,Tryglabrekka,Tryglabrekka,official,61.968776,-6.76034,FO-000,,
-2753250,18093684,administrative_region,Vågø,Vago,variant,62.083333,-7.25,FO-000,,
-2753831,-3822104,hypsographic,Villingadalur,Villingadalur,official,62.384019,-6.552075,FO-000,,
-2753004,-3820925,hypsographic,Tvørfelli,Tvorfelli,official,61.987987,-6.838413,FO-000,,
-2753501,-3821646,settlement,Velbastaður,Velbastadhur,official,61.980841,-6.852585,FO-000,,
-2752476,-3820218,hypsographic,Tofta-Ísaksskarð,Tofta-Isaksskardh,official,62.249073,-6.461558,FO-000,,
-2753773,-3816756,settlement,Sjógv,Sjogv,variant,62.118207,-6.897437,FO-000,,
-2752271,-3819932,hypsographic,Teistarókstangi,Teistarokstangi,variant,61.963605,-6.739373,FO-000,,
-2752670,-3820462,settlement,Tórshavn,Torshavn,official,62.009726,-6.771644,FO-24,,
-2753194,-3821205,hypsographic,Urðin,Urdhin,official,61.966667,-6.633333,FO-000,,
-2753375,-3821460,hypsographic,Vatnsdalur,Vatnsdalur,official,62.267034,-6.890115,FO-000,,
-2753772,-3816782,settlement,"Sjov Kirkja","Sjov Kirkja",variant,62.119666,-6.750053,FO-000,,
-2752078,-3819620,hydrographic,Svínoyarfjørður,Svinoyarfjordhur,official,62.268401,-6.422924,FO-000,,
