wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
179941,223989,hydrographic,"Petit Litiri","Petit Litiri",official,48.378399,-4.887768,FR-BRE,,
178927,222903,hypsographic,"La Lentille","La Lentille",official,48.166667,-4.55,FR-BRE,,
179928,223974,hypsographic,"Les Grands Laz","Les Grands Laz",official,48.4,-4.9,FR-BRE,,
178145,221942,hypsographic,Kefinel,Kefinel,official,48.377649,-4.993317,FR-BRE,,
179760,223780,hypsographic,"Pointe Saint-Nicolas","Pointe Saint-Nicolas",official,47.630556,-3.483333,FR-BRE,,
179893,223929,hydrographic,"Basse Vieille Maison","Basse Vieille Maison",official,48.416667,-4.8,FR-BRE,,
177743,221473,hydrographic,"Raz de Bannes","Raz de Bannes",official,49.688013,-1.748837,FR-000,,
179972,224026,hypsographic,"Ar Vaz Wenn","Ar Vaz Wenn",official,48.057245,-4.991661,FR-BRE,,
177950,221718,hypsographic,"Karreg Ar Morlean","Karreg Ar Morlean",official,48.416667,-5,FR-BRE,,
177749,221479,hydrographic,"La Platrière","La Platriere",official,49.680968,-1.746376,FR-NOR,,
179933,223981,hypsographic,"Le Bœuf","Le Boeuf",official,48.394191,-4.897387,FR-BRE,,
179793,223815,hypsographic,"Basse des Bozmen","Basse des Bozmen",official,48.315418,-4.82435,FR-BRE,,
178608,222564,hydrographic,"Basse d’Ys","Basse d'Ys",official,48.15,-4.6,FR-BRE,,
179956,224010,hypsographic,Madiou,Madiou,official,48.056746,-5.02308,FR-BRE,,
179837,223866,hydrographic,"Basse Saint-Paul","Basse Saint-Paul",official,48.416667,-4.816667,FR-BRE,,
179951,224002,hypsographic,"Men Braz","Men Braz",official,48.408911,-4.942827,FR-BRE,,
178028,221807,hydrographic,"Roche de la Valette","Roche de la Valette",official,49.347803,-0.475257,FR-NOR,,
178944,222921,hypsographic,"Pointe de Kerroux","Pointe de Kerroux",official,48.184832,-4.552915,FR-BRE,,
178064,221844,hypsographic,"Baz Hir","Baz Hir",official,48.416667,-4.983333,FR-BRE,,
178186,221996,hydrographic,"Passe de la Chimère","Passe de la Chimere",official,48.373663,-4.921997,FR-BRE,,
178887,222861,hypsographic,Castel-ar-Roch,Castel-ar-Roch,official,48.083333,-4.583333,FR-BRE,,
