wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1329465,-1919930,settlement,Ombila,Ombila,official,-2.8,11.25,GA-5,,
-1329197,-1919606,hydrographic,Nza,Nza,official,0.232369,9.857496,GA-1,,
-1328890,-1919238,hydrographic,Niacha,Niacha,official,0.116667,9.816667,GA-1,,
-1328588,-1918863,hydrographic,Na,Na,official,0.2,10.65,GA-1,,
-1326579,-1916577,settlement,Levama,Levama,official,-2.333333,11.65,GA-4,,
-1324814,-1914420,hydrographic,Boso,Boso,official,1.6,11.9,GA-9,,
-3157493,-4453772,hydrographic,Ntam,Ntam,variant,2.166667,10.033333,S1-000,,
-3157493,-4441481,hydrographic,"Río Campo","Rio Campo",variant,2.166667,10.033333,S1-000,,
-3157493,-4453790,hydrographic,Ntem,Ntem,official,2.166667,10.033333,S1-000,,
-3150797,-4453355,hydrographic,N’Kom,N'Kom,variant,2.3,11.666667,S1-000,,
-3150797,-4445621,hydrographic,Kom,Kom,official,2.3,11.666667,S1-000,,
-2866184,-4008416,park,"Guinea Meridionale","Guinea Meridionale",variant,-6,13,S1-000,,
-2866184,262146,park,"Lower Guinea","Lower Guinea",official,-6,13,S1-000,,
-2866184,-4020430,park,"Southern Guinea","Southern Guinea",variant,-6,13,S1-000,,
-2866184,-4015333,park,Niederguinea,Niederguinea,variant,-6,13,S1-000,,
-2863390,-4005603,hypsographic,"Crystal Mountains","Crystal Mountains",variant,-5.5,13.5,S1-000,,
-2863390,-4009625,hypsographic,Kristall-Berge,Kristall-Berge,variant,-5.5,13.5,S1-000,,
-2863390,-4005601,hypsographic,"Sierra del Cristal",SierradelCristal,variant,-5.5,13.5,S1-000,,
-2863390,-4005599,hypsographic,"Monts de Cristal",MontsdeCristal,official,-5.5,13.5,S1-000,,
-2863390,-4009624,hypsographic,"Kristal Gebergte","Kristal Gebergte",variant,-5.5,13.5,S1-000,,
-2209653,-3056951,hydrographic,"Ngongo Bapounou","Ngongo Bapounou",official,-2.342778,11.576111,S1-000,,
-2209653,171065,hydrographic,Ngongo,Ngongo,official,-2.342778,11.576111,S1-000,,
-2209653,-3051322,hydrographic,Bapounou,Bapounou,variant,-2.342778,11.576111,S1-000,,
-2209653,-3056950,hydrographic,"Ngongo Bapoumou","Ngongo Bapoumou",variant,-2.342778,11.576111,S1-000,,
-2207604,-3054558,hydrographic,Louambitchi,Louambitchi,variant,-2.631389,12.303889,S1-000,,
-2207604,-3054562,hydrographic,Louanbitchi,Louanbitchi,variant,-2.631389,12.303889,S1-000,,
-2207604,-3054559,hydrographic,Louambitsi,Louambitsi,official,-2.631389,12.303889,S1-000,,
-2207422,-3054335,hydrographic,Létili,Letili,official,-2.303889,13.637778,S1-000,,
-2205013,169587,hypsographic,"Monts Bilou",MontsBilou,official,-2.139444,14.268333,S1-000,,
-2205013,108968,hypsographic,"Montagnes Bilou","Montagnes Bilou",variant,-2.139444,14.268333,S1-000,,
-2205013,-3051477,hypsographic,"Monts Bilou","Monts Bilou",official,-2.139444,14.268333,S1-000,,
-2204960,169599,hydrographic,Bibaka,Bibaka,official,-2.743611,12.124444,S1-000,,
-2204960,-3051419,hydrographic,Bibaca,Bibaca,variant,-2.743611,12.124444,S1-000,,
-2204960,-3051461,hydrographic,Bilaka,Bilaka,variant,-2.743611,12.124444,S1-000,,
-2204709,-3050913,hydrographic,Aïna,Aina,variant,1.8,13.3,S1-000,,
-2204709,-3051124,hydrographic,Ayina,Ayina,official,1.8,13.3,S1-000,,
-2204709,-3050914,hydrographic,"Aïn Ayna","Ain Ayna",variant,1.8,13.3,S1-000,,
