wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2612023,-3590522,settlement,"Woodham Ferrers","Woodham Ferrers",official,51.65,0.6,GB-ESS,,
-2611296,-3576459,settlement,Kyo,Kyo,variant,54.883333,-1.733333,GB-DUR,,
-2610806,-3589106,settlement,Walmer,Walmer,official,51.2,1.4,GB-KEN,,
-2608788,-3586624,settlement,Stoke,Stoke,variant,52.066667,0.55,GB-SFK,,
-2608722,-3586547,settlement,Stewkley,Stewkley,official,51.916667,-0.75,GB-BKM,,
-2608538,-3586325,settlement,Staithes,Staithes,official,54.551667,-0.789722,GB-NYK,,
-2608081,-3585781,hypsographic,Snowdon,Snowdon,official,53.083333,-4.083333,GB-GWN,,
-2607950,-3585619,settlement,Skirbeck,Skirbeck,official,52.966667,1.0E-6,GB-LIN,,
-2606589,-3583917,settlement,Rousham,Rousham,official,51.9,-1.316667,GB-OXF,,
-2605776,-3582922,settlement,Pudsey,Pudsey,official,53.783333,-1.666667,GB-LDS,,
-2605605,-3582699,settlement,Portishead,Portishead,official,51.484444,-2.770278,GB-NSM,,
-2604114,-3580882,settlement,Newtown,Newtown,official,50.7,-1.4,GB-IOW,,
-2604074,-3580830,settlement,Newton,Newton,official,52.433333,-0.7,GB-NNH,,
-2603217,-3579778,settlement,Misson,Misson,official,53.45,-0.966667,GB-NTT,,
-2602510,-3578907,settlement,Manby,Manby,official,53.366667,0.1,GB-LIN,,
-2602476,-3578864,settlement,Malham,Malham,official,54.05,-2.15,GB-NYK,,
-2601859,-3578134,settlement,Loftus,Loftus,official,54.55,-0.883333,GB-RCC,,
-2601506,-3577669,settlement,Llandow,Llandow,official,51.447778,-3.519167,GB-VGL,,
-2600770,-3576753,settlement,Largybeg,Largybeg,official,55.45,-5.083333,GB-NAY,,
-2597231,-3572472,administrative_region,Glyndwr,Glyndwr,official,53,-3.333333,GB-DEN,,
-2591904,-3565816,settlement,Carr,Carr,official,54.483333,-5.933333,GB-LBC,,
-2591043,-3564736,settlement,Broom,Broom,official,52.4,-2.15,GB-WOR,,
-2590441,-3564016,settlement,Borve,Borve,official,57.45,-6.25,GB-HLD,,
-2589490,-3562792,hydrographic,Bea,Bea,variant,59.25,-2.6,GB-ORK,,
-2588342,-3561353,settlement,Apley,Apley,official,53.266667,-0.35,GB-LIN,,
-2602172,-3578496,settlement,Loxton,Loxton,official,51.298333,-2.898611,GB-NSM,,
-2595489,-3570280,settlement,Elford,Elford,official,52.683333,-1.716667,GB-STS,,
-2595512,-3570315,settlement,Ellerker,Ellerker,official,53.75,-0.6,GB-ERY,,
-2598015,-3573434,settlement,Halse,Halse,official,51.043056,-3.228611,GB-SOM,,
-2598842,-3574396,settlement,Holbeton,Holbeton,official,50.333333,-3.95,GB-DEV,,
-2600070,-3575870,settlement,Kilpin,Kilpin,official,53.733333,-0.833333,GB-ERY,,
-2598395,-3573876,settlement,Heanor,Heanor,official,53,-1.3,GB-DBY,,
-2596068,-3570986,settlement,Fenton,Fenton,official,53.033333,-0.683333,GB-LIN,,
-2604432,-3581254,settlement,Norton,Norton,official,51.559444,-2.165,GB-WIL,,
-2602148,-3578468,spot,Lowgill,Lowgill,official,54.35,-2.583333,GB-CMA,,
-2598982,-3574567,settlement,Hope,Hope,official,50.25,-3.85,GB-DEV,,
-2598014,-3573433,settlement,Halsall,Halsall,official,53.583333,-2.95,GB-LAN,,
-2594620,-3569223,hypsographic,Driesh,Driesh,official,56.833333,-3.183333,GB-ANS,,
-2603926,-3580662,settlement,Newbold,Newbold,official,53.25,-1.45,GB-DBY,,
-2602454,-3578833,settlement,Maidford,Maidford,official,52.15,-1.1,GB-WNH,,
-2596379,-3571365,settlement,Ford,Ford,official,52.716667,-2.85,GB-SHR,,
-2600581,-3576505,settlement,Lagg,Lagg,official,55.933333,-5.866667,GB-AGB,,
-2597255,-3572500,settlement,Godshill,Godshill,official,50.916667,-1.75,GB-HAM,,
-2596377,-3571363,settlement,Ford,Ford,official,50.816667,-0.583333,GB-WSX,,
-2602690,-3579117,settlement,Marton,Marton,official,52.616667,-3.05,GB-SHR,,
-2594621,-3569225,settlement,Drigg,Drigg,official,54.366667,-3.433333,GB-CMA,,
-2604206,-3581012,settlement,Northam,Northam,official,50.9,-1.383333,GB-STH,,
-2596350,-3571331,settlement,Fockerby,Fockerby,official,53.666667,-0.716667,GB-NLN,,
-2597345,-3572610,settlement,Gosforth,Gosforth,official,54.4,-3.433333,GB-CMA,,
-2595488,-3570279,settlement,Elerch,Elerch,official,52.45,-3.933333,GB-000,,
-2601866,-3578142,settlement,Logie,Logie,official,56.366667,-2.966667,GB-FIF,,
-2595947,-3570841,hypsographic,Farndale,Farndale,official,54.366667,-0.983333,GB-NYK,,
