wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1203904,-1769442,hypsographic,"Windward Islands","Windward Islands",colloquial,13.883333,-60.966667,S1-000,,
-1202105,-1766872,settlement,"Mount Morice","Mount Morice",variant,12.081269,-61.746866,GD-03,,
-1202294,19055608,settlement,Tempé,Tempe,official,12.056446,-61.736731,GD-03,,
-1202339,-1767165,settlement,Windsor,Windsor,official,12.13623,-61.674638,GD-01,,
-1202100,-1766866,settlement,"Mount Helicon","Mount Helicon",official,12.054665,-61.739172,GD-03,,
-1203233,-1767220,hypsographic,"Antilles Menores","Antilles Menores",variant,14.666667,-61.016667,S1-000,,
-1202140,-1766911,hydrographic,"Palmiste Lake","Palmiste Lake",official,12.138099,-61.73312,GD-04,,
-1202252,-1767054,settlement,"Saint Paul’s","Saint Paul's",official,12.046781,-61.729115,GD-03,,
-1202294,-1767111,settlement,Tempe,Tempe,variant,12.056446,-61.736731,GD-03,,
-1202119,-1766888,settlement,"Mount Rose","Mount Rose",official,12.188293,-61.627691,GD-06,,
-1201848,-1766531,hydrographic,"Egmont Harbor","Egmont Harbor",variant,12,-61.716667,GD-03,,
-1201823,-1766499,settlement,Deblando,Deblando,official,12.102687,-61.644148,GD-01,,
-1202001,-1766740,hypsographic,"Little Bacolet Point","Little Bacolet Point",official,12.01169,-61.683675,GD-02,,
-1201877,-1766568,spot,"Good Hope","Good Hope",variant,12.049777,-61.719867,GD-03,,
-1202046,-1766798,hypsographic,"Marquis Islet","Marquis Islet",variant,12.099584,-61.617612,GD-01,,
-1202080,-1766840,settlement,"Morne Rouge","Morne Rouge",official,12.017621,-61.771574,GD-03,,
-1202097,-1766863,hydrographic,"Mount Hartman Bay","Mount Hartman Bay",official,12.000775,-61.750695,GD-03,,
-1202102,-1766868,settlement,"Mount Horne","Mount Horne",official,12.144385,-61.643896,GD-01,,
-1202046,-1767095,hypsographic,"Soubisse Island","Soubisse Island",variant,12.099584,-61.617612,GD-01,,
-1202178,-1766961,spot,"Point Salines Estate","Point Salines Estate",official,12.005288,-61.787391,GD-03,,
-1202089,-1766852,settlement,"Mount Cenis","Mount Cenis",official,12.172891,-61.707042,GD-000,,
-1202013,-1766757,hypsographic,"London Bridge Island","London Bridge Island",official,12.25685291,-61.59313364,GD-06,,
-1202292,-1767108,hypsographic,"Telescope Point","Telescope Point",official,12.124579,-61.605014,GD-01,,
-1201918,-1766631,administrative_region,"Colony of Grenada","Colony of Grenada",variant,12.116667,-61.666667,GD-000,,
-1202213,-1767004,hypsographic,"Ronde Island","Ronde Island",official,12.3040498,-61.5854878,GD-000,,
-1201836,-1766517,settlement,Dover,Dover,official,12.5061858,-61.43419003,GD-000,,
-1201948,-1766669,hypsographic,"Mount Horn","Mount Horn",official,12.15,-61.633333,GD-01,,
-1202135,-1766905,hypsographic,"North Point","North Point",official,12.52555622,-61.38134004,GD-000,,
-1201896,-1766595,park,"Grand Etang Forest Reserve","Grand Etang Forest Reserve",variant,12.109631,-61.700233,GD-04,,
-1202152,19054960,settlement,"Peggy’s Whim","Peggy's Whim",official,12.174366,-61.64033,GD-06,,
-1201885,-1766582,hypsographic,"Grand Anse Beach","Grand Anse Beach",official,12.025054,-61.760305,GD-03,,
-1201925,-1766640,settlement,"Gretna Green","Gretna Green",official,12.057856,-61.749889,GD-03,,
-1202187,-1766722,settlement,"Le Sausos","Le Sausos",variant,12.22355,-61.663051,GD-06,,
-1201933,-1766650,hydrographic,"Hardy Bay","Hardy Bay",official,12.002528,-61.782409,GD-03,,
-1202294,-1767113,settlement,Temple,Temple,variant,12.056446,-61.736731,GD-03,,
-1202321,-1767145,settlement,"Upper Pearls","Upper Pearls",official,12.157949,-61.619979,GD-01,,
-1201960,-1766459,hypsographic,"Ravine la Chausse","Ravine la Chausse",variant,12.027414,-61.678447,GD-02,,
