wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3045992,19272229,hypsographic,"Перевал Зекарский","Перевал Зекарский",unknown,42.552089,43.959006,S1-000,,
-3045992,-4200660,hypsographic,"Sekari Pass","Sekari Pass",variant,42.552089,43.959006,S1-000,,
-3045992,255947,hypsographic,"Zekaris Ugheltekhili","Zekaris Ugheltekhili",official,42.552089,43.959006,S1-000,,
-3045992,-4269780,hypsographic,"Pereval Zekarskiy","Pereval Zekarskiy",official,42.552089,43.959006,S1-000,,
-3043994,9006824,park,Andrkovkas,Andrkovkas,official,42,45,S1-000,,
-3043994,9006823,park,Amierkavkasia,Amierkavkasia,official,42,45,S1-000,,
-3043993,9030209,park,Zakavkaz’ye,Zakavkaz'ye,variant,42,45,GE-000,1,
-3043994,9006825,park,Zaqafqaziya,Zaqafqaziya,short,42,45,S1-000,,
-3043993,-4267322,park,"Zakavkazskiy Ekonomicheskiy Rayon","Zakavkazskiy Ekonomicheskiy Rayon",short,42,45,GE-000,1,
-3043994,-4233364,park,Transcaucasus,Transcaucasus,variant,42,45,S1-000,,
-3043994,-4267324,park,Transcaucasia,Transcaucasia,colloquial,42,45,S1-000,,
-3043994,-4267323,park,Zakavkaz’ye,Zakavkaz'ye,official,42,45,S1-000,,
-3042416,9023922,hypsographic,"Ugheltekhili Uqerich’o","Ugheltekhili Uqerich'o",variant,42.542881,45.445961,S1-000,,
-3042416,9023921,hypsographic,"Pereval Yukerigo","Pereval Yukerigo",official,42.542881,45.445961,S1-000,,
-3042416,10611384,hypsographic,"Перевал Юкериго","Перевал Юкериго",unknown,42.542881,45.445961,S1-000,,
-3042416,-4265043,hypsographic,"Pereval Yukeracha","Pereval Yukeracha",variant,42.542881,45.445961,S1-000,,
-3024782,-4240012,hypsographic,"Gora Ullukara","Gora Ullukara",official,43.179416,42.709328,S1-000,,
-3024782,6676616,hypsographic,"Гора Уллукара","Гора Уллукара",unknown,43.179416,42.709328,S1-000,,
-3023822,422548,hypsographic,Udabno,Udabno,official,41.441003,45.378391,S1-000,,
-3023822,425585,hypsographic,"Mt’a Udabno","Mt'a Udabno",variant,41.441003,45.378391,S1-000,,
-3023822,-4238601,hypsographic,"Gora Udabno","Gora Udabno",variant,41.441003,45.378391,S1-000,,
-3023058,-4237449,hypsographic,"Pereval Tviber","Pereval Tviber",official,43.139471,42.925793,S1-000,,
-3023058,-4237450,hypsographic,"Pereval Tviberi","Pereval Tviberi",variant,43.139471,42.925793,S1-000,,
-3023058,19334102,hypsographic,"Перевал Твибер","Перевал Твибер",unknown,43.139471,42.925793,S1-000,,
-3021338,15186266,hypsographic,"Ts’aneri Ughelt’ekhili","Ts'aneri Ughelt'ekhili",official,43.075536,43.021464,S1-000,,
-3021239,-4234618,hypsographic,"Pereval Truso","Pereval Truso",official,42.649108,44.239211,S1-000,,
-3021410,19307762,hypsographic,"Перевал Цегеркер","Перевал Цегеркер",unknown,43.418677,41.016398,S1-000,,
-3021387,147009,hypsographic,"Pereval Tsargekhulir","Pereval Tsargekhulir",official,43.396658,41.054223,S1-000,,
-3021387,11132549,hypsographic,"Ts’argekhuliri Ugheltekhili","Ts'argekhuliri Ugheltekhili",official,43.396658,41.054223,S1-000,,
-3021387,11132550,hypsographic,"ცარგეხულირი უღელტეხილი","ცარგეხულირი უღელტეხილი",unknown,43.396658,41.054223,S1-000,,
-3021410,6777725,hypsographic,"Перевал Магана","Перевал Магана",unknown,43.418677,41.016398,S1-000,,
-3021410,-4234764,hypsographic,"Pereval Tsagerker","Pereval Tsagerker",variant,43.418677,41.016398,S1-000,,
-3021338,-4268092,hypsographic,"Zanner Pass","Zanner Pass",variant,43.075536,43.021464,S1-000,,
-3021410,9283715,hypsographic,"Pereval Magana","Pereval Magana",official,43.418677,41.016398,S1-000,,
-3021338,15186265,hypsographic,"წანერი უღელტეხილი","წანერი უღელტეხილი",unknown,43.075536,43.021464,S1-000,,
-3021410,-4234943,hypsographic,"Pereval Tsegerker","Pereval Tsegerker",variant,43.418677,41.016398,S1-000,,
-3021338,-4234788,hypsographic,"Pereval Tsanner","Pereval Tsanner",official,43.075536,43.021464,S1-000,,
-3021387,-4234854,hypsographic,"Pereval Tsargekhular","Pereval Tsargekhular",variant,43.396658,41.054223,S1-000,,
-3021410,11132552,hypsographic,"მაგანა უღელტეხილი","მაგანა უღელტეხილი",unknown,43.418677,41.016398,S1-000,,
-3021239,10497905,hypsographic,"Перевал Трусо","Перевал Трусо",unknown,42.649108,44.239211,S1-000,,
-3021387,19307765,hypsographic,"Перевал Царгехулир","Перевал Царгехулир",unknown,43.396658,41.054223,S1-000,,
-3021410,-4267028,hypsographic,"Zagarker Pass","Zagarker Pass",variant,43.418677,41.016398,S1-000,,
-3021410,140635,hypsographic,"Pereval Tsegeker","Pereval Tsegeker",variant,43.418677,41.016398,S1-000,,
-3021410,11132551,hypsographic,"Magana Ughelt’ekhili","Magana Ughelt'ekhili",official,43.418677,41.016398,S1-000,,
-3021338,19324140,hypsographic,"Перевал Цаннер","Перевал Цаннер",unknown,43.075536,43.021464,S1-000,,
-3019085,-4231366,hypsographic,"Gora Tlil’","Gora Tlil'",variant,41.6,42.583333,S1-000,,
-3019085,-4231367,hypsographic,"Kırma Dağı","Kirma Dagi",official,41.6,42.583333,S1-000,,
-3019085,432326,hypsographic,"Mt’a T’lili","Mt'a T'lili",official,41.6,42.583333,S1-000,,
-3019085,-4231368,hypsographic,"Tlil Dağı","Tlil Dagi",variant,41.6,42.583333,S1-000,,
-3019085,-4077798,hypsographic,"Gora Grmany","Gora Grmany",variant,41.6,42.583333,S1-000,,
-3017238,-4228664,hypsographic,"Pereval Tebulo","Pereval Tebulo",official,42.5225,45.346667,S1-000,,
-3017239,-4228663,hypsographic,Tebules-Moto,Tebules-Moto,variant,42.574167,45.315,S1-000,,
-3017239,-4228665,hypsographic,"Gora Tebulosmta","Gora Tebulosmta",official,42.574167,45.315,S1-000,,
-3017238,19125204,hypsographic,"Перевал Тебуло","Перевал Тебуло",unknown,42.5225,45.346667,S1-000,,
-3018515,-4230530,hypsographic,"Tikhtengen Peak","Tikhtengen Peak",variant,43.118952,42.989583,S1-000,,
-3017239,255909,hypsographic,Tebulosmt’a,Tebulosmt'a,variant,42.574167,45.315,S1-000,,
-3017238,9023909,hypsographic,"Ugheltekhili Tebulo","Ugheltekhili Tebulo",variant,42.5225,45.346667,S1-000,,
-3018515,6676736,hypsographic,"Гора Тихтенген","Гора Тихтенген",unknown,43.118952,42.989583,S1-000,,
-3017239,10611383,hypsographic,"Гора Тебулосмта","Гора Тебулосмта",unknown,42.574167,45.315,S1-000,,
-3018515,-4230529,hypsographic,"Gora Tikhtengen","Gora Tikhtengen",official,43.118952,42.989583,S1-000,,
-3015350,-4225858,hypsographic,"Gora Takh-Tepe","Gora Takh-Tepe",variant,41.205085,45.893946,S1-000,,
-3015350,-4225849,hypsographic,"Gora Takhtapa","Gora Takhtapa",variant,41.205085,45.893946,S1-000,,
-3015350,18771985,hypsographic,"Taxtəpə Dağı","Taxtapa Dagi",official,41.205085,45.893946,S1-000,,
-3015350,421037,hypsographic,"Taxtatəpə Dağı","Taxtatapa Dagi",variant,41.205085,45.893946,S1-000,,
-3007541,261493,hypsographic,"Lok’is K’edi","Lok'is K'edi",official,41.2,44.466667,S1-000,,
-3007541,-4214480,hypsographic,"Somkhitskiy Khrebet","Somkhitskiy Khrebet",variant,41.2,44.466667,S1-000,,
-3007541,411486,hypsographic,"Virahayots’ Lerrner","Virahayots' Lerrner",official,41.2,44.466667,S1-000,,
-3007541,-4214479,hypsographic,"Somkhitskiye Gory","Somkhitskiye Gory",variant,41.2,44.466667,S1-000,,
-3007541,-4214478,hypsographic,"Somkhetskiy Khrebet","Somkhetskiy Khrebet",variant,41.2,44.466667,S1-000,,
-3007541,-4129114,hypsographic,"Lokskiy Khrebet","Lokskiy Khrebet",variant,41.2,44.466667,S1-000,,
-3006595,11128030,hypsographic,"Mta Sopruju","Mta Sopruju",official,43.234603,41.59005,S1-000,,
-3006595,9129099,hypsographic,"Gora Sofrudzhu","Gora Sofrudzhu",official,43.234603,41.59005,S1-000,,
-3006595,11132104,hypsographic,"მთა სოფრუჯუ","მთა სოფრუჯუ",unknown,43.234603,41.59005,S1-000,,
-3006595,-4213235,hypsographic,"Gora Sofridzhu","Gora Sofridzhu",variant,43.234603,41.59005,S1-000,,
-3006595,6676858,hypsographic,"Гора Софруджу","Гора Софруджу",unknown,43.234603,41.59005,S1-000,,
-3002921,-4208078,hypsographic,"Gora Shkhara","Gora Shkhara",official,42.999409,43.091881,S1-000,,
-3002924,-4208083,hypsographic,"Gora Shkhel’dy","Gora Shkhel'dy",variant,43.149409,42.643704,S1-000,,
-3002921,-4200335,hypsographic,"Schchara Berg","Schchara Berg",variant,42.999409,43.091881,S1-000,,
-3002924,-4208081,hypsographic,"Gora Shkhel’da","Gora Shkhel'da",official,43.149409,42.643704,S1-000,,
-3002924,6676907,hypsographic,"Гора Шхельда","Гора Шхельда",unknown,43.149409,42.643704,S1-000,,
-3002924,15198254,hypsographic,"Mta Shkhelda","Mta Shkhelda",official,43.149409,42.643704,S1-000,,
-3002921,260789,hypsographic,"Mta Shkhara","Mta Shkhara",official,42.999409,43.091881,S1-000,,
-3003314,6876375,hypsographic,"Пик Шота Руставели","Пик Шота Руставели",unknown,43.024804,43.044258,S1-000,,
-3002921,15186308,hypsographic,"მთა შხარა","მთა შხარა",unknown,42.999409,43.091881,S1-000,,
-3003314,-4208622,hypsographic,"Pik Shota Rustaveli","Pik Shota Rustaveli",official,43.024804,43.044258,S1-000,,
-3003314,15186283,hypsographic,"Mta Shota Rustaveli","Mta Shota Rustaveli",official,43.024804,43.044258,S1-000,,
-3003314,15186282,hypsographic,"მთა შოთა რუსთაველი","მთა შოთა რუსთაველი",unknown,43.024804,43.044258,S1-000,,
-3002924,15198253,hypsographic,"მთა შხელდა","მთა შხელდა",unknown,43.149409,42.643704,S1-000,,
-3000725,260804,hypsographic,"Sharivts’ekis Ugheltekhili","Sharivts'ekis Ugheltekhili",official,42.913333,43.287222,S1-000,,
-3000452,253676,hypsographic,"Mt’a Shani","Mt'a Shani",official,42.669026,44.754726,S1-000,,
-3000452,-4204546,hypsographic,"Gora Shan","Gora Shan",official,42.669026,44.754726,S1-000,,
-3000725,-4204928,hypsographic,"Pereval Sharivtsek","Pereval Sharivtsek",official,42.913333,43.287222,S1-000,,
-3000452,10513767,hypsographic,"Гора Шан","Гора Шан",unknown,42.669026,44.754726,S1-000,,
-2996870,-4199427,hypsographic,"Meydancık Dağı","Meydancik Dagi",official,41.466667,42.366667,S1-000,,
-2996870,-4082601,hypsographic,"İmerhavi Dağı","Imerhavi Dagi",variant,41.466667,42.366667,S1-000,,
-2996998,15175230,hypsographic,"მთა საუხოხი","მთა საუხოხი",unknown,42.600735,43.753245,S1-000,,
-2996919,-4199498,hypsographic,"Gora Sasamtlis-Tsveri","Gora Sasamtlis-Tsveri",short,42.316667,45.7,GE-000,1,
-2996870,-4199426,hypsographic,"Gora Sarychay","Gora Sarychay",variant,41.466667,42.366667,S1-000,,
-2996870,-4082602,hypsographic,"İmerhevi Dağı","Imerhevi Dagi",variant,41.466667,42.366667,S1-000,,
-2996870,-4082603,hypsographic,"Gora Imerkhevi-Dag","Gora Imerkhevi-Dag",variant,41.466667,42.366667,S1-000,,
-2996998,-4199625,hypsographic,"Gora Saukhokh","Gora Saukhokh",official,42.600735,43.753245,S1-000,,
-2996998,6676965,hypsographic,"Гора Саухох","Гора Саухох",unknown,42.600735,43.753245,S1-000,,
-2996998,15175229,hypsographic,"Mta Saukhokhi","Mta Saukhokhi",official,42.600735,43.753245,S1-000,,
-2995581,-4196793,hypsographic,"Gora Saborio","Gora Saborio",variant,42.146326,45.749027,S1-000,,
-2995581,-4197452,hypsographic,"Gora Sakoris-Tsveri","Gora Sakoris-Tsveri",variant,42.146326,45.749027,S1-000,,
-2995581,9023443,hypsographic,"Gora Sokoris-Tsveri","Gora Sokoris-Tsveri",official,42.146326,45.749027,S1-000,,
-2995581,6676982,hypsographic,"Гора Сокорис-Цвери","Гора Сокорис-Цвери",unknown,42.146326,45.749027,S1-000,,
-2992771,10497903,hypsographic,"Перевал Рокский","Перевал Рокский",unknown,42.611072,44.137525,S1-000,,
-2992771,255945,hypsographic,"Rokis Ugheltekhili","Rokis Ugheltekhili",official,42.611072,44.137525,S1-000,,
-2992771,-4193427,hypsographic,"Pereval Rokskiy","Pereval Rokskiy",official,42.611072,44.137525,S1-000,,
-2989226,-4137203,hypsographic,"Gora Malyy Pik Ine","Gora Malyy Pik Ine",variant,43.217028,41.685443,S1-000,,
-2989226,6677056,hypsographic,"Гора Птыш","Гора Птыш",unknown,43.217028,41.685443,S1-000,,
-2989178,11132105,hydrographic,ფსოუ,ფსოუ,unknown,43.386389,40.009167,S1-000,,
-2989178,260829,hydrographic,P’sou,P'sou,variant,43.386389,40.009167,S1-000,,
-2989226,-4188388,hypsographic,"Gora Ptysh","Gora Ptysh",official,43.217028,41.685443,S1-000,,
-2989178,-4188322,hydrographic,Pssou,Pssou,variant,43.386389,40.009167,S1-000,,
-2989178,-4188316,hydrographic,Psou,Psou,official,43.386389,40.009167,S1-000,,
-2986894,-4185190,hydrographic,"Reka Poskhovi","Reka Poskhovi",variant,41.652143,43.052225,S1-000,,
