wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
12803039,16153555,settlement,Foster,Foster,official,5.101326,-54.377424,GF-000,,
-918293,-1359608,park,Yanou,Yanou,official,5.464913,-53.256692,GF-000,,
-918260,-1359552,hydrographic,Waané,Waane,official,2.85,-52.45,GF-000,,
-918045,-1359203,park,Sport,Sport,official,4.466863,-53.577596,GF-000,,
-916535,-1356865,hydrographic,Espoir,Espoir,official,5,-53.083333,GF-000,,
-916883,-1357397,settlement,Janvier,Janvier,official,5.166667,-54.15,GF-000,,
-918044,-1359202,settlement,Spes,Spes,official,4.516685,-52.40255,GF-000,,
-918226,-1359489,hydrographic,"Crique Verte","Crique Verte",official,5.118073,-53.046114,GF-000,,
-918020,-1356350,park,Cipeu,Cipeu,variant,2.821726,-52.467177,GF-000,,
-918268,-1356563,hydrographic,"Saut Cuaracayau","Saut Cuaracayau",variant,3.230788,-52.283212,S1-000,,
-918212,-1359474,hydrographic,"Crique Vase","Crique Vase",official,5.366667,-52.85,GF-000,,
-918123,-1359337,hypsographic,"Mont des Tigres","Mont des Tigres",variant,4.912545,-52.303183,GF-000,,
-918287,-1359597,hypsographic,"Îlets Yacarescin","Ilets Yacarescin",variant,3.624967,-51.993083,S1-000,,
-918120,-1358153,hydrographic,"Crique Melchior","Crique Melchior",variant,5.089365,-53.773408,GF-000,,
-918269,-1359566,hydrographic,"Rivière Waki","Riviere Waki",official,3.406445,-53.829578,GF-000,,
-918079,-1359261,hydrographic,"Saut Tambour","Saut Tambour",official,3.935227,-53.348622,GF-000,,
-918066,-1357636,hydrographic,"Laka Mapalansoela","Laka Mapalansoela",variant,2.972762,-54.17167,S1-000,,
-918053,-1359213,settlement,Susini,Susini,variant,4.928536,-52.290167,GF-000,,
-918297,-1359615,hydrographic,"Yapimaliki Soula","Yapimaliki Soula",official,4.083333,-54.333333,S1-000,,
-918168,-1359403,hypsographic,"Île Tranquille","Ile Tranquille",official,5.095897,-52.61569,GF-000,,
-918189,16127598,hypsographic,"Montagne Trois Tonneaux","Montagne Trois Tonneaux",official,4.903095,-53.208494,GF-000,,
-918003,-1359113,hydrographic,"Crique Sekni","Crique Sekni",variant,3.255213,-52.263791,GF-000,,
-918070,-1359304,hydrographic,"Taré eu Waï-atou","Tare eu Wai-atou",variant,2.858311,-52.438697,S1-000,,
-918195,-1359438,vegetation,"Savane Trou Bâches","Savane Trou Baches",variant,5.44214,-53.152518,GF-000,,
-918260,-954123,hydrographic,Waané,Waane,official,2.85,-52.45,GF-000,,
-918100,16011270,hydrographic,"Crique Taouin","Crique Taouin",variant,4.367738,-52.420289,GF-000,,
-918288,-1359600,park,"Yalou Patatpe","Yalou Patatpe",official,2.54561,-54.342179,GF-000,,
-918289,-1358511,hydrographic,"Saut Pamaloupiaïna","Saut Pamaloupiaina",variant,2.533024,-52.556293,S1-000,,
-918022,-1359167,park,Sivirine,Sivirine,official,5.368804,-53.188231,GF-000,,
-918301,-1359621,hydrographic,"Rivière Yaroupi","Riviere Yaroupi",variant,2.780153,-52.4792,GF-000,,
-918206,-1359468,hydrographic,"Sauts l’Usine","Sauts l'Usine",official,3.586605,-52.107634,GF-000,,
-918270,-1359586,hydrographic,"Weti Wata Eoukou","Weti Wata Eoukou",variant,2.829226,-53.971583,GF-000,,
-918068,-1359245,hydrographic,"Saut Takaritenté","Saut Takaritente",variant,4.62119,-52.927117,GF-000,,
-918189,-1359432,hypsographic,"Montagne des Trois Tonneaux","Montagne des Trois Tonneaux",variant,4.903095,-53.208494,GF-000,,
-918122,-1359331,hydrographic,"Crique Tigre","Crique Tigre",official,5.6373,-53.955984,GF-000,,
-918204,-1359449,hydrographic,"Saut Trouvé","Saut Trouve",official,2.467699,-52.864191,GF-000,,
-918062,-1359233,hypsographic,"Roche Tado","Roche Tado",official,5.083333,-53.066667,GF-000,,
-918124,-1359334,hydrographic,"Saut Tigre","Saut Tigre",official,4.98288,-53.027222,GF-000,,
-918218,-1359480,hypsographic,"Îlet Vendôme","Ilet Vendome",official,4.33175,-52.058088,GF-000,,
-918038,-1355775,hydrographic,"Saut Arouany","Saut Arouany",variant,4.943342,-53.788982,GF-000,,
-918273,-1358408,hydrographic,"Crique Ouapou","Crique Ouapou",variant,4.449147,-52.125507,GF-000,,
-918024,-1359169,hydrographic,"Grande Crique Sivirine","Grande Crique Sivirine",official,5.375181,-53.184346,GF-000,,
-918289,16132984,hydrographic,"Yamakaloupiaïna Itou","Yamakaloupiaina Itou",official,2.533024,-52.556293,S1-000,,
