wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
9260403,9340418,hypsographic,Torode,Torode,official,49.4775,-2.504444,GG-000,,
-1176715,-1735980,hydrographic,"Côbo Bay","Cobo Bay",official,49.476944,-2.601944,GG-000,,
-1176792,-1736098,hydrographic,"Long Port","Long Port",official,49.483333,-2.6,GG-000,,
-1176780,-1736040,hypsographic,Hanoveaux,Hanoveaux,variant,49.433333,-2.7,GG-000,,
-1176724,-1736071,spot,"Le Creux Mahie","Le Creux Mahie",variant,49.416667,-2.633333,GG-000,,
-1176736,-1736010,settlement,Fregondie,Fregondie,variant,49.429722,-2.37,GG-000,,
-1176745,-1736026,settlement,"Grandes Rocques","Grandes Rocques",official,49.483889,-2.583333,GG-000,,
-1176741,-1736019,hydrographic,"Gouliot Passage","Gouliot Passage",official,49.431111,-2.380833,GG-000,,
-1176700,-1735957,hydrographic,"Bon Repos Boat Harbour","Bon Repos Boat Harbour",variant,49.417222,-2.615833,GG-000,,
-1176824,-1736157,settlement,"Saint Anne","Saint Anne",official,49.715,-2.204167,GG-000,,
-1176816,9348625,hypsographic,"Quesnard Point","Quesnard Point",official,49.729167,-2.16,GG-000,,
-1176714,-1735979,hypsographic,"Clonque Rock","Clonque Rock",official,49.713611,-2.232222,GG-000,,
-1176786,-1736090,hypsographic,"L’Etac de Sark","L'Etac de Sark",variant,49.401111,-2.3675,GG-000,,
-1176764,-1736056,hypsographic,"La Conchée","La Conchee",official,49.471389,-2.645556,GG-000,,
-1176834,-1736172,hypsographic,"Point Sauzebourg","Point Sauzebourg",variant,49.466667,-2.45,GG-000,,
-1176818,-1736149,hypsographic,Renonquet,Renonquet,official,49.733333,-2.283333,GG-000,,
-1176727,-1735997,hypsographic,"Cul de l’Hotel","Cul de l'Hotel",variant,49.5,-2.433333,GG-000,,
-1176787,-1736093,hypsographic,"Lihou Island","Lihou Island",official,49.460556,-2.667222,GG-000,,
-1176751,-1736037,administrative_region,"Bailiwick of Guernsey","Bailiwick of Guernsey",official,49.583333,-2.333333,GG-000,,
-1176700,-1735956,hydrographic,"Hâvre de Bon Repos","Havre de Bon Repos",official,49.417222,-2.615833,GG-000,,
-1176797,-1736107,hypsographic,"Mont Hubert","Mont Hubert",variant,49.433333,-2.583333,GG-000,,
-1176750,-1736036,hypsographic,Guernsey,Guernsey,official,49.45,-2.6,GG-000,,
-1176827,-1736164,settlement,"Saint Sampson’s","Saint Sampson's",variant,49.483889,-2.523333,GG-000,,
