wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2073071,-2875233,hydrographic,Fe,Fe,official,7.06612,0.512537,GH-000,,
-2069773,-2870141,hydrographic,Asa,Asa,official,6.15,-1.183333,GH-000,,
-2077380,-2882065,settlement,Oberade,Oberade,official,10.256872,-0.045669,GH-000,,
-2077100,-2881668,settlement,Nurgu,Nurgu,official,9.166667,0.166667,GH-000,,
-2070998,-2872015,settlement,Biemso,Biemso,official,6.87855,-1.851998,GH-AH,,
-2073320,-2875600,settlement,Gbangale,Gbangale,official,10.317467,-0.073006,GH-000,,
-2075964,-2879884,settlement,Meikpo,Meikpo,official,6.185538,0.15588,GH-000,,
-2078915,-2884487,hydrographic,Subin,Subin,official,6.036722,-2.126416,GH-000,,
-2073643,-2876200,settlement,Hevi,Hevi,official,6.30221,0.90467,GH-000,,
-2071073,-2872126,hydrographic,Bisi,Bisi,official,7.606142,-2.249173,GH-BO,,
-2078919,-2884491,hydrographic,Subin,Subin,official,6.403967,-1.092175,GH-000,,
-2071014,-2872041,settlement,Bima,Bima,official,7.046014,-1.35547,GH-000,,
-2067623,-2866862,settlement,Abeka,Abeka,official,5.24206,-0.98577,GH-000,,
-2067794,-2867115,hydrographic,Abon,Abon,official,6.829896,-0.399974,GH-000,,
-2070166,-2870744,spot,Atechem,Atechem,official,6.466667,-1.15,GH-000,,
-2078653,-2884056,settlement,Sentum,Sentum,official,5.1,-2.2,GH-000,,
-2078914,-2884486,hydrographic,Subin,Subin,official,6.033333,-1.833333,GH-000,,
-2067884,-2867258,hydrographic,Abubre,Abubre,official,7.776036,-1.520952,GH-000,,
-2068492,-2868195,settlement,Agodome,Agodome,official,6.714261,0.337717,GH-000,,
-2079827,-2885938,settlement,Vodje,Vodje,official,6.542112,0.447567,GH-000,,
-2076561,-2880836,settlement,Nawari,Nawari,official,10.216667,0.266667,GH-000,,
-2073002,-2875120,settlement,Eviema,Eviema,official,5.101156,-2.761471,GH-WP,,
-2078363,-2883571,settlement,Sakpale,Sakpale,official,10.044644,-0.147329,GH-000,,
-2079313,-2885069,settlement,Taton,Taton,official,6.261435,0.411848,GH-000,,
-2078041,-2883061,settlement,Pela,Pela,official,10.15,-2.75,GH-UW,,
-2070319,-2870972,hydrographic,Avelete,Avelete,official,6.326855,0.300006,GH-000,,
-2073897,-2876579,settlement,Jegwa,Jegwa,official,9.133333,0.05,GH-000,,
-2073735,-2876314,settlement,Huive,Huive,variant,6.188507,1.009759,GH-000,,
-2079894,-2886040,settlement,Wala,Wala,official,9.004135,-0.646549,GH-000,,
-2073419,-2875768,settlement,Glime,Glime,official,6.533333,0.266667,GH-000,,
-2079186,-2884759,settlement,Taali,Taali,variant,8.785371,-0.050187,GH-000,,
-2069534,-2869802,settlement,Anum,Anum,official,5.954363,-0.433818,GH-000,,
-2068052,-2867500,settlement,Adakpo,Adakpo,official,6.174638,0.670338,GH-000,,
-2075437,-2879018,hydrographic,Kwanto,Kwanto,official,7.525961,-1.548739,GH-000,,
-2071211,-2872335,settlement,Bokpo,Bokpo,official,6.166667,0.366667,GH-000,,
-2079779,-2885853,settlement,Unblele,Unblele,official,6.116667,0.75,GH-000,,
-2070144,-2870717,hydrographic,Ataniata,Ataniata,official,7.141549,-0.332235,GH-000,,
-2071915,-2885836,settlement,Twum,Twum,variant,6.042371,-0.169554,GH-000,,
-2079605,-2885534,settlement,Tondongo,Tondongo,official,10.55,-1,GH-UE,,
-2071532,-2872840,hydrographic,Buasi,Buasi,official,7.768604,-1.165834,GH-000,,
-2069322,-2869484,hydrographic,Ampa,Ampa,official,5.715664,-1.838547,GH-WP,,
-2071517,-2872816,settlement,Brusheng,Brusheng,official,5.316667,-0.733333,GH-000,,
-2079515,-2885392,settlement,Tirago,Tirago,official,10.833333,-0.366667,GH-UE,,
-2078316,-2883499,hydrographic,Sabu,Sabu,official,7.516667,-0.683333,GH-000,,
-2068493,-2868196,settlement,Agodome,Agodome,official,6.814057,0.374209,GH-000,,
-2073898,18503766,hydrographic,Gyei,Gyei,official,5.563477,-0.400599,GH-AA,,
-2071014,-2872054,settlement,Bimma,Bimma,variant,7.046014,-1.35547,GH-000,,
-2075436,-2879017,hydrographic,Kwantang,Kwantang,official,8.486026,-0.730962,GH-000,,
-2078920,-2884492,hydrographic,Subin,Subin,official,6.493119,-1.590724,GH-AH,,
-2068610,-2868387,hypsographic,Ahireso,Ahireso,official,5.622092,-0.558839,GH-AA,,
-2071982,-2873505,settlement,Dafo,Dafo,official,7.082478,0.305338,GH-000,,
-2078339,-2883531,settlement,Sagia,Sagia,official,10.089046,-1.411023,GH-000,,
-2079895,-2886041,settlement,Wala,Wala,official,9.638625,-1.257142,GH-000,,
-2074969,-2878300,hypsographic,Krobo,Krobo,official,6.968627,-1.406635,GH-000,,
-2070353,-2871028,settlement,Avunu,Avunu,official,6.175225,0.893349,GH-000,,
-2071534,-2872842,settlement,Buawoma,Buawoma,official,5.583333,-0.683333,GH-000,,
-2078749,-2884072,settlement,Serehu,Serehu,variant,5.733333,1.0E-6,GH-AA,,
-2079657,-2885626,hydrographic,Trapo,Trapo,official,7.632408,-1.422125,GH-000,,
-2079313,-2885070,settlement,Tator,Tator,variant,6.261435,0.411848,GH-000,,
-2080142,-2886437,settlement,Yabe,Yabe,variant,6.65055,-1.708749,GH-AH,,
-2070354,-2871029,settlement,Avuto,Avuto,official,5.967699,0.71091,GH-000,,
-2073469,-2875866,settlement,Goroso,Goroso,official,6.757144,-2.835989,GH-000,,
-2079637,-2885597,settlement,Totobe,Totobe,official,5.52841,-1.935854,GH-WP,,
-2068611,-2868388,settlement,Ahireso,Ahireso,official,5.472798,-2.197287,GH-WP,,
-2073880,-2876555,settlement,Jave,Jave,official,6.323221,0.727892,GH-000,,
-2077074,-2881334,settlement,Nnudu,Nnudu,variant,6.282953,0.129835,GH-000,,
-2078443,-2883694,hydrographic,Samsam,Samsam,official,5.544054,-0.651795,GH-000,,
-2070979,-2871992,settlement,Biano,Biano,official,6.490735,-2.936394,GH-WP,,
-2073965,-2876677,settlement,Jimbupe,Jimbupe,official,8.316667,-0.3,GH-000,,
-2069590,-2869881,settlement,Anyaboni,Anyaboni,official,6.356003,-0.058877,GH-000,,
-2078747,-2884207,settlement,Sikayena,Sikayena,official,5.582621,-0.947536,GH-000,,
-2073896,-2885169,settlement,Tema,Tema,variant,10.476674,-0.137988,GH-000,,
-2071072,-2872125,hydrographic,Bisi,Bisi,official,7.309013,-2.11353,GH-AF,,
-2079169,-2884841,settlement,Takpe,Takpe,official,6.093855,0.222028,GH-000,,
-2074433,-2877423,settlement,Kirepo,Kirepo,official,6.31048,0.660779,GH-000,,
-2073563,-2876018,settlement,Gwo,Gwo,variant,10.062483,-2.608961,GH-UW,,
-2077377,-2882062,settlement,Obenyao,Obenyao,official,5.821575,-0.500807,GH-000,,
-2078460,-2883731,settlement,Sanga,Sanga,official,6.430494,0.190272,GH-000,,
-2072826,-2874838,settlement,Ejian,Ejian,official,6.9,-1.016667,GH-000,,
-2074892,-2878173,settlement,Kpintao,Kpintao,official,10.05,0.083333,GH-000,,
-2079312,-2885067,spot,Tatia,Tatia,official,5.653567,-2.929492,GH-WP,,
-2070959,-2871638,settlement,Bawia,Bawia,variant,5.061179,-2.54034,GH-WP,,
-2079658,-2885627,settlement,Trawa,Trawa,official,6.216667,-0.05,GH-000,,
-2078317,-2883500,hydrographic,Sabu,Sabu,official,7.531472,-0.702126,GH-000,,
-2071995,-2873534,settlement,Daho,Daho,official,7.0402,-1.410557,GH-000,,
-2068246,-2867790,settlement,Adrume,Adrume,official,6.12319,0.993477,GH-000,,
-2068009,-2867430,hypsographic,Achrodo,Achrodo,official,6.3,0.1,GH-000,,
-2072271,-2873973,settlement,Die,Die,variant,10.643027,-2.654214,GH-UW,,
-2080028,-2886252,settlement,Widokom,Widokom,official,5.882278,-0.086841,GH-000,,
-2078042,-2883064,hydrographic,Peli,Peli,official,8.183333,-0.533333,GH-000,,
-2073606,-2876149,settlement,Have,Have,official,6.092104,0.81496,GH-000,,
-2072874,-2874917,hydrographic,Emudie,Emudie,official,8.15,0.333333,GH-000,,
-2067863,-2867224,hypsographic,Abrodi,Abrodi,official,6.8,-1.05,GH-000,,
-2077074,-2881637,settlement,Nudu,Nudu,official,6.282953,0.129835,GH-000,,
-2071212,-2872336,settlement,Bokpo,Bokpo,official,6.25,0.45,GH-000,,
-2069249,-2869366,settlement,Amedua,Amedua,official,5.593243,-0.549526,GH-AA,,
-2077099,-2881667,hydrographic,Nupali,Nupali,official,9.666667,-0.55,GH-000,,
-2075622,-2879351,settlement,Latele,Latele,official,10.362798,-0.117233,GH-000,,
-2072414,-2874157,hydrographic,Dombon,Dombon,official,8.255828,0.100696,GH-000,,
-2077075,-2881638,settlement,Nuente,Nuente,official,5.784899,-2.669547,GH-WN,,
-2078379,-2883595,settlement,Sakune,Sakune,official,6.766667,-1.183333,GH-000,,
-2067665,-2866919,hypsographic,Abima,Abima,official,7.616667,-1.966667,GH-000,,
-2067625,-2866866,spot,Abekoasi,Abekoasi,official,6.35,-1.15,GH-000,,
-2075925,-2879828,hydrographic,Mawbie,Mawbie,official,10.6,-1.533333,GH-000,,
