wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2167107,-3001018,hypsographic,"Península Ibérica","Peninsula Iberica",official,40,-5,S1-000,,
-2167107,16973709,hypsographic,"La Península Ibérica","La Peninsula Iberica",variant,40,-5,S1-000,,
-2167107,-3000968,hypsographic,"Península Hispánica","Peninsula Hispanica",variant,40,-5,S1-000,,
-2167107,-3001019,hypsographic,"La Penisola Iberica","La Penisola Iberica",variant,40,-5,S1-000,,
-2167107,-3001015,hypsographic,Iberia,Iberia,variant,40,-5,S1-000,,
-2167107,16973730,hypsographic,"Península Ibèrica","Peninsula Iberica",official,40,-5,S1-000,,
-2167107,-3001017,hypsographic,"Península Ibérica","Peninsula Iberica",official,40,-5,S1-000,,
-2167107,-3001016,hypsographic,"Iberian Peninsula","Iberian Peninsula",colloquial,40,-5,S1-000,,
-1205041,-1770926,road,"Dudley Ward Way Tunnel","Dudley Ward Way Tunnel",variant,36.119468,-5.343046,GI-000,,
-1205074,-1770977,hypsographic,"Punta Grande de Europa","Punta Grande de Europa",variant,36.109482,-5.344584,GI-000,,
-1204996,-1771081,spot,"The Palace","The Palace",variant,36.139823,-5.350589,GI-000,,
-1205188,-1771141,spot,"South Jumpers Bastion","South Jumpers Bastion",official,36.128392,-5.352103,GI-000,,
-1205103,-1771020,spot,"Loretto Convent School","Loretto Convent School",official,36.126633,-5.349605,GI-000,,
-1205112,-1771032,hypsographic,"Mediterranean Steps","Mediterranean Steps",official,36.124689,-5.342602,GI-000,,
-1205189,-1771142,spot,"South Mole","South Mole",official,36.129188,-5.359829,GI-000,,
-1205137,-1771074,hydrographic,"Nun’s Well","Nun's Well",official,36.111544,-5.345746,GI-000,,
-1205029,20122431,hydrographic,"Auxiliary Camber","Auxiliary Camber",variant,36.13763,-5.356721,GI-000,,
-1205187,-1771140,spot,"South Barracks","South Barracks",variant,36.125626,-5.350314,GI-000,,
-1205166,-1771116,spot,"Royal Naval Hospital","Royal Naval Hospital",variant,36.119479,-5.347784,GI-000,,
-1205194,20010391,spot,"Theatre Royal Promenade","Theatre Royal Promenade",official,36.139968,-5.352781,GI-000,,
-1205181,-1771131,hydrographic,"Salto Garrobo","Salto Garrobo",variant,36.130873,-5.340647,GI-000,,
-1205057,-1771102,hypsographic,"The Rock","The Rock",variant,36.134182,-5.347212,GI-000,,
-1205063,20010393,spot,"The Convent Garden","The Convent Garden",official,36.136507,-5.353632,GI-000,,
-1204994,-1770852,spot,"Alexandra Battery","Alexandra Battery",variant,36.12496,-5.355581,GI-000,,
-1205018,-1770885,spot,"Calpe Rowing Club","Calpe Rowing Club",official,36.141492,-5.358362,GI-000,,
-1205038,20011384,spot,"Naval Base Main Gate","Naval Base Main Gate",official,36.1323,-5.353214,GI-000,,
-1205085,-1770945,spot,"Exchange Building","Exchange Building",variant,36.140808,-5.353775,GI-000,,
-1205067,-1770970,park,"Governor’s Meadow Estate","Governor's Meadow Estate",variant,36.132217,-5.352455,GI-000,,
-1205050,20135437,spot,"Europa Point Sports Complex","Europa Point Sports Complex",variant,36.110728,-5.346847,GI-000,,
-1205101,-1771018,hypsographic,"Little Europa Point","Little Europa Point",official,36.112385,-5.350365,GI-000,,
-1205151,-1771095,spot,"Queen Alexandra Dock Number Two","Queen Alexandra Dock Number Two",official,36.126189,-5.354501,GI-000,,
-1205200,-1771154,road,"Upper Galleries Entrance","Upper Galleries Entrance",variant,36.145223,-5.345285,GI-000,,
-1205143,-1771085,hypsographic,"Passage Point","Passage Point",official,36.113156,-5.343454,GI-000,,
-1205042,-1771080,hypsographic,"Playa Oriental","Playa Oriental",variant,36.14927,-5.339589,GI-000,,
-1205122,-1771053,spot,"Mount Alvernia","Mount Alvernia",official,36.126486,-5.348985,GI-000,,
-1205123,-1771054,spot,"Mount Barbary","Mount Barbary",short,36.123271,-5.346546,GI-000,1,
-1205127,20011379,park,"Four Corners","Four Corners",official,36.153996,-5.349965,GI-000,,
-1205103,20135329,spot,"Loretto Convent","Loretto Convent",variant,36.126633,-5.349605,GI-000,,
-1205186,-1771139,hypsographic,"Signal Hill","Signal Hill",official,36.133999,-5.346031,GI-000,,
-1205192,-1771145,spot,"Spyglass Battery","Spyglass Battery",official,36.127285,-5.344141,GI-000,,
-1205074,-1770980,hypsographic,"Great Europa Point","Great Europa Point",official,36.109482,-5.344584,GI-000,,
-1205116,-1771046,park,"Alameda de los Monos","Alameda de los Monos",variant,36.126461,-5.342586,GI-000,,
-1205161,-1771109,hydrographic,"Cala Rosia","Cala Rosia",variant,36.121802,-5.353051,GI-000,,
-1205201,-1771155,spot,"Varyl Begg Estate","Varyl Begg Estate",official,36.145872,-5.357902,GI-000,,
-1205017,20140871,spot,"The Caleta Hotel","The Caleta Hotel",official,36.137464,-5.340794,GI-000,,
-1205124,-1771055,spot,"Mount Garden","Mount Garden",official,36.124966,-5.348463,GI-000,1,
-1205032,20261009,hypsographic,"Dead Man’s Beach","Dead Man's Beach",official,36.10907,-5.345891,GI-000,,
-1205019,-1770886,hydrographic,"Cala Camp","Cala Camp",variant,36.119232,-5.351588,GI-000,,
-1205146,-1771089,spot,"Princess Amelia’s Battery","Princess Amelia's Battery",official,36.145201,-5.347573,GI-000,,
-1205190,-1771143,spot,"Southport Gates","Southport Gates",official,36.134884,-5.352758,GI-000,,
-1205052,-1770947,spot,"Frontier Gate","Frontier Gate",official,36.154968,-5.348369,GI-000,,
-1205005,-1770869,spot,"Bleak House","Bleak House",official,36.112635,-5.3498,GI-000,,
-1205175,-1771125,spot,"Cathedral of Saint Mary’s the Crowned","Cathedral of Saint Mary's the Crowned",official,36.139693,-5.353562,GI-000,,
-1205073,-1770978,spot,"Grand Parade","Grand Parade",official,36.133055,-5.351675,GI-000,,
-1205066,-1770969,spot,"Governor’s Look-out Battery","Governor's Look-out Battery",variant,36.143763,-5.347182,GI-000,,
-1205132,-1771065,spot,"Dock Number Four","Dock Number Four",short,36.139739,-5.35611,GI-000,1,
-1205057,-1770958,hypsographic,"Rock of Gibraltar","Rock of Gibraltar",official,36.134182,-5.347212,GI-000,,
-1205107,-1771026,spot,"Marina Court","Marina Court",official,36.146899,-5.353058,GI-000,,
-1205013,-1770878,spot,"Buena Vista Cottage","Buena Vista Cottage",official,36.12186,-5.349208,GI-000,1,
-1205202,-1771156,spot,"Victoria Sports Centre","Victoria Sports Centre",variant,36.149328,-5.350232,GI-000,,
-1205022,-1770894,spot,"Cathedral Square","Cathedral Square",official,36.138243,-5.354491,GI-000,,
-1205084,-1770995,spot,"Hospital Steps","Hospital Steps",variant,36.139804,-5.352083,GI-000,,
-1205056,-1770853,hydrographic,"Bahía de Algeciras","Bahia de Algeciras",variant,36.15,-5.433333,GI-000,,
-1205169,-1771119,hypsographic,"Saint Abb’s Head","Saint Abb's Head",official,36.137457,-5.340369,GI-000,,
-1205072,-1770889,spot,"Plaza de las Casamatas","Plaza de las Casamatas",variant,36.144819,-5.352918,GI-000,,
-1205062,-1770905,spot,"The Convent","The Convent",variant,36.137061,-5.353628,GI-000,,
-1205155,-1771099,spot,"Ragged Staff Landing","Ragged Staff Landing",official,36.134502,-5.354595,GI-000,,
-1205114,-1770932,hypsographic,"Cerro de Enmedio","Cerro de Enmedio",variant,36.140165,-5.344714,GI-000,,
-1205166,20011294,spot,"Hillsides Dementia Facility","Hillsides Dementia Facility",official,36.119479,-5.347784,GI-000,,
-1205086,-1770997,park,"Ince’s Farm","Ince's Farm",official,36.135444,-5.349289,GI-000,,
-1205205,-1771160,spot,"Wellington Front","Wellington Front",official,36.136904,-5.354524,GI-000,,
-1205100,-1770933,hydrographic,"Cala de Europa","Cala de Europa",variant,36.114843,-5.349713,GI-000,,
-1205056,-1770960,hydrographic,"Gibraltar Bay","Gibraltar Bay",variant,36.15,-5.433333,GI-000,,
-1205180,-1771132,spot,"Sandpits Tennis Courts","Sandpits Tennis Courts",official,36.129492,-5.350578,GI-000,,
-1205208,-1770866,hypsographic,"Roca Blanca","Roca Blanca",variant,36.141212,-5.340686,GI-000,,
-1205112,-1771036,hypsographic,"Peldaños del Mediterraneo","Peldanos del Mediterraneo",variant,36.124689,-5.342602,GI-000,,
-1205206,-1770888,spot,"Muelle del Carbón","Muelle del Carbon",variant,36.146306,-5.365779,GI-000,,
-1205034,-1771106,spot,"Muelle Rompeolas","Muelle Rompeolas",variant,36.138907,-5.36563,GI-000,,
-1205085,-1770996,spot,"House of Assembly","House of Assembly",variant,36.140808,-5.353775,GI-000,,
-1204992,-1770849,park,"Alameda Gardens","Alameda Gardens",official,36.13104,-5.350907,GI-000,,
-1205071,-1770974,spot,"Grand Casemates Gates","Grand Casemates Gates",official,36.145239,-5.353078,GI-000,,
-1205043,-1770928,spot,"Edinburgh House","Edinburgh House",variant,36.142089,-5.356703,GI-000,,
-1205162,-1771112,spot,"Rosia Mole","Rosia Mole",official,36.12127,-5.353512,GI-000,,
-1204995,-1770855,park,"Apes Den","Apes Den",official,36.132357,-5.348768,GI-000,,
-1205203,-1771158,settlement,Waterport,Waterport,official,36.148073,-5.356757,GI-000,,
-1205024,-1770896,spot,"Charles V Wall","Charles V Wall",official,36.132107,-5.347499,GI-000,,
-1205072,-1770976,spot,"Grand Casemates Square","Grand Casemates Square",official,36.144819,-5.352918,GI-000,,
-1205198,-1771152,spot,"Trafalgar Cemetery","Trafalgar Cemetery",official,36.134784,-5.352351,GI-000,,
-1205034,-1770914,spot,"Detached Mole","Detached Mole",official,36.138907,-5.36563,GI-000,,
-1205133,19492091,spot,"Number Four","Number Four",variant,36.147648,-5.361911,GI-000,,
-1205065,20010388,spot,"Governor’s Cottage Industrial Park","Governor's Cottage Industrial Park",official,36.116926,-5.343198,GI-000,,
-1205070,-1770973,spot,"Grand Casemates","Grand Casemates",variant,36.144539,-5.352578,GI-000,,
-1205083,-1770994,spot,"Cathedral of the Holy Trinity","Cathedral of the Holy Trinity",official,36.138243,-5.354025,GI-000,,
-1205021,-1770892,settlement,"Catalan Bay","Catalan Bay",variant,36.138952,-5.341622,GI-000,,
-1205081,20011470,park,"H.M. Naval Base Gibraltar","H.M. Naval Base Gibraltar",official,36.125571,-5.354481,GI-000,,
-1205081,-1770992,park,"H.M.S. Rooke","H.M.S. Rooke",variant,36.125571,-5.354481,GI-000,,
-1205067,20010863,park,"Alameda Estate","Alameda Estate",official,36.132217,-5.352455,GI-000,,
-1205017,-1770884,spot,"Caleta Palace Hotel","Caleta Palace Hotel",variant,36.137464,-5.340794,GI-000,,
-1205033,-1770913,spot,"Defensible Barracks","Defensible Barracks",official,36.110346,-5.348465,GI-000,1,
-1205195,-1771149,spot,"Tovey Battery","Tovey Battery",official,36.14282,-5.347867,GI-000,,
-1205098,-1771015,hypsographic,"The Lido","The Lido",short,36.141537,-5.359156,GI-000,1,
-1205168,-1771118,spot,"Church of the Sacred Heart","Church of the Sacred Heart",variant,36.139255,-5.350685,GI-000,,
-1205113,-1771038,spot,"Middle Gate","Middle Gate",official,36.132022,-5.347206,GI-000,,
-1205211,20010355,spot,"Witham’s Cemetery","Witham's Cemetery",official,36.128697,-5.350828,GI-000,,
-1205104,-1771021,spot,"Lourde’s School","Lourde's School",short,36.140689,-5.351095,GI-000,1,
-1205072,-1770975,spot,"Grand Casemate Square","Grand Casemate Square",variant,36.144819,-5.352918,GI-000,,
-1205200,20010387,road,"Upper Galleries","Upper Galleries",official,36.145223,-5.345285,GI-000,,
-1205062,-1770965,spot,"Government House","Government House",official,36.137061,-5.353628,GI-000,,
-1205197,-1771151,spot,"Tower of Homage","Tower of Homage",official,36.143925,-5.349898,GI-000,,
-1205129,-1771005,spot,"Jumpers Bastion","Jumpers Bastion",variant,36.130955,-5.353085,GI-000,,
-1205152,-1771096,spot,"Queen’s Gate","Queen's Gate",official,36.13214,-5.348622,GI-000,,
-1205029,20122430,hydrographic,"Boat Camber","Boat Camber",variant,36.13763,-5.356721,GI-000,,
-1205128,-1771061,hypsographic,"North Gorge","North Gorge",official,36.118218,-5.347345,GI-000,,
-1205207,-1771162,hypsographic,"Western Beach","Western Beach",official,36.153127,-5.351121,GI-000,,
-1205131,19492092,spot,"Number Five","Number Five",variant,36.147525,-5.360916,GI-000,,
-1205106,-1771024,spot,"Main Wharf","Main Wharf",official,36.129466,-5.354631,GI-000,,
-1205053,-1770948,spot,"Genoese Battery","Genoese Battery",official,36.134712,-5.349883,GI-000,,
-1205171,-1770900,spot,"Civil Hospital","Civil Hospital",variant,36.143288,-5.359524,GI-000,,
-1205021,-1770893,settlement,"Catalan Bay Village","Catalan Bay Village",official,36.138952,-5.341622,GI-000,,
-1205092,-1771008,spot,"King George V Memorial Hospital","King George V Memorial Hospital",official,36.127951,-5.349875,GI-000,,
-1205029,-1770907,hydrographic,"Cormorant Dársena","Cormorant Darsena",variant,36.13763,-5.356721,GI-000,,
-1205172,-1771122,spot,"Saint Christopher’s School","Saint Christopher's School",official,36.153884,-5.351003,GI-000,,
-1205085,20011296,spot,"Parliment House","Parliment House",official,36.140808,-5.353775,GI-000,,
-1205143,-1771084,hypsographic,"Punta Pasaje","Punta Pasaje",variant,36.113156,-5.343454,GI-000,,
-1205143,-1771083,hypsographic,"Punta del Pasagre","Punta del Pasagre",variant,36.113156,-5.343454,GI-000,,
-1205164,-1771114,spot,"Royal Battery","Royal Battery",official,36.143808,-5.342725,GI-000,,
-1205089,-1770904,spot,"Commercial Square","Commercial Square",variant,36.14084,-5.354092,GI-000,,
-1205148,-1771091,spot,"Princess Caroline’s Battery","Princess Caroline's Battery",official,36.14483,-5.347947,GI-000,,
-1205164,-1771104,spot,"Rock Gun","Rock Gun",variant,36.143808,-5.342725,GI-000,,
-1204999,-1770861,road,"Beavers Promenade","Beavers Promenade",official,36.141903,-5.33935,GI-000,1,
-1205097,-1771014,spot,"Cueva de LeVante","Cueva de LeVante",variant,36.121364,-5.343748,GI-000,,
-1205096,-1771012,spot,"Lathbury Barracks","Lathbury Barracks",variant,36.119016,-5.344814,GI-000,,
-1205156,-1771100,spot,"Regal Cinema","Regal Cinema",variant,36.142918,-5.354931,GI-000,,
-1205158,-1771087,spot,"Hotel Peñon","Hotel Penon",variant,36.131975,-5.350159,GI-000,,
-1205129,-1771062,spot,"North Jumpers Bastion","North Jumpers Bastion",official,36.130955,-5.353085,GI-000,,
-1205002,-1770863,hydrographic,"Cueva Blackstrag","Cueva Blackstrag",variant,36.133891,-5.340334,GI-000,,
-1205072,20261008,spot,"Casemates Square","Casemates Square",variant,36.144819,-5.352918,GI-000,,
-1205105,-1771022,hydrographic,"Banco Mackerel","Banco Mackerel",variant,36.106867,-5.346822,GI-000,,
-1205007,20011377,spot,"Both Worlds","Both Worlds",official,36.131004,-5.341751,GI-000,,
-1205093,-1771009,spot,"King’s Bastion","King's Bastion",official,36.139702,-5.355146,GI-000,,
-1205055,-1770949,settlement,Gibilterra,Gibilterra,variant,36.133333,-5.35,GI-000,,
-1205149,-1771092,spot,"Princess Royal’s Battery","Princess Royal's Battery",official,36.146135,-5.345994,GI-000,,
-1205000,-1770862,spot,"Bishop Fitzgerald’s School","Bishop Fitzgerald's School",variant,36.143637,-5.355751,GI-000,,
-1205163,-1771113,spot,"Rosia Parade","Rosia Parade",official,36.122015,-5.352176,GI-000,,
-1204996,20140870,spot,"Arengo House","Arengo House",official,36.139823,-5.350589,GI-000,,
-1205060,-1770963,settlement,"Glacis Estate","Glacis Estate",official,36.147346,-5.350954,GI-000,,
-1205061,-1770964,spot,"Gorham’s Cave","Gorham's Cave",official,36.12053,-5.342066,GI-000,,
-1205182,-1771134,hydrographic,"Sandy Bay North","Sandy Bay North",official,36.132975,-5.339794,GI-000,,
-1205138,-1771076,spot,"O’Hara’s Battery","O'Hara's Battery",official,36.123848,-5.342804,GI-000,,
-1205144,-1771086,spot,"Passenger Wharf","Passenger Wharf",official,36.147391,-5.365801,GI-000,,
-1205163,20010386,spot,"Rosia Dale","Rosia Dale",variant,36.122015,-5.352176,GI-000,,
-1205179,-1771129,spot,"Saint Theresa’s Church","Saint Theresa's Church",official,36.148009,-5.346158,GI-000,,
-1205039,-1770922,spot,"Dockyard South Gate","Dockyard South Gate",variant,36.124064,-5.353743,GI-000,,
-1205202,-1771157,spot,"Victoria Stadium","Victoria Stadium",official,36.149328,-5.350232,GI-000,,
-1205050,-1770944,spot,"Europa Sports Ground","Europa Sports Ground",variant,36.110728,-5.346847,GI-000,,
-1205038,-1770921,spot,"Dockyard North Gate","Dockyard North Gate",variant,36.1323,-5.353214,GI-000,,
-1205070,20011380,spot,"Casemates House","Casemates House",official,36.144539,-5.352578,GI-000,,
-1205077,-1770858,spot,"Muelle de Artilleria","Muelle de Artilleria",variant,36.13318,-5.356284,GI-000,,
-1205185,-1771137,hydrographic,"Cueva Shirley","Cueva Shirley",variant,36.135381,-5.340394,GI-000,,
-1205130,-1771059,spot,"Muelle Norte","Muelle Norte",variant,36.14873,-5.363268,GI-000,,
-1205100,-1771017,hydrographic,"Little Bay","Little Bay",official,36.114843,-5.349713,GI-000,,
-1205074,-1770943,hypsographic,"Europa Point","Europa Point",variant,36.109482,-5.344584,GI-000,,
-1205001,20327375,hydrographic,"Blackstrap Bay","Blackstrap Bay",official,36.147581,-5.33238,S1-000,,
-1205088,-1771000,spot,"John Mackintosh Hall","John Mackintosh Hall",official,36.135611,-5.353515,GI-000,,
-1205157,-1771103,spot,"Rock Battery","Rock Battery",official,36.142769,-5.342947,GI-000,,
-1205133,-1771066,spot,"Number Four Jetty","Number Four Jetty",official,36.147648,-5.361911,GI-000,,
-1205035,-1770915,spot,"Devil’s Gap Battery","Devil's Gap Battery",official,36.136885,-5.350424,GI-000,,
-1205044,-1770929,spot,"Elliots Memorial","Elliots Memorial",official,36.131847,-5.351602,GI-000,,
-1205127,-1771060,park,"North Front","North Front",variant,36.153996,-5.349965,GI-000,,
-1205131,-1771064,spot,"Number Five Jetty","Number Five Jetty",official,36.147525,-5.360916,GI-000,,
-1205145,-1771070,spot,"Dique Número 1","Dique Numero 1",variant,36.125567,-5.355086,GI-000,,
-1205039,20011382,spot,"South Mole Main Gate","South Mole Main Gate",official,36.124064,-5.353743,GI-000,,
-1205015,-1770881,spot,"Buffadero Battery Quarry","Buffadero Battery Quarry",official,36.11437,-5.344173,GI-000,1,
