wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2080923,-2887606,hypsographic,Ana,Ana,official,69.966667,-50.616667,GL-AV,,
-2086000,-2896317,hydrographic,Sarfaq,Sarfaq,official,63.15,-50.733333,GL-SM,,
-2747895,19727593,park,Norðurlond,Nordhurlond,short,62,-6,S1-000,,
-2747895,19727615,park,"Nunat Avannarliit","Nunat Avannarliit",short,62,-6,S1-000,,
-2747895,19727617,park,Norden,Norden,official,62,-6,S1-000,,
-2747895,19727592,park,Norðurlöndin,Nordhurlondin,short,62,-6,S1-000,,
-2747895,19727616,park,Norden,Norden,official,62,-6,S1-000,,
-2747895,-3813561,park,Norden,Norden,official,62,-6,S1-000,,
-2747895,19727614,park,Pohjoismaat,Pohjoismaat,short,62,-6,S1-000,,
-2087545,-2898911,hydrographic,"Zoolog Elv","Zoolog Elv",official,82.183333,-31,GL-000,,
-2087679,-3206467,hypsographic,Timmiarmiit,Timmiarmiit,official,62.75,-42.166667,GL-SM,,
-2087679,-2897738,hypsographic,"Tingmiarmiut Island","Tingmiarmiut Island",variant,62.75,-42.166667,GL-SM,,
-2087679,-2897740,hypsographic,"Tingmiarmiut Ö","Tingmiarmiut O",variant,62.75,-42.166667,GL-SM,,
-2087679,-2897739,hypsographic,"Tingmiarmiut Kekerta","Tingmiarmiut Kekerta",variant,62.75,-42.166667,GL-SM,,
-2087679,-2897718,hypsographic,Timmiarmin,Timmiarmin,variant,62.75,-42.166667,GL-SM,,
-2087679,-2897730,hypsographic,Tingmiarmît,Tingmiarmit,variant,62.75,-42.166667,GL-SM,,
-2087665,-3206482,spot,Daneborg,Daneborg,official,74.3,-20.233333,GL-000,,
-2087665,-2896201,spot,Sandodden,Sandodden,variant,74.3,-20.233333,GL-000,,
-2087544,-2898910,hypsographic,Zoologdalen,Zoologdalen,official,73.316667,-24.3,GL-000,,
-2087543,-2898909,hypsographic,"Zig-Zag Dalen","Zig-Zag Dalen",official,81,-26,GL-000,,
-2087543,-2898908,hypsographic,"Zig-Zag Dal","Zig-Zag Dal",variant,81,-26,GL-000,,
-2087542,-2898907,hypsographic,Zebrafjeld,Zebrafjeld,official,64.333333,-40.783333,GL-SM,,
-2087542,-2898906,hypsographic,Zebrafjæld,Zebrafjaeld,variant,64.333333,-40.783333,GL-SM,,
-2087541,-2898905,hydrographic,Zamiteselv,Zamiteselv,official,70.866667,-22.683333,GL-SM,,
-2087540,-2898903,hydrographic,"Zackenberg Bay","Zackenberg Bay",variant,74.45,-20.666667,GL-000,,
-2087540,-2898904,hydrographic,"Zackenberg Bugt","Zackenberg Bugt",official,74.45,-20.666667,GL-000,,
-2087539,-2898902,hypsographic,Zackenberg,Zackenberg,official,74.5,-20.766667,GL-000,,
-2087538,-2898901,hydrographic,"Zachariaes Bræ","Zachariaes Brae",variant,78.916667,-21.166667,GL-000,,
-2087538,-2898900,hydrographic,"Zachariae Isstrøm","Zachariae Isstrom",official,78.916667,-21.166667,GL-000,,
-2087537,-2898899,hydrographic,"Yrsas Fjord","Yrsas Fjord",official,63.25,-41.233333,GL-SM,,
-2087536,-2898898,hydrographic,"Young Sund","Young Sund",official,74.316667,-20.35,GL-000,,
-2087535,-2898897,hypsographic,"Kap Young","Kap Young",official,72.266667,-22.033333,GL-000,,
-2087535,-2898896,hypsographic,"Cape Young","Cape Young",variant,72.266667,-22.033333,GL-000,,
-2087534,271805,hypsographic,Innaanganeq,Innaanganeq,official,75.909722,-66.451389,GL-AV,,
-2087534,-2898895,hypsographic,"Kap York","Kap York",official,75.909722,-66.451389,GL-AV,,
-2087534,-2898894,hypsographic,"Cape York","Cape York",variant,75.909722,-66.451389,GL-AV,,
-2087533,-2898892,hydrographic,"Yngvar Nielsen Bræ","Yngvar Nielsen Brae",variant,76.334722,-64.137778,GL-AV,,
-2087533,-2898893,hydrographic,"Yngvar Nielsen Gletscher","Yngvar Nielsen Gletscher",official,76.334722,-64.137778,GL-AV,,
-2087532,-2898891,hypsographic,"Yngvar Knutzons Fjeld","Yngvar Knutzons Fjeld",variant,73.933333,-23.766667,GL-000,,
-2087532,-2898890,hypsographic,"Yngvar Knudtzon Fjeld","Yngvar Knudtzon Fjeld",official,73.933333,-23.766667,GL-000,,
-2087531,-2898883,hypsographic,"Ymer Island","Ymer Island",variant,73.15,-24.333333,GL-000,,
-2087531,-2898889,hypsographic,"Ymers Ø","Ymers O",variant,73.15,-24.333333,GL-000,,
-2087531,-2898885,hypsographic,"Ymer Ø","Ymer O",official,73.15,-24.333333,GL-000,,
-2087530,-2898888,hypsographic,"Ymers Nunatakker","Ymers Nunatakker",variant,77.45,-24.616667,GL-000,,
-2087530,-2898884,hypsographic,"Ymer Nunatak","Ymer Nunatak",official,77.45,-24.616667,GL-000,,
-2087529,-2898882,hydrographic,"Ymer Gletscher","Ymer Gletscher",official,82.65,-36,GL-000,,
-2087529,-2898886,hydrographic,"Ymers Gletscher","Ymers Gletscher",variant,82.65,-36,GL-000,,
-2087528,-2898881,hypsographic,"Ymer Bjerg","Ymer Bjerg",official,65.6,-37.75,GL-SM,,
-2087528,-2898887,hypsographic,"Ymers Mountain","Ymers Mountain",variant,65.6,-37.75,GL-SM,,
-2087527,-2898880,hydrographic,Ygdrasil,Ygdrasil,official,63.316667,-42.283333,GL-SM,,
-2087526,-2898879,hydrographic,"Ydun Gletscher","Ydun Gletscher",official,83.25,-28.166667,GL-000,,
-2087525,-2898878,hydrographic,"Ydun Gletscher","Ydun Gletscher",official,63.716667,-40.983333,GL-SM,,
-2087525,-2892179,hydrographic,Kokajatok,Kokajatok,variant,63.716667,-40.983333,GL-SM,,
-2087524,-2892093,hypsographic,Kitsigsut,Kitsigsut,variant,60.75,-48.4,GL-KU,,
-2087524,-2898877,hypsographic,"Ydre Øer","Ydre Oer",variant,60.75,-48.4,GL-KU,,
-2087524,-2894360,hypsographic,"Outer Kitsigsut","Outer Kitsigsut",variant,60.75,-48.4,GL-KU,,
-2087524,-2898876,hypsographic,"Ydre Kitsissut","Ydre Kitsissut",official,60.75,-48.4,GL-KU,,
-2087524,-2898875,hypsographic,"Ydre Kitsigsut","Ydre Kitsigsut",variant,60.75,-48.4,GL-KU,,
-2087524,-2897850,hypsographic,"Torstein Islands","Torstein Islands",variant,60.75,-48.4,GL-KU,,
-2087523,-2894361,hypsographic,"Outer Parry Rock","Outer Parry Rock",variant,69.133333,-53.883333,GL-QT,,
-2087523,-2898874,hypsographic,"Yderste Parry Skær","Yderste Parry Skaer",official,69.133333,-53.883333,GL-QT,,
-2087522,-2898873,hypsographic,Yderdalen,Yderdalen,official,73.85,-20.383333,GL-000,,
-2087521,-2898870,hydrographic,"Yder Bay","Yder Bay",variant,76.816667,-18.5,GL-000,,
-2087521,-2898871,hydrographic,"Yder Bugt","Yder Bugt",official,76.816667,-18.5,GL-000,,
-2087521,-2898872,hydrographic,Yderbugten,Yderbugten,variant,76.816667,-18.5,GL-000,,
-2087520,-2898869,hypsographic,"Kap Wynn","Kap Wynn",official,74.483333,-18.966667,GL-000,,
-2087519,-2898868,hypsographic,"Kap Wymann","Kap Wymann",official,81.033333,-60.383333,GL-000,,
-2087518,-2898867,park,"Wyckoff Land","Wyckoff Land",official,82.833333,-24.5,GL-000,,
-2087517,-2898865,hypsographic,"Wyatt Bjerg","Wyatt Bjerg",official,82.3,-54.416667,GL-000,,
-2087516,-2898863,hypsographic,"Wulffs Land","Wulffs Land",variant,82,-48,GL-000,,
-2087516,-2898862,hypsographic,"Wulff Land","Wulff Land",official,82,-48,GL-000,,
-2087516,-2898864,hypsographic,"Wullfs Land","Wullfs Land",variant,82,-48,GL-000,,
-2087515,-2898861,hydrographic,"Wulff Elv","Wulff Elv",official,79.1,-68.35,GL-AV,,
-2087514,-2898859,hydrographic,"Wright Bay","Wright Bay",variant,80.066667,-66.333333,GL-AV,,
-2087514,-2898860,hydrographic,"Wright Bugt","Wright Bugt",official,80.066667,-66.333333,GL-AV,,
-2087513,-2898857,hydrographic,"Wordie Gletscher","Wordie Gletscher",official,74.25,-23.05,GL-000,,
-2087512,-2898856,hydrographic,"Wordie Bugt","Wordie Bugt",official,74.066667,-22.4,GL-000,,
-2087512,-2898858,hydrographic,"Wordies Bay","Wordies Bay",variant,74.066667,-22.4,GL-000,,
-2087511,-2898855,hypsographic,"Kap Wood","Kap Wood",official,79.066667,-68.766667,GL-AV,,
-2087511,-2898854,hypsographic,"Cape Wood","Cape Wood",variant,79.066667,-68.766667,GL-AV,,
-2087510,-2898852,hypsographic,"Wolstenholme Ø","Wolstenholme O",official,76.437778,-70.005833,GL-AV,,
-2087510,-2895321,hypsographic,Qeqertarssuaq,Qeqertarssuaq,variant,76.437778,-70.005833,GL-AV,,
-2087510,-2891846,hypsographic,Kekertarssuak,Kekertarssuak,variant,76.437778,-70.005833,GL-AV,,
-2087510,-2891865,hypsographic,"Kekertasuak Agpa","Kekertasuak Agpa",variant,76.437778,-70.005833,GL-AV,,
-2087509,-2898853,hydrographic,"Wolstenholme Sound","Wolstenholme Sound",variant,76.631944,-68.6375,GL-AV,,
-2087509,185339,hydrographic,"Uummannap Kangerlua","Uummannap Kangerlua",variant,76.631944,-68.6375,GL-AV,,
-2087509,-2898851,hydrographic,"Wolstenholme Fjord","Wolstenholme Fjord",official,76.631944,-68.6375,GL-AV,,
-2087509,-2898334,hydrographic,"Ûmánap Kangerdlua","Umanap Kangerdlua",variant,76.631944,-68.6375,GL-AV,,
-2087508,-2898850,hypsographic,"Wollaston Forland","Wollaston Forland",official,74.5,-20,GL-000,,
-2087507,-2898849,hypsographic,"Kap Wohlgemuth","Kap Wohlgemuth",official,82.633333,-47.733333,GL-000,,
-2087506,-2898848,hydrographic,"Witzansky Gletscher","Witzansky Gletscher",official,76.856667,-70.285556,GL-AV,,
-2087505,-2898845,hypsographic,Wistarbjaerg,Wistarbjaerg,variant,82.883333,-32.5,GL-000,,
-2087505,-2898743,hypsographic,"Vistars Bjaerg","Vistars Bjaerg",variant,82.883333,-32.5,GL-000,,
-2087505,-2898847,hypsographic,"Wistars Bjaerg","Wistars Bjaerg",variant,82.883333,-32.5,GL-000,,
-2087413,-2898691,hypsographic,Vergys,Vergys,official,73.783333,-22.85,GL-000,,
-2087505,-2898846,hypsographic,"Wistar Bjerg","Wistar Bjerg",official,82.883333,-32.5,GL-000,,
-2087504,-2898841,hypsographic,"Mount Windham Hornby","Mount Windham Hornby",variant,82.266667,-52.75,GL-000,,
-2087504,-2898842,hypsographic,"Windham Hornby Bjerg","Windham Hornby Bjerg",official,82.266667,-52.75,GL-000,,
-2087503,-2898840,hypsographic,"Wiman Bjerg","Wiman Bjerg",official,73.416667,-23.133333,GL-000,,
-2087502,-2898839,hypsographic,"Wilson’s Land","Wilson's Land",variant,77.383333,-66.533333,GL-AV,,
-2087502,-2898837,hypsographic,"Wilson Klint","Wilson Klint",official,77.383333,-66.533333,GL-AV,,
-2087502,-2898838,hypsographic,"Wilson’s Bluff","Wilson's Bluff",variant,77.383333,-66.533333,GL-AV,,
-2087501,-2898836,hypsographic,"Wilkins Nunatakker","Wilkins Nunatakker",official,74.1,-27.25,GL-000,,
-2087500,-2898835,hydrographic,"Wild Sund","Wild Sund",official,83.3,-41,GL-000,,
-2087500,-2898833,hydrographic,"Wild Sound","Wild Sound",variant,83.3,-41,GL-000,,
-2087500,-2898832,hydrographic,"Wild Fjord","Wild Fjord",variant,83.3,-41,GL-000,,
-2087499,-2898834,hypsographic,Wildspitze,Wildspitze,official,75.35,-20.816667,GL-000,,
-2087498,-2898831,hypsographic,"Wilcox Head","Wilcox Head",official,74.5,-57.516667,GL-AV,,
-2087498,-2893929,hypsographic,"Nugssuak Ungatdlek","Nugssuak Ungatdlek",variant,74.5,-57.516667,GL-AV,,
-2087497,-2898830,hypsographic,"Kap Wijkander","Kap Wijkander",official,83.25,-43.7,GL-000,,
-2087496,-2898829,hypsographic,"Kap Wijkander","Kap Wijkander",official,73.15,-22.866667,GL-000,,
-2087495,-2898828,hydrographic,"Wiedemans Fjord","Wiedemans Fjord",variant,68.483333,-28.25,GL-SM,,
-2087495,-2898827,hydrographic,"Wiedemann Fjord","Wiedemann Fjord",official,68.483333,-28.25,GL-SM,,
