wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1201665,-1766314,settlement,Yuma,Yuma,variant,13.583333,-15.7,GM-N,,
-2273573,-3137190,hydrographic,"Sami Bolon","Sami Bolon",variant,13.466667,-14.516667,S1-000,,
-2273573,-3132938,hydrographic,"Kunchau Creek","Kunchau Creek",variant,13.466667,-14.516667,S1-000,,
-2273573,-3137377,hydrographic,Sardougou,Sardougou,variant,13.466667,-14.516667,S1-000,,
-2273620,-4833978,hydrographic,"Sankutu Bolon","Sankutu Bolon",official,13.316667,-14.35,S1-000,,
-2274332,-3138153,hydrographic,"Sine Bolon","Sine Bolon",official,13.516667,-13.9,S1-000,,
-2273573,-3137242,hydrographic,Sandougou,Sandougou,official,13.466667,-14.516667,S1-000,,
-2273620,-3138925,hydrographic,"Sunkuta Bolon","Sunkuta Bolon",variant,13.316667,-14.35,S1-000,,
-2274332,-3138152,hydrographic,Siné,Sine,official,13.516667,-13.9,S1-000,,
-2274332,-3138172,hydrographic,"Siné Marigot","Sine Marigot",variant,13.516667,-13.9,S1-000,,
-2273573,-3137247,hydrographic,"River Sandugu","River Sandugu",variant,13.466667,-14.516667,S1-000,,
-2273573,-3137243,hydrographic,"Sandugu Bolon","Sandugu Bolon",official,13.466667,-14.516667,S1-000,,
-2273117,-4833977,hydrographic,"Patte Bolon","Patte Bolon",official,13.766667,-15.133333,S1-000,,
-2272610,-3135947,hydrographic,"Niani Bolon","Niani Bolon",variant,13.65,-15.2,S1-000,,
-2272610,-3135949,hydrographic,"Nianija Bolon","Nianija Bolon",official,13.65,-15.2,S1-000,,
-2271039,-4833975,hydrographic,"Mansala Bolon","Mansala Bolon",official,13.333333,-14.366667,S1-000,,
-2272610,-3135948,hydrographic,"Nianija Bôlon","Nianija Bolon",official,13.65,-15.2,S1-000,,
-2271099,-3133844,hydrographic,"Bôlon Massarinko",BolonMassarinko,official,13.603889,-16.526111,S1-000,,
-2272610,-3135950,hydrographic,"Nianimarou Bolon","Nianimarou Bolon",variant,13.65,-15.2,S1-000,,
-2271099,-3133843,hydrographic,"Bolom Massarinko","Bolom Massarinko",variant,13.603889,-16.526111,S1-000,,
-2271914,-3135325,hydrographic,"N’Dipan Bolon","N'Dipan Bolon",variant,13.766667,-15.05,S1-000,,
-2271099,-3133850,hydrographic,"Bôlon Massirinko","Bolon Massirinko",variant,13.603889,-16.526111,S1-000,,
-2272610,-3140334,hydrographic,"West Nianija Creek","West Nianija Creek",variant,13.65,-15.2,S1-000,,
-2271099,-3133845,hydrographic,"Massarinko Bolon","Massarinko Bolon",official,13.603889,-16.526111,S1-000,,
-2271039,-3133752,hydrographic,"Mansafa Bolon","Mansafa Bolon",variant,13.333333,-14.366667,S1-000,,
-2271914,-4833976,hydrographic,"N’Dian Bolon","N'Dian Bolon",official,13.766667,-15.05,S1-000,,
-2270158,-3132622,hydrographic,"Marigot de Korro","Marigot de Korro",variant,13.3,-14.45,S1-000,,
-2270158,-4833973,hydrographic,"Koro Bolon","Koro Bolon",official,13.3,-14.45,S1-000,,
-2266390,-3127437,hydrographic,"Bowe Marigot","Bowe Marigot",variant,13.566667,-13.916667,S1-000,,
-2266390,-3127432,hydrographic,Bové,Bove,official,13.566667,-13.916667,S1-000,,
-2266390,-3127433,hydrographic,"Bowe Bolon","Bowe Bolon",official,13.566667,-13.916667,S1-000,,
-2265990,-3140297,hydrographic,"Marigot de Vintang","Marigot de Vintang",variant,13.3,-16.2,S1-000,,
-2265147,-3125798,hydrographic,"Allahein River","Allahein River",official,13.066667,-16.75,S1-000,,
-2265990,-3126908,hydrographic,"Bintang Bôlon","Bintang Bolon",official,13.3,-16.2,S1-000,,
-2265147,-3125797,hydrographic,Allahine,Allahine,official,13.066667,-16.75,S1-000,,
-2265147,20334695,hydrographic,Allahein,Allahein,official,13.066667,-16.75,S1-000,,
-2265990,-3140298,hydrographic,"Vintang Creek","Vintang Creek",variant,13.3,-16.2,S1-000,,
-2265990,-3126910,hydrographic,"Bintang Creek","Bintang Creek",variant,13.3,-16.2,S1-000,,
-2265990,-3126909,hydrographic,"Bintang Bolon","Bintang Bolon",official,13.3,-16.2,S1-000,,
