wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1177338,-1736799,settlement,Bandou,Bandou,official,9.15,-10.216667,GN-F,,
-2275030,-3139308,hydrographic,Térméssé,Termesse,official,12.5502,-12.7227,S1-000,,
-2275408,-3139824,hydrographic,Tiokoye,Tiokoye,official,12.708,-12.5805,S1-000,,
-2275030,-3139310,hydrographic,Termossé,Termosse,official,12.5502,-12.7227,S1-000,,
-2274683,10859079,hydrographic,Soudouol,Soudouol,official,12.3759,-12.1554,S1-000,,
-2272953,-3136416,settlement,Ousson,Ousson,official,12.57924,-13.40013,GN-B,,
-2269175,-3131345,hydrographic,Kayanga,Kayanga,official,11.966667,-15,S1-000,,
-2269175,-3130792,hydrographic,"Rio Jeba","Rio Jeba",variant,11.966667,-15,S1-000,,
-2270130,-3132581,hydrographic,Konkoni,Konkoni,official,12.465767,-11.556522,S1-000,,
-2269175,-3130061,hydrographic,"Gerba Rivière","Gerba Riviere",variant,11.966667,-15,S1-000,,
-2269175,-3140346,hydrographic,"Rio Xaianga","Rio Xaianga",variant,11.966667,-15,S1-000,,
-2269175,-3130057,hydrographic,"Rio Gêba","Rio Geba",official,11.966667,-15,S1-000,,
-2267195,10859124,hydrographic,Diakha,Diakha,official,12.7116,-12.7762,S1-000,,
-2267195,10859125,hydrographic,Diagha,Diagha,official,12.7116,-12.7762,S1-000,,
-2267195,-3128586,hydrographic,Diarha,Diarha,variant,12.7116,-12.7762,S1-000,,
-2265487,10202746,hydrographic,Balin-Ko,Balin-Ko,official,12.490758,-11.356509,S1-000,,
-2265487,-3126250,hydrographic,"Balin Ko","Balin Ko",official,12.490758,-11.356509,S1-000,,
-2265487,-3126253,hydrographic,"Balino Ko","Balino Ko",variant,12.490758,-11.356509,S1-000,,
-2265487,-3126243,hydrographic,"Baling Ko","Baling Ko",variant,12.490758,-11.356509,S1-000,,
-2136282,-2964141,hypsographic,"Mount Zeliba","Mount Zeliba",official,8.483333,-9.65,S1-000,,
-2136282,-1748808,hypsographic,"Mount Zeliba",MountZeliba,official,8.483333,-9.65,S1-000,,
-2136282,-2962051,hypsographic,"Mount Seriba","Mount Seriba",variant,8.483333,-9.65,S1-000,,
-2136143,-2963909,hydrographic,Nédia,Nedia,official,8.533333,-9.783333,S1-000,,
-2136143,-2963930,hydrographic,Yindia,Yindia,variant,8.533333,-9.783333,S1-000,,
-2136143,-2963908,hydrographic,"Yenja Creek","Yenja Creek",official,8.533333,-9.783333,S1-000,,
-2136013,-2963717,hydrographic,"Wuni River","Wuni River",variant,7.362823,-9.48477,S1-000,,
-2136013,15315647,hydrographic,"Woonee River","Woonee River",official,7.362823,-9.48477,S1-000,,
-2136013,-2961194,hydrographic,"Oule River","Oule River",variant,7.362823,-9.48477,S1-000,,
-2136013,-2963716,hydrographic,"Wune River","Wune River",variant,7.362823,-9.48477,S1-000,,
-2136013,20081262,hydrographic,Woonee,Woonee,official,7.362823,-9.48477,S1-000,,
-2136013,-2961195,hydrographic,Ouli,Ouli,variant,7.362823,-9.48477,S1-000,,
-2136013,-2963718,hydrographic,Oulé,Oule,official,7.362823,-9.48477,S1-000,,
-2135911,-2963227,hypsographic,"Wangizi Range","Wangizi Range",variant,8,-9.583333,S1-000,,
-2135911,-2963576,hypsographic,"Wonegizi Mountain","Wonegizi Mountain",variant,8,-9.583333,S1-000,,
-2135911,-2963577,hypsographic,"Wonegizi Range","Wonegizi Range",official,8,-9.583333,S1-000,,
-2135911,-2963578,hypsographic,Ziama,Ziama,official,8,-9.583333,S1-000,,
-2135911,-2963228,hypsographic,"Wanigisi Range","Wanigisi Range",variant,8,-9.583333,S1-000,,
-2135911,-2963229,hypsographic,"Wanigizi Range","Wanigizi Range",variant,8,-9.583333,S1-000,,
-2135540,-2961544,hydrographic,Quenzié,Quenzie,variant,8.066667,-9.416667,S1-000,,
-2135540,-2962992,hydrographic,Uwenziye,Uwenziye,variant,8.066667,-9.416667,S1-000,,
-2135540,-2962991,hydrographic,Ouenzié,Ouenzie,official,8.066667,-9.416667,S1-000,,
-2135540,-2962990,hydrographic,"Uwenziy Creek","Uwenziy Creek",official,8.066667,-9.416667,S1-000,,
-2134226,-2960917,hypsographic,"Nimba Mountains","Nimba Mountains",variant,7.563056,-8.465,S1-000,,
-2133691,-2960070,hydrographic,Makana,Makana,variant,6.972954,-11.595555,S1-000,,
-2133446,-1743330,hydrographic,"Lakpalaya Creek","Lakpalaya Creek",official,8.316667,-9.516667,S1-000,,
