wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
14192430,18302167,settlement,Marly,Marly,official,16.281649,-61.340082,GP-000,,
-3750740,-4988025,hypsographic,Antillen,Antillen,variant,18.733333,-69.15,S1-000,,
-3750740,-4988024,hypsographic,Antillas,Antillas,variant,18.733333,-69.15,S1-000,,
-3750740,-4988026,hypsographic,Antilles,Antilles,colloquial,18.733333,-69.15,S1-000,,
-1544444,-2196990,hypsographic,Antillas,Antillas,variant,19.383333,-71.216667,S1-000,,
-1544444,-2196991,hypsographic,Antilles,Antilles,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199262,hypsographic,West-Indië,West-Indie,variant,19.383333,-71.216667,S1-000,,
-1544444,-2199263,hypsographic,"West Indies","West Indies",colloquial,19.383333,-71.216667,S1-000,,
-1203803,-1769290,hydrographic,"Passe du Sud-Est","Passe du Sud-Est",variant,15.851629,-61.608144,GP-000,,
-1203807,-1767723,settlement,"De Surgy","De Surgy",variant,16.262779,-61.34041,GP-000,,
-1203780,-1769236,settlement,Sèze,Seze,official,16.249116,-61.287939,GP-000,,
-1203838,-1769350,hydrographic,"Ravine Trianon","Ravine Trianon",variant,15.899078,-61.314781,GP-000,,
-1203860,-1769381,hydrographic,"Anse du Vanovre","Anse du Vanovre",variant,15.857848,-61.588042,GP-000,,
-1203799,-1769279,settlement,Subercazeaux,Subercazeaux,official,16.295272,-61.659339,GP-000,,
-1203794,-1769269,hydrographic,"Passe du Souffleur","Passe du Souffleur",official,15.837913,-61.614533,GP-000,,
-1203866,18292739,settlement,"La Rose Verger","La Rose Verger",official,15.940946,-61.261846,GP-000,,
-1203811,-1769302,hypsographic,"Pointe Tarare","Pointe Tarare",official,16.25757,-61.198917,GP-000,,
-1203888,-1769421,hydrographic,"Vieux-Fort Rivière","Vieux-Fort Riviere",variant,16.354424,-61.74901,GP-000,,
-1203783,18227677,hypsographic,"Pointe Fillon","Pointe Fillon",official,16.198798,-61.78662,GP-000,,
-1203814,-1769318,hypsographic,"Terre du Bas","Terre du Bas",variant,15.85,-61.616667,GP-000,,
-1203791,18316583,hydrographic,"Accul du Souffleur","Accul du Souffleur",official,16.475444,-61.422133,GP-000,,
-1203852,-1769370,hypsographic,"Pointe à Vache","Pointe a Vache",official,15.87075,-61.635604,GP-000,,
-1203848,-1769363,hydrographic,"Rivière du Trou aux Chiens","Riviere du Trou aux Chiens",official,15.986227,-61.61473,GP-000,,
-1203858,-1769378,settlement,"Vallon Vrimouth","Vallon Vrimouth",official,15.941283,-61.269969,GP-000,,
-1203810,-1769301,hydrographic,"Anse Tarare","Anse Tarare",official,16.256076,-61.204462,GP-000,,
