wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-2064051,-2862071,settlement,Bibo,Bibo,official,1.817213,11.34133,GQ-000,,
-2065730,-2864344,settlement,Mboete,Mboete,official,1.570842,10.537386,GQ-000,,
-2063385,-2861156,settlement,Acoc,Acoc,official,1.132116,10.440265,GQ-000,,
-2063558,-2861422,settlement,Alen,Alen,official,1.784876,10.625502,GQ-000,,
-2064161,-2862208,settlement,Bindola,Bindola,official,1.782809,9.9305,GQ-000,,
-2063638,-2861511,settlement,Andom,Andom,official,1.312946,10.862499,GQ-000,,
-2065533,-2864102,spot,Márquez,Marquez,official,3.662408,8.635159,GQ-000,,
-2065731,-2864345,settlement,Mboete,Mboete,official,1.578173,10.351012,GQ-000,,
-2065937,-2864595,settlement,Miang,Miang,official,1.222549,10.018391,GQ-000,,
-2063852,-2861344,settlement,Ajene,Ajene,variant,1.911431,10.649173,GQ-000,,
-2063386,-2861157,settlement,Acoc,Acoc,official,1.816953,10.26118,GQ-000,,
-2064922,-2863223,settlement,Eson,Eson,official,1.955747,11.016528,GQ-000,,
-2063387,-2861372,settlement,Akok,Akok,variant,1.821125,10.711809,GQ-000,,
-2064630,-2862816,settlement,Ebam,Ebam,official,1.567636,11.299563,GQ-000,,
-2065271,-2863750,settlement,Lisboa,Lisboa,official,1.080291,9.696121,GQ-000,,
-2064926,-2863229,settlement,Esong,Esong,official,1.032477,11.026529,GQ-000,,
-2064233,-2862302,settlement,Bisono,Bisono,variant,1.163828,10.55142,GQ-000,,
-2063385,-2861370,settlement,Akok,Akok,variant,1.132116,10.440265,GQ-000,,
-2065437,-2863973,settlement,Malen,Malen,official,1.742176,10.491884,GQ-000,,
-2065238,-2863700,spot,"La Hoz","La Hoz",official,3.65,8.633333,GQ-000,,
-2067057,-2866130,settlement,Oveng,Oveng,official,1.165488,10.398498,GQ-000,,
-2067199,-2866317,spot,Sacriba,Sacriba,official,3.75,8.683333,GQ-000,,
-2065727,-2864341,settlement,Mboete,Mboete,official,1.342661,10.321845,GQ-000,,
-2064954,-2863270,settlement,Etete,Etete,variant,1.907196,11.340486,GQ-000,,
-2063551,-2861413,spot,Alcaide,Alcaide,official,3.696806,8.836984,GQ-000,,
-2063384,-2861369,settlement,Akok,Akok,variant,1.049899,10.721129,GQ-000,,
-2066255,-2865026,spot,"M. Riopo","M. Riopo",official,3.633333,8.733333,GQ-000,,
-2065342,-2863844,settlement,Mabere,Mabere,official,1.641218,10.8768,GQ-000,,
-2066622,-2865472,settlement,Ngaña,Ngana,official,0.934398,9.320481,GQ-000,,
-2063690,-2861580,spot,Antúnez,Antunez,official,3.396775,8.770829,GQ-000,,
-2065340,-2863842,settlement,Mabeman,Mabeman,official,1.876588,9.815681,GQ-000,,
-2065081,-2863434,spot,Gaesa,Gaesa,official,3.424608,8.661535,GQ-000,,
-2065606,-2864196,settlement,Mayang,Mayang,official,1.576183,9.849323,GQ-000,,
-2064628,-2862814,settlement,Ebala,Ebala,official,1.520015,9.687778,GQ-000,,
-2064093,-2862118,settlement,Bicum,Bicum,official,1.010583,10.403878,GQ-000,,
-2063387,-2861158,settlement,Acoc,Acoc,official,1.821125,10.711809,GQ-000,,
-2066537,-2865353,settlement,Ndombo,Ndombo,official,1.036755,10.419101,GQ-000,,
-2064064,-2862153,settlement,Bikaba,Bikaba,variant,1.811168,10.267762,GQ-000,,
-2067402,-2866593,settlement,Tubana,Tubana,official,1.700029,9.653155,GQ-000,,
-2067351,-2866534,settlement,Temelón,Temelon,official,1.9269,10.626706,GQ-000,,
-2065631,-2864225,settlement,Mba,Mba,official,1.899931,10.200964,GQ-000,,
-2064063,-2862152,settlement,Bikaba,Bikaba,variant,1.592457,9.692619,GQ-000,,
-2063641,-2861514,settlement,Andom,Andom,official,1.708843,10.460107,GQ-000,,
-2065729,-2864343,settlement,Mboete,Mboete,official,1.446966,10.463115,GQ-000,,
-2064092,-2862117,settlement,Bicum,Bicum,official,1.910417,9.846258,GQ-000,,
-2063739,-2861640,settlement,Asoc,Asoc,official,1.756768,10.610002,GQ-000,,
-2065051,-2863395,spot,Ferreira,Ferreira,official,3.683333,8.65,GQ-000,,
-2067094,-2866170,settlement,Oyala,Oyala,official,1.621619,10.833914,GQ-000,,
-2066511,-2865707,settlement,Nkut,Nkut,variant,1.847525,10.839693,GQ-000,,
-2065605,-2864195,settlement,Mayang,Mayang,official,1.44749,9.640873,GQ-000,,
-2067399,-2866589,spot,"T. Pol","T. Pol",official,3.484894,8.644798,GQ-000,,
-2067058,-2866131,settlement,Oveng,Oveng,official,1.330247,10.248055,GQ-000,,
-2067400,-2866590,spot,"T. Pol","T. Pol",official,3.484807,8.644833,GQ-000,,
-2065314,-2863812,spot,Loyeb,Loyeb,official,3.724359,8.702281,GQ-000,,
-2065732,-2864346,settlement,Mboete,Mboete,official,1.74933,10.7932,GQ-000,,
-2067059,-2866132,settlement,Oveng,Oveng,official,1.398164,10.383488,GQ-000,,
-2063648,-2861524,settlement,Andon,Andon,variant,2.140935,10.520211,GQ-000,,
-2066905,-2865929,settlement,Nyale,Nyale,official,1.199392,9.376032,GQ-000,,
-2063790,-2861706,settlement,Avam,Avam,official,1.324057,11.016097,GQ-000,,
-2067401,-2866591,spot,"T. Sebe","T. Sebe",official,3.683333,8.9,GQ-000,,
-2064092,-2862159,settlement,Bikom,Bikom,variant,1.910417,9.846258,GQ-000,,
-2063739,-2861670,settlement,Asok,Asok,variant,1.756768,10.610002,GQ-000,,
-2066831,-2865835,settlement,Nsok,Nsok,variant,1.766978,10.906105,GQ-000,,
-2064921,-2863222,settlement,Eson,Eson,official,1.489686,11.081215,GQ-000,,
-2063388,-2861159,settlement,Acoc,Acoc,official,1.905202,10.209293,GQ-000,,
-2063587,-2861454,settlement,Alum,Alum,official,1.007889,10.982515,GQ-000,,
