wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1405019,-2016986,hypsographic,"Crescent Island","Crescent Island",official,-54.016667,-37.316667,GS-000,,
13238132,16701103,hydrographic,"Kelp Bay","Kelp Bay",variant,-54.016667,-38.066667,GS-000,,
-1405108,-2017115,hypsographic,"Hestes Hode","Hestes Hode",variant,-54.283333,-36.5,GS-000,,
13238310,16700862,hypsographic,"Post Rock","Post Rock",official,-54.016667,-37.983333,GS-000,,
-1405087,-2017098,hypsographic,"Cape Harcourt","Cape Harcourt",official,-54.502222,-35.988611,GS-000,,
-1405007,16692074,hypsographic,"Rocas Contraste","Rocas Contraste",variant,-54.049444,-36.947222,GS-000,,
-1405178,-2017251,hydrographic,"Nansen Rocks","Nansen Rocks",variant,-54.266667,-36.15,GS-000,,
-1404957,16692097,hypsographic,Barff-Huk,Barff-Huk,variant,-54.245,-36.398611,GS-000,,
13238157,16700709,hypsographic,"Hansen Point","Hansen Point",official,-54.133333,-36.683333,GS-000,,
13238260,16700812,hypsographic,"Mount Woodward","Mount Woodward",official,-54.1,-36.9,GS-000,,
-1405333,-2017373,hypsographic,"Sandwich Land","Sandwich Land",variant,-57.75,-26.5,GS-000,,
13238390,16700942,hydrographic,"Small Bay","Small Bay",official,-54.116667,-36.783333,GS-000,,
-1405134,-2017167,hydrographic,"King Haakons Bay","King Haakons Bay",variant,-54.159444,-37.343889,GS-000,,
-1405139,-2017177,hydrographic,"König Glacier","Konig Glacier",official,-54.163056,-36.804722,GS-000,,
-1405039,16692064,hydrographic,"Slosarczyk Harbour","Slosarczyk Harbour",variant,-54.870278,-36.013611,GS-000,,
186971,16692117,hydrographic,"Punta Estrella","Punta Estrella",variant,-54.047222,-37.356389,GS-000,,
-1405290,16691934,hypsographic,"Montes Tres Hermanos","Montes Tres Hermanos",variant,-54.290278,-36.8025,GS-000,,
13238178,16700730,hypsographic,Husdal,Husdal,official,-54.183333,-36.716667,GS-000,,
-1405295,-2017503,hydrographic,"Windy Cove","Windy Cove",variant,-54.054722,-36.994167,GS-000,,
-1405281,-2017434,hypsographic,"Sudan Beach","Sudan Beach",official,-54.316667,-36.45,GS-000,,
13238230,16700782,hypsographic,"Middle Head","Middle Head",official,-54.266667,-36.65,GS-000,,
13238085,16701090,hypsographic,"Buddah Rock","Buddah Rock",variant,-57.066667,-26.783333,GS-000,,
13238099,16700651,hypsographic,"Cave Point","Cave Point",official,-54.25,-36.4,GS-000,,
186825,16692112,hydrographic,"Chapman Strand","Chapman Strand",variant,-54.144167,-37.517222,GS-000,,
13238096,16700648,hydrographic,"Carlita Bay","Carlita Bay",official,-54.233333,-36.633333,GS-000,,
-1405162,-2017224,hydrographic,"May Cove","May Cove",variant,-54.239444,-36.5075,GS-000,,
-1405249,-2017378,hypsographic,"Saunders Island","Saunders Island",official,-57.783333,-26.45,GS-000,,
-1405277,16691941,hydrographic,"Willis Sound","Willis Sound",variant,-54.007222,-38.105,GS-000,,
13238427,16700979,hypsographic,"Stina Rock","Stina Rock",official,-54,-37.966667,GS-000,,
13238216,16700768,hypsographic,Maidalen,Maidalen,official,-54.25,-36.516667,GS-000,,
187000,232889,hypsographic,"Second Milestone","Second Milestone",official,-54.095278,-36.735833,GS-000,,
187473,233478,hydrographic,Trollhul,Trollhul,official,-54.82,-36.196667,GS-000,,
-1405239,16691965,hydrographic,"Bahía General Paz","Bahia General Paz",variant,-54.538611,-36.014167,GS-000,,
-1405078,-2017245,hypsographic,"Mutton Island","Mutton Island",variant,-54.15,-36.666667,GS-000,,
-1405201,-2017293,hypsographic,"Cape Paryadin","Cape Paryadin",official,-54.016667,-38.079167,GS-000,,
-1404990,-2016951,hypsographic,"Busen Point","Busen Point",official,-54.162778,-36.557222,GS-000,,
-1404964,-2016917,hypsographic,"Bellingshausen Point","Bellingshausen Point",official,-54.05,-37.233333,GS-000,,
187527,16692135,hydrographic,"Drygalski Glacier","Drygalski Glacier",variant,-54.777778,-36.101389,GS-000,,
-1405263,16691949,hydrographic,"Caleta Buller","Caleta Buller",variant,-53.985278,-37.399722,GS-000,,
-1405114,16692023,hydrographic,"Fiord Helado","Fiord Helado",variant,-54.06,-37.693611,GS-000,,
-1405221,-2017328,hydrographic,"Queen Maud Harbor","Queen Maud Harbor",variant,-54.224722,-37.385556,GS-000,,
-1405152,16692002,hypsographic,"Isla Solitária","Isla Solitaria",variant,-54.05,-37.983333,GS-000,,
-1404940,-2016885,hypsographic,"Albatros Insel","Albatros Insel",variant,-54.019722,-37.332222,GS-000,,
-1405208,-2017304,hypsographic,"Pickersgill Island","Pickersgill Island",variant,-54.624722,-36.756944,GS-000,,
-1405262,16691952,hypsographic,"Mys Shrov","Mys Shrov",variant,-57.066667,-26.65,GS-000,,
187014,232904,hypsographic,"Vestfold Island","Vestfold Island",official,-54.371389,-36.920278,GS-000,,
-1405294,-2017457,hypsographic,"Tønsberg Point","Tonsberg Point",official,-54.164722,-36.671111,GS-000,,
-1405313,-2017484,hypsographic,"Weddell Point","Weddell Point",official,-54.053611,-37.808333,GS-000,,
-1405264,-2017159,hypsographic,Kegel-Berg,Kegel-Berg,variant,-54.408611,-36.183056,GS-000,,
-1405074,-2017079,hydrographic,"Gothull Harbour","Gothull Harbour",variant,-54.288611,-36.294722,GS-000,,
187028,232921,hypsographic,"Barff Peninsula","Barff Peninsula",official,-54.3125,-36.314167,GS-000,,
-1405108,-2017124,hypsographic,"Horse Head","Horse Head",official,-54.283333,-36.5,GS-000,,
-1405074,-2017075,hydrographic,"Godthul Bay","Godthul Bay",variant,-54.288611,-36.294722,GS-000,,
-1404967,-2016921,hypsographic,"Bill Rock","Bill Rock",official,-54.15,-36.65,GS-000,,
-1405077,-2017083,hypsographic,Grassholmen,Grassholmen,variant,-54.058333,-37.943889,GS-000,,
-1405093,-2017222,hypsographic,"Matthews Point","Matthews Point",variant,-54.166667,-36.6,GS-000,,
13238380,16700932,hydrographic,"Seal Cove","Seal Cove",official,-54.05,-37.133333,GS-000,,
-1405313,-2017482,hypsographic,"Cape Weddell","Cape Weddell",variant,-54.053611,-37.808333,GS-000,,
13238188,16700740,hypsographic,"Johnson Point","Johnson Point",official,-54.4,-36.833333,GS-000,,
-1405025,16692070,hydrographic,"Saco Este","Saco Este",variant,-54.2875,-36.425556,GS-000,,
13238508,16701060,hypsographic,"Wood Point","Wood Point",official,-54.183333,-36.6,GS-000,,
-1405178,-2017061,hydrographic,"Fridjof-Nansen Bank","Fridjof-Nansen Bank",variant,-54.266667,-36.15,GS-000,,
13238339,16700891,hypsographic,"Quadrant Peak","Quadrant Peak",official,-57.1,-26.783333,GS-000,,
-1404976,-2016933,hypsographic,"Borley Point","Borley Point",official,-58.383333,-26.466667,GS-000,,
-1405271,-2017412,hypsographic,"Snow Peak","Snow Peak",official,-54.009167,-37.921667,GS-000,,
13238104,16700656,hypsographic,"Clarity Point","Clarity Point",official,-54.066667,-37.016667,GS-000,,
-1405043,-2017015,hypsographic,"Mount Duse","Mount Duse",official,-54.266667,-36.483333,GS-000,,
13238053,16700605,hypsographic,"Best Peak","Best Peak",official,-54.116667,-36.816667,GS-000,,
-1405011,-2016977,hypsographic,"Cook Rock","Cook Rock",official,-57.066667,-26.75,GS-000,,
187015,232905,hydrographic,Larvik,Larvik,official,-54.376111,-36.902222,GS-000,,
-1404997,-2016960,hypsographic,"Castor Rock","Castor Rock",official,-57.116667,-26.783333,GS-000,,
-1405154,-2017206,hypsographic,"Long Point","Long Point",official,-54.266667,-36.283333,GS-000,,
13238262,16700814,hypsographic,"Murphy Wall","Murphy Wall",official,-54.083333,-37.4,GS-000,,
-1405166,-2017226,hydrographic,"Merton Passage","Merton Passage",official,-54.233333,-36.4,GS-000,,
13238129,16700681,hypsographic,"Ems Rock","Ems Rock",official,-54.166667,-36.583333,GS-000,,
187021,232911,hydrographic,"Henningsen Glacier","Henningsen Glacier",official,-54.4625,-36.735556,GS-000,,
13238200,16700752,hypsographic,"Laurie Point","Laurie Point",official,-54.05,-37.983333,GS-000,,
13238050,16700602,hypsographic,"Basilisk Peak","Basilisk Peak",official,-59.416667,-27.083333,GS-000,,
-1405110,16692024,hydrographic,"Bahía Jorge","Bahia Jorge",variant,-54.370278,-36.238611,GS-000,,
13238383,16701186,hypsographic,"Shag Felsen","Shag Felsen",variant,-53.55,-42.033333,GS-000,,
13238502,16701054,hydrographic,"Whaler Channel","Whaler Channel",official,-54.166667,-36.7,GS-000,,
-1405047,-2017023,hydrographic,Elefanten-Bucht,Elefanten-Bucht,variant,-54.159722,-37.692222,GS-000,,
-1405079,-2017088,hypsographic,"Grüne Insel","Grune Insel",variant,-54.893611,-36.1025,GS-000,,
-1404954,-2016905,hydrographic,"Assistance Bay","Assistance Bay",official,-54.116667,-37.15,GS-000,,
-1405061,-2017047,hypsographic,"First Point","First Point",official,-54.473611,-37.123611,GS-000,,
13238345,16700897,hydrographic,"Rookery Bay","Rookery Bay",official,-54.266667,-36.333333,GS-000,,
-1405239,16691964,hydrographic,"Bahía Real","Bahia Real",variant,-54.538611,-36.014167,GS-000,,
-1405047,-2017026,hydrographic,"Elephant Cove","Elephant Cove",official,-54.159722,-37.692222,GS-000,,
-1405110,-2017427,hydrographic,"St. Georges Bay","St. Georges Bay",variant,-54.370278,-36.238611,GS-000,,
-1405262,16691951,hypsographic,"Punta Cuencas","Punta Cuencas",variant,-57.066667,-26.65,GS-000,,
13238466,16701018,hypsographic,"Treble Peak","Treble Peak",official,-54.116667,-36.75,GS-000,,
-1405058,16692050,hypsographic,Hvalsten,Hvalsten,variant,-54.7075,-35.729167,GS-000,,
13238078,16700630,hypsographic,"Brighton Beach","Brighton Beach",official,-54.116667,-37.166667,GS-000,,
-1405122,-2017146,hypsographic,"Jason Island","Jason Island",official,-54.178889,-36.495278,GS-000,,
-1405038,-2017009,hypsographic,"Dot Islet","Dot Islet",variant,-54.05,-37.35,GS-000,,
13238143,16701128,hypsographic,"Dome Mountain","Dome Mountain",variant,-54.416667,-36.25,GS-000,,
-1405322,-2017507,hypsographic,"Zavodovski Island","Zavodovski Island",official,-56.333333,-27.583333,GS-000,,
13238211,16700763,hypsographic,"Lucas Point","Lucas Point",official,-54.25,-36.333333,GS-000,,
13238499,16701051,hypsographic,"Wasp Point","Wasp Point",official,-59.466667,-27.366667,GS-000,,
13238073,16700625,hypsographic,"Breakbones Plateau","Breakbones Plateau",official,-57.066667,-26.683333,GS-000,,
-1405039,16692063,hydrographic,"Slosarczyk Bai","Slosarczyk Bai",variant,-54.870278,-36.013611,GS-000,,
-1405206,-2017302,hydrographic,"Philippi Glacier","Philippi Glacier",official,-54.816944,-36.055833,GS-000,,
13238062,16700614,hypsographic,"Blechnum Peaks","Blechnum Peaks",official,-54.2,-36.716667,GS-000,,
187468,233473,hydrographic,"Harmer Glacier","Harmer Glacier",official,-54.775556,-36.257222,GS-000,,
13238194,16700746,hydrographic,"Kraken Cove","Kraken Cove",official,-57.05,-26.683333,GS-000,,
-1404999,-2017343,hypsographic,"Rocky Point","Rocky Point",variant,-57.116667,-26.766667,GS-000,,
13238379,16700931,hypsographic,"Seagull Rock","Seagull Rock",official,-54.183333,-36.7,GS-000,,
186825,16692114,hydrographic,"Langestrand Harbour","Langestrand Harbour",variant,-54.144167,-37.517222,GS-000,,
-1405279,-2017429,hydrographic,"Stromnes Bay","Stromnes Bay",variant,-54.153333,-36.640278,GS-000,,
187403,233400,hypsographic,"Nilsen Island","Nilsen Island",official,-54.646111,-36.401111,GS-000,,
13238132,16700684,hydrographic,"Evermann Cove","Evermann Cove",official,-54.016667,-38.066667,GS-000,,
-1405090,-2017101,hypsographic,"Harker Point","Harker Point",official,-59.066667,-26.516667,GS-000,,
13238049,16700601,hydrographic,"Bary Glacier","Bary Glacier",official,-54.433333,-36.783333,GS-000,,
13238184,16700736,hydrographic,"Jewell Glacier","Jewell Glacier",official,-54.266667,-37.133333,GS-000,,
-1405065,-2017052,hydrographic,"Fortuna Bay","Fortuna Bay",official,-54.124722,-36.805556,GS-000,,
-1405070,-2017060,hydrographic,"Frida Hole","Frida Hole",official,-54.033333,-37.933333,GS-000,,
