wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1143181,-1685212,settlement,Tuba,Tuba,official,15.85,-89.133333,GT-18,,
14073081,18102758,settlement,Anona,Anona,official,15.745723,-91.489196,GT-13,,
13994834,17970601,settlement,Pujná,Pujna,official,15.751599,-91.209122,GT-13,,
14977054,19739648,settlement,Belén,Belen,official,15.907594,-90.153592,GT-16,,
14688691,19142645,settlement,Sinaí,Sinai,official,14.953116,-91.673143,GT-12,,
14767204,19301099,settlement,Lapuc,Lapuc,official,15.311726,-90.769015,GT-14,,
14701183,19171291,settlement,Pacol,Pacol,official,14.992878,-91.431324,GT-08,,
14814514,19399562,settlement,Xejú,Xeju,official,15.590513,-90.113471,GT-16,,
14782820,19334075,settlement,Oxá,Oxa,official,14.836665,-89.359312,GT-20,,
14818943,19409880,settlement,Ostua,Ostua,official,15.558987,-90.349195,GT-16,,
14707922,19187440,settlement,Pumá,Puma,official,14.579236,-91.466554,GT-10,,
14735437,19241598,settlement,Ocaña,Ocana,official,14.723702,-90.690612,GT-01,,
14766181,19299654,settlement,Papay,Papay,official,15.079332,-90.46395,GT-15,,
-1707964,-2398099,settlement,Victoria,Victoria,official,14.9,-92.133333,GT-12,,
-1706432,17786949,hydrographic,"Laguna el Toro","Laguna el Toro",official,17.828909,-90.777197,S1-000,,
-1706432,-4851849,hydrographic,"Laguna El Toro","Laguna El Toro",official,17.828909,-90.777197,S1-000,,
-1703321,-4851863,hypsographic,"Sierra Madre","Sierra Madre",official,15.5,-92.583333,S1-000,,
-1703777,-2391968,hypsographic,"Volcán Tacaná","Volcan Tacana",official,15.132396,-92.108855,S1-000,,
-1703321,-2331084,hypsographic,"Cordillera de Chiapas","Cordillera de Chiapas",variant,15.5,-92.583333,S1-000,,
-1703321,17587082,hypsographic,"Madre de Chiapas","Madre de Chiapas",official,15.5,-92.583333,S1-000,,
-1703777,18324688,hypsographic,Tacaná,Tacana,official,15.132396,-92.108855,S1-000,,
-1703321,-2391262,hypsographic,"Sierra de Soconusco","Sierra de Soconusco",variant,15.5,-92.583333,S1-000,,
-1703777,-2391999,hypsographic,"Volcán Tacina","Volcan Tacina",variant,15.132396,-92.108855,S1-000,,
-1703321,-2362027,hypsographic,"Sierra Madre de Chiapas","Sierra Madre de Chiapas",variant,15.5,-92.583333,S1-000,,
-1703321,-2349670,hypsographic,"Sierra de Istatán","Sierra de Istatan",variant,15.5,-92.583333,S1-000,,
-1699762,17781985,hydrographic,"Arroyo San Pedro","Arroyo San Pedro",variant,17.760178,-91.424387,S1-000,,
-1699762,-2386630,hydrographic,"Río San Pedro","Rio San Pedro",official,17.760178,-91.424387,S1-000,,
-1699762,-2386580,hydrographic,"San Pedro","San Pedro",official,17.760178,-91.424387,S1-000,,
-1699762,-2386759,hydrographic,"Río San Pedro Mártir","Rio San Pedro Martir",variant,17.760178,-91.424387,S1-000,,
-1696854,-2382945,settlement,"San Isidro","San Isidro",official,14.883333,-92.133333,GT-12,,
-1695001,-2380629,settlement,"San Antonio","San Antonio",official,14.883333,-92.133333,GT-12,,
-1693638,-2378695,hydrographic,"Laguna el Repastito","Laguna el Repastito",variant,17.25069,-91.13086,S1-000,,
-1693638,-4851848,hydrographic,"Laguna el Repastito","Laguna el Repastito",official,17.25069,-91.13086,S1-000,,
-1689170,-2371980,hydrographic,"Río Pojom","Rio Pojom",variant,16.080144,-91.441228,S1-000,,
-1689170,-2371981,hydrographic,"Río Pojom","Rio Pojom",variant,16.080144,-91.441228,S1-000,,
-1689170,15127919,hydrographic,Pojom,Pojom,official,16.080144,-91.441228,S1-000,,
-1689170,15760793,hydrographic,"Río Seco","Rio Seco",official,16.080144,-91.441228,S1-000,,
-1686587,18395125,hydrographic,"El Pais Ban","El Pais Ban",official,17.819211,-90.118824,S1-000,,
-1686587,15199108,hydrographic,"Laguna el Pais Ban","Laguna el Pais Ban",variant,17.819211,-90.118824,S1-000,,
-1686587,15830902,hydrographic,"Laguna el Paisbán","Laguna el Paisban",official,17.819211,-90.118824,S1-000,,
-1671512,15127451,hydrographic,Ixcán,Ixcan,official,16.12339,-91.083085,S1-000,,
-1671512,-2349708,hydrographic,"Río Ixcán","Rio Ixcan",variant,16.12339,-91.083085,S1-000,,
-1670641,-2348408,hydrographic,"Río Hoja Blanca","Rio Hoja Blanca",variant,15.556805,-92.079688,S1-000,,
-1671512,-2349709,hydrographic,"Río Ixcán","Rio Ixcan",official,16.12339,-91.083085,S1-000,,
-1670641,15175830,hydrographic,"Hoja Blanca","Hoja Blanca",official,15.556805,-92.079688,S1-000,,
-1664665,-2365235,settlement,Moral,Moral,variant,14.866667,-92.15,GT-12,,
-1664665,-2340980,settlement,"El Moral","El Moral",official,14.866667,-92.15,GT-12,,
-1658199,-2320448,hydrographic,"Río Achute","Rio Achute",variant,14.799655,-92.507059,S1-000,,
-1658199,17580926,hydrographic,Coatán,Coatan,official,14.799655,-92.507059,S1-000,,
-1658199,-2332913,hydrographic,"Río Coatán","Rio Coatan",variant,14.799655,-92.507059,S1-000,,
-1658199,-2333967,hydrographic,"Río Comitan","Rio Comitan",variant,14.799655,-92.507059,S1-000,,
-1658199,-2332914,hydrographic,"Río Coatán","Rio Coatan",official,14.799655,-92.507059,S1-000,,
-1656548,-2391803,hydrographic,"Río Sulas","Rio Sulas",variant,16.099547,-90.958771,S1-000,,
-1656548,-2330506,hydrographic,"Río Xaclbal","Rio Xaclbal",variant,16.099547,-90.958771,S1-000,,
-1656548,-2398721,hydrographic,"Río Xacbal","Rio Xacbal",variant,16.099547,-90.958771,S1-000,,
-1655043,17787117,hydrographic,"Río Candelaria","Rio Candelaria",official,18.610083,-91.245946,S1-000,,
-1656548,-2381492,hydrographic,"Rio San Blas","Rio San Blas",variant,16.099547,-90.958771,S1-000,,
-1655043,-2328478,hydrographic,"Rio Candelarraa","Rio Candelarraa",variant,18.610083,-91.245946,S1-000,,
-1656548,-2398741,hydrographic,"Río Xalbal","Rio Xalbal",official,16.099547,-90.958771,S1-000,,
-1655043,-2386632,hydrographic,"Río San Pedro","Rio San Pedro",variant,18.610083,-91.245946,S1-000,,
-1655043,14929205,hydrographic,Candelaria,Candelaria,official,18.610083,-91.245946,S1-000,,
-1656548,-2330505,hydrographic,"Río Chajul","Rio Chajul",official,16.099547,-90.958771,S1-000,,
-1655043,-2328464,hydrographic,"Río Candelaria","Rio Candelaria",variant,18.610083,-91.245946,S1-000,,
-1651967,-2348449,hydrographic,"Río Hondo","Rio Hondo",variant,17.909256,-88.85418,S1-000,,
-1651967,-2388817,hydrographic,"Río Santa María","Rio Santa Maria",variant,17.909256,-88.85418,S1-000,,
-1651967,-2324352,hydrographic,"Blue Creek","Blue Creek",official,17.909256,-88.85418,S1-000,,
-1651967,-2324343,hydrographic,"Arroyo Azul","Arroyo Azul",variant,17.909256,-88.85418,S1-000,,
-1651967,-2325954,hydrographic,"Blue River","Blue River",variant,17.909256,-88.85418,S1-000,,
-1651967,-2324191,hydrographic,"Axal Creek","Axal Creek",variant,17.909256,-88.85418,S1-000,,
-1651967,-2324350,hydrographic,"Río Azul","Rio Azul",official,17.909256,-88.85418,S1-000,,
-1150357,-1696081,hydrographic,"Sarstoon River","Sarstoon River",official,15.898475,-88.91444,S1-000,,
-1150033,-1695695,hydrographic,"Poite River","Poite River",official,16.114615,-89.176568,S1-000,,
-1149711,-1695284,hydrographic,"Río Machaquilá","Rio Machaquila",official,16.246712,-89.952564,S1-000,,
-1148722,-1694024,settlement,Arenal,Arenal,variant,17.023507,-89.152516,S1-000,,
-1150357,-1696083,hydrographic,"Rio Sarstum","Rio Sarstum",variant,15.898475,-88.91444,S1-000,,
-1149762,-1695343,hypsographic,"Maya Mountains","Maya Mountains",official,16.637294,-88.800067,S1-000,,
-1150077,505107,hydrographic,Pusila,Pusila,variant,16.114051,-89.175749,S1-000,,
-1150033,-1695696,hydrographic,"Río Blanco","Rio Blanco",official,16.114615,-89.176568,S1-000,,
-1149762,-1695344,hypsographic,"Montañas Maya","Montanas Maya",variant,16.637294,-88.800067,S1-000,,
-1150033,505108,hydrographic,Poite,Poite,variant,16.114615,-89.176568,S1-000,,
-1150077,-1695757,hydrographic,Pusilha,Pusilha,variant,16.114051,-89.175749,S1-000,,
-1149762,-1695346,hypsographic,"Montañas Mayas","Montanas Mayas",official,16.637294,-88.800067,S1-000,,
-1150357,-1696082,hydrographic,"Río Sarstún","Rio Sarstun",official,15.898475,-88.91444,S1-000,,
-1150372,-1696104,hydrographic,"Savery Branch","Savery Branch",variant,15.902879,-89.19657,S1-000,,
-1150372,-1696105,hydrographic,"Río San Pedro","Rio San Pedro",official,15.902879,-89.19657,S1-000,,
-1149711,-1695283,hydrographic,"Rio Machiquila","Rio Machiquila",short,16.246712,-89.952564,S1-000,,
-1150077,-1696120,hydrographic,"Río Sepusilhá","Rio Sepusilha",variant,16.114051,-89.175749,S1-000,,
-1150357,-1696080,hydrographic,"Río Sarstoon","Rio Sarstoon",variant,15.898475,-88.91444,S1-000,,
-1148722,-1694776,settlement,"El Arenal","El Arenal",official,17.023507,-89.152516,S1-000,,
-1149762,-1694526,hypsographic,"Montañas de Cockscomb","Montanas de Cockscomb",variant,16.637294,-88.800067,S1-000,,
-1150357,20082474,hydrographic,Sarstoon,Sarstoon,official,15.898475,-88.91444,S1-000,,
-1150077,-1695755,hydrographic,"Río Pusilá","Rio Pusila",official,16.114051,-89.175749,S1-000,,
-1149762,-1694534,hypsographic,"Cockscomb Mountains","Cockscomb Mountains",variant,16.637294,-88.800067,S1-000,,
-1150077,-1695754,hydrographic,"Pusila River","Pusila River",official,16.114051,-89.175749,S1-000,,
-1149762,-1694537,hypsographic,"Cockscomb Range","Cockscomb Range",variant,16.637294,-88.800067,S1-000,,
-1143539,-1685668,settlement,Xacaxá,Xacaxa,official,14.816667,-90.983333,GT-04,,
-1139501,-1680506,settlement,Pal,Pal,official,15.517081,-90.931811,GT-14,,
-1134410,-1674339,settlement,"El Jobito","El Jobito",official,14,-90.4,GT-06,,
-1136229,-1676652,settlement,Joya,Joya,variant,14.807313,-89.979859,GT-02,,
-1139195,-1680116,settlement,Nochán,Nochan,official,14.666667,-89.383333,GT-20,,
-1132703,-1672232,park,Chicoc,Chicoc,official,15.466667,-90.15,GT-16,,
-1132094,-1671402,settlement,Calel,Calel,official,15.092456,-91.567835,GT-09,,
-1147316,-1691844,hydrographic,"Río Paz","Rio Paz",official,13.773141,-90.186341,GT-000,,
-1138812,-1679619,park,Minas,Minas,official,15.666667,-91.616667,GT-13,,
-1136042,-1676436,settlement,Ixloc,Ixloc,official,15.832307,-90.753351,GT-16,,
-1143634,-1685791,settlement,Xeputul,Xeputul,official,15.45,-91.05,GT-14,,
-1137095,-1677658,settlement,"La Paz","La Paz",official,14.587529,-91.834294,GT-09,,
-1135995,-1676366,park,Italia,Italia,official,16.566667,-90.616667,GT-17,,
-1137054,-1677613,settlement,"La Paja","La Paja",official,14.066667,-89.966667,GT-22,,
-1143633,205912,settlement,Xepón,Xepon,official,15.193812,-91.369316,GT-08,,
-1137142,-1681256,settlement,Pipa,Pipa,variant,14.45,-90.65,GT-05,,
-1140686,-1682065,settlement,Sacalá,Sacala,official,14.75,-91.25,GT-07,,
-1145811,-1689475,hydrographic,"Lake Guija","Lake Guija",variant,14.256649,-89.535331,S1-000,,
-1145811,-1689473,hydrographic,"Lago de Güija","Lago de Guija",official,14.256649,-89.535331,S1-000,,
-1145811,-1689474,hydrographic,"Laguna de Güija","Laguna de Guija",variant,14.256649,-89.535331,S1-000,,
-1146050,-1689961,hypsographic,"Cerro Junquillo","Cerro Junquillo",official,14.335564,-89.590234,S1-000,,
-1146050,-1689962,hypsographic,"Cerro El Junquillo","Cerro El Junquillo",official,14.335564,-89.590234,S1-000,,
-1145745,-1689344,hydrographic,"Zanjón del Guacuco","Zanjon del Guacuco",official,14.356077,-89.564302,S1-000,,
-1145790,-1689429,hydrographic,"Quebrada Guayabillas","Quebrada Guayabillas",variant,14.385444,-89.53653,S1-000,,
-1145745,-1689343,hydrographic,"Quebrada Guacuco","Quebrada Guacuco",official,14.356077,-89.564302,S1-000,,
-1145790,-1689430,hydrographic,"Quebrada de Guayabillas","Quebrada de Guayabillas",official,14.385444,-89.53653,S1-000,,
-1145811,-1689471,hydrographic,"Lago Güija","Lago Guija",variant,14.256649,-89.535331,S1-000,,
-1143201,-1685234,settlement,Tuipic,Tuipic,official,14.80542,-91.670648,GT-09,,
-1143883,-1686133,settlement,Zunil,Zunil,official,14.78463,-91.483446,GT-09,,
-1143373,-1685457,settlement,Valencia,Valencia,official,14.410103,-89.970502,GT-22,,
-1143721,-1685898,settlement,Yalambojoch,Yalambojoch,official,15.979822,-91.571651,GT-13,,
-1143063,-1685048,settlement,Tituque,Tituque,official,14.711268,-89.359774,GT-20,,
-1143128,-1685129,hydrographic,"Río de Toquelá","Rio de Toquela",official,15.810943,-89.029736,GT-18,,
-1143027,-1684871,settlement,Temax,Temax,variant,16.01203,-89.249342,GT-17,,
-1143378,-1685462,hypsographic,"Cerro Valentón","Cerro Valenton",official,14.888421,-90.325397,GT-15,,
-1143531,-1685655,settlement,"Vuelve Mujer","Vuelve Mujer",official,15.836391,-88.780062,GT-18,,
-1144186,-1691587,hydrographic,"Río Negro","Rio Negro",variant,14.43193,-89.407329,S1-000,,
-1142989,-1684951,settlement,"Tierra Blanca","Tierra Blanca",official,14.801752,-89.393136,GT-20,,
-1143784,-1671312,hypsographic,"Montaña Bulquén","Montana Bulquen",official,15.902265,-91.557703,GT-13,,
-1143754,-1685955,hydrographic,"Arroyo Yaxtunilá","Arroyo Yaxtunila",official,16.567844,-90.283116,GT-17,,
-1143463,-1685575,spot,"Finca Villa Alba","Finca Villa Alba",official,14.016667,-90.816667,GT-05,,
-1143353,-1685437,administrative_region,"Municipio de Uzumatlán","Municipio de Uzumatlan",variant,14.98905,-89.788307,GT-19,,
-1143018,-1684686,hydrographic,"Río Tahuit","Rio Tahuit",variant,15.216667,-91.416667,GT-13,,
-1143290,19538718,hydrographic,"Río Tzé","Rio Tze",official,15.281687,-89.537946,GT-18,,
-1143497,-1685616,spot,"Hacienda Virginia","Hacienda Virginia",official,14.695664,-91.997678,GT-09,,
-1143030,-1685002,settlement,Timushán,Timushan,official,14.721237,-89.178426,GT-20,,
-1143670,-1685832,settlement,Xinacatí,Xinacati,variant,15.224425,-90.652351,GT-15,,
-1143501,-1685621,settlement,"Vista Bella","Vista Bella",official,14.744893,-90.969573,GT-04,,
-1143253,-1685306,settlement,Tzajcab,Tzajcab,official,14.986395,-91.192674,GT-14,,
-1143810,-1686037,spot,Zacatal,Zacatal,variant,17.679617,-89.836399,GT-17,,
-1143011,-1684973,hydrographic,"Quebrada Tierra Colorada","Quebrada Tierra Colorada",official,14.604314,-89.46122,GT-20,,
-1143624,-1685780,settlement,Xeparquiy,Xeparquiy,official,14.595762,-90.843984,GT-04,,
