wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1492146,-2131572,settlement,Ome,Ome,official,11.95,-15.783333,GW-000,,
-1491913,-2131292,settlement,Nafo,Nafo,official,11.45,-15.083333,GW-000,,
-1491017,-2130133,settlement,Ièiel,Ieiel,official,11.8,-14.4,GW-000,,
-1490875,-2129942,settlement,Gipo,Gipo,official,12.25,-15.9,GW-000,,
-1491943,-2131328,settlement,Nema,Nema,official,12.166667,-14.666667,GW-000,,
-1488452,-2126829,settlement,Blom,Blom,official,11.783333,-15.9,GW-000,,
-1488596,-2127018,settlement,Brufa,Brufa,official,12.293056,-15.664722,GW-OI,,
-1487665,-2125821,settlement,Achinde,Achinde,official,12.35,-15.966667,GW-000,,
-1487983,-2126230,settlement,Balem,Balem,official,12.25,-16.066667,GW-000,,
-1491941,-2131326,settlement,Nema,Nema,official,12.033333,-14.616667,GW-000,,
-1488547,-2126960,settlement,Botai,Botai,official,11.583333,-15.966667,GW-000,,
-1489960,-2128771,settlement,Cópà,Copa,official,12.55,-14.233333,GW-000,,
-1488548,-2126962,settlement,Botê,Bote,official,12.011944,-16.300556,GW-CA,,
-1491838,-2131198,settlement,Metade,Metade,official,12.233333,-16.166667,GW-000,,
-1487666,-2125824,settlement,Acôcó,Acoco,official,11.466667,-15.916667,GW-000,,
-1488681,-2127136,settlement,Buma,Buma,official,12.383333,-14.3,GW-000,,
-1488454,-2126831,settlement,Blom,Blom,official,11.983333,-15.783333,GW-000,,
-1491867,-2131230,settlement,Missirá,Missira,official,12.35,-14.283333,GW-000,,
-1492071,-2131471,settlement,Nhelem,Nhelem,official,12.043889,-15.711944,GW-CA,,
-1491942,-2131327,settlement,Nema,Nema,official,12.033333,-14.866667,GW-000,,
-1488910,-2127429,settlement,Cadi,Cadi,variant,11.983333,-15.5,GW-000,,
-1488546,-2126957,hydrographic,"Rio Bóro","Rio Boro",official,11.65,-14.05,GW-000,,
-1489872,-2128645,settlement,Códè,Code,official,12.433333,-13.966667,GW-000,,
-1490375,-2129289,settlement,Duma,Duma,official,12.633333,-14.433333,GW-000,,
-1494081,-2133959,settlement,Surire,Surire,official,11.6,-14.733333,GW-000,,
-1488455,-2126832,settlement,Blom,Blom,official,12.05,-15.8,GW-000,,
-1492333,-2131822,settlement,Paunca,Paunca,official,12.566667,-14.283333,GW-000,,
-1491944,-2131329,settlement,Nema,Nema,official,12.45,-15.233333,GW-000,,
-1492221,-2131667,settlement,Paiai,Paiai,official,12.3,-14.166667,GW-000,,
-1489711,-2128450,hydrographic,"Rio Chá","Rio Cha",official,11.5,-15.183333,GW-000,,
-1488356,-2126710,settlement,Binhogo,Binhogo,official,12.264167,-15.969167,GW-CA,,
-1491914,-2131293,settlement,Nafo,Nafo,official,11.933333,-15.2,GW-000,,
-1488053,-2126323,settlement,Banir,Banir,official,11.016667,-15.066667,GW-000,,
-1492470,-2131996,settlement,Plufe,Plufe,official,12,-16.066667,GW-000,,
-1488451,-2126828,settlement,Bloi,Bloi,official,12.1,-15.816667,GW-000,,
-1487958,-2126194,settlement,Bajefa,Bajefa,official,12.416667,-14.25,GW-000,,
-1490079,-2128917,settlement,Cumore,Cumore,official,11.683333,-13.75,GW-000,,
-1488453,-2126830,settlement,Blom,Blom,official,11.983333,-15.666667,GW-000,,
