wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-921870,-1364568,settlement,Mora,Mora,official,6.83575649,-58.45012035,GY-ES,,
-959682,-1411905,hypsographic,"Sierra Teuono","Sierra Teuono",variant,5.419248,-60.932622,S1-000,,
-959682,-1412243,hypsographic,"Sierra Touoro","Sierra Touoro",official,5.419248,-60.932622,S1-000,,
-959682,-1412242,hypsographic,"Sierra Touono","Sierra Touono",variant,5.419248,-60.932622,S1-000,,
-960304,-1413070,hypsographic,"Cerro Venamo","Cerro Venamo",official,5.95,-61.383333,S1-000,,
-953910,-1405263,hydrographic,"Mururuma Creek","Mururuma Creek",variant,8.303768,-59.809692,S1-000,,
-953910,-1405261,hydrographic,"Río Mururuma","Rio Mururuma",official,8.303768,-59.809692,S1-000,,
-953910,20032836,hydrographic,Mururuma,Mururuma,official,8.303768,-59.809692,S1-000,,
-953910,-1405262,hydrographic,"Mururuma River","Mururuma River",official,8.303768,-59.809692,S1-000,,
-953910,-1405030,hydrographic,"Moruruma River","Moruruma River",variant,8.303768,-59.809692,S1-000,,
-946028,-1396276,hypsographic,"Mount Iwalkarima","Mount Iwalkarima",official,5.316667,-60.833333,S1-000,,
-923815,20032877,hydrographic,"West Amuku","West Amuku",official,1.816667,-58.55,GY-UT,,
-924011,-1367629,hydrographic,"Yukanopito Falls","Yukanopito Falls",official,1.916667,-58.516667,GY-UT,,
-923945,-1367536,hypsographic,"Yamura Island","Yamura Island",variant,6.26783,-58.561384,GY-000,,
-923985,-1367595,hydrographic,"Yawari Creek","Yawari Creek",variant,5.65,-58.183333,GY-UD,,
-924008,-1367587,hydrographic,"Yauribiara Lake","Yauribiara Lake",variant,5.1,-58.233333,GY-UD,,
-923807,20032879,hydrographic,Weper,Weper,official,5.883333,-61.15,GY-CU,,
-924044,-1367673,spot,"Zorg en Hoop","Zorg en Hoop",official,6.241248,-57.553815,GY-MA,,
-923718,-1367215,hydrographic,Warima,Warima,variant,6.680596,-58.49603,GY-ES,,
-924009,-1367590,hypsographic,"Yawanna Island","Yawanna Island",variant,5.233333,-58.15,GY-UD,,
-923760,-1367278,hypsographic,"Wassari Mountain","Wassari Mountain",official,1.9,-59.4,GY-UT,,
-923665,-1367147,hydrographic,"Warabaro River","Warabaro River",variant,5.565033,-58.370367,GY-UD,,
-923999,-1367613,hydrographic,"Ylembaru Creek","Ylembaru Creek",variant,5.366667,-59.083333,GY-PT,,
